;Distance,Distance based,Add Charge,BART Fare,2000 Fare
0,0,0,0,0
100,1.95,0,1.95,1.4
200,1.95,0,1.95,1.4
300,1.95,0,1.95,1.4
400,1.95,0,1.95,1.4
500,1.95,0,1.95,1.4
600,1.95,0,1.95,1.4
700,2.16,0.16,2.32,2.01
800,2.16,0.32,2.48,2.09
900,2.16,0.48,2.64,2.18
1000,2.16,0.64,2.8,2.27
1100,2.16,0.8,2.96,2.36
1200,2.16,0.96,3.12,2.45
1300,2.16,1.12,3.28,2.53
1400,2.16,1.28,3.44,2.62
1500,3.39,0.1,3.49,2.65
1600,3.39,0.2,3.59,2.88
1700,3.39,0.3,3.69,3.12
1800,3.39,0.4,3.79,3.36
1900,3.39,0.5,3.89,3.59
2000,3.39,0.6,3.99,3.83
2100,3.39,0.7,4.09,4.07
2200,3.39,0.8,4.19,4.3
2300,3.39,0.9,4.29,4.54
2400,3.39,1,4.39,4.77
2500,3.39,1.1,4.49,5.01
2600,3.39,1.2,4.59,5.25
2700,3.39,1.3,4.69,5.48
2800,3.39,1.4,4.79,5.72
2900,3.39,1.5,4.89,5.96
3000,3.39,1.6,4.99,6.19
3100,3.39,1.7,5.09,6.43
3200,3.39,1.8,5.19,6.66
3300,3.39,1.9,5.29,6.9
3400,3.39,2,5.39,7.14
3500,3.39,2.1,5.49,7.37
3600,3.39,2.2,5.59,7.61
3700,3.39,2.3,5.69,7.85
3800,3.39,2.4,5.79,8.08
3900,3.39,2.5,5.89,8.32
4000,3.39,2.6,5.99,8.55
4100,3.39,2.7,6.09,8.79
4200,3.39,2.8,6.19,9.03
4300,3.39,2.9,6.29,9.26
4400,3.39,3,6.39,9.5
4500,3.39,3.1,6.49,9.74
4600,3.39,3.2,6.59,9.97
4700,3.39,3.3,6.69,10.05
4800,3.39,3.4,6.79,10.13
4900,3.39,3.5,6.89,10.21
5000,3.39,3.6,6.99,10.29
5100,3.39,3.7,7.09,10.37
5200,3.39,3.8,7.19,10.45
5300,3.39,3.9,7.29,10.53
5400,3.39,4,7.39,10.61
5500,3.39,4.1,7.49,10.69
5600,3.39,4.2,7.59,10.77
5700,3.39,4.3,7.69,10.85
5800,3.39,4.4,7.79,10.93
5900,3.39,4.5,7.89,11.01
6000,3.39,4.6,7.99,11.09
6100,3.39,4.7,8.09,11.17
6200,3.39,4.8,8.19,11.25
6300,3.39,4.9,8.29,11.32
6400,3.39,5,8.39,11.4
6500,3.39,5.1,8.49,11.48
6600,3.39,5.2,8.59,11.56
6700,3.39,5.3,8.69,11.64
6800,3.39,5.4,8.79,11.72
6900,3.39,5.5,8.89,11.8
7000,3.39,5.6,8.99,11.88
7100,3.39,5.7,9.09,11.96
7200,3.39,5.8,9.19,12.04
7300,3.39,5.9,9.29,12.12
7400,3.39,6,9.39,12.2
7500,3.39,6.1,9.49,12.2
7600,3.39,6.2,9.59,12.2
7700,3.39,6.3,9.69,12.2
7800,3.39,6.4,9.79,12.2
7900,3.39,6.5,9.89,12.2
8000,3.39,6.6,9.99,12.2
8100,3.39,6.7,10.09,12.2
8200,3.39,6.8,10.19,12.2
8300,3.39,6.9,10.29,12.2
8400,3.39,7,10.39,12.2
8500,3.39,7.1,10.49,12.2
8600,3.39,7.2,10.59,12.2
8700,3.39,7.3,10.69,12.2
8800,3.39,7.4,10.79,12.2
8900,3.39,7.5,10.89,12.2
9000,3.39,7.6,10.99,12.2
9100,3.39,7.7,11.09,12.2
9200,3.39,7.8,11.19,12.2
9300,3.39,7.9,11.29,12.2
9400,3.39,8,11.39,12.2
9500,3.39,8.1,11.49,12.2
9600,3.39,8.2,11.59,12.2
9700,3.39,8.3,11.69,12.2
9800,3.39,8.4,11.79,12.2
9900,3.39,8.5,11.89,12.2
10000,3.39,8.6,11.99,12.2
10100,3.39,8.7,12.09,12.2
10200,3.39,8.8,12.19,12.2
10300,3.39,8.9,12.29,12.2
10400,3.39,9,12.39,12.2
10500,3.39,9.1,12.49,12.2
10600,3.39,9.2,12.59,12.2
10700,3.39,9.3,12.69,12.2
10800,3.39,9.4,12.79,12.2
10900,3.39,9.5,12.89,12.2
11000,3.39,9.6,12.99,12.2
11100,3.39,9.7,13.09,12.2
11200,3.39,9.8,13.19,12.2
11300,3.39,9.9,13.29,12.2
11400,3.39,10,13.39,12.2
11500,3.39,10.1,13.49,12.2
11600,3.39,10.2,13.59,12.2
11700,3.39,10.3,13.69,12.2
11800,3.39,10.4,13.79,12.2
11900,3.39,10.5,13.89,12.2
12000,3.39,10.6,13.99,12.2
12100,3.39,10.7,14.09,12.2
12200,3.39,10.8,14.19,12.2
12300,3.39,10.9,14.29,12.2
12400,3.39,11,14.39,12.2
12500,3.39,11.1,14.49,12.2
12600,3.39,11.2,14.59,12.2
12700,3.39,11.3,14.69,12.2
12800,3.39,11.4,14.79,12.2
12900,3.39,11.5,14.89,12.2
13000,3.39,11.6,14.99,12.2
13100,3.39,11.7,15.09,12.2
13200,3.39,11.8,15.19,12.2
13300,3.39,11.9,15.29,12.2
13400,3.39,12,15.39,12.2
13500,3.39,12.1,15.49,12.2
13600,3.39,12.2,15.59,12.2
13700,3.39,12.3,15.69,12.2
13800,3.39,12.4,15.79,12.2
