;Distance,Distance based,Add Charge,BART Fare,2000 Fare
0,0,0,0,0
100,1.95,0,1.95,1.4
200,1.95,0,1.95,1.4
300,1.95,0,1.95,1.4
400,1.95,0,1.95,1.4
500,1.95,0,1.95,1.4
600,1.95,0,1.95,1.4
700,2.16,0.16,2.32,1.8055
800,2.16,0.32,2.48,1.8975
900,2.16,0.48,2.64,1.978
1000,2.16,0.64,2.8,2.07
1100,2.16,0.8,2.96,2.162
1200,2.16,0.96,3.12,2.2425
1300,2.16,1.12,3.28,2.3345
1400,2.16,1.28,3.44,2.415
1500,3.39,0.1,3.49,2.4495
1600,3.39,0.2,3.59,2.507
1700,3.39,0.3,3.69,2.553
1800,3.39,0.4,3.79,2.6105
1900,3.39,0.5,3.89,2.668
2000,3.39,0.6,3.99,2.7255
2100,3.39,0.7,4.09,2.7715
2200,3.39,0.8,4.19,2.829
2300,3.39,0.9,4.29,2.8865
2400,3.39,1,4.39,2.944
2500,3.39,1.1,4.49,2.99
2600,3.39,1.2,4.59,3.0475
2700,3.39,1.3,4.69,3.105
2800,3.39,1.4,4.79,3.1625
2900,3.39,1.5,4.89,3.22
3000,3.39,1.6,4.99,3.266
3100,3.39,1.7,5.09,3.3235
3200,3.39,1.8,5.19,3.381
3300,3.39,1.9,5.29,3.4385
3400,3.39,2,5.39,3.4845
3500,3.39,2.1,5.49,3.542
3600,3.39,2.2,5.59,3.5995
3700,3.39,2.3,5.69,3.657
3800,3.39,2.4,5.79,3.703
3900,3.39,2.5,5.89,3.7605
4000,3.39,2.6,5.99,3.818
4100,3.39,2.7,6.09,3.8755
4200,3.39,2.8,6.19,3.9215
4300,3.39,2.9,6.29,3.979
4400,3.39,3,6.39,4.0365
4500,3.39,3.1,6.49,4.094
4600,3.39,3.2,6.59,4.1515
4700,3.39,3.3,6.69,4.1975
4800,3.39,3.4,6.79,4.255
4900,3.39,3.5,6.89,4.3125
5000,3.39,3.6,6.99,4.37
5100,3.39,3.7,7.09,4.416
5200,3.39,3.8,7.19,4.4735
5300,3.39,3.9,7.29,4.531
5400,3.39,4,7.39,4.5885
5500,3.39,4.1,7.49,4.6345
5600,3.39,4.2,7.59,4.692
5700,3.39,4.3,7.69,4.7495
5800,3.39,4.4,7.79,4.807
5900,3.39,4.5,7.89,4.853
6000,3.39,4.6,7.99,4.9105
6100,3.39,4.7,8.09,4.968
6200,3.39,4.8,8.19,5.0255
6300,3.39,4.9,8.29,5.0715
6400,3.39,5,8.39,5.129
6500,3.39,5.1,8.49,5.1865
6600,3.39,5.2,8.59,5.244
6700,3.39,5.3,8.69,5.3015
6800,3.39,5.4,8.79,5.3475
6900,3.39,5.5,8.89,5.405
7000,3.39,5.6,8.99,5.4625
7100,3.39,5.7,9.09,5.52
7200,3.39,5.8,9.19,5.566
7300,3.39,5.9,9.29,5.6235
7400,3.39,6,9.39,5.681
7500,3.39,6.1,9.49,5.7385
7600,3.39,6.2,9.59,5.7845
7700,3.39,6.3,9.69,5.842
7800,3.39,6.4,9.79,5.8995
7900,3.39,6.5,9.89,5.957
8000,3.39,6.6,9.99,6.003
8100,3.39,6.7,10.09,6.0605
8200,3.39,6.8,10.19,6.118
8300,3.39,6.9,10.29,6.1755
8400,3.39,7,10.39,6.233
8500,3.39,7.1,10.49,6.279
8600,3.39,7.2,10.59,6.3365
8700,3.39,7.3,10.69,6.394
8800,3.39,7.4,10.79,6.4515
8900,3.39,7.5,10.89,6.4975
9000,3.39,7.6,10.99,6.555
9100,3.39,7.7,11.09,6.6125
9200,3.39,7.8,11.19,6.67
9300,3.39,7.9,11.29,6.716
9400,3.39,8,11.39,6.7735
9500,3.39,8.1,11.49,6.831
9600,3.39,8.2,11.59,6.8885
9700,3.39,8.3,11.69,6.9345
9800,3.39,8.4,11.79,6.992
9900,3.39,8.5,11.89,7.0495
10000,3.39,8.6,11.99,7.107
10100,3.39,8.7,12.09,7.153
10200,3.39,8.8,12.19,7.2105
10300,3.39,8.9,12.29,7.268
10400,3.39,9,12.39,7.3255
10500,3.39,9.1,12.49,7.383
10600,3.39,9.2,12.59,7.429
10700,3.39,9.3,12.69,7.4865
10800,3.39,9.4,12.79,7.544
10900,3.39,9.5,12.89,7.6015
11000,3.39,9.6,12.99,7.6475
11100,3.39,9.7,13.09,7.705
11200,3.39,9.8,13.19,7.7625
11300,3.39,9.9,13.29,7.82
11400,3.39,10,13.39,7.866
11500,3.39,10.1,13.49,7.9235
11600,3.39,10.2,13.59,7.981
11700,3.39,10.3,13.69,8.0385
11800,3.39,10.4,13.79,8.0845
11900,3.39,10.5,13.89,8.142
12000,3.39,10.6,13.99,8.1995
12100,3.39,10.7,14.09,8.257
12200,3.39,10.8,14.19,8.3145
12300,3.39,10.9,14.29,8.3605
12400,3.39,11,14.39,8.418
12500,3.39,11.1,14.49,8.4755
12600,3.39,11.2,14.59,8.533
12700,3.39,11.3,14.69,8.579
12800,3.39,11.4,14.79,8.6365
12900,3.39,11.5,14.89,8.694
13000,3.39,11.6,14.99,8.7515
13100,3.39,11.7,15.09,8.7975
13200,3.39,11.8,15.19,8.855
13300,3.39,11.9,15.29,8.9125
13400,3.39,12,15.39,8.97
