;Distance,Distance based,Add Charge,BART Fare,2000 Fare
0,0,0,0,0
100,1.95,0,1.95,1.33
200,1.95,0,1.95,1.33
300,1.95,0,1.95,1.33
400,1.95,0,1.95,1.33
500,1.95,0,1.95,1.33
600,1.95,0,1.95,1.33
700,2.16,0.16,2.32,1.5
800,2.16,0.32,2.48,1.57
900,2.16,0.48,2.64,1.64
1000,2.16,0.64,2.8,1.71
1100,2.16,0.8,2.96,1.79
1200,2.16,0.96,3.12,1.86
1300,2.16,1.12,3.28,1.93
1400,2.16,1.28,3.44,2
1500,3.39,0.1,3.49,2.03
1600,3.39,0.2,3.59,2.07
1700,3.39,0.3,3.69,2.12
1800,3.39,0.4,3.79,2.16
1900,3.39,0.5,3.89,2.21
2000,3.39,0.6,3.99,2.25
2100,3.39,0.7,4.09,2.3
2200,3.39,0.8,4.19,2.34
2300,3.39,0.9,4.29,2.39
2400,3.39,1,4.39,2.44
2500,3.39,1.1,4.49,2.48
2600,3.39,1.2,4.59,2.53
2700,3.39,1.3,4.69,2.57
2800,3.39,1.4,4.79,2.62
2900,3.39,1.5,4.89,2.66
3000,3.39,1.6,4.99,2.71
3100,3.39,1.7,5.09,2.75
3200,3.39,1.8,5.19,2.8
3300,3.39,1.9,5.29,2.84
3400,3.39,2,5.39,2.89
3500,3.39,2.1,5.49,2.93
3600,3.39,2.2,5.59,2.98
3700,3.39,2.3,5.69,3.03
3800,3.39,2.4,5.79,3.07
3900,3.39,2.5,5.89,3.12
4000,3.39,2.6,5.99,3.16
4100,3.39,2.7,6.09,3.21
4200,3.39,2.8,6.19,3.25
4300,3.39,2.9,6.29,3.3
4400,3.39,3,6.39,3.34
4500,3.39,3.1,6.49,3.39
4600,3.39,3.2,6.59,3.43
4700,3.39,3.3,6.69,3.48
4800,3.39,3.4,6.79,3.52
4900,3.39,3.5,6.89,3.57
5000,3.39,3.6,6.99,3.61
5100,3.39,3.7,7.09,3.66
5200,3.39,3.8,7.19,3.71
5300,3.39,3.9,7.29,3.75
5400,3.39,4,7.39,3.8
5500,3.39,4.1,7.49,3.84
5600,3.39,4.2,7.59,3.89
5700,3.39,4.3,7.69,3.93
5800,3.39,4.4,7.79,3.98
5900,3.39,4.5,7.89,4.02
6000,3.39,4.6,7.99,4.07
6100,3.39,4.7,8.09,4.11
6200,3.39,4.8,8.19,4.16
6300,3.39,4.9,8.29,4.2
6400,3.39,5,8.39,4.25
6500,3.39,5.1,8.49,4.3
6600,3.39,5.2,8.59,4.34
6700,3.39,5.3,8.69,4.39
6800,3.39,5.4,8.79,4.43
6900,3.39,5.5,8.89,4.48
7000,3.39,5.6,8.99,4.52
7100,3.39,5.7,9.09,4.57
7200,3.39,5.8,9.19,4.61
7300,3.39,5.9,9.29,4.66
7400,3.39,6,9.39,4.7
7500,3.39,6.1,9.49,4.75
7600,3.39,6.2,9.59,4.79
7700,3.39,6.3,9.69,4.84
7800,3.39,6.4,9.79,4.88
7900,3.39,6.5,9.89,4.93
8000,3.39,6.6,9.99,4.98
8100,3.39,6.7,10.09,5.02
8200,3.39,6.8,10.19,5.07
8300,3.39,6.9,10.29,5.11
8400,3.39,7,10.39,5.16
8500,3.39,7.1,10.49,5.2
8600,3.39,7.2,10.59,5.25
8700,3.39,7.3,10.69,5.29
8800,3.39,7.4,10.79,5.34
8900,3.39,7.5,10.89,5.38
9000,3.39,7.6,10.99,5.43
9100,3.39,7.7,11.09,5.47
9200,3.39,7.8,11.19,5.52
9300,3.39,7.9,11.29,5.57
9400,3.39,8,11.39,5.61
9500,3.39,8.1,11.49,5.66
9600,3.39,8.2,11.59,5.7
9700,3.39,8.3,11.69,5.75
9800,3.39,8.4,11.79,5.79
9900,3.39,8.5,11.89,5.84
10000,3.39,8.6,11.99,5.88
10100,3.39,8.7,12.09,5.93
10200,3.39,8.8,12.19,5.97
10300,3.39,8.9,12.29,6.02
10400,3.39,9,12.39,6.06
10500,3.39,9.1,12.49,6.11
10600,3.39,9.2,12.59,6.16
10700,3.39,9.3,12.69,6.2
10800,3.39,9.4,12.79,6.25
10900,3.39,9.5,12.89,6.29
11000,3.39,9.6,12.99,6.34
11100,3.39,9.7,13.09,6.38
11200,3.39,9.8,13.19,6.43
11300,3.39,9.9,13.29,6.47
11400,3.39,10,13.39,6.52
11500,3.39,10.1,13.49,6.56
11600,3.39,10.2,13.59,6.61
11700,3.39,10.3,13.69,6.65
11800,3.39,10.4,13.79,6.7
11900,3.39,10.5,13.89,6.74
12000,3.39,10.6,13.99,6.79
12100,3.39,10.7,14.09,6.84
12200,3.39,10.8,14.19,6.88
12300,3.39,10.9,14.29,6.93
12400,3.39,11,14.39,6.97
12500,3.39,11.1,14.49,7.02
12600,3.39,11.2,14.59,7.06
12700,3.39,11.3,14.69,7.11
12800,3.39,11.4,14.79,7.15
12900,3.39,11.5,14.89,7.2
13000,3.39,11.6,14.99,7.24
13100,3.39,11.7,15.09,7.29
13200,3.39,11.8,15.19,7.33
13300,3.39,11.9,15.29,7.38
13400,3.39,12,15.39,7.43
13500,3.39,12.1,15.49,7.47
13600,3.39,12.2,15.59,7.52
13700,3.39,12.3,15.69,7.56
13800,3.39,12.4,15.79,7.61
13900,3.39,12.5,15.89,7.65
14000,3.39,12.6,15.99,7.7
14100,3.39,12.7,16.09,7.74
14200,3.39,12.8,16.19,7.79
14300,3.39,12.9,16.29,7.83
14400,3.39,13,16.39,7.88
14500,3.39,13.1,16.49,7.92
14600,3.39,13.2,16.59,7.97
14700,3.39,13.3,16.69,8.02
14800,3.39,13.4,16.79,8.06
14900,3.39,13.5,16.89,8.09
15000,3.39,13.6,16.99,8.09
15100,3.39,13.7,17.09,8.09
15200,3.39,13.8,17.19,8.09
15300,3.39,13.9,17.29,8.09
15400,3.39,14,17.39,8.09
15500,3.39,14.1,17.49,8.09
15600,3.39,14.2,17.59,8.09
15700,3.39,14.3,17.69,8.09
15800,3.39,14.4,17.79,8.09
15900,3.39,14.5,17.89,8.09
16000,3.39,14.6,17.99,8.09
16100,3.39,14.7,18.09,8.09
16200,3.39,14.8,18.19,8.09
16300,3.39,14.9,18.29,8.09
16400,3.39,15,18.39,8.09
16500,3.39,15.1,18.49,8.09
16600,3.39,15.2,18.59,8.09
16700,3.39,15.3,18.69,8.09
16800,3.39,15.4,18.79,8.09
16900,3.39,15.5,18.89,8.09
17000,3.39,15.6,18.99,8.09
17100,3.39,15.7,19.09,8.09
17200,3.39,15.8,19.19,8.09
17300,3.39,15.9,19.29,8.09
17400,3.39,16,19.39,8.09
17500,3.39,16.1,19.49,8.09
17600,3.39,16.2,19.59,8.09
17700,3.39,16.3,19.69,8.09
17800,3.39,16.4,19.79,8.09
17900,3.39,16.5,19.89,8.09
18000,3.39,16.6,19.99,8.09
18100,3.39,16.7,20.09,8.09
18200,3.39,16.8,20.19,8.09
18300,3.39,16.9,20.29,8.09
18400,3.39,17,20.39,8.09
18500,3.39,17.1,20.49,8.09
18600,3.39,17.2,20.59,8.09
18700,3.39,17.3,20.69,8.09
18800,3.39,17.4,20.79,8.09
18900,3.39,17.5,20.89,8.09
19000,3.39,17.6,20.99,8.09
19100,3.39,17.7,21.09,8.09
19200,3.39,17.8,21.19,8.09
19300,3.39,17.9,21.29,8.09
19400,3.39,18,21.39,8.09
19500,3.39,18.1,21.49,8.09
19600,3.39,18.2,21.59,8.09
19700,3.39,18.3,21.69,8.09
19800,3.39,18.4,21.79,8.09
19900,3.39,18.5,21.89,8.09
20000,3.39,18.6,21.99,8.09
20100,3.39,18.7,22.09,8.09
20200,3.39,18.8,22.19,8.09
20300,3.39,18.9,22.29,8.09
20400,3.39,19,22.39,8.09
20500,3.39,19.1,22.49,8.09
20600,3.39,19.2,22.59,8.09
20700,3.39,19.3,22.69,8.09
20800,3.39,19.4,22.79,8.09
20900,3.39,19.5,22.89,8.09
21000,3.39,19.6,22.99,8.09
21100,3.39,19.7,23.09,8.09
21200,3.39,19.8,23.19,8.09
21300,3.39,19.9,23.29,8.09
21400,3.39,20,23.39,8.09
21500,3.39,20.1,23.49,8.09
21600,3.39,20.2,23.59,8.09
21700,3.39,20.3,23.69,8.09
21800,3.39,20.4,23.79,8.09
21900,3.39,20.5,23.89,8.09
22000,3.39,20.6,23.99,8.09
22100,3.39,20.7,24.09,8.09
22200,3.39,20.8,24.19,8.09
22300,3.39,20.9,24.29,8.09
22400,3.39,21,24.39,8.09
22500,3.39,21.1,24.49,8.09
22600,3.39,21.2,24.59,8.09
22700,3.39,21.3,24.69,8.09
22800,3.39,21.4,24.79,8.09
22900,3.39,21.5,24.89,8.09
23000,3.39,21.6,24.99,8.09
23100,3.39,21.7,25.09,8.09
23200,3.39,21.8,25.19,8.09
23300,3.39,21.9,25.29,8.09
23400,3.39,22,25.39,8.09
23500,3.39,22.1,25.49,8.09
23600,3.39,22.2,25.59,8.09
23700,3.39,22.3,25.69,8.09
23800,3.39,22.4,25.79,8.09
23900,3.39,22.5,25.89,8.09
24000,3.39,22.6,25.99,8.09
24100,3.39,22.7,26.09,8.09
24200,3.39,22.8,26.19,8.09
24300,3.39,22.9,26.29,8.09
24400,3.39,23,26.39,8.09
24500,3.39,23.1,26.49,8.09
24600,3.39,23.2,26.59,8.09
24700,3.39,23.3,26.69,8.09
24800,3.39,23.4,26.79,8.09
24900,3.39,23.5,26.89,8.09
25000,3.39,23.6,26.99,8.09
25100,3.39,23.7,27.09,8.09
25200,3.39,23.8,27.19,8.09
25300,3.39,23.9,27.29,8.09
25400,3.39,24,27.39,8.09
25500,3.39,24.1,27.49,8.09
25600,3.39,24.2,27.59,8.09
25700,3.39,24.3,27.69,8.09
25800,3.39,24.4,27.79,8.09
25900,3.39,24.5,27.89,8.09
26000,3.39,24.6,27.99,8.09
26100,3.39,24.7,28.09,8.09
26200,3.39,24.8,28.19,8.09
26300,3.39,24.9,28.29,8.09
26400,3.39,25,28.39,8.09
26500,3.39,25.1,28.49,8.09
26600,3.39,25.2,28.59,8.09
26700,3.39,25.3,28.69,8.09
