run,period,comp,cube,aeq,pct,corr,n
wlk_lrf_wlk,EV,FARE,212.6874,212.0266,-0.3107,0.9819,50476
wlk_lrf_wlk,EV,KEYIVT,23.0029,22.6876,-1.3706,0.9435,50498
wlk_exp_wlk,EA,TOTIVT,52.4826,51.8448,-1.2152,0.9910,95401
wlk_exp_wlk,EA,IWAIT,20.8119,20.4261,-1.8534,0.9139,95401
wlk_exp_wlk,EA,XWAIT,22.0246,22.6823,2.9862,0.8296,75940
wlk_exp_wlk,EA,WAUX,5.7066,6.0283,5.6374,0.6764,28501
wlk_exp_wlk,EA,BOARDS,1.9278,1.9253,-0.1276,0.9739,95401
wlk_exp_wlk,EA,FARE,484.4421,464.0895,-4.2012,0.8954,95401
wlk_exp_wlk,EA,KEYIVT,37.1281,37.2088,0.2174,0.9744,95401
wlk_exp_wlk,AM,TOTIVT,59.4043,58.9103,-0.8316,0.9858,190375
wlk_exp_wlk,AM,IWAIT,12.4745,13.0815,4.8654,0.9062,190375
wlk_exp_wlk,AM,XWAIT,15.9265,15.9695,0.2701,0.9284,177243
wlk_exp_wlk,AM,WAUX,3.4129,3.5284,3.3844,0.7271,110623
wlk_exp_wlk,AM,BOARDS,2.4115,2.3813,-1.2554,0.9667,190375
wlk_exp_wlk,AM,FARE,501.7538,491.1247,-2.1184,0.9293,190375
wlk_exp_wlk,AM,KEYIVT,36.0878,35.6046,-1.3388,0.9660,190375
wlk_exp_wlk,MD,TOTIVT,57.6525,57.0393,-1.0637,0.9864,169413
wlk_exp_wlk,MD,IWAIT,10.9698,11.4542,4.4158,0.8925,169413
wlk_exp_wlk,MD,XWAIT,17.5368,17.6831,0.8344,0.9260,158717
wlk_exp_wlk,MD,WAUX,3.3902,3.6386,7.3258,0.7248,98107
wlk_exp_wlk,MD,BOARDS,2.4530,2.4420,-0.4479,0.9782,169413
wlk_exp_wlk,MD,FARE,498.4379,486.3031,-2.4346,0.9295,169413
wlk_exp_wlk,MD,KEYIVT,33.9395,32.7665,-3.4561,0.9766,169413
wlk_exp_wlk,PM,TOTIVT,59.8865,59.5405,-0.5778,0.9844,201205
wlk_exp_wlk,PM,IWAIT,10.4902,10.7613,2.5847,0.8823,201205
wlk_exp_wlk,PM,XWAIT,17.6579,17.5721,-0.4862,0.9243,188430
wlk_exp_wlk,PM,WAUX,3.4123,3.4978,2.5059,0.7633,111251
wlk_exp_wlk,PM,BOARDS,2.4140,2.4046,-0.3859,0.9711,201205
wlk_exp_wlk,PM,FARE,493.0823,488.1239,-1.0056,0.9207,201205
wlk_exp_wlk,PM,KEYIVT,36.7187,36.2055,-1.3976,0.9725,201205
wlk_exp_wlk,EV,TOTIVT,58.9554,57.8050,-1.9514,0.9861,160134
wlk_exp_wlk,EV,IWAIT,12.8217,13.0586,1.8474,0.9286,160134
wlk_exp_wlk,EV,XWAIT,15.5146,15.6132,0.6355,0.9293,144699
wlk_exp_wlk,EV,WAUX,3.4590,3.5706,3.2259,0.7598,80770
wlk_exp_wlk,EV,BOARDS,2.2612,2.2551,-0.2695,0.9715,160134
wlk_exp_wlk,EV,FARE,517.4966,506.7164,-2.0831,0.9313,160134
wlk_exp_wlk,EV,KEYIVT,39.0698,37.9680,-2.8201,0.9596,160134
wlk_hvy_wlk,EA,TOTIVT,46.9752,47.4113,0.9285,0.9785,170924
wlk_hvy_wlk,EA,IWAIT,21.4897,22.6119,5.2218,0.8459,170924
wlk_hvy_wlk,EA,XWAIT,23.6698,25.3242,6.9897,0.8437,142192
wlk_hvy_wlk,EA,WAUX,2.0532,2.0978,2.1750,0.5919,138025
wlk_hvy_wlk,EA,BOARDS,1.9642,1.9500,-0.7244,0.9753,170924
wlk_hvy_wlk,EA,FARE,420.0714,421.3124,0.2954,0.8700,170924
wlk_hvy_wlk,EA,KEYIVT,33.4375,32.7560,-2.0380,0.9760,170924
wlk_hvy_wlk,AM,TOTIVT,66.4112,66.3442,-0.1010,0.9926,595548
wlk_hvy_wlk,AM,IWAIT,8.9861,9.1424,1.7393,0.8922,595548
wlk_hvy_wlk,AM,XWAIT,13.5733,14.1905,4.5471,0.9345,564271
wlk_hvy_wlk,AM,WAUX,2.2392,2.1465,-4.1373,0.8692,558922
wlk_hvy_wlk,AM,BOARDS,2.5348,2.5280,-0.2700,0.9921,595548
wlk_hvy_wlk,AM,FARE,537.0185,541.8509,0.8999,0.9249,595548
wlk_hvy_wlk,AM,KEYIVT,41.9841,41.9122,-0.1713,0.9923,595548
wlk_hvy_wlk,MD,TOTIVT,66.0748,65.9598,-0.1741,0.9925,576763
wlk_hvy_wlk,MD,IWAIT,9.3077,9.3068,-0.0093,0.9002,576763
wlk_hvy_wlk,MD,XWAIT,13.9098,14.5203,4.3888,0.9280,545914
wlk_hvy_wlk,MD,WAUX,2.1651,2.0855,-3.6755,0.8571,540563
wlk_hvy_wlk,MD,BOARDS,2.5251,2.5207,-0.1753,0.9917,576763
wlk_hvy_wlk,MD,FARE,530.4138,536.4644,1.1407,0.9243,576763
wlk_hvy_wlk,MD,KEYIVT,42.1184,42.0468,-0.1699,0.9923,576763
wlk_hvy_wlk,PM,TOTIVT,66.9628,66.8445,-0.1766,0.9930,606136
wlk_hvy_wlk,PM,IWAIT,8.6981,8.7656,0.7765,0.8930,606136
wlk_hvy_wlk,PM,XWAIT,13.4026,13.9299,3.9348,0.9317,575158
wlk_hvy_wlk,PM,WAUX,2.1864,2.0809,-4.8230,0.8766,569811
wlk_hvy_wlk,PM,BOARDS,2.5457,2.5405,-0.2047,0.9938,606136
wlk_hvy_wlk,PM,FARE,538.2010,544.3206,1.1370,0.9274,606136
wlk_hvy_wlk,PM,KEYIVT,42.0073,41.9591,-0.1147,0.9929,606136
wlk_hvy_wlk,EV,TOTIVT,62.9316,62.1966,-1.1679,0.9879,462487
wlk_hvy_wlk,EV,IWAIT,9.2125,9.5057,3.1833,0.9209,462487
wlk_hvy_wlk,EV,XWAIT,13.1233,13.5814,3.4912,0.9437,433989
wlk_hvy_wlk,EV,WAUX,2.0177,1.9834,-1.6962,0.8402,426078
wlk_hvy_wlk,EV,BOARDS,2.5487,2.5292,-0.7652,0.9886,462487
wlk_hvy_wlk,EV,FARE,505.0072,512.3659,1.4572,0.9042,462487
wlk_hvy_wlk,EV,KEYIVT,40.1543,39.9819,-0.4294,0.9911,462487
wlk_com_wlk,EA,TOTIVT,52.6139,48.8465,-7.1606,0.9379,21096
wlk_com_wlk,EA,IWAIT,26.1800,22.6151,-13.6167,0.8760,21096
wlk_com_wlk,EA,XWAIT,30.0652,35.0261,16.5004,0.7851,15025
wlk_com_wlk,EA,WAUX,3.2319,2.9243,-9.5187,0.7099,15025
wlk_com_wlk,EA,BOARDS,1.7606,1.7412,-1.1005,0.9673,21096
wlk_com_wlk,EA,FARE,513.2810,465.0969,-9.3875,0.6157,21096
wlk_com_wlk,EA,KEYIVT,40.1480,35.6999,-11.0793,0.9188,21096
wlk_com_wlk,AM,TOTIVT,68.0137,67.6542,-0.5285,0.9675,133763
wlk_com_wlk,AM,IWAIT,13.5274,10.5980,-21.6550,0.8410,133763
wlk_com_wlk,AM,XWAIT,20.0071,20.9219,4.5723,0.8326,128191
wlk_com_wlk,AM,WAUX,2.6246,2.2736,-13.3745,0.7166,128188
wlk_com_wlk,AM,BOARDS,2.4608,2.4522,-0.3490,0.9751,133763
wlk_com_wlk,AM,FARE,648.5391,590.3651,-8.9700,0.7015,133763
wlk_com_wlk,AM,KEYIVT,43.6459,42.6991,-2.1693,0.9300,133763
wlk_com_wlk,MD,TOTIVT,66.4873,64.7200,-2.6582,0.9101,103755
wlk_com_wlk,MD,IWAIT,14.5275,13.2609,-8.7184,0.9206,103755
wlk_com_wlk,MD,XWAIT,23.6357,22.3918,-5.2626,0.8841,99447
wlk_com_wlk,MD,WAUX,2.3914,2.2617,-5.4251,0.7065,99447
wlk_com_wlk,MD,BOARDS,2.4207,2.4290,0.3427,0.9786,103755
wlk_com_wlk,MD,FARE,624.8485,571.9855,-8.4601,0.6771,103755
wlk_com_wlk,MD,KEYIVT,43.0659,41.3186,-4.0572,0.8859,103755
wlk_com_wlk,PM,TOTIVT,68.6687,65.6384,-4.4130,0.9476,136599
wlk_com_wlk,PM,IWAIT,12.4927,10.0156,-19.8281,0.8099,136599
wlk_com_wlk,PM,XWAIT,20.0044,21.5026,7.4893,0.8449,131409
wlk_com_wlk,PM,WAUX,2.7008,2.3870,-11.6171,0.7522,131383
wlk_com_wlk,PM,BOARDS,2.4902,2.4813,-0.3567,0.9761,136599
wlk_com_wlk,PM,FARE,650.7312,597.5735,-8.1689,0.7019,136599
wlk_com_wlk,PM,KEYIVT,43.9787,40.3297,-8.2971,0.9147,136599
wlk_com_wlk,EV,TOTIVT,76.2579,73.6692,-3.3947,0.9744,119053
wlk_com_wlk,EV,IWAIT,11.5466,9.9531,-13.8003,0.7818,119053
wlk_com_wlk,EV,XWAIT,17.8433,20.1773,13.0811,0.8382,113878
wlk_com_wlk,EV,WAUX,2.6977,2.3054,-14.5398,0.7367,113860
wlk_com_wlk,EV,BOARDS,2.4589,2.4399,-0.7747,0.9696,119053
wlk_com_wlk,EV,FARE,655.6384,574.8103,-12.3282,0.5782,119053
wlk_com_wlk,EV,KEYIVT,52.2964,47.7292,-8.7332,0.9322,119053
drv_loc_wlk,EA,TOTIVT,39.7192,38.4694,-3.1464,0.9832,206774
drv_loc_wlk,EA,IWAIT,31.7854,32.7457,3.0213,0.8923,206774
drv_loc_wlk,EA,XWAIT,26.1514,27.6289,5.6497,0.7812,97532
drv_loc_wlk,EA,WAUX,3.0160,3.5194,16.6917,0.3279,30243
drv_loc_wlk,EA,BOARDS,1.4765,1.4740,-0.1700,0.9749,206774
drv_loc_wlk,EA,FARE,162.5844,161.5722,-0.6225,0.7684,206774
drv_loc_wlk,EA,DTIM,5.0567,5.1743,2.3251,0.9623,206774
drv_loc_wlk,EA,DDIST,3.2152,3.2036,-0.3596,0.9659,206774
drv_loc_wlk,AM,TOTIVT,52.6484,51.3227,-2.5181,0.9891,462528
drv_loc_wlk,AM,IWAIT,10.4032,10.5182,1.1048,0.9229,462528
drv_loc_wlk,AM,XWAIT,15.5940,15.7858,1.2297,0.9709,340261
drv_loc_wlk,AM,WAUX,5.0129,5.0753,1.2445,0.8996,90590
drv_loc_wlk,AM,BOARDS,2.0347,2.0311,-0.1767,0.9901,462528
drv_loc_wlk,AM,FARE,181.9372,182.6961,0.4171,0.9576,462528
drv_loc_wlk,AM,DTIM,5.6727,5.6664,-0.1111,0.9664,462528
drv_loc_wlk,AM,DDIST,3.5907,3.5921,0.0378,0.9681,462528
drv_loc_wlk,MD,TOTIVT,51.8726,50.4136,-2.8127,0.9884,437335
drv_loc_wlk,MD,IWAIT,10.2981,10.2973,-0.0072,0.9462,437335
drv_loc_wlk,MD,XWAIT,15.3295,15.4078,0.5110,0.9778,315868
drv_loc_wlk,MD,WAUX,4.0630,4.4445,9.3902,0.8659,77985
drv_loc_wlk,MD,BOARDS,1.9857,1.9834,-0.1164,0.9918,437335
drv_loc_wlk,MD,FARE,179.5172,178.0156,-0.8365,0.9594,437335
drv_loc_wlk,MD,DTIM,5.7785,5.7866,0.1399,0.9670,437335
drv_loc_wlk,MD,DDIST,3.7032,3.7115,0.2256,0.9675,437335
drv_loc_wlk,PM,TOTIVT,53.2946,52.1849,-2.0822,0.9850,483437
drv_loc_wlk,PM,IWAIT,8.9703,9.1866,2.4108,0.9126,483437
drv_loc_wlk,PM,XWAIT,15.2816,15.3844,0.6730,0.9661,361914
drv_loc_wlk,PM,WAUX,5.3355,5.3749,0.7386,0.8865,114511
drv_loc_wlk,PM,BOARDS,2.1063,2.0962,-0.4799,0.9882,483437
drv_loc_wlk,PM,FARE,187.8247,187.5797,-0.1304,0.9657,483437
drv_loc_wlk,PM,DTIM,5.6530,5.6507,-0.0409,0.9493,483437
drv_loc_wlk,PM,DDIST,3.5273,3.5752,1.3580,0.9529,483437
drv_loc_wlk,EV,TOTIVT,51.9296,50.4461,-2.8569,0.9869,439985
drv_loc_wlk,EV,IWAIT,12.1234,12.3361,1.7542,0.9416,439985
drv_loc_wlk,EV,XWAIT,19.3271,19.5233,1.0155,0.9732,315615
drv_loc_wlk,EV,WAUX,4.7666,5.0733,6.4326,0.8334,86817
drv_loc_wlk,EV,BOARDS,1.9670,1.9691,0.1050,0.9868,439985
drv_loc_wlk,EV,FARE,183.3208,182.0763,-0.6789,0.9665,439985
drv_loc_wlk,EV,DTIM,5.4143,5.5038,1.6518,0.9597,439985
drv_loc_wlk,EV,DDIST,3.4869,3.4854,-0.0438,0.9606,439985
drv_lrf_wlk,EA,TOTIVT,39.3973,35.7189,-9.3367,0.9789,62004
drv_lrf_wlk,EA,IWAIT,42.5729,40.0072,-6.0267,0.9446,62004
drv_lrf_wlk,EA,XWAIT,24.0967,31.4786,30.6346,0.7463,31904
drv_lrf_wlk,EA,WAUX,4.9660,4.9411,-0.5000,0.9555,61730
drv_lrf_wlk,EA,BOARDS,1.5144,1.5142,-0.0110,0.9971,62004
drv_lrf_wlk,EA,FARE,296.0589,305.0436,3.0348,0.9522,62004
drv_lrf_wlk,EA,KEYIVT,32.0918,28.0037,-12.7388,0.9675,62004
drv_lrf_wlk,EA,DTIM,16.7036,17.1004,2.3760,0.9976,62004
drv_lrf_wlk,EA,DDIST,14.1733,14.3137,0.9908,0.9981,62004
