"carown_labels","nhhld"
"Alt01 0 car",202570
"Alt02 1 car - 1HV",607387
"Alt03 1 car - 1AV",47281
"Alt04 2 cars - 2HVs",528915
"Alt05 2 cars - 2AVs",42187
"Alt06 2 cars - 1HV1AV",41814
"Alt07 3 cars - 3HVs",178046
"Alt08 3 cars - 3AVs",15066
"Alt09 3 cars - 2HVs1AV",15159
"Alt10 3 cars - 1HV2AVs",14762
"Alt11 4 cars - 4HVs",159522
