"work_county","agrempn","fpsempn","herempn","mwtempn","othempn","retempn"
"Alameda",1921,137850,253505,130844,81703,66081
"Contra Costa",3259,90923,144548,47340,44443,42611
"Marin",888,32389,48104,11916,16997,14189
"Napa",4762,9458,29663,13772,7986,7325
"San Francisco",1677,232852,234628,65954,101827,60457
"San Mateo",2126,104642,118645,70556,49878,37641
"Santa Clara",4944,249554,305609,218765,130364,86989
"Solano",1813,19493,51606,19273,22163,16252
"Sonoma",6176,37622,86231,37276,27926,26515
