"TAZ1454","missing_emp","total_emp","share_missing_emp"
243,50,140,0.357142857142857
253,58,239,0.242677824267782
267,146,643,0.22706065318818
273,15,108,0.138888888888889
1228,25,223,0.112107623318386
422,177,1794,0.0986622073578595
221,9,92,0.0978260869565217
794,3,32,0.09375
82,138,1596,0.0864661654135338
1029,19,232,0.0818965517241379
1005,23,282,0.0815602836879433
1204,115,1418,0.0811001410437236
954,183,2272,0.0805457746478873
464,41,522,0.078544061302682
305,9,116,0.0775862068965517
344,14,182,0.0769230769230769
695,19,257,0.0739299610894942
386,10,137,0.072992700729927
559,53,750,0.0706666666666667
52,336,4814,0.069796427087661
1163,11,158,0.069620253164557
747,13,191,0.0680628272251309
694,13,192,0.0677083333333333
205,9,139,0.0647482014388489
289,20,317,0.0630914826498423
919,4,66,0.0606060606060606
357,41,706,0.0580736543909348
359,22,382,0.0575916230366492
500,10,174,0.0574712643678161
428,581,10454,0.0555768127032715
57,6,109,0.055045871559633
1000,49,916,0.0534934497816594
254,24,465,0.0516129032258065
799,17,330,0.0515151515151515
1043,15,293,0.0511945392491468
269,24,477,0.050314465408805
1045,12,241,0.0497925311203319
881,3,61,0.0491803278688525
402,10,206,0.0485436893203883
306,9,187,0.0481283422459893
825,10,208,0.0480769230769231
153,3,63,0.0476190476190476
1062,213,4486,0.0474810521622827
489,22,466,0.0472103004291846
1425,228,4914,0.0463980463980464
985,12,267,0.0449438202247191
795,75,1670,0.0449101796407186
482,10,223,0.0448430493273543
146,13,292,0.0445205479452055
1098,13,293,0.0443686006825939
1081,3,69,0.0434782608695652
84,23,531,0.0433145009416196
360,19,444,0.0427927927927928
893,41,976,0.0420081967213115
1326,17,407,0.0417690417690418
1303,9,218,0.0412844036697248
1031,19,465,0.0408602150537634
545,58,1434,0.0404463040446304
851,4,99,0.0404040404040404
14,1183,29300,0.0403754266211604
1036,32,796,0.0402010050251256
231,6,151,0.0397350993377483
647,6,152,0.0394736842105263
664,10,254,0.0393700787401575
491,15,384,0.0390625
245,10,257,0.0389105058365759
1026,13,335,0.0388059701492537
290,6,155,0.0387096774193548
1087,14,363,0.0385674931129477
1007,13,342,0.0380116959064327
1416,26,691,0.0376266280752533
131,10,268,0.0373134328358209
171,20,536,0.0373134328358209
1166,88,2405,0.0365904365904366
320,22,604,0.0364238410596026
1237,3,84,0.0357142857142857
1388,19,536,0.0354477611940298
995,13,368,0.0353260869565217
1151,15,428,0.0350467289719626
1142,12,343,0.0349854227405248
76,93,2665,0.0348968105065666
68,26,753,0.0345285524568393
1130,10,291,0.0343642611683849
398,38,1106,0.0343580470162749
1334,13,379,0.0343007915567282
1028,9,265,0.0339622641509434
302,13,383,0.0339425587467363
562,18,533,0.0337711069418387
314,174,5163,0.0337013364323068
390,23,683,0.0336749633967789
264,44,1318,0.0333839150227618
480,19,581,0.0327022375215146
486,69,2126,0.0324553151458137
925,75,2313,0.0324254215304799
790,9,278,0.0323741007194245
396,102,3174,0.0321361058601134
247,10,315,0.0317460317460317
1450,30,945,0.0317460317460317
599,3,95,0.0315789473684211
1426,23,729,0.0315500685871056
368,24,763,0.0314547837483617
1127,70,2236,0.0313059033989267
250,31,1000,0.031
806,383,12378,0.0309419938600743
512,18,588,0.0306122448979592
1379,6,196,0.0306122448979592
818,10,327,0.0305810397553517
963,18,596,0.0302013422818792
1104,9,298,0.0302013422818792
1065,20,668,0.029940119760479
738,13,435,0.0298850574712644
124,16,537,0.0297951582867784
1006,23,773,0.0297542043984476
615,14,474,0.029535864978903
488,25,853,0.0293083235638921
270,3,103,0.029126213592233
915,13,448,0.0290178571428571
912,22,768,0.0286458333333333
606,63,2204,0.0285843920145191
711,15,526,0.0285171102661597
307,8,284,0.028169014084507
331,169,6245,0.0270616493194556
300,16,592,0.027027027027027
501,9,333,0.027027027027027
788,12,447,0.0268456375838926
1071,6,225,0.0266666666666667
603,141,5289,0.0266591038003403
255,20,751,0.0266311584553928
271,15,570,0.0263157894736842
1034,23,874,0.0263157894736842
1155,4,153,0.0261437908496732
1025,17,651,0.0261136712749616
161,5,192,0.0260416666666667
1385,19,733,0.0259208731241473
1218,3,116,0.0258620689655172
174,7,271,0.025830258302583
442,9,349,0.0257879656160458
358,31,1207,0.0256835128417564
97,19,743,0.0255720053835801
285,6,235,0.025531914893617
507,17,671,0.0253353204172876
220,10,395,0.0253164556962025
48,20,801,0.0249687890137328
1431,34,1362,0.0249632892804699
347,39,1592,0.0244974874371859
35,12,493,0.0243407707910751
1176,113,4652,0.0242906276870163
493,21,870,0.0241379310344828
1044,6,249,0.0240963855421687
1447,13,540,0.0240740740740741
342,27,1124,0.0240213523131673
121,10,417,0.0239808153477218
181,7,295,0.023728813559322
1358,51,2158,0.0236329935125116
1030,3,127,0.0236220472440945
100,73,3118,0.0234124438742784
209,11,472,0.0233050847457627
753,12,516,0.0232558139534884
1419,11,476,0.023109243697479
343,6,260,0.0230769230769231
304,9,391,0.0230179028132992
74,137,5964,0.022971160295104
789,3,131,0.0229007633587786
