,zone_id,industry,value
0,914,agrempn,2
1,1005,agrempn,2
2,1007,agrempn,0
3,1028,agrempn,1
4,1155,agrempn,3
5,914,fpsempn,82
6,1005,fpsempn,80
7,1007,fpsempn,17
8,1028,fpsempn,60
9,1155,fpsempn,75
10,914,herempn,92
11,1005,herempn,90
12,1007,herempn,19
13,1028,herempn,67
14,1155,herempn,59
15,914,mwtempn,36
16,1005,mwtempn,35
17,1007,mwtempn,8
18,1028,mwtempn,26
19,1155,mwtempn,14
20,914,othempn,32
21,1005,othempn,31
22,1007,othempn,7
23,1028,othempn,23
24,1155,othempn,23
25,914,retempn,15
26,1005,retempn,15
27,1007,retempn,3
28,1028,retempn,11
29,1155,retempn,11
30,998,agrempn,7
31,999,agrempn,2
32,998,fpsempn,284
33,999,fpsempn,94
34,998,herempn,319
35,999,herempn,106
36,998,mwtempn,124
37,999,mwtempn,41
38,998,othempn,111
39,999,othempn,37
40,998,retempn,52
41,999,retempn,17
42,915,agrempn,2
43,916,agrempn,2
44,976,agrempn,4
45,915,fpsempn,75
46,916,fpsempn,65
47,976,fpsempn,150
48,915,herempn,84
49,916,herempn,72
50,976,herempn,169
51,915,mwtempn,32
52,916,mwtempn,28
53,976,mwtempn,65
54,915,othempn,29
55,916,othempn,25
56,976,othempn,58
57,915,retempn,14
58,916,retempn,12
59,976,retempn,27
60,1000,agrempn,2
61,1003,agrempn,3
62,1000,fpsempn,99
63,1003,fpsempn,117
64,1000,herempn,112
65,1003,herempn,132
66,1000,mwtempn,44
67,1003,mwtempn,51
68,1000,othempn,39
69,1003,othempn,45
70,1000,retempn,18
71,1003,retempn,22
72,1001,agrempn,2
73,1001,fpsempn,60
74,1001,herempn,68
75,1001,mwtempn,27
76,1001,othempn,23
77,1001,retempn,11
78,997,agrempn,0
79,997,fpsempn,19
80,997,herempn,22
81,997,mwtempn,8
82,997,othempn,8
83,997,retempn,4
84,977,agrempn,2
85,996,agrempn,2
86,977,fpsempn,72
87,996,fpsempn,96
88,977,herempn,81
89,996,herempn,107
90,977,mwtempn,31
91,996,mwtempn,41
92,977,othempn,28
93,996,othempn,38
94,977,retempn,13
95,996,retempn,17
96,992,agrempn,1
97,993,agrempn,1
98,992,fpsempn,30
99,993,fpsempn,38
100,992,herempn,34
101,993,herempn,43
102,992,mwtempn,13
103,993,mwtempn,17
104,992,othempn,12
105,993,othempn,15
106,992,retempn,6
107,993,retempn,7
108,991,agrempn,14
109,991,fpsempn,526
110,991,herempn,590
111,991,mwtempn,227
112,991,othempn,205
113,991,retempn,96
114,975,agrempn,2
115,979,agrempn,4
116,975,fpsempn,75
117,979,fpsempn,171
118,975,herempn,85
119,979,herempn,192
120,975,mwtempn,33
