A,B,Parallel_Corridor
3159,3462,EastBay_InnerBBApproach80580880_PM
3161,3106,EastBay_InnerBBApproach80580880_PM
3161,3462,EastBay_InnerBBApproach80580880_AM
3171,3172,EastBay_InnerBBApproach80580880_AM
3171,12107,EastBay_InnerBBApproach80580880_PM
3172,2946,EastBay_InnerBBApproach80580880_AM
3181,3842,EastBay_880680_AM
3181,12057,EastBay_880680_PM
3186,3913,EastBay_InnerBBApproach80580880_AM
3193,3194,EastBay_InnerBBApproach80580880_AM
3193,3461,EastBay_InnerBBApproach80580880_PM
3194,3193,EastBay_InnerBBApproach80580880_PM
3195,3200,EastBay_InnerBBApproach80580880_AM
3197,3108,EastBay_InnerBBApproach80580880_PM
3197,3464,EastBay_InnerBBApproach80580880_AM
3198,3199,EastBay_InnerBBApproach80580880_AM
3198,3464,EastBay_InnerBBApproach80580880_PM
3199,3198,EastBay_InnerBBApproach80580880_PM
3199,3201,EastBay_InnerBBApproach80580880_AM
3200,3195,EastBay_InnerBBApproach80580880_PM
3200,3203,EastBay_InnerBBApproach80580880_AM
3201,3199,EastBay_InnerBBApproach80580880_PM
3201,3204,EastBay_InnerBBApproach80580880_AM
3203,3200,EastBay_InnerBBApproach80580880_PM
3203,3205,EastBay_InnerBBApproach80580880_AM
3204,3201,EastBay_InnerBBApproach80580880_PM
3204,3208,EastBay_InnerBBApproach80580880_AM
3205,3203,EastBay_InnerBBApproach80580880_PM
3205,3206,EastBay_InnerBBApproach80580880_AM
3206,3205,EastBay_InnerBBApproach80580880_PM
3206,3207,EastBay_InnerBBApproach80580880_AM
3206,3214,EastBay_InnerBBApproach80580880_AM
3207,3206,EastBay_InnerBBApproach80580880_PM
3207,3209,EastBay_InnerBBApproach80580880_AM
3208,3204,EastBay_InnerBBApproach80580880_PM
3208,3210,EastBay_InnerBBApproach80580880_AM
3209,3207,EastBay_InnerBBApproach80580880_PM
3209,3216,EastBay_InnerBBApproach80580880_AM
3210,3208,EastBay_InnerBBApproach80580880_PM
3210,3211,EastBay_InnerBBApproach80580880_AM
3211,3210,EastBay_InnerBBApproach80580880_PM
3213,2811,EastBay_InnerBBApproach80580880_AM
3213,3214,EastBay_InnerBBApproach80580880_PM
3214,3206,EastBay_InnerBBApproach80580880_PM
3214,3213,EastBay_InnerBBApproach80580880_AM
3216,2818,EastBay_InnerBBApproach80580880_AM
3216,3209,EastBay_InnerBBApproach80580880_PM
3222,3646,EastBay_880680_AM
3222,3647,EastBay_880680_PM
3223,3647,EastBay_880680_AM
3223,3648,EastBay_880680_PM
3242,3286,EastBay_880680_PM
3242,3741,EastBay_880680_AM
3286,3242,EastBay_880680_AM
3286,3290,EastBay_880680_PM
3288,3841,EastBay_InnerBBApproach80580880_AM
3290,3286,EastBay_880680_AM
3290,3728,EastBay_880680_PM
3307,3385,EastBay_Inner580_PM
3307,3388,EastBay_Inner580_AM
3311,3841,EastBay_InnerBBApproach80580880_PM
3317,3391,EastBay_InnerBBApproach80580880_PM
3317,3461,EastBay_InnerBBApproach80580880_AM
3318,3320,EastBay_InnerBBApproach80580880_PM
3318,3391,EastBay_InnerBBApproach80580880_AM
3320,3318,EastBay_InnerBBApproach80580880_AM
3320,3321,EastBay_InnerBBApproach80580880_PM
3321,3320,EastBay_InnerBBApproach80580880_AM
3321,3322,EastBay_InnerBBApproach80580880_PM
3322,3321,EastBay_InnerBBApproach80580880_AM
3322,3468,EastBay_InnerBBApproach80580880_PM
3328,3468,EastBay_880680_PM
3328,3471,EastBay_880680_AM
3330,3346,EastBay_Inner580_PM
3330,3467,EastBay_880680_PM
3332,3341,EastBay_Inner580_PM
3332,3342,EastBay_Inner580_AM
3336,3340,EastBay_Inner580_AM
3339,3340,EastBay_Inner580_PM
3339,3349,EastBay_Inner580_AM
3340,3336,EastBay_Inner580_PM
3340,3339,EastBay_Inner580_AM
3341,3332,EastBay_Inner580_AM
3341,12116,EastBay_Inner580_PM
3342,3332,EastBay_Inner580_PM
3342,3344,EastBay_Inner580_AM
3343,4389,SouthBay_Outer10187_PM
3344,3342,EastBay_Inner580_PM
3344,3347,EastBay_Inner580_AM
3345,3368,EastBay_880680_AM
3345,3472,EastBay_Inner580_AM
3346,3330,EastBay_Inner580_AM
3346,12114,EastBay_Inner580_PM
3347,3344,EastBay_Inner580_PM
3347,3470,EastBay_Inner580_AM
3348,3077,EastBay_Inner580_AM
3348,3349,EastBay_Inner580_PM
3349,3339,EastBay_Inner580_PM
3349,3348,EastBay_Inner580_AM
3358,3389,EastBay_880680_AM
3358,3499,EastBay_880680_PM
3359,3389,EastBay_880680_AM
3359,3516,EastBay_880680_PM
3367,3371,EastBay_880680_AM
3367,3471,EastBay_880680_PM
3368,3345,EastBay_880680_PM
3368,3499,EastBay_Inner580_PM
3369,3483,EastBay_Inner580_PM
3371,3367,EastBay_880680_PM
3371,3516,EastBay_880680_AM
3379,3384,EastBay_880680_PM
3379,3398,EastBay_880680_AM
3383,3384,EastBay_880680_AM
3383,3389,EastBay_880680_PM
3384,3379,EastBay_880680_AM
3384,3383,EastBay_880680_PM
3385,3307,EastBay_Inner580_AM
3385,12123,EastBay_Inner580_AM
3388,3307,EastBay_Inner580_PM
3388,3483,EastBay_Inner580_AM
3389,3358,EastBay_880680_PM
3389,3359,EastBay_880680_PM
3389,3383,EastBay_880680_AM
3391,3317,EastBay_InnerBBApproach80580880_AM
3391,3318,EastBay_InnerBBApproach80580880_PM
3398,3379,EastBay_880680_PM
3398,3405,EastBay_880680_AM
3405,3398,EastBay_880680_PM
3405,3530,EastBay_880680_AM
3406,3455,EastBay_Inner580_AM
3406,3475,EastBay_Inner580_PM
3424,3559,EastBay_Outer580_PM
3425,3436,EastBay_880680_PM
3425,3519,EastBay_880680_AM
3427,3446,EastBay_Inner580_PM
3436,3425,EastBay_880680_AM
3436,3494,EastBay_880680_PM
3439,3440,EastBay_Inner580_PM
3439,3446,EastBay_Inner580_AM
3440,3439,EastBay_Inner580_AM
3440,3494,EastBay_Outer580_PM
3446,3427,EastBay_Inner580_AM
3446,3439,EastBay_Inner580_PM
3450,3520,EastBay_Outer580_AM
3450,12132,EastBay_Outer580_PM
3454,12124,EastBay_Inner580_PM
3455,3406,EastBay_Inner580_PM
3455,12124,EastBay_Inner580_AM
3458,3150,EastBay_Inner580_AM
3458,3151,EastBay_Inner580_PM
3461,3193,EastBay_InnerBBApproach80580880_AM
3461,3317,EastBay_InnerBBApproach80580880_PM
3462,3159,EastBay_InnerBBApproach80580880_AM
3462,3161,EastBay_InnerBBApproach80580880_PM
3463,3122,EastBay_Inner580_AM
3463,3123,EastBay_Inner580_PM
3464,3197,EastBay_InnerBBApproach80580880_PM
3464,3198,EastBay_InnerBBApproach80580880_AM
3465,3093,EastBay_Inner580_PM
3465,3111,EastBay_Inner580_AM
3466,3092,EastBay_Inner580_PM
3466,3115,EastBay_Inner580_AM
3467,3041,EastBay_880680_PM
3467,3330,EastBay_880680_AM
3468,3322,EastBay_InnerBBApproach80580880_AM
3468,3328,EastBay_880680_AM
3470,3076,EastBay_Inner580_AM
3470,3347,EastBay_Inner580_PM
3471,3328,EastBay_880680_PM
3471,3367,EastBay_880680_AM
3472,3345,EastBay_Inner580_PM
3472,12114,EastBay_Inner580_AM
3475,3406,EastBay_Inner580_AM
3475,12129,EastBay_Inner580_PM
3483,3369,EastBay_Inner580_AM
3483,3388,EastBay_Inner580_PM
3492,3507,EastBay_Outer580_AM
3492,3532,EastBay_Outer580_PM
3494,3436,EastBay_880680_AM
3494,3440,EastBay_Outer580_AM
3497,2796,EastBay_Inner580_AM
3497,3508,EastBay_Outer580_PM
3497,3571,EastBay_Outer580_AM
3499,3358,EastBay_880680_AM
3499,3368,EastBay_Inner580_AM
3505,3532,EastBay_Outer580_PM
3506,12132,EastBay_Outer580_AM
3506,12134,EastBay_Outer580_PM
3507,3492,EastBay_Outer580_PM
3507,3509,EastBay_Outer580_AM
3508,3497,EastBay_Outer580_AM
3508,3509,EastBay_Outer580_PM
3509,3507,EastBay_Outer580_PM
3509,3508,EastBay_Outer580_AM
3515,3573,EastBay_880680_PM
3516,3359,EastBay_880680_AM
3516,3371,EastBay_880680_PM
3519,3425,EastBay_880680_PM
3519,3566,EastBay_880680_AM
3520,3450,EastBay_Outer580_PM
3520,3566,EastBay_Outer580_AM
3521,3524,EastBay_Outer580_PM
3521,3527,EastBay_Outer580_AM
3524,3521,EastBay_Outer580_AM
3524,3579,EastBay_880680_AM
3527,3521,EastBay_Outer580_PM
3527,3566,EastBay_Outer580_AM
3530,3405,EastBay_880680_PM
3530,3573,EastBay_880680_AM
3531,3592,EastBay_880680_AM
3532,3492,EastBay_Outer580_AM
3532,3505,EastBay_Outer580_AM
3535,1638,Periphery_SR4_PM
3535,8051,Periphery_SR4_AM
3540,3592,EastBay_880680_PM
3540,3645,EastBay_880680_AM
3545,3553,EastBay_880680_AM
3545,3580,EastBay_880680_PM
3546,3547,EastBay_880680_AM
3546,3553,EastBay_880680_PM
3547,3546,EastBay_880680_PM
3547,3548,EastBay_880680_AM
3548,3547,EastBay_880680_PM
3548,3549,EastBay_880680_AM
3549,3548,EastBay_880680_PM
3549,12136,EastBay_880680_AM
3553,3545,EastBay_880680_PM
3553,3546,EastBay_880680_AM
3557,3561,EastBay_880680_PM
3557,3875,EastBay_880680_AM
3559,3424,EastBay_Outer580_AM
3559,3589,EastBay_Outer580_PM
3561,3557,EastBay_880680_AM
3561,3574,EastBay_880680_PM
3566,3519,EastBay_880680_PM
3566,3520,EastBay_Outer580_PM
3566,3527,EastBay_Outer580_PM
3566,3589,EastBay_Outer580_AM
3571,3497,EastBay_Outer580_PM
3573,3515,EastBay_880680_AM
3573,3530,EastBay_880680_PM
3574,3561,EastBay_880680_AM
3574,3923,EastBay_880680_PM
3579,3524,EastBay_880680_PM
3579,3580,EastBay_880680_AM
3580,3545,EastBay_880680_AM
3580,3579,EastBay_880680_PM
3588,5771,SouthBay_Outer280680_AM
3589,3559,EastBay_Outer580_AM
3589,3566,EastBay_Outer580_PM
3590,3664,EastBay_880680_PM
3590,4464,SouthBay_Inner_AM
3592,3531,EastBay_880680_PM
3592,3540,EastBay_880680_AM
3618,3645,EastBay_880680_PM
3618,3648,EastBay_880680_AM
3622,3623,EastBay_880680_PM
3622,3876,EastBay_880680_AM
3623,3622,EastBay_880680_AM
3623,3626,EastBay_880680_PM
3626,3623,EastBay_880680_AM
3626,3864,EastBay_880680_PM
3631,3864,EastBay_880680_AM
3631,3885,EastBay_880680_PM
3645,3540,EastBay_880680_PM
3645,3618,EastBay_880680_AM
3646,3222,EastBay_880680_PM
3646,3660,EastBay_880680_AM
3647,3222,EastBay_880680_AM
3647,3223,EastBay_880680_PM
3648,3223,EastBay_880680_AM
3648,3618,EastBay_880680_PM
3660,3646,EastBay_880680_PM
3660,3683,EastBay_880680_AM
3664,3590,EastBay_880680_AM
3672,12044,EastBay_880680_PM
3683,3070,EastBay_880680_AM
3683,3660,EastBay_880680_PM
3684,3070,EastBay_880680_PM
3684,12180,EastBay_880680_AM
3694,3088,EastBay_880680_AM
3694,12136,EastBay_880680_PM
3713,8774,Periphery_580_PM
3713,15969,Periphery_580_AM
3716,3139,EastBay_880680_AM
3716,3717,EastBay_880680_PM
3717,3716,EastBay_880680_AM
3717,12180,EastBay_880680_PM
3721,3732,EastBay_880680_PM
3721,3733,EastBay_880680_AM
3722,3088,EastBay_880680_PM
3727,3094,EastBay_Inner580_PM
3727,12092,EastBay_Inner580_AM
3728,3139,EastBay_880680_PM
3728,3290,EastBay_880680_AM
3729,3114,EastBay_880680_PM
3729,12057,EastBay_880680_AM
3732,3721,EastBay_880680_AM
3733,3721,EastBay_880680_PM
3733,3734,EastBay_880680_AM
3734,3733,EastBay_880680_PM
3734,20368,EastBay_880680_AM
3741,3242,EastBay_880680_PM
3741,12185,EastBay_880680_AM
3743,3754,EastBay_880680_AM
3743,3790,EastBay_880680_PM
3752,3754,EastBay_880680_PM
3752,8753,EastBay_880680_AM
3753,3787,EastBay_880680_AM
3753,8753,EastBay_880680_PM
3754,3743,EastBay_880680_PM
3754,3752,EastBay_880680_AM
3758,3891,EastBay_880680_AM
3758,3892,EastBay_880680_PM
3770,3779,EastBay_880680_PM
3770,12031,EastBay_880680_AM
3771,12145,EastBay_880680_AM
3773,12025,EastBay_880680_PM
3773,12183,EastBay_880680_AM
3777,3910,EastBay_InnerBBApproach80580880_AM
3777,3913,EastBay_InnerBBApproach80580880_PM
3779,3770,EastBay_880680_AM
3779,12026,EastBay_880680_PM
3780,3781,EastBay_880680_PM
3780,12026,EastBay_880680_AM
3781,12145,EastBay_880680_PM
3783,12023,EastBay_880680_PM
3784,3785,EastBay_880680_PM
3784,12027,EastBay_880680_AM
3785,3784,EastBay_880680_AM
3785,3786,EastBay_880680_PM
3786,3785,EastBay_880680_AM
3786,12022,EastBay_880680_PM
3787,3753,EastBay_880680_PM
3787,12022,EastBay_880680_AM
3788,3908,EastBay_880680_PM
3788,12151,EastBay_880680_AM
3789,12152,EastBay_880680_PM
3790,3743,EastBay_880680_AM
3790,3842,EastBay_880680_PM
3811,2928,EastBay_880680_PM
3811,4009,EastBay_880680_AM
3841,3288,EastBay_InnerBBApproach80580880_PM
3841,3311,EastBay_InnerBBApproach80580880_AM
3842,3181,EastBay_880680_PM
3842,3790,EastBay_880680_AM
3864,3626,EastBay_880680_AM
3864,3631,EastBay_880680_PM
3875,3557,EastBay_880680_PM
3875,3893,EastBay_880680_AM
3876,3622,EastBay_880680_PM
3876,5766,EastBay_880680_AM
3885,3631,EastBay_880680_AM
3885,4009,EastBay_880680_PM
3891,3758,EastBay_880680_PM
3891,12007,EastBay_880680_AM
3892,3758,EastBay_880680_AM
3892,3893,EastBay_880680_PM
3893,3875,EastBay_880680_PM
3893,3892,EastBay_880680_AM
3900,3901,EastBay_880680_PM
3901,3900,EastBay_880680_AM
3901,12151,EastBay_880680_PM
3908,3788,EastBay_880680_AM
3908,12010,EastBay_880680_PM
3910,2804,EastBay_InnerBBApproach80580880_AM
3910,3777,EastBay_InnerBBApproach80580880_PM
3913,3186,EastBay_InnerBBApproach80580880_PM
3913,3777,EastBay_InnerBBApproach80580880_AM
3918,2775,EastBay_880680_PM
3918,12152,EastBay_880680_AM
3923,3574,EastBay_880680_AM
3923,12185,EastBay_880680_PM
3924,2928,EastBay_880680_AM
3924,3925,EastBay_880680_PM
3925,3924,EastBay_880680_AM
3925,12047,EastBay_880680_PM
3927,12031,EastBay_880680_PM
3927,12039,EastBay_880680_AM
3928,3957,EastBay_880680_PM
3928,12047,EastBay_880680_AM
3936,3940,EastBay_880680_AM
3936,12027,EastBay_880680_PM
3940,3936,EastBay_880680_PM
3940,12033,EastBay_880680_AM
3944,3964,EastBay_Outer580_AM
3944,3967,Periphery_580_PM
3957,3928,EastBay_880680_AM
3957,12033,EastBay_880680_PM
3964,3944,EastBay_Outer580_PM
3967,3944,Periphery_580_AM
3967,3980,Periphery_580_PM
3977,12225,Periphery_580_PM
3977,20438,Periphery_580_AM
3980,3967,Periphery_580_AM
3980,20438,Periphery_580_PM
3987,4038,Periphery_580_AM
3987,15969,Periphery_580_PM
3990,2981,Periphery_580_AM
3990,4072,Periphery_580_PM
3991,2981,Periphery_580_PM
4009,3811,EastBay_880680_PM
4009,3885,EastBay_880680_AM
4021,4504,Periphery_101SouthBay_AM
4021,11210,Periphery_101SouthBay_PM
4038,3987,Periphery_580_PM
4038,12225,Periphery_580_AM
4049,4063,Periphery_580_PM
4049,4071,Periphery_580_AM
4058,4063,Periphery_580_AM
4058,20328,Periphery_580_PM
4063,4049,Periphery_580_AM
4063,4058,Periphery_580_PM
4071,4049,Periphery_580_PM
4071,4072,Periphery_580_AM
4072,3990,Periphery_580_AM
4072,4071,Periphery_580_PM
4085,2972,Periphery_580_AM
4085,4091,Periphery_580_PM
4091,2973,Periphery_580_PM
4091,4085,Periphery_580_AM
4101,4503,Periphery_101SouthBay_AM
4101,15986,Periphery_101SouthBay_PM
4117,5050,SouthBay_Outer280680_AM
4117,12244,SouthBay_Outer280680_PM
4119,2937,Periphery_580_AM
4121,2937,Periphery_580_PM
4153,4154,Periphery_101SouthBay_AM
4153,4157,Periphery_101SouthBay_PM
4154,4153,Periphery_101SouthBay_PM
4154,15985,Periphery_101SouthBay_AM
4157,4153,Periphery_101SouthBay_AM
4157,4164,Periphery_101SouthBay_PM
4163,15986,Periphery_101SouthBay_AM
4164,4157,Periphery_101SouthBay_AM
4193,5651,SouthBay_Inner_PM
4193,5652,SouthBay_Inner_AM
4195,4196,SouthBay_Inner_PM
4195,5651,SouthBay_Inner_AM
4196,4195,SouthBay_Inner_AM
4196,12567,SouthBay_Inner_PM
4200,4218,Periphery_101SouthBay_AM
4200,12667,Periphery_101SouthBay_PM
4201,4202,Periphery_101SouthBay_PM
4201,11211,Periphery_101SouthBay_AM
4202,4201,Periphery_101SouthBay_AM
4202,4504,Periphery_101SouthBay_PM
4212,4214,Periphery_101SouthBay_PM
4212,4238,Periphery_101SouthBay_AM
4213,4472,SouthBay_Inner_PM
4213,4924,SouthBay_Inner_AM
4214,4212,Periphery_101SouthBay_AM
4214,4220,Periphery_101SouthBay_PM
4215,4216,Periphery_101SouthBay_PM
4215,20436,Periphery_101SouthBay_AM
4216,4215,Periphery_101SouthBay_AM
4216,4218,Periphery_101SouthBay_PM
4218,4200,Periphery_101SouthBay_PM
4218,4216,Periphery_101SouthBay_AM
4220,4214,Periphery_101SouthBay_AM
4220,4221,Periphery_101SouthBay_PM
4221,4220,Periphery_101SouthBay_AM
4221,4797,Periphery_101SouthBay_AM
4221,11211,Periphery_101SouthBay_PM
4238,4212,Periphery_101SouthBay_PM
4238,4246,Periphery_101SouthBay_AM
4239,11203,Periphery_101SouthBay_AM
4243,4262,Periphery_101SouthBay_AM
4243,4266,Periphery_101SouthBay_PM
4244,4262,Periphery_101SouthBay_PM
4244,4305,Periphery_101SouthBay_AM
4245,4246,Periphery_101SouthBay_PM
4245,4266,Periphery_101SouthBay_AM
4246,4238,Periphery_101SouthBay_PM
4246,4245,Periphery_101SouthBay_AM
4251,4253,SouthBay_Inner_PM
4251,5793,SouthBay_Inner_AM
4253,4251,SouthBay_Inner_AM
4253,5097,SouthBay_Inner_AM
4253,5674,SouthBay_Inner_AM
4253,5845,SouthBay_Inner_AM
4257,5704,SouthBay_Inner_PM
4257,5793,SouthBay_Inner_AM
4258,5704,SouthBay_Inner_AM
4258,5705,SouthBay_Inner_PM
4261,4263,Periphery_101SouthBay_PM
4261,11188,Periphery_101SouthBay_AM
4262,4243,Periphery_101SouthBay_PM
4262,4244,Periphery_101SouthBay_AM
4263,4261,Periphery_101SouthBay_AM
4263,4264,Periphery_101SouthBay_PM
4264,4263,Periphery_101SouthBay_AM
4264,4265,Periphery_101SouthBay_PM
4265,4264,Periphery_101SouthBay_AM
4265,4267,Periphery_101SouthBay_PM
4266,4243,Periphery_101SouthBay_AM
4266,4245,Periphery_101SouthBay_PM
4267,4265,Periphery_101SouthBay_AM
4267,4268,Periphery_101SouthBay_PM
4268,4267,Periphery_101SouthBay_AM
4268,11205,Periphery_101SouthBay_PM
4274,5677,SouthBay_Inner_AM
4274,5709,SouthBay_Inner_PM
4277,5693,SouthBay_Inner_PM
4277,20335,SouthBay_Inner_AM
4284,4463,SouthBay_Inner_PM
4284,5724,SouthBay_Inner_AM
4291,3343,SouthBay_Outer280680_AM
4291,5722,SouthBay_Outer280680_PM
4299,4392,SouthBay_Inner_AM
4305,4244,Periphery_101SouthBay_PM
4305,4315,Periphery_101SouthBay_AM
4310,4709,SouthBay_Outer10187_PM
4310,12668,SouthBay_Outer10187_PM
4313,4321,SouthBay_Outer10187_AM
4313,4356,SouthBay_Outer10187_PM
4315,4305,Periphery_101SouthBay_PM
4315,4316,SouthBay_Outer10187_AM
4316,4315,SouthBay_Outer10187_PM
4316,5497,SouthBay_Outer10187_AM
4317,6033,SouthBay_Outer10187_AM
4317,11188,SouthBay_Outer10187_PM
4318,4320,SouthBay_Outer10187_AM
4318,6033,SouthBay_Outer10187_PM
4319,4320,SouthBay_Outer10187_PM
4319,4356,SouthBay_Outer10187_AM
4320,4318,SouthBay_Outer10187_PM
4320,4319,SouthBay_Outer10187_AM
4321,4313,SouthBay_Outer10187_PM
4321,5375,SouthBay_Outer10187_PM
4328,4886,SouthBay_Inner_PM
4328,4898,SouthBay_Inner_AM
4338,5494,SouthBay_Outer10187_AM
4338,5497,SouthBay_Outer10187_PM
4343,4345,SouthBay_Outer10187_AM
4343,5494,SouthBay_Outer10187_PM
4344,12659,SouthBay_Outer10187_PM
4344,12709,SouthBay_Outer10187_AM
4345,4343,SouthBay_Outer10187_PM
4345,4349,SouthBay_Outer10187_AM
4349,4345,SouthBay_Outer10187_PM
4349,4681,SouthBay_Outer10187_AM
4350,4428,SouthBay_Outer10187_AM
4350,12709,SouthBay_Outer10187_PM
4352,4353,SouthBay_Outer10187_PM
4352,4354,SouthBay_Outer10187_AM
4353,4352,SouthBay_Outer10187_AM
4353,4453,SouthBay_Outer280680_PM
4354,4352,SouthBay_Outer10187_PM
4354,4443,SouthBay_Outer10187_AM
4355,5267,SouthBay_Inner_AM
4355,5289,SouthBay_Outer10187_PM
4356,4313,SouthBay_Outer10187_AM
4356,4319,SouthBay_Outer10187_PM
4361,4362,SouthBay_Outer280680_PM
4361,5221,SouthBay_Outer280680_PM
4361,5231,SouthBay_Outer280680_AM
4361,5721,SouthBay_Outer280680_AM
4362,4361,SouthBay_Outer280680_AM
4362,5728,SouthBay_Outer280680_PM
4363,4364,SouthBay_Outer280680_PM
4363,5728,SouthBay_Outer280680_AM
4364,4363,SouthBay_Outer280680_AM
4365,5723,SouthBay_Outer280680_AM
4365,5726,SouthBay_Outer280680_PM
4367,4368,SouthBay_Outer280680_PM
4367,5725,SouthBay_Outer280680_AM
4368,4367,SouthBay_Outer280680_AM
4368,5730,SouthBay_Outer280680_PM
4369,5801,SouthBay_Inner_AM
4369,5802,SouthBay_Inner_PM
4370,4371,SouthBay_Inner_AM
4370,4372,SouthBay_Inner_PM
4370,5096,SouthBay_Inner_PM
4370,5802,SouthBay_Inner_AM
4371,4370,SouthBay_Inner_PM
4371,4373,SouthBay_Inner_PM
4371,5786,SouthBay_Inner_AM
4372,4370,SouthBay_Inner_AM
4372,4390,SouthBay_Inner_PM
4373,4371,SouthBay_Inner_AM
4373,4391,SouthBay_Inner_PM
4382,5200,SouthBay_Outer280680_AM
4382,5237,SouthBay_Outer280680_PM
4383,4384,SouthBay_Outer280680_PM
4383,4399,SouthBay_Outer10187_AM
4383,4421,SouthBay_Outer280680_AM
4383,12501,SouthBay_Outer280680_AM
4383,12512,SouthBay_Outer280680_PM
4384,4383,SouthBay_Outer280680_AM
4384,4385,SouthBay_Outer10187_AM
4385,4384,SouthBay_Outer10187_PM
4385,4402,SouthBay_Outer10187_AM
4385,12512,SouthBay_Outer10187_PM
4388,5721,SouthBay_Outer280680_PM
4388,12244,SouthBay_Outer280680_AM
4389,3343,SouthBay_Outer10187_AM
4389,4865,SouthBay_Outer280680_AM
4390,4372,SouthBay_Inner_AM
4390,5804,SouthBay_Inner_PM
4391,4373,SouthBay_Inner_AM
4391,4392,SouthBay_Inner_PM
4392,4299,SouthBay_Inner_PM
4392,4391,SouthBay_Inner_AM
4392,5804,SouthBay_Inner_AM
4392,5806,SouthBay_Inner_PM
4396,4997,SouthBay_Outer10187_AM
4396,5366,SouthBay_Outer10187_PM
4399,4383,SouthBay_Outer10187_PM
4399,5366,SouthBay_Outer10187_AM
4401,4460,SouthBay_Inner_PM
4401,5804,SouthBay_Inner_AM
4402,4385,SouthBay_Outer10187_PM
4402,4740,SouthBay_Outer10187_AM
4410,4426,SouthBay_Outer10187_PM
4410,4467,SouthBay_Outer10187_AM
4411,4412,SouthBay_Outer10187_AM
4411,4414,SouthBay_Outer10187_PM
4412,4480,SouthBay_Outer10187_AM
4413,4451,SouthBay_Outer10187_AM
4413,4681,SouthBay_Outer10187_PM
4414,4411,SouthBay_Outer10187_AM
4414,4420,SouthBay_Outer10187_PM
4414,4426,SouthBay_Outer280680_PM
4416,4460,SouthBay_Inner_PM
4416,5770,EastBay_880680_PM
4416,5806,SouthBay_Outer280680_AM
4419,4421,SouthBay_Outer280680_PM
4419,4426,SouthBay_Outer280680_AM
4420,4414,SouthBay_Outer10187_AM
4420,4451,SouthBay_Outer280680_AM
4421,4383,SouthBay_Outer280680_PM
4421,4419,SouthBay_Outer280680_AM
4426,4410,SouthBay_Outer10187_AM
4426,4414,SouthBay_Outer280680_AM
4426,4419,SouthBay_Outer280680_PM
4426,5472,SouthBay_Outer10187_PM
4427,4428,SouthBay_Outer10187_PM
4427,12668,SouthBay_Outer10187_AM
4428,4350,SouthBay_Outer10187_PM
4428,4427,SouthBay_Outer10187_AM
4437,4439,SouthBay_Inner_PM
4437,4494,SouthBay_Inner_AM
4438,4439,SouthBay_Inner_PM
4438,4495,SouthBay_Outer10187_AM
4439,4437,SouthBay_Inner_AM
4439,4438,SouthBay_Inner_AM
4439,4440,SouthBay_Outer10187_PM
4440,4439,SouthBay_Outer10187_AM
4440,4508,SouthBay_Outer10187_AM
4440,4511,SouthBay_Outer10187_PM
4443,4354,SouthBay_Outer10187_PM
4443,4514,SouthBay_Outer280680_AM
4446,4447,SouthBay_Outer10187_AM
4446,4451,SouthBay_Outer10187_PM
4447,4446,SouthBay_Outer10187_PM
4447,4448,SouthBay_Outer10187_AM
4448,4447,SouthBay_Outer10187_PM
4448,4476,SouthBay_Outer10187_AM
4451,4413,SouthBay_Outer10187_PM
4451,4420,SouthBay_Outer280680_PM
4451,4446,SouthBay_Outer10187_AM
4451,4453,SouthBay_Outer280680_AM
4453,4353,SouthBay_Outer280680_AM
4453,4451,SouthBay_Outer280680_PM
4456,4457,SouthBay_Inner_PM
4456,4510,SouthBay_Inner_AM
4457,4456,SouthBay_Inner_AM
4460,4401,SouthBay_Inner_AM
4460,4416,SouthBay_Inner_AM
4460,5772,SouthBay_Inner_PM
4461,4468,SouthBay_Outer280680_PM
4461,4469,SouthBay_Outer280680_AM
4462,4467,SouthBay_Outer10187_PM
4462,4468,SouthBay_Outer10187_AM
4463,4284,SouthBay_Inner_AM
4463,5801,SouthBay_Inner_PM
4464,3590,SouthBay_Inner_PM
4464,5005,SouthBay_Inner_AM
4467,4410,SouthBay_Outer10187_PM
4467,4462,SouthBay_Outer10187_AM
4468,4461,SouthBay_Outer280680_AM
4468,4462,SouthBay_Outer10187_PM
4468,4493,SouthBay_Inner_AM
4468,4499,SouthBay_Outer280680_PM
4469,4461,SouthBay_Outer280680_PM
4469,4481,SouthBay_Inner_PM
4469,4500,SouthBay_Outer280680_AM
4469,4501,SouthBay_Inner_AM
4470,4471,SouthBay_Outer280680_AM
4470,4500,SouthBay_Outer280680_PM
4471,4470,SouthBay_Outer280680_PM
4471,4472,SouthBay_Outer280680_AM
4472,4213,SouthBay_Inner_AM
4472,4471,SouthBay_Outer280680_PM
4472,4473,SouthBay_Inner_PM
4472,4913,SouthBay_Outer280680_AM
4473,4472,SouthBay_Inner_AM
4473,4477,SouthBay_Outer10187_PM
4475,4495,SouthBay_Outer10187_PM
4475,4763,SouthBay_Outer10187_PM
4476,4448,SouthBay_Outer10187_PM
4476,4477,SouthBay_Outer10187_AM
4477,4473,SouthBay_Outer10187_AM
4477,4476,SouthBay_Outer10187_PM
4480,4412,SouthBay_Outer10187_PM
4480,4481,SouthBay_Outer10187_AM
4481,4469,SouthBay_Inner_AM
4481,4480,SouthBay_Outer10187_PM
4487,4493,SouthBay_Inner_PM
4487,5021,SouthBay_Inner_AM
4488,4494,SouthBay_Outer10187_PM
4488,4763,SouthBay_Inner_AM
