A,B,Parallel_Corridor
2108,1728,Periphery_SR4_AM
2123,2060,Periphery_SR4_AM
2177,2479,EastBay_Outer80_AM
2209,2225,EastBay_Outer80_PM
2209,2233,EastBay_Outer80_AM
2225,2209,EastBay_Outer80_AM
2225,2230,EastBay_Outer80_PM
2228,2229,EastBay_Outer80_AM
2228,2237,EastBay_Outer80_PM
2229,2228,EastBay_Outer80_PM
2229,2436,EastBay_Outer80_AM
2230,2225,EastBay_Outer80_AM
2230,2234,EastBay_Outer80_PM
2233,2209,EastBay_Outer80_PM
2233,2237,EastBay_Outer80_AM
2234,2230,EastBay_Outer80_AM
2234,2479,EastBay_Outer80_PM
2237,2228,EastBay_Outer80_AM
2237,2233,EastBay_Outer80_PM
2239,2435,EastBay_Outer80_AM
2239,2437,EastBay_Outer80_PM
2244,2249,EastBay_Outer80_AM
2244,2435,EastBay_Outer80_PM
2249,2244,EastBay_Outer80_PM
2249,11577,EastBay_Outer80_AM
2252,2279,EastBay_Outer80_AM
2268,11558,EastBay_Outer80_AM
2268,11577,EastBay_Outer80_PM
2269,2274,EastBay_Outer80_AM
2269,11558,EastBay_Outer80_PM
2270,2274,EastBay_Outer80_PM
2270,11562,EastBay_Outer80_AM
2272,2311,EastBay_Outer80_AM
2272,11564,EastBay_Outer80_PM
2273,11508,EastBay_Outer80_PM
2273,11538,EastBay_Outer80_AM
2274,2269,EastBay_Outer80_PM
2274,2270,EastBay_Outer80_AM
2279,2252,EastBay_Outer80_PM
2279,2398,EastBay_Outer80_AM
2305,2310,EastBay_Outer80_PM
2305,2395,EastBay_Outer80_AM
2310,2305,EastBay_Outer80_AM
2310,11535,EastBay_Outer80_PM
2311,1931,EastBay_Outer80_AM
2311,2272,EastBay_Outer80_PM
2315,2491,EastBay_Outer80_AM
2316,2404,EastBay_Outer80_PM
2316,2418,EastBay_Outer80_AM
2331,2333,EastBay_Outer80_AM
2333,2331,EastBay_Outer80_PM
2333,2404,EastBay_Outer80_AM
2334,2401,EastBay_Outer80_PM
2334,2407,EastBay_Outer80_AM
2335,2418,EastBay_Outer80_PM
2335,2431,EastBay_Outer80_AM
2392,1657,Periphery_SR4_AM
2392,1689,Periphery_SR4_PM
2394,2491,EastBay_Outer80_PM
2394,2497,EastBay_Outer80_AM
2395,2305,EastBay_Outer80_PM
2395,2401,EastBay_Outer80_AM
2398,2279,EastBay_Outer80_PM
2398,12198,EastBay_Outer80_AM
2401,2334,EastBay_Outer80_AM
2401,2395,EastBay_Outer80_PM
2404,2316,EastBay_Outer80_AM
2404,2333,EastBay_Outer80_PM
2407,2334,EastBay_Outer80_PM
2407,2412,EastBay_Outer80_AM
2408,2412,EastBay_Outer80_PM
2408,11544,EastBay_Outer80_AM
2410,2413,EastBay_Outer80_PM
2410,2433,EastBay_Outer80_AM
2411,2413,EastBay_Outer80_AM
2412,2407,EastBay_Outer80_PM
2412,2408,EastBay_Outer80_AM
2413,2410,EastBay_Outer80_AM
2413,2411,EastBay_Outer80_PM
2414,2427,EastBay_Outer80_AM
2414,11544,EastBay_Outer80_PM
2415,2087,EastBay_68024980_AM
2415,11568,EastBay_68024980_PM
2417,1672,EastBay_Outer80_AM
2418,2316,EastBay_Outer80_PM
2418,2335,EastBay_Outer80_AM
2427,2414,EastBay_Outer80_PM
2427,2430,EastBay_Outer80_AM
2429,2492,EastBay_Outer80_AM
2430,2427,EastBay_Outer80_PM
2431,2335,EastBay_Outer80_PM
