N,X,Y,latitude,longitude
1,552969.25000,4183031.29228,37.79311287,-122.39837600
2,552652.00000,4182953.00000,37.79242559,-122.40198500
3,552346.75000,4182827.01959,37.79130771,-122.40546000
4,552708.06250,4182682.50013,37.78998441,-122.40136800
5,552351.56250,4182513.20475,37.78847910,-122.40542900
6,551741.25000,4182522.01780,37.78859330,-122.41235900
7,551858.93750,4182322.89508,37.78679199,-122.41103700
8,551805.43750,4181956.03800,37.78348863,-122.41167100
9,551330.18750,4181594.73935,37.78025915,-122.41709300
10,551583.12500,4181244.55759,37.77708880,-122.41424600
11,552127.81250,4181800.40166,37.78206758,-122.40802100
12,552633.62500,4182364.58338,37.78712341,-122.40223600
13,552892.12500,4182595.25867,37.78918749,-122.39928400
14,553120.00000,4182825.93396,37.79125328,-122.39667900
15,553442.37500,4182964.89497,37.79248689,-122.39300700
16,553386.12500,4182535.15803,37.78861708,-122.39367800
17,553605.93750,4181982.99283,37.78362770,-122.39122200
18,552984.00000,4181429.00000,37.77867099,-122.39832500
19,552356.00000,4180827.70818,37.77328789,-122.40550000
20,552034.31250,4181014.98558,37.77499415,-122.40913900
21,552671.06250,4181662.74504,37.78079576,-122.40186200
22,553063.25000,4183453.99825,37.79691714,-122.39727700
23,552800.18750,4183914.80506,37.80108551,-122.40023100
24,552601.75000,4183359.36418,37.79609093,-122.40252600
25,552256.81250,4183303.67060,37.79560879,-122.40644800
26,552285.56250,4183085.81037,37.79364362,-122.40613700
27,552059.06250,4183246.27231,37.79510276,-122.40869800
28,551742.31250,4183022.93724,37.79310790,-122.41231100
29,551802.68750,4182809.85735,37.79118405,-122.41164100
30,551257.00000,4182201.00000,37.78572735,-122.41788100
31,551173.68750,4182483.97046,37.78828236,-122.41880700
32,551182.81250,4182814.41521,37.79126007,-122.41868000
33,551130.37500,4183208.66998,37.79481633,-122.41924800
34,551062.00000,4183559.62509,37.79798323,-122.42000000
35,551580.12500,4183408.41558,37.79659129,-122.41412600
