SAMPN,TYP_WKDY_WGT
3008411,181.9750598
1369076,394.7693417
1732523,802.1481402
3008336,262.8906993
1478428,241.6902624
1512672,136.1778156
1730035,136.1778156
1762523,136.1778156
1846953,136.1778156
1911786,136.1778156
7179448,136.1778156
3008434,368.0111178
1465250,198.0711055
1379449,102.6011592
1687430,102.6011592
1757278,102.6011592
1769165,102.6011592
3007943,102.6011592
3008783,102.6011592
7179185,102.6011592
1699298,277.2725287
7014385,87.81000895
1764809,268.5220286
1166704,246.8674613
1420334,246.8674613
1693188,246.8674613
7190201,246.8674613
1852122,139.0948535
1413590,61
3008116,247.7059759
3008814,118.7303536
3008934,118.7303536
3008858,193.6644451
1492549,88.84975897
3007928,76.04103296
1376411,127.074791
3008862,127.074791
1846654,144.9253603
3008442,144.9253603
1043613,124.0326842
3008623,294.2597361
1758296,104.1765481
3008828,104.1765481
1699274,61
1699613,61
1942376,61
7210518,61
3008092,66.94253556
3008183,66.94253556
3008502,66.94253556
7190234,66.94253556
1911992,169.9253205
1425822,95.74262007
1721165,95.74262007
3008791,95.74262007
1460247,109.1918672
1522524,109.1918672
1743363,109.1918672
2475731,109.1918672
3008885,109.1918672
7179411,295.0834607
3007961,93.45058975
1479418,166.3732554
1165383,141.2305846
1489472,141.2305846
1738808,141.2305846
1727902,306.3799237
1050783,230.3652097
1158464,230.3652097
2444421,230.3652097
3008859,230.3652097
1180392,129.7968348
1504768,129.7968348
1688099,129.7968348
3008048,129.7968348
3008799,129.7968348
1744573,148.0297776
1892022,148.0297776
7179168,148.0297776
1984183,263.5424351
3008769,263.5424351
3008673,101.0254614
1746297,61
1742107,109.3544625
1401492,311.4073201
1493570,363.7491459
7179330,96.88063804
3008529,110.4897459
3008473,72.49891102
1173654,82.68304607
1377028,82.68304607
1403747,134.8666601
3007878,134.8666601
7179288,104.9714855
7178966,62.29631702
1507560,101.6132885
1696229,101.6132885
3008280,101.6132885
7179246,101.6132885
3008729,95.334769
3007917,206.8153958
7210493,176.5747958
1416042,74.05189575
1167932,84.45418312
1761539,120.7881461
3008822,245.2509894
3008677,247.0180633
1121901,154.040814
3008208,71.15305869
3008446,66.75662717
7179405,221.0899357
1457273,150.1136459
3008668,137.9607409
7178895,550.9072759
7178809,65.61500528
1751340,107.026495
3008681,201.0813954
7190131,104.1604943
3008665,148.9725262
1697060,169.8991347
1713709,169.8991347
7190185,345.798835
7179019,77.94666263
1676881,127.1410108
1746621,127.1410108
1769580,127.1410108
7178984,127.1410108
7210408,127.1410108
1679624,108.8121556
3007939,322.3599261
7179390,194.4992882
1777834,222.1514839
1753402,264.0724093
7190143,61
1678146,89.05219403
3008047,1201.897814
1804618,929.9962149
3008730,929.9962149
7179128,929.9962149
1498957,61
3008882,240.5034577
7179502,240.5034577
3007888,92.82876186
1485619,3000
3008093,1756.707744
1382973,61
1514671,1692.676678
3008201,61
7178928,848.5674342
1732722,208.5268659
7179172,384.2541158
1180182,1062.214886
1538822,1018.070215
3008087,639.3591397
7178838,63.8184504
1727500,327.3706228
1710974,540.9603069
7179473,540.9603069
7179499,521.2425906
1404071,61
3007983,61
3008722,61
1170681,223.3270399
3008192,3000
3008464,2733.857091
1498075,61
2015367,486.317841
1470082,66.6850697
1521158,61
3008212,61
1416533,693.8855102
1180223,251.3121017
1347439,276.7536153
7179196,61
1351846,583.9621919
3008050,1726.426193
1501118,1415
1537237,430.0818005
1720238,430.0818005
1702812,222.7830817
1839730,222.7830817
3007241,955.2633915
1736695,93.77406504
2378988,61
3006397,61
1838298,347.3157802
1749243,63.94347449
7177538,61
1486655,61
1508414,61
1713693,61
2014949,61
3006497,61
1478684,236.8307028
1362586,75.00240372
1532640,75.00240372
1685763,1208.486053
7178328,118.6318357
1143062,109.0649444
1537087,109.0649444
3006244,109.0649444
1728844,779.8225928
1715079,61.45148648
1709980,337.3054172
1362225,1095.418584
1749802,879.3404996
3004835,61
3006012,88.7239794
3006354,88.7239794
1409690,101.1872975
1675891,101.1872975
2404351,101.1872975
3007434,81.66203688
1728851,61
7177920,61
7189908,61
2458679,107.3760169
1336408,68.99847386
1717606,68.99847386
3006647,68.99847386
3004828,156.2382242
1179615,140.0960651
1365053,276.5489313
3006470,68.8131416
7177433,68.8131416
1485142,78.47952578
3006181,78.47952578
7189881,199.2105387
