"TAZ1454","hispanic","white_nonh","black_nonh","asian_nonh","other_nonh","TOTPOP","COUNTY","County_Name"
1,9,19,0,33,3,64,1,"San Francisco"
2,45,96,0,164,15,320,1,"San Francisco"
3,71,151,0,257,24,503,1,"San Francisco"
4,14,24,7,37,3,85,1,"San Francisco"
5,134,227,69,356,24,810,1,"San Francisco"
6,797,1837,123,1056,136,3949,1,"San Francisco"
7,1201,1827,353,1417,212,5010,1,"San Francisco"
8,1928,1948,914,3407,429,8626,1,"San Francisco"
9,2110,3105,757,2474,604,9050,1,"San Francisco"
10,994,1110,428,1545,248,4325,1,"San Francisco"
11,451,1118,399,2054,133,4155,1,"San Francisco"
12,121,612,0,503,0,1236,1,"San Francisco"
13,1,7,0,6,0,14,1,"San Francisco"
14,26,135,0,110,0,271,1,"San Francisco"
15,37,185,0,152,0,374,1,"San Francisco"
16,371,2022,172,1793,92,4450,1,"San Francisco"
17,434,3929,134,2658,392,7547,1,"San Francisco"
18,149,767,193,445,147,1701,1,"San Francisco"
19,129,343,162,172,46,852,1,"San Francisco"
20,718,1353,485,1045,322,3923,1,"San Francisco"
21,381,1450,251,2634,90,4806,1,"San Francisco"
22,116,941,145,527,90,1819,1,"San Francisco"
23,173,342,100,137,140,892,1,"San Francisco"
24,9,66,0,434,19,528,1,"San Francisco"
25,7,196,37,3754,60,4054,1,"San Francisco"
26,38,160,1,1349,8,1556,1,"San Francisco"
27,44,595,67,2116,54,2876,1,"San Francisco"
28,163,1896,130,1092,94,3375,1,"San Francisco"
29,662,2678,112,1659,244,5355,1,"San Francisco"
30,2276,2923,812,1562,505,8078,1,"San Francisco"
31,434,1594,187,1435,264,3914,1,"San Francisco"
32,310,3104,259,1055,120,4848,1,"San Francisco"
33,284,2523,88,2070,33,4998,1,"San Francisco"
34,58,3075,67,1114,122,4436,1,"San Francisco"
35,542,2392,0,1812,181,4927,1,"San Francisco"
36,294,1062,4,4319,60,5739,1,"San Francisco"
37,122,1065,47,2022,39,3295,1,"San Francisco"
38,543,2481,1,1287,304,4616,1,"San Francisco"
39,405,2423,0,1446,104,4378,1,"San Francisco"
40,134,3595,34,486,97,4346,1,"San Francisco"
41,279,1867,135,1553,144,3978,1,"San Francisco"
42,871,713,439,314,236,2573,1,"San Francisco"
43,409,4310,70,592,39,5420,1,"San Francisco"
44,358,4867,99,715,307,6346,1,"San Francisco"
45,205,4067,2,571,195,5040,1,"San Francisco"
46,517,4859,122,1092,195,6785,1,"San Francisco"
47,102,1697,71,629,101,2600,1,"San Francisco"
48,234,2797,58,696,202,3987,1,"San Francisco"
49,169,2980,144,634,107,4034,1,"San Francisco"
50,550,3608,80,334,163,4735,1,"San Francisco"
51,197,2849,92,320,187,3645,1,"San Francisco"
52,397,3261,13,206,247,4124,1,"San Francisco"
53,3,177,2,33,17,232,1,"San Francisco"
54,285,2885,165,3369,356,7060,1,"San Francisco"
55,164,1619,21,1550,504,3858,1,"San Francisco"
56,3,48,16,30,2,99,1,"San Francisco"
57,103,1804,0,453,137,2497,1,"San Francisco"
58,293,1985,274,2609,237,5398,1,"San Francisco"
59,534,2794,58,4190,456,8032,1,"San Francisco"
60,302,1651,21,1960,117,4051,1,"San Francisco"
61,216,1728,0,1964,430,4338,1,"San Francisco"
62,379,3639,275,2472,356,7121,1,"San Francisco"
63,306,2252,53,2700,349,5660,1,"San Francisco"
64,577,2932,263,2666,661,7099,1,"San Francisco"
65,466,3055,12,1839,252,5624,1,"San Francisco"
66,277,2474,57,1678,133,4619,1,"San Francisco"
67,477,2508,106,1900,142,5133,1,"San Francisco"
68,311,1535,68,1111,206,3231,1,"San Francisco"
69,1086,4159,333,1999,729,8306,1,"San Francisco"
70,315,3600,97,1355,422,5789,1,"San Francisco"
71,290,3173,96,658,297,4514,1,"San Francisco"
72,244,1185,153,365,106,2053,1,"San Francisco"
73,241,2634,231,1089,100,4295,1,"San Francisco"
74,296,1946,116,1292,124,3774,1,"San Francisco"
75,238,1379,4,728,124,2473,1,"San Francisco"
76,228,1249,183,966,192,2818,1,"San Francisco"
77,488,1639,301,1780,139,4347,1,"San Francisco"
78,315,1173,1951,1640,478,5557,1,"San Francisco"
79,270,1918,143,815,95,3241,1,"San Francisco"
80,469,2471,642,720,283,4585,1,"San Francisco"
81,1276,4131,336,844,270,6857,1,"San Francisco"
82,337,2126,137,404,134,3138,1,"San Francisco"
83,269,3145,29,513,157,4113,1,"San Francisco"
84,550,3721,214,352,158,4995,1,"San Francisco"
85,413,2286,380,459,201,3739,1,"San Francisco"
86,727,3640,1540,1051,499,7457,1,"San Francisco"
87,629,3568,363,639,352,5551,1,"San Francisco"
88,420,4105,235,775,312,5847,1,"San Francisco"
89,484,5583,225,636,427,7355,1,"San Francisco"
90,421,2715,79,1126,441,4782,1,"San Francisco"
91,411,3231,74,944,260,4920,1,"San Francisco"
92,296,1129,245,645,194,2509,1,"San Francisco"
93,960,5228,155,1226,368,7937,1,"San Francisco"
94,181,2332,67,340,90,3010,1,"San Francisco"
95,384,2074,41,364,213,3076,1,"San Francisco"
96,236,1832,12,355,157,2592,1,"San Francisco"
97,472,2640,9,555,132,3808,1,"San Francisco"
98,447,2991,24,520,265,4247,1,"San Francisco"
99,950,2959,136,505,256,4806,1,"San Francisco"
100,2316,1576,84,677,133,4786,1,"San Francisco"
101,2241,2472,146,997,394,6250,1,"San Francisco"
102,760,3209,68,599,355,4991,1,"San Francisco"
103,324,3615,120,532,361,4952,1,"San Francisco"
104,417,2209,112,431,216,3385,1,"San Francisco"
105,1151,2953,414,1078,499,6095,1,"San Francisco"
106,2536,1919,346,881,275,5957,1,"San Francisco"
107,601,717,68,417,240,2043,1,"San Francisco"
108,131,365,59,378,36,969,1,"San Francisco"
109,1225,3070,547,3331,314,8487,1,"San Francisco"
110,404,856,183,1062,111,2616,1,"San Francisco"
