"NAME","B01001_032E","B01001_033E","B01001_034E","B01001_035E","B01001_036E","B01001_037E","B01001_038E","B01001_039E","B01001_040E","B01001_041E","B01001_042E","B01001_043E","B01001_044E","B01001_045E","B01001_046E","B01001_047E","B01001_048E","B01001_049E","B25024_002E","B25024_003E","B25024_004E","B25024_005E","B25024_006E","B25024_007E","B25024_008E","B25024_009E","B25024_010E","B25024_011E","B25009_003E","B25009_004E","B25009_005E","B25009_006E","B25009_007E","B25009_008E","B25009_009E","B25009_011E","B25009_012E","B25009_013E","B25009_014E","B25009_015E","B25009_016E","B25009_017E","state","county","tract","block group"
"Block Group 1, Census Tract 4371.02, Alameda County, California",10,0,46,20,39,63,53,48,50,51,0,0,7,29,16,42,16,22,8,31,32,74,31,102,42,235,0,0,0,5,22,0,8,0,3,158,116,148,55,13,7,0,"06","001","437102","1"
"Block Group 2, Census Tract 4371.02, Alameda County, California",0,55,63,83,81,77,109,99,21,70,26,11,0,68,20,11,0,22,66,284,0,106,129,0,0,0,0,0,18,115,105,62,35,0,8,7,56,47,22,20,45,9,"06","001","437102","2"
"Block Group 3, Census Tract 4371.02, Alameda County, California",0,0,25,165,0,39,49,54,43,95,11,20,0,13,9,39,8,45,341,0,0,0,0,0,0,0,0,0,39,75,47,36,55,46,3,0,0,19,12,9,0,0,"06","001","437102","3"
"Block Group 1, Census Tract 4377.01, Alameda County, California",10,0,10,35,0,52,38,29,21,19,0,0,0,0,0,0,0,8,24,53,12,28,0,34,34,0,0,0,9,33,15,6,8,0,0,0,0,64,18,32,0,0,"06","001","437701","1"
"Block Group 3, Census Tract 4377.01, Alameda County, California",22,32,43,57,18,27,41,48,20,22,0,0,0,0,0,0,12,0,11,16,19,65,12,34,36,77,0,0,0,0,0,0,0,0,0,34,21,40,86,37,25,9,"06","001","437701","3"
"Block Group 2, Census Tract 4377.01, Alameda County, California",6,6,28,78,19,52,41,132,72,125,5,7,17,15,13,14,0,0,175,41,6,86,71,21,127,111,0,0,41,31,25,25,39,21,0,125,117,61,39,74,17,23,"06","001","437701","2"
"Block Group 1, Census Tract 4371.01, Alameda County, California",40,0,116,114,165,150,235,64,145,180,52,26,16,8,28,62,23,13,763,224,0,27,0,0,0,0,0,0,56,143,246,212,104,54,17,0,67,37,16,0,7,0,"06","001","437101","1"
"Block Group 2, Census Tract 4371.01, Alameda County, California",30,0,81,24,43,53,121,23,72,51,48,0,16,12,33,44,66,38,314,0,0,0,0,0,0,0,201,0,85,76,69,72,144,19,10,9,22,9,0,0,0,0,"06","001","437101","2"
"Block Group 3, Census Tract 4371.01, Alameda County, California",0,13,17,41,58,80,85,111,38,60,9,48,16,33,37,27,9,0,460,11,0,0,0,0,0,11,8,0,32,107,51,71,0,25,22,9,28,7,51,9,11,44,"06","001","437101","3"
"Block Group 1, Census Tract 4507.44, Alameda County, California",0,0,30,71,134,124,106,195,174,52,31,55,9,27,63,9,21,21,788,154,0,31,40,7,0,0,0,0,61,180,173,115,46,28,0,10,103,63,156,38,8,29,"06","001","450744","1"
"Block Group 2, Census Tract 4507.44, Alameda County, California",0,23,63,12,21,48,102,113,147,97,26,33,9,72,30,74,101,104,649,83,15,0,21,0,31,146,12,0,61,210,186,132,71,0,0,56,126,15,10,25,0,0,"06","001","450744","2"
"Block Group 1, Census Tract 4507.52, Alameda County, California",0,0,58,74,153,235,371,245,198,155,83,83,44,79,66,81,0,45,1335,210,0,8,69,0,0,36,0,0,134,246,322,391,166,107,37,13,110,65,24,0,0,17,"06","001","450752","1"
"Block Group 1, Census Tract 4507.51, Alameda County, California",16,46,36,144,494,720,507,313,204,119,110,69,65,107,113,23,38,23,2104,391,0,0,21,52,5,146,0,0,156,498,507,945,176,110,0,40,155,42,23,41,11,7,"06","001","450751","1"
"Block Group 1, Census Tract 4507.50, Alameda County, California",39,17,36,139,313,303,224,138,133,204,21,83,74,50,82,51,17,8,135,549,36,53,96,237,240,941,0,0,252,310,190,166,9,0,10,331,458,166,198,5,0,0,"06","001","450750","1"
"Block Group 1, Census Tract 4505.02, Alameda County, California",32,0,26,62,102,53,102,125,134,68,26,79,30,36,45,8,33,0,800,75,0,0,0,0,0,0,0,0,91,302,108,172,61,33,0,12,11,36,0,10,12,0,"06","001","450502","1"
"Block Group 2, Census Tract 4505.02, Alameda County, California",11,29,54,55,62,156,60,88,183,126,21,72,22,53,30,9,36,12,756,243,0,10,0,0,0,0,10,0,122,285,124,203,85,25,6,28,57,55,26,0,3,0,"06","001","450502","2"
"Block Group 1, Census Tract 4505.01, Alameda County, California",0,0,12,0,32,42,34,21,0,48,47,19,0,17,9,10,0,35,228,48,8,0,0,0,0,0,0,0,34,140,29,24,10,0,0,7,0,9,31,0,0,0,"06","001","450501","1"
"Block Group 2, Census Tract 4505.01, Alameda County, California",8,27,6,68,77,119,82,128,95,80,29,57,18,48,66,39,9,10,545,209,0,0,90,35,59,88,0,0,211,240,114,99,41,17,0,68,90,52,55,34,0,0,"06","001","450501","2"
"Block Group 1, Census Tract 4446.02, Alameda County, California",0,45,0,179,240,166,74,103,106,79,28,50,10,39,12,24,51,14,255,590,0,70,86,20,78,110,0,0,228,211,133,124,46,53,0,76,111,41,59,29,18,0,"06","001","444602","1"
"Block Group 2, Census Tract 4446.02, Alameda County, California",45,0,40,38,27,26,50,52,43,67,35,9,15,28,19,29,0,29,183,217,0,11,25,9,0,7,0,0,49,103,51,63,9,21,0,9,23,67,29,0,7,0,"06","001","444602","2"
"Block Group 1, Census Tract 4443.01, Alameda County, California",0,0,48,35,126,67,37,55,82,80,37,7,6,53,54,11,16,0,436,40,7,9,0,58,0,27,16,0,59,178,67,54,22,28,9,0,41,7,64,27,29,8,"06","001","444301","1"
"Block Group 2, Census Tract 4443.01, Alameda County, California",10,10,76,79,46,64,62,67,89,74,29,36,7,6,19,16,7,30,555,8,0,0,22,0,13,0,0,0,50,130,90,58,20,27,32,0,0,45,31,64,7,10,"06","001","444301","2"
"Block Group 1, Census Tract 4423.02, Alameda County, California",0,0,44,100,102,85,105,73,122,110,28,35,10,20,84,44,14,9,124,276,0,42,64,95,61,188,0,0,63,70,68,59,14,16,0,182,112,82,97,35,6,0,"06","001","442302","1"
"Block Group 2, Census Tract 4423.02, Alameda County, California",35,0,40,44,85,69,87,69,53,107,8,21,8,24,29,58,44,34,46,165,0,20,62,78,76,304,0,0,21,42,61,80,7,14,0,120,194,79,45,6,47,0,"06","001","442302","2"
"Block Group 3, Census Tract 4423.02, Alameda County, California",0,0,27,51,105,120,108,85,22,60,8,8,14,8,0,15,45,0,193,83,16,9,60,55,166,78,0,0,41,60,57,49,0,0,0,145,58,88,94,68,0,0,"06","001","442302","3"
"Block Group 1, Census Tract 4105, Alameda County, California",0,17,63,201,157,78,35,42,93,49,22,25,7,18,54,12,29,13,112,110,172,98,107,219,66,101,0,0,52,23,22,0,14,7,0,277,264,141,99,0,19,9,"06","001","410500","1"
"Block Group 2, Census Tract 4059.02, Alameda County, California",16,20,41,100,79,27,29,64,65,41,6,46,0,1,16,20,8,6,166,57,78,103,87,45,0,5,0,0,35,36,18,10,9,0,2,83,109,111,27,45,24,9,"06","001","405902","2"
"Block Group 1, Census Tract 4059.02, Alameda County, California",0,24,51,57,60,31,80,49,31,33,35,31,31,10,17,0,16,0,230,45,60,68,25,0,22,10,0,0,30,17,33,18,19,5,11,47,50,82,69,28,19,10,"06","001","405902","1"
"Block Group 1, Census Tract 4517.04, Alameda County, California",11,26,28,32,9,30,50,38,24,53,30,21,41,38,42,56,12,0,450,0,0,0,10,19,0,82,0,0,61,172,79,89,12,0,0,54,25,0,17,52,0,0,"06","001","451704","1"
"Block Group 2, Census Tract 4517.04, Alameda County, California",0,16,60,28,93,45,76,36,112,102,21,42,9,10,36,65,42,35,778,17,0,0,0,0,0,0,0,0,91,288,57,123,45,0,13,0,50,102,21,5,0,0,"06","001","451704","2"
"Block Group 3, Census Tract 4517.04, Alameda County, California",0,13,0,8,34,93,15,9,71,38,0,22,10,8,10,32,20,0,172,0,0,31,53,72,9,42,0,0,21,49,19,31,10,0,0,69,79,75,26,0,0,0,"06","001","451704","3"
"Block Group 2, Census Tract 4515.06, Alameda County, California",0,0,39,30,93,88,0,43,24,46,0,0,0,0,7,0,38,9,111,0,15,8,32,96,34,60,0,0,24,0,16,0,0,0,0,42,16,15,120,41,61,0,"06","001","451506","2"
"Block Group 1, Census Tract 4515.06, Alameda County, California",13,0,94,61,63,29,99,157,62,83,30,58,9,27,28,40,20,31,517,81,18,32,82,24,13,54,0,0,113,122,66,151,0,0,0,91,69,104,28,45,0,0,"06","001","451506","1"
"Block Group 1, Census Tract 9832, Alameda County, California",0,0,3,46,44,42,17,30,25,7,0,6,16,12,7,0,0,0,5,6,0,8,0,12,53,261,3,0,127,151,21,2,0,0,0,7,5,4,0,0,0,0,"06","001","983200","1"
"Block Group 1, Census Tract 9820, Alameda County, California",0,0,0,0,3,4,4,4,6,4,0,0,0,0,3,0,0,0,19,0,0,5,0,0,7,4,0,0,14,12,6,0,0,0,0,0,0,3,0,0,0,0,"06","001","982000","1"
"Block Group 1, Census Tract 4515.05, Alameda County, California",0,0,0,0,18,19,21,35,93,67,53,51,14,0,38,10,54,0,443,0,0,0,0,0,0,0,0,0,45,209,80,65,10,0,0,0,0,0,10,15,9,0,"06","001","451505","1"
"Block Group 2, Census Tract 4515.05, Alameda County, California",45,12,30,65,80,48,70,65,129,153,27,10,25,26,39,20,0,21,719,43,0,0,0,0,0,0,0,0,72,275,126,114,47,0,0,0,37,19,43,23,0,0,"06","001","451505","2"
"Block Group 1, Census Tract 4515.04, Alameda County, California",14,0,23,56,82,31,45,95,86,93,23,28,21,21,6,15,29,22,372,143,22,22,38,14,0,17,0,11,69,194,66,52,15,4,18,37,90,19,52,0,13,0,"06","001","451504","1"
"Block Group 1, Census Tract 4507.46, Alameda County, California",20,11,20,75,54,45,119,184,100,108,16,32,69,34,63,11,49,73,628,225,31,33,20,0,64,52,0,0,181,226,162,141,64,0,0,127,48,48,44,12,0,0,"06","001","450746","1"
"Block Group 2, Census Tract 4507.46, Alameda County, California",0,0,0,11,12,78,15,36,29,42,0,28,0,10,19,46,28,10,314,0,0,0,0,0,0,0,0,0,30,87,66,71,0,17,0,18,0,14,0,11,0,0,"06","001","450746","2"
"Block Group 1, Census Tract 4446.01, Alameda County, California",12,9,21,113,65,75,126,72,138,79,34,49,25,25,28,36,57,29,630,70,0,17,0,0,5,0,0,0,50,196,126,109,89,40,9,10,13,0,13,40,27,0,"06","001","444601","1"
"Block Group 2, Census Tract 4446.01, Alameda County, California",17,10,21,140,121,59,93,166,98,49,107,42,48,25,32,32,36,8,712,106,0,0,0,0,0,0,0,0,127,206,82,129,59,26,72,31,52,6,16,12,0,0,"06","001","444601","2"
"Block Group 1, Census Tract 4433.21, Alameda County, California",0,0,0,11,52,113,22,22,0,0,0,23,16,13,8,19,6,0,10,173,0,16,68,40,6,33,3,0,33,46,31,22,5,0,0,24,18,78,36,0,0,0,"06","001","443321","1"
"Block Group 2, Census Tract 4433.21, Alameda County, California",29,0,0,64,193,135,163,78,121,25,25,44,12,11,15,0,52,0,156,289,7,99,60,85,158,60,0,0,66,41,65,160,0,12,0,68,149,57,211,33,0,0,"06","001","443321","2"
"Block Group 2, Census Tract 4431.05, Alameda County, California",0,40,23,44,71,55,132,181,118,93,63,44,15,7,35,13,0,16,712,180,0,0,9,0,0,0,0,0,41,193,231,294,49,11,0,9,0,9,22,6,0,0,"06","001","443105","2"
"Block Group 1, Census Tract 4431.05, Alameda County, California",0,19,13,66,40,45,136,56,78,90,36,38,44,29,9,25,9,59,460,139,0,0,12,0,0,0,0,0,23,269,97,113,25,14,0,12,16,11,13,10,0,0,"06","001","443105","1"
"Block Group 2, Census Tract 4431.04, Alameda County, California",0,0,22,0,44,84,65,24,83,16,0,0,12,21,0,0,20,0,275,0,19,28,31,50,0,0,0,0,9,29,33,48,34,0,0,18,37,72,109,7,0,0,"06","001","443104","2"
"Block Group 3, Census Tract 4431.04, Alameda County, California",0,0,21,52,76,118,110,163,102,42,28,31,13,39,33,44,61,20,440,184,0,122,25,8,13,45,0,0,39,111,137,225,10,0,0,64,69,16,146,9,11,0,"06","001","443104","3"
"Block Group 1, Census Tract 4431.04, Alameda County, California",0,0,12,34,14,33,80,67,112,64,18,8,0,11,30,37,16,0,563,7,0,0,0,0,0,0,3,0,92,95,112,120,46,8,0,0,24,16,8,9,0,0,"06","001","443104","1"
"Block Group 2, Census Tract 4426.02, Alameda County, California",48,8,92,55,54,78,71,97,115,66,24,30,32,0,59,9,34,54,768,52,0,9,0,0,31,21,0,0,124,237,74,147,39,38,0,0,84,0,0,39,0,0,"06","001","442602","2"
"Block Group 1, Census Tract 4426.02, Alameda County, California",36,0,8,98,140,32,116,81,227,45,17,8,0,0,32,0,28,22,301,75,8,9,25,14,103,355,0,0,30,98,108,56,0,0,0,16,125,169,94,94,0,26,"06","001","442602","1"
"Block Group 1, Census Tract 4415.24, Alameda County, California",10,0,22,27,127,216,149,79,112,67,10,13,12,33,64,0,5,0,479,134,11,55,65,44,0,42,0,0,23,49,90,160,26,0,17,70,108,109,162,7,9,0,"06","001","441524","1"
"Block Group 2, Census Tract 4415.24, Alameda County, California",0,0,0,22,123,70,139,58,35,32,15,9,0,8,9,46,9,19,232,312,0,21,26,0,0,6,0,0,49,82,159,175,11,7,0,9,0,10,54,13,0,0,"06","001","441524","2"
"Block Group 1, Census Tract 4403.33, Alameda County, California",10,0,30,86,39,68,46,63,73,102,10,14,39,26,21,16,47,10,460,12,0,0,0,0,0,0,8,0,31,113,97,97,24,36,35,10,0,25,0,0,0,12,"06","001","440333","1"
"Block Group 2, Census Tract 4403.33, Alameda County, California",3,8,22,61,24,20,28,59,87,68,14,5,9,7,33,26,48,12,295,62,0,0,16,4,0,4,0,0,30,74,52,23,52,24,3,5,24,6,11,27,10,0,"06","001","440333","2"
"Block Group 1, Census Tract 4331.04, Alameda County, California",0,9,12,77,22,74,32,0,88,15,14,43,8,0,0,10,0,1,115,0,10,123,140,29,21,52,0,0,0,19,38,0,14,0,0,220,119,28,0,26,0,0,"06","001","433104","1"
"Block Group 2, Census Tract 4331.04, Alameda County, California",0,0,0,39,11,35,0,20,16,11,10,28,8,0,11,6,0,38,83,37,11,0,0,64,55,112,0,0,8,17,22,9,0,0,0,152,74,7,6,27,0,0,"06","001","433104","2"
"Block Group 3, Census Tract 4331.04, Alameda County, California",29,45,41,166,167,53,48,43,80,38,70,51,0,36,54,85,0,35,178,334,12,53,12,19,82,270,159,38,157,174,34,27,13,0,0,313,174,205,7,25,0,0,"06","001","433104","3"
"Block Group 1, Census Tract 4251.04, Alameda County, California",28,28,28,184,138,100,31,43,39,30,24,10,8,25,60,46,0,14,169,37,145,164,25,54,95,340,0,0,116,99,45,30,0,0,0,437,132,63,37,0,0,23,"06","001","425104","1"
"Block Group 2, Census Tract 4251.04, Alameda County, California",0,0,51,102,139,83,68,71,96,29,10,25,46,11,20,51,0,109,72,37,82,88,19,39,296,526,0,0,307,62,17,0,0,0,0,347,202,53,38,0,0,0,"06","001","425104","2"
"Block Group 1, Census Tract 4382.03, Alameda County, California",0,0,12,73,77,54,12,7,115,47,36,59,17,26,137,46,68,28,273,5,0,0,0,0,0,0,305,0,120,222,36,34,28,21,14,6,6,58,6,9,0,5,"06","001","438203","1"
"Block Group 2, Census Tract 4382.03, Alameda County, California",24,87,27,245,66,54,41,143,43,109,13,84,0,10,58,27,65,0,438,93,0,23,6,79,0,20,19,0,44,73,44,76,116,15,53,30,41,57,72,0,20,0,"06","001","438203","2"
"Block Group 2, Census Tract 4384, Alameda County, California",0,11,24,37,55,41,52,16,30,106,40,23,0,24,21,12,35,35,231,0,0,0,0,14,0,0,153,0,50,84,52,67,60,33,5,6,18,0,4,0,9,0,"06","001","438400","2"
"Block Group 1, Census Tract 4384, Alameda County, California",34,26,42,47,7,30,32,22,94,45,9,0,0,17,32,13,11,5,318,11,0,0,0,0,0,0,0,0,38,91,43,59,13,23,0,11,4,5,21,0,0,7,"06","001","438400","1"
"Block Group 2, Census Tract 4354, Alameda County, California",0,0,28,11,27,0,64,38,8,12,14,8,4,13,0,0,6,0,196,28,0,84,22,64,34,9,0,0,19,24,15,0,5,0,0,151,41,29,32,14,0,0,"06","001","435400","2"
"Block Group 3, Census Tract 4354, Alameda County, California",0,30,29,78,56,73,0,62,35,58,13,6,6,16,22,12,8,36,125,161,31,40,156,0,23,34,0,0,38,135,51,49,0,18,9,121,89,7,23,9,0,21,"06","001","435400","3"
"Block Group 1, Census Tract 4354, Alameda County, California",0,0,56,78,168,83,52,81,58,51,0,29,0,9,8,0,8,33,262,77,39,24,76,136,76,394,0,0,57,50,10,0,0,8,0,226,171,100,183,22,0,0,"06","001","435400","1"
"Block Group 3, Census Tract 4360, Alameda County, California",10,0,12,20,49,30,53,26,25,56,34,19,0,36,29,0,23,29,509,0,0,0,0,0,0,0,0,0,113,133,34,78,28,0,16,14,0,18,0,28,0,0,"06","001","436000","3"
"Block Group 1, Census Tract 4360, Alameda County, California",0,0,24,59,20,29,85,48,31,6,28,43,0,16,36,0,9,9,394,0,0,0,0,0,0,0,0,0,24,133,41,46,37,0,0,0,0,68,45,0,0,0,"06","001","436000","1"
