COUNTY_NAME,TAZ1454,AGREMPN,FPSEMPN,HEREMPN,MWTEMPN,RETEMPN,OTHEMPN,TOTEMP
Alameda,997,0,25,46,33,8,134,246
Alameda,998,0,98,1021,74,203,91,1487
Alameda,999,0,114,574,0,351,23,1062
Alameda,1000,0,93,518,83,41,69,804
Alameda,1001,0,24,227,0,47,9,307
Alameda,1002,0,146,482,1,38,75,742
Alameda,1003,0,48,2559,9,223,14,2853
Alameda,1004,3,79,246,13,71,96,508
Alameda,1005,0,42,121,2,4,20,189
Alameda,1006,0,62,636,59,56,11,824
Alameda,1007,0,3,246,0,0,17,266
Alameda,1008,0,116,1264,17,300,36,1733
Alameda,1009,0,39,389,19,144,2,593
Alameda,1010,0,190,689,44,57,306,1286
Alameda,1011,0,189,641,9,389,49,1277
Alameda,1012,0,61,376,42,4,44,527
Alameda,1013,0,25,142,20,11,20,218
Alameda,1014,127,2278,3281,3323,1620,1368,11997
Alameda,1015,0,72,620,5,142,16,855
Alameda,1016,0,107,475,57,82,29,750
Alameda,1017,0,62,606,1,26,10,705
Alameda,1018,9,1443,3328,188,343,1032,6343
Alameda,1019,0,92,208,4,24,40,368
Alameda,1020,0,55,260,3,1,8,327
Alameda,1021,0,244,14018,22,78,144,14506
Alameda,1022,0,2511,188,98,100,3,2900
Alameda,1023,2,21,696,42,119,55,935
Alameda,1024,0,14,154,15,68,10,261
Alameda,1025,0,17,385,32,55,48,537
Alameda,1026,0,10,238,7,80,15,350
Alameda,1027,0,146,712,22,267,39,1186
Alameda,1028,0,42,64,3,0,35,144
Alameda,1029,0,595,87,7,3,79,771
Alameda,1030,0,7,132,3,7,4,153
Alameda,1031,0,43,131,4,23,19,220
Alameda,1032,0,6,115,0,1,11,133
Alameda,1033,0,182,569,63,139,28,981
Alameda,1034,0,42,196,1,152,19,410
Alameda,1035,0,40,397,0,19,21,477
Alameda,1036,0,50,430,5,32,48,565
Alameda,1037,0,31,246,30,103,6,416
Alameda,1038,9,48,437,0,271,145,910
Alameda,1039,0,52,481,43,142,139,857
Contra Costa,1040,0,6,190,2,50,5,253
Contra Costa,1041,0,172,516,16,435,2,1141
Contra Costa,1042,0,7,190,0,8,3,208
Contra Costa,1043,0,49,329,40,18,23,459
Contra Costa,1044,0,67,141,7,11,9,235
Contra Costa,1045,0,22,96,26,0,35,179
Contra Costa,1046,0,11,109,3,0,5,128
Contra Costa,1047,0,25,320,4,92,33,474
Contra Costa,1048,0,56,222,13,36,2,329
Contra Costa,1049,0,169,334,13,250,77,843
Contra Costa,1050,0,178,509,90,176,71,1024
Contra Costa,1051,0,122,988,8,631,250,1999
Contra Costa,1052,0,6,74,0,0,3,83
Contra Costa,1053,0,28,238,6,1,33,306
Contra Costa,1054,0,16,240,2,69,11,338
Contra Costa,1055,0,65,503,11,61,33,673
Contra Costa,1056,0,41,414,12,31,358,856
Contra Costa,1057,0,8,136,12,36,2,194
Contra Costa,1058,0,125,651,106,210,92,1184
Contra Costa,1059,41,1085,809,1442,1272,718,5367
Contra Costa,1060,4,72,444,330,16,72,938
Contra Costa,1061,0,19,505,37,125,86,772
Contra Costa,1062,39,954,508,2463,707,761,5432
Contra Costa,1063,0,17,1698,25,23,42,1805
Contra Costa,1064,0,7,150,9,32,43,241
Contra Costa,1065,0,15,378,49,42,30,514
Contra Costa,1066,0,100,1659,0,496,190,2445
Contra Costa,1067,0,21,277,39,50,71,458
Contra Costa,1068,0,190,265,396,58,363,1272
Contra Costa,1069,13,744,1200,2534,783,1611,6885
Contra Costa,1070,0,8,142,13,23,47,233
Contra Costa,1071,0,46,187,69,29,27,358
Contra Costa,1072,0,9,931,73,140,5,1158
Contra Costa,1073,1,9,269,10,8,14,311
Contra Costa,1074,0,122,967,30,834,110,2063
Contra Costa,1075,0,70,362,0,116,27,575
Contra Costa,1076,0,5,206,2,0,6,219
Contra Costa,1077,0,31,236,1,14,78,360
Contra Costa,1078,0,50,320,14,16,13,413
Contra Costa,1079,0,62,542,7,189,46,846
Contra Costa,1080,0,15,406,8,115,23,567
Contra Costa,1081,0,3,125,14,0,16,158
Contra Costa,1082,0,98,428,120,28,11,685
Contra Costa,1083,0,942,1460,650,184,254,3490
Contra Costa,1084,1,41,332,0,51,30,455
Contra Costa,1085,0,16,376,1,103,30,526
Contra Costa,1086,0,44,332,6,203,101,686
Contra Costa,1087,12,32,105,15,0,32,196
Contra Costa,1088,0,22,58,153,0,1,234
Contra Costa,1089,0,36,369,430,41,38,914
Contra Costa,1090,0,95,189,391,38,100,813
Contra Costa,1091,0,45,4186,40,150,20,4441
Contra Costa,1092,333,165,650,37,49,463,1697
Contra Costa,1093,0,62,249,8,7,3101,3427
Contra Costa,1094,0,73,203,87,23,2447,2833
Contra Costa,1095,0,410,163,859,129,1424,2985
Contra Costa,1096,0,456,586,528,627,965,3162
Contra Costa,1097,0,1921,1089,1995,521,3994,9520
Contra Costa,1098,0,107,258,30,247,43,685
Contra Costa,1099,0,435,290,44,34,95,898
Contra Costa,1100,6,43,639,12,244,60,1004
Contra Costa,1101,0,89,127,12,30,50,308
Contra Costa,1102,39,8,7,0,0,36,90
Contra Costa,1103,0,93,453,14,182,133,875
Contra Costa,1104,0,35,86,2,0,3,126
Contra Costa,1105,0,5,35,0,0,11,51
Contra Costa,1106,18,149,929,10,126,73,1305
Contra Costa,1107,0,64,242,0,14,15,335
Contra Costa,1108,0,47,303,29,468,45,892
Contra Costa,1109,0,27,1356,58,0,74,1515
Contra Costa,1110,27,199,598,19,321,22,1186
Contra Costa,1111,0,30,359,1,0,236,626
Contra Costa,1112,0,277,1097,25,55,65,1519
