period,vclassgroup,speed,ROG,S_NOx,SOx,W_NOx,CO2,Diesel_PM2.5,Gas_PM2.5,Diesel PM,Butadiene,Benzene,Acetaldehyde,Formaldehyde,TOG_exh,PM10
EA,auto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA,auto,1,0.069137982,0.090222693,0.011645243,0.105986295,1241.391315,0,0.091997499,0.003786,0.0009272,0.0041738,0.0013264,0.0041852,0.1746858,0.099337299
EA,auto,2,0.069137982,0.090222693,0.011645243,0.105986295,1241.391315,0,0.091997499,0.003629,0.0008824,0.0039716,0.0012668,0.0039904,0.1659696,0.099337299
EA,auto,3,0.065140553,0.088729203,0.011645243,0.10441932,1202.83815,0,0.08743759,0.003472,0.0008376,0.0037694,0.0012072,0.0037956,0.1572534,0.094846379
EA,auto,4,0.058650783,0.086088745,0.010645243,0.101562924,1130.547876,0,0.079670113,0.003315,0.0007928,0.0035672,0.0011476,0.0036008,0.1485372,0.085869054
EA,auto,5,0.052660439,0.083305833,0.010219302,0.098712463,1064.183562,0,0.072259637,0.003158,0.000748,0.003365,0.001088,0.003406,0.139821,0.078311735
EA,auto,6,0.047163584,0.081239433,0.009571759,0.095646064,1003.207841,0,0.066059204,0.003001,0.0007032,0.0031628,0.0010284,0.0032112,0.1311048,0.071475443
EA,auto,7,0.042456727,0.078882462,0.009145818,0.092863152,947.1336808,0,0.060858771,0.002844,0.0006584,0.0029606,0.0009688,0.0030164,0.1223886,0.065491033
EA,auto,8,0.039033356,0.076889547,0.008355821,0.090296177,895.5256617,0,0.05544116,0.002687,0.0006136,0.0027584,0.0009092,0.0028216,0.1136724,0.05985766
EA,auto,9,0.035819989,0.074532576,0.008072334,0.088229778,847.9906445,0,0.050807771,0.00253,0.0005688,0.0025562,0.0008496,0.0026268,0.1049562,0.055014283
EA,auto,10,0.03275359,0.072823148,0.00792988,0.085872807,804.1747014,0,0.047174382,0.002373,0.000524,0.002354,0.00079,0.002432,0.09624,0.050523363
EA,auto,11,0.029897194,0.07118269,0.007072334,0.083879892,763.7583527,0,0.043113774,0.002261,0.0004972,0.0022328,0.000752,0.0023114,0.0911764,0.046389415
EA,auto,12,0.027540222,0.069683265,0.007072334,0.081522921,726.4536209,0,0.039906206,0.002149,0.0004704,0.0021116,0.000714,0.0021908,0.0861128,0.043039528
EA,auto,13,0.025547307,0.067399778,0.006646393,0.079740009,692.0000277,0,0.036913341,0.002037,0.0004436,0.0019904,0.000676,0.0020702,0.0810492,0.03990558
EA,auto,14,0.023542793,0.065832803,0.006646393,0.078030581,660.1621107,0,0.034062774,0.001925,0.0004168,0.0018692,0.000638,0.0019496,0.0759856,0.036912665
EA,auto,15,0.021759881,0.064475832,0.00599885,0.075816063,630.7269668,0,0.03199643,0.001813,0.00039,0.001748,0.0006,0.001829,0.070922,0.034846266
EA,auto,16,0.02040291,0.062976407,0.005856396,0.074316638,603.5015629,0,0.029571684,0.0017448,0.0003734,0.001673,0.0007748,0.001758,0.0570324,0.032069288
EA,auto,17,0.018766966,0.06169292,0.005572909,0.072749664,578.311306,0,0.027862341,0.0016766,0.0003568,0.001598,0.0009496,0.001687,0.0431428,0.03042883
EA,auto,18,0.017619998,0.060983492,0.005572909,0.071466177,554.9975143,0,0.026221817,0.0016084,0.0003402,0.001523,0.0011244,0.001616,0.0292532,0.027861856
EA,auto,19,0.01691057,0.059626521,0.00499885,0.069966752,533.4166036,0,0.024512474,0.0015402,0.0003236,0.001448,0.0012992,0.001545,0.0153636,0.026294881
EA,auto,20,0.015627082,0.058343034,0.004856396,0.068609781,513.4386131,0,0.02294543,0.001472,0.000307,0.001373,0.001474,0.001474,0.001474,0.024727907
EA,auto,21,0.014553598,0.057059547,0.004572909,0.067326293,494.9443813,0,0.021661908,0.0014166,0.0002966,0.0013254,0.0012582,0.001418,0.0100814,0.023370936
EA,auto,22,0.013986624,0.056560122,0.004572909,0.066616865,477.8275328,0,0.020378386,0.0013612,0.0002862,0.0012778,0.0010424,0.001362,0.0186888,0.021734992
