TAZ1454,LT_FR_CA_OFF_production,LT_FR_CA_OFF_attraction,LT_FR_CA_AM_production,LT_FR_CA_AM_attraction,LT_FR_CA_MID_production,LT_FR_CA_MID_attraction,LT_FR_CA_PM_production,LT_FR_CA_PM_attraction,MT1_FR_CA_OFF_production,MT1_FR_CA_OFF_attraction,MT1_FR_CA_AM_production,MT1_FR_CA_AM_attraction,MT1_FR_CA_MID_production,MT1_FR_CA_MID_attraction,MT1_FR_CA_PM_production,MT1_FR_CA_PM_attraction,MT2_FR_CA_OFF_production,MT2_FR_CA_OFF_attraction,MT2_FR_CA_AM_production,MT2_FR_CA_AM_attraction,MT2_FR_CA_MID_production,MT2_FR_CA_MID_attraction,MT2_FR_CA_PM_production,MT2_FR_CA_PM_attraction,HT_FR_CA_OFF_production,HT_FR_CA_OFF_attraction,HT_FR_CA_AM_production,HT_FR_CA_AM_attraction,HT_FR_CA_MID_production,HT_FR_CA_MID_attraction,HT_FR_CA_PM_production,HT_FR_CA_PM_attraction,MT1_FR_EXT_OFF_production,MT1_FR_EXT_OFF_attraction,MT1_FR_EXT_AM_production,MT1_FR_EXT_AM_attraction,MT1_FR_EXT_MID_production,MT1_FR_EXT_MID_attraction,MT1_FR_EXT_PM_production,MT1_FR_EXT_PM_attraction,MT2_FR_EXT_OFF_production,MT2_FR_EXT_OFF_attraction,MT2_FR_EXT_AM_production,MT2_FR_EXT_AM_attraction,MT2_FR_EXT_MID_production,MT2_FR_EXT_MID_attraction,MT2_FR_EXT_PM_production,MT2_FR_EXT_PM_attraction,HT_FR_EXT_OFF_production,HT_FR_EXT_OFF_attraction,HT_FR_EXT_AM_production,HT_FR_EXT_AM_attraction,HT_FR_EXT_MID_production,HT_FR_EXT_MID_attraction,HT_FR_EXT_PM_production,HT_FR_EXT_PM_attraction,LT_NF_CA_OFF_production,LT_NF_CA_OFF_attraction,LT_NF_CA_AM_production,LT_NF_CA_AM_attraction,LT_NF_CA_MID_production,LT_NF_CA_MID_attraction,LT_NF_CA_PM_production,LT_NF_CA_PM_attraction,MT1_NF_CA_OFF_production,MT1_NF_CA_OFF_attraction,MT1_NF_CA_AM_production,MT1_NF_CA_AM_attraction,MT1_NF_CA_MID_production,MT1_NF_CA_MID_attraction,MT1_NF_CA_PM_production,MT1_NF_CA_PM_attraction,MT2_NF_CA_OFF_production,MT2_NF_CA_OFF_attraction,MT2_NF_CA_AM_production,MT2_NF_CA_AM_attraction,MT2_NF_CA_MID_production,MT2_NF_CA_MID_attraction,MT2_NF_CA_PM_production,MT2_NF_CA_PM_attraction,HT_NF_CA_OFF_production,HT_NF_CA_OFF_attraction,HT_NF_CA_AM_production,HT_NF_CA_AM_attraction,HT_NF_CA_MID_production,HT_NF_CA_MID_attraction,HT_NF_CA_PM_production,HT_NF_CA_PM_attraction
1,1.2420981,2.5203242,0.8061968,1.6373243,1.2121655,2.4721587,0.77286375,1.5784358,7.187648,12.040597,4.6760883,7.834097,7.0635166,11.852241,4.5158463,7.57739,2.191799,3.7676346,1.4248788,2.449253,2.1461797,3.6968362,1.3712575,2.362792,4.824522,14.617838,3.1369777,9.5100155,4.7311025,14.385113,3.022912,9.195606,0.9683149,0.254352,0.630031,0.1658194,0.9558301,0.25140238,0.6111839,0.1608074,0.3813147,0.08794619,0.2482677,0.057208,0.37639287,0.0863026,0.24050479,0.055223804,1.6142856,1.514066,1.0504003,0.98493564,1.5930573,1.494127,1.0187075,0.95533496,28.228355,28.601542,18.357008,18.596317,27.86063,28.225903,17.80001,18.036667,6.418432,6.5076494,4.1726365,4.2298527,6.337295,6.4230013,4.047697,4.103886,13.23122,13.196824,8.601072,8.583224,13.059109,13.025163,8.340942,8.323941,27.44159,27.381899,17.840239,17.79666,27.090805,27.030825,17.31533,17.268665
2,2.5821297,5.0760446,1.6755214,3.297023,2.5182614,4.9772177,1.6055534,3.1766086,15.088535,24.79151,9.815931,16.127941,14.820765,24.391243,9.475569,15.592266,4.603769,7.649933,2.9918654,4.9712124,4.5043864,7.501148,2.8764844,4.7919607,10.229551,29.959976,6.6527705,19.49074,10.02667,29.470818,6.4087343,18.84105,2.032885,0.550548,1.3227689,0.35858062,2.0066698,0.54289764,1.2828162,0.34749264,0.81528527,0.1853538,0.5305323,0.12049201,0.8042071,0.18169743,0.51369524,0.116176195,3.474014,3.1280372,2.2602,2.0348663,3.4287426,3.0869758,2.1919925,1.9734669,63.88544,64.5016,41.53973,41.94365,63.054047,63.65874,40.287094,40.68222,14.381127,14.539696,9.351797,9.4444275,14.1969595,14.349334,9.06983,9.162195,28.798595,28.645437,18.728231,18.637514,28.4239,28.274826,18.162655,18.06518,59.067574,58.759583,38.376427,38.162617,58.314346,58.0125,37.244724,37.033436
3,0.133,0.20850307,0.086,0.13590199,0.12910001,0.204803,0.082,0.13130192,0.82220316,1.1073121,0.53380203,0.7197077,0.803403,1.0884128,0.5123019,0.6953077,0.2287,0.2822061,0.14800002,0.18370397,0.22210002,0.27710602,0.1412,0.17740394,0.87750304,1.2427121,0.569702,0.8077077,0.85740304,1.2211127,0.5471019,0.77980787,0.0796,0.024600001,0.051800005,0.016,0.078600004,0.024100002,0.050100002,0.015300002,0.0367,0.0061,0.024000002,0.004,0.0362,0.006,0.0231,0.0039,0.2755,0.1561,0.17920001,0.1018,0.27159998,0.15400001,0.17379999,0.09849999,12.688322,12.8238125,8.251244,8.339034,12.521318,12.659093,8.00344,8.088234,2.7011466,2.7323775,1.7540308,1.7748883,2.6666465,2.6982794,1.7035298,1.7234892,3.487726,3.4715896,2.268917,2.2607927,3.4446259,3.4270895,2.1985166,2.1880937,6.426241,6.3893876,4.146427,4.1192904,6.3433414,6.304185,4.0180264,3.9950895
4,0.87460613,1.4422274,0.5669991,0.9371336,0.8521038,1.4157406,0.54341984,0.90394914,4.340928,6.4419956,2.8246474,4.1906633,4.2623205,6.3417416,2.7272837,4.0543966,1.5413485,2.0412533,1.0014395,1.3253499,1.5070386,2.0014756,0.96271414,1.2772602,3.8885698,7.117578,2.5279412,4.630249,3.8126397,7.0050845,2.43755,4.479678,0.6752016,0.19769418,0.43922862,0.1288506,0.66641206,0.1946402,0.42614418,0.1249204,0.28197467,0.057761002,0.1836456,0.037393298,0.2779081,0.056496702,0.17780979,0.0360663,1.8358948,1.1700249,1.1943543,0.7609293,1.8117028,1.153904,1.1580343,0.73731077,26.65388,26.701862,17.330498,17.362564,26.307009,26.35353,16.807463,16.83775,5.9354696,5.955767,3.8592725,3.869132,5.8632917,5.8786983,3.7434444,3.7537208,11.280441,11.135879,7.342175,7.249698,11.137945,10.996044,7.1209197,7.0325193,22.869995,22.567219,14.855053,14.647088,22.58067,22.28142,14.422116,14.218372
5,1.1909063,3.5577185,0.77240896,2.3124995,1.1611083,3.493409,0.74038774,2.2320805,6.156661,16.131134,4.004511,10.495012,6.045367,15.894682,3.8648722,10.160475,2.238285,5.1027937,1.4548826,3.3184862,2.1907945,5.0153723,1.398807,3.2047694,6.5393887,17.859547,4.2514963,11.61712,6.4166174,17.587442,4.100587,11.241694,0.9343984,0.69560575,0.6078714,0.4532494,0.92218804,0.6864597,0.5896558,0.4395796,0.38822532,0.26113898,0.2528544,0.16990669,0.38319188,0.2570033,0.2448902,0.16433369,2.451805,3.4335754,1.5945456,2.2333708,2.4188972,3.387896,1.5461657,2.1649892,51.024757,51.807526,33.178574,33.689823,50.35901,51.13379,32.176582,32.67379,11.516431,11.704293,7.483423,7.605558,11.368305,11.553873,7.260946,7.3763742,20.9979,21.004738,13.650082,13.660447,20.726791,20.739365,13.243432,13.251233,43.389835,43.41487,28.196724,28.200653,42.834652,42.859962,27.367756,27.367916
6,3.6805367,0.41730615,2.395524,0.271304,3.622836,0.41020593,2.3162231,0.261904,15.297307,2.0863235,9.94907,1.3561136,15.076706,2.0500216,9.635367,1.3095133,4.464428,0.51830935,2.9046183,0.33710602,4.394327,0.50960904,2.8106174,0.3255058,17.365719,2.304125,11.293478,1.4975153,17.112818,2.2646253,10.935976,1.4460156,0.1895969,0.058500003,0.123498,0.037900005,0.18719698,0.0571,0.1197981,0.0365,0.0735,0.0123000005,0.0479,0.008,0.0724,0.012,0.046400003,0.0077,0.85959995,0.2754,0.55930007,0.1792,0.8485,0.27170002,0.543,0.17390001,68.24346,68.97218,44.378853,44.855373,67.352745,68.070625,43.042633,43.503666,14.9046545,15.080274,9.690765,9.803239,14.71055,14.884467,9.399161,9.508823,4.7245355,4.7072845,3.0763228,3.0647924,4.6640344,4.646083,2.9818223,2.9684918,9.18516,9.141177,5.9434385,5.9083843,9.069159,9.02388,5.764638,5.7340875
7,0.17929998,0.7616058,0.116,0.49490404,0.17420001,0.7474061,0.11070001,0.47710353,1.0052093,3.9233234,0.653606,2.5517206,0.98460907,3.8605337,0.62820566,2.467117,0.34520003,1.1768118,0.22400004,0.7643075,0.3364,1.1539124,0.21459998,0.7364078,1.2289093,4.3867273,0.79940605,2.8530235,1.2040089,4.3149357,0.7695057,2.7576191,0.13159999,0.1744,0.0855,0.1137,0.12990001,0.17199999,0.083,0.1102,0.0612,0.0614,0.039900005,0.0399,0.0605,0.0602,0.0385,0.0385,0.3428,0.9031,0.22299999,0.5874,0.3381,0.8907,0.21630001,0.5694,84.100136,84.99798,54.691734,55.27515,83.000015,83.88424,53.0432,53.60786,18.426115,18.643053,11.980205,12.121599,18.18601,18.399544,11.617998,11.756503,5.979345,5.957182,3.892929,3.873989,5.903744,5.88178,3.7764282,3.7582905,11.961779,11.910574,7.76015,7.7155843,11.809376,11.759276,7.5320487,7.4891844
8,0.1669,0.4239062,0.108,0.27550402,0.1621,0.41570595,0.1031,0.26550397,0.94780314,2.4602137,0.615602,1.5983077,0.92690307,2.4129174,0.5913019,1.5405086,0.33630005,0.6307061,0.21800004,0.40920407,0.32739997,0.6173061,0.20860001,0.39360368,1.1533093,2.9401164,0.74940604,1.9101081,1.128309,2.8821208,0.72060573,1.8398087,0.098,0.0613,0.063700005,0.0399,0.0966,0.0602,0.061699998,0.038599998,0.0397,0.0153,0.026,0.010000001,0.0392,0.0151,0.025200002,0.0096,0.35500002,0.2939,0.2311,0.19120002,0.35029998,0.2899,0.22399999,0.1856,128.36331,129.73592,83.477936,84.368805,126.68758,128.04033,80.96219,81.826996,28.038082,28.368793,18.231415,18.447777,27.673174,27.998604,17.681805,17.892382,4.2425323,4.2284884,2.7635207,2.7512918,4.1927314,4.176791,2.67902,2.667993,8.115753,8.07568,5.2468348,5.2181883,8.015152,7.975181,5.087533,5.0562873
9,0.3184,1.6372252,0.206,1.0633155,0.30940002,1.6057241,0.1966,1.0249158,1.7846093,7.0395565,1.159206,4.580839,1.7455089,6.931546,1.1141057,4.434137,0.58320004,2.1458304,0.37800002,1.3946192,0.5677,2.106131,0.3615,1.3453192,2.1624093,7.716764,1.404906,5.01924,2.115909,7.5946507,1.3500056,4.855542,0.2786,0.23290001,0.18110001,0.1516,0.2749,0.22939998,0.1756,0.1468,0.119200006,0.0828969,0.0778,0.053898003,0.1177,0.081296995,0.0752,0.051898103,0.6765,1.2486,0.44,0.81229997,0.66719997,1.2319,0.4265,0.78760004,164.1752,165.93117,106.76572,107.90835,162.02858,163.766,103.54717,104.654724,35.992317,36.412838,23.399902,23.677317,35.52431,35.94023,22.69279,22.967918,12.383993,12.332351,8.058461,8.029476,12.222493,12.169752,7.8074594,7.7816796,24.823563,24.711948,16.105106,16.034958,24.50716,24.399338,15.628603,15.556273
10,0.7523061,1.0520183,0.48780406,0.6844119,0.733106,1.0346181,0.46740377,0.66051155,3.5468245,5.00085,2.3064163,3.2515342,3.479324,4.9193497,2.2235155,3.1423306,1.1454093,1.2974184,0.74340606,0.8437116,1.118909,1.2758182,0.7133057,0.8150114,5.8648367,5.4363575,3.814024,3.5339372,5.754136,5.347655,3.6753232,3.415034,1.1873,0.110800005,0.7723,0.0719,1.1714001,0.108200006,0.7489,0.0691,0.37649998,0.015400001,0.24509999,0.010000001,0.3717,0.015000001,0.2375,0.0096,4.7642,0.51089996,3.0985,0.3329,4.7021003,0.50420004,3.0052,0.3228,114.72186,115.94895,74.603775,75.404625,113.21994,114.43408,72.35535,73.13215,25.111233,25.4091,16.32928,16.521273,24.786827,25.07781,15.838773,16.021784,11.034584,10.992767,7.184455,7.1534758,10.893283,10.851371,6.963353,6.9325805,21.865643,21.762642,14.173493,14.090974,21.589043,21.49065,13.75119,13.676663
