N,Latitude,Longitude
1,37.79311781900,-122.39838946000
2,37.79243053600,-122.40199828700
3,37.79131265400,-122.40547420600
4,37.78998936100,-122.40138123800
5,37.78848404700,-122.40544221300
6,37.78859825000,-122.41237273400
7,37.78679693300,-122.41105043100
8,37.78349357600,-122.41168421400
9,37.78026409900,-122.41710671200
10,37.77709374800,-122.41425939200
11,37.78207252800,-122.40803452500
12,37.78712835400,-122.40224970200
13,37.78919243800,-122.39929721800
14,37.79125822700,-122.39669238200
15,37.79249183700,-122.39302088600
16,37.78862203000,-122.39369138400
17,37.78363264700,-122.39123586300
18,37.77867593400,-122.39833903000
19,37.77329283300,-122.40551350000
20,37.77499909100,-122.40915263400
21,37.78080071000,-122.40187552400
22,37.79692209100,-122.39729091400
23,37.80109045900,-122.40024519600
24,37.79609588000,-122.40253949800
25,37.79561373200,-122.40646127200
26,37.79364857100,-122.40615045300
27,37.79510771000,-122.40871140200
28,37.79311285000,-122.41232491100
29,37.79118899300,-122.41165443500
30,37.78573229400,-122.41789493800
31,37.78828731000,-122.41882108800
32,37.79126501800,-122.41869412600
33,37.79482127600,-122.41926185400
34,37.79798817200,-122.42001370800
35,37.79659624100,-122.41413951000
36,37.79894350100,-122.40983090300
37,37.79916855600,-122.40645057600
38,37.80259500300,-122.40658715600
39,37.80228718500,-122.41530574300
40,37.80386343700,-122.42101213100
41,37.80705176700,-122.41267738200
42,37.82453700300,-122.37000189900
43,37.80444235600,-122.43580849600
44,37.80110366200,-122.42977948400
45,37.79712453400,-122.42987609400
46,37.79321281200,-122.42560505700
47,37.79135650400,-122.43171776200
48,37.78961092700,-122.44159216000
49,37.79354277100,-122.43735728100
50,37.79798437900,-122.44124871500
51,37.80308060200,-122.44523439900
52,37.79893389000,-122.46538539300
53,37.76924944800,-122.47588614300
54,37.77388306300,-122.50645155600
55,37.77843138000,-122.50510263800
56,37.78485483700,-122.50156408300
57,37.78704875500,-122.48829218500
58,37.78249292200,-122.48786224700
59,37.77691598200,-122.49355573500
60,37.77440964700,-122.48277417100
61,37.77833680900,-122.48307612300
62,37.78321123600,-122.47809220300
63,37.77798424400,-122.47437380000
64,37.77831955000,-122.46744660900
65,37.78523325700,-122.46838645300
66,37.78462453300,-122.46113606900
67,37.77802875300,-122.46105194300
68,37.77832160300,-122.45643303800
69,37.77974980700,-122.44837695300
70,37.78379619000,-122.45177653600
71,37.78883618800,-122.45244203100
72,37.78687273900,-122.43816664200
73,37.78798263100,-122.43019974400
74,37.78518859700,-122.43394618900
75,37.78789845400,-122.42295598500
76,37.78239685600,-122.42184468200
77,37.78323712500,-122.42924817400
78,37.78054102400,-122.42769539500
79,37.77743257200,-122.42356467000
80,37.77648849000,-122.42855132100
81,37.77195622600,-122.42762957500
82,37.76708262500,-122.43188724700
83,37.76505011800,-122.43872702000
84,37.77094207000,-122.43507246200
85,37.77477906600,-122.43608154800
86,37.78051156300,-122.43653411200
87,37.77440380400,-122.44758988800
88,37.77057261700,-122.44779864400
89,37.76584820500,-122.44846532600
90,37.76465503200,-122.46151232200
91,37.75843485200,-122.45623446300
92,37.75414177800,-122.44925322200
93,37.75599453500,-122.44351158100
94,37.75889566900,-122.43582254300
95,37.75339229700,-122.43761890100
96,37.74975561800,-122.43711220600
97,37.74969013400,-122.42978972400
98,37.75392857300,-122.42970043700
99,37.75120196800,-122.42306514000
100,37.75138713300,-122.41760930300
101,37.75935547800,-122.41827128100
102,37.75935348500,-122.42403138500
103,37.75958247000,-122.43024737600
104,37.76521220100,-122.42936331100
105,37.76735412400,-122.42511395700
106,37.76920030500,-122.41869020100
107,37.76872431700,-122.41442192700
108,37.76783805600,-122.39910028700
109,37.77655094100,-122.39287446200
110,37.77056639200,-122.39104140300
111,37.75947003200,-122.38677222600
112,37.76214034000,-122.39590861200
113,37.75533325300,-122.39683665900
114,37.76117162800,-122.40206413600
115,37.75970964500,-122.40739538700
116,37.76083899400,-122.41264066200
117,37.75648344200,-122.41185347900
118,37.75123881400,-122.41329335500
119,37.75059295500,-122.41034071100
120,37.75222886700,-122.40557990900
121,37.74484851700,-122.40758200600
122,37.74447305500,-122.41543170500
123,37.74375915600,-122.41904601800
124,37.73763628200,-122.41995997200
125,37.73708373900,-122.41255459600
126,37.73342565400,-122.42237464400
127,37.73726708100,-122.42784568700
128,37.74475181700,-122.42528245000
129,37.74604100200,-122.43871028500
130,37.73960230700,-122.43840635600
131,37.73572587200,-122.44629490900
132,37.72947065300,-122.45632291800
133,37.72966486100,-122.44544140700
134,37.72884933300,-122.43624774500
135,37.72333788200,-122.43222295800
136,37.72624563700,-122.42566024500
137,37.72926926700,-122.42268141400
138,37.72987474500,-122.41015749900
139,37.73526641600,-122.40217394600
140,37.73309363800,-122.39602978000
141,37.73645677500,-122.39190468400
142,37.74163191600,-122.39568800900
143,37.73759196200,-122.38888142800
144,37.73540528700,-122.38443638900
145,37.73186398200,-122.37629336600
146,37.72514008300,-122.36707674400
147,37.72865292800,-122.38721581100
148,37.72115348700,-122.38797330300
149,37.71317401400,-122.39383373900
150,37.72838893500,-122.39763685100
151,37.72217023000,-122.40344654500
152,37.72315145800,-122.40997040100
153,37.71698322300,-122.40369875500
154,37.71163895200,-122.40595323500
155,37.71350385100,-122.41071418500
156,37.71001974900,-122.41568544300
157,37.71107840900,-122.42016988900
158,37.71770067800,-122.41889712700
159,37.71056628000,-122.43114831000
160,37.72034758000,-122.42822122400
161,37.71788656700,-122.43568408600
162,37.71377263300,-122.43864249900
163,37.70972576600,-122.44352592000
164,37.71007133100,-122.45329511100
165,37.71968271500,-122.44244513600
166,37.72100390000,-122.45422109700
167,37.71444621800,-122.45485848100
168,37.71746515900,-122.46724926600
169,37.73015829800,-122.46703280000
170,37.73999299300,-122.46834696800
171,37.74374563200,-122.45833393700
172,37.74589005200,-122.46830478500
173,37.75120080600,-122.47124584600
174,37.75634291800,-122.46999384500
175,37.76298229300,-122.46725573800
176,37.76313700200,-122.47313352300
177,37.76054423900,-122.48200649300
178,37.75975135800,-122.49120283600
179,37.75748379800,-122.49852013700
180,37.76154280700,-122.50503992300
181,37.75505025100,-122.50608997000
182,37.74307874400,-122.50361075500
183,37.74268522900,-122.49723598100
184,37.74898678100,-122.49052169600
185,37.74937796900,-122.48090948800
186,37.73823139800,-122.48430210200
187,37.73223839900,-122.48526645400
188,37.72464931000,-122.47936227600
189,37.71761740800,-122.47895054500
190,37.72196026000,-122.48919629300
191,37.70523586000,-122.48240797000
192,37.69987477500,-122.48117191900
193,37.68957570700,-122.48019524500
194,37.68118410100,-122.47995469200
195,37.69155882600,-122.49113249900
196,37.68177412600,-122.49245464700
197,37.67311986500,-122.48652416200
198,37.66725249600,-122.47840496900
199,37.66966238300,-122.47079801100
200,37.67646882900,-122.45336812800
201,37.68757034200,-122.46321568500
202,37.69749103400,-122.45600851700
203,37.69760256100,-122.46663143100
204,37.70640437600,-122.46268352100
205,37.70520306200,-122.44810248800
206,37.70342688200,-122.43225717900
207,37.70226910400,-122.41450553900
208,37.68389975600,-122.40711940000
209,37.66569090500,-122.41930994600
210,37.65968603900,-122.40728651000
211,37.65558713600,-122.41870063500
212,37.65279493700,-122.40430807400
213,37.64350833800,-122.43437199900
214,37.65450202800,-122.44579116300
215,37.66120943900,-122.43219904500
216,37.66367378300,-122.43917023800
217,37.66270703500,-122.45519527300
218,37.65352871300,-122.46057708300
219,37.65668594200,-122.46856035600
220,37.65272652900,-122.47521546500
221,37.65849701800,-122.48434820300
222,37.65017162100,-122.48651712500
223,37.63366584900,-122.48430167000
224,37.61333014600,-122.48082841100
225,37.59357694700,-122.50312797600
226,37.58709158700,-122.48713978400
227,37.59166094500,-122.46708755400
228,37.62442414600,-122.46041138800
229,37.62933740400,-122.45510463600
230,37.64753370000,-122.46153367700
231,37.63961654500,-122.45124951500
232,37.63209789100,-122.44770505200
233,37.61712232800,-122.43305854000
234,37.63260347900,-122.42478584400
235,37.62323597900,-122.42039960400
236,37.61824258400,-122.41598732100
237,37.62352347500,-122.40963194300
238,37.63247522000,-122.41004775800
239,37.62531940200,-122.39167659000
240,37.60595271800,-122.39135710000
241,37.60681044600,-122.41072778100
242,37.60275375000,-122.41963666700
243,37.59462715300,-122.40582767100
