ZONE,SD,COUNTY,SD_NAME,COUNTY_NAME
137,3,1,San Francisco Mission District,San Francisco
138,3,1,San Francisco Mission District,San Francisco
139,3,1,San Francisco Mission District,San Francisco
140,3,1,San Francisco Mission District,San Francisco
141,3,1,San Francisco Mission District,San Francisco
142,3,1,San Francisco Mission District,San Francisco
143,3,1,San Francisco Mission District,San Francisco
144,3,1,San Francisco Mission District,San Francisco
145,3,1,San Francisco Mission District,San Francisco
146,3,1,San Francisco Mission District,San Francisco
147,3,1,San Francisco Mission District,San Francisco
148,3,1,San Francisco Mission District,San Francisco
149,3,1,San Francisco Mission District,San Francisco
150,3,1,San Francisco Mission District,San Francisco
151,3,1,San Francisco Mission District,San Francisco
152,3,1,San Francisco Mission District,San Francisco
153,3,1,San Francisco Mission District,San Francisco
154,3,1,San Francisco Mission District,San Francisco
155,3,1,San Francisco Mission District,San Francisco
156,3,1,San Francisco Mission District,San Francisco
157,3,1,San Francisco Mission District,San Francisco
158,3,1,San Francisco Mission District,San Francisco
159,3,1,San Francisco Mission District,San Francisco
160,3,1,San Francisco Mission District,San Francisco
161,3,1,San Francisco Mission District,San Francisco
162,3,1,San Francisco Mission District,San Francisco
163,3,1,San Francisco Mission District,San Francisco
164,3,1,San Francisco Mission District,San Francisco
165,3,1,San Francisco Mission District,San Francisco
166,3,1,San Francisco Mission District,San Francisco
167,3,1,San Francisco Mission District,San Francisco
168,4,1,San Francisco Sunset District,San Francisco
169,4,1,San Francisco Sunset District,San Francisco
170,4,1,San Francisco Sunset District,San Francisco
171,4,1,San Francisco Sunset District,San Francisco
172,4,1,San Francisco Sunset District,San Francisco
173,4,1,San Francisco Sunset District,San Francisco
174,4,1,San Francisco Sunset District,San Francisco
175,4,1,San Francisco Sunset District,San Francisco
176,4,1,San Francisco Sunset District,San Francisco
177,4,1,San Francisco Sunset District,San Francisco
178,4,1,San Francisco Sunset District,San Francisco
179,4,1,San Francisco Sunset District,San Francisco
180,4,1,San Francisco Sunset District,San Francisco
181,4,1,San Francisco Sunset District,San Francisco
182,4,1,San Francisco Sunset District,San Francisco
183,4,1,San Francisco Sunset District,San Francisco
184,4,1,San Francisco Sunset District,San Francisco
185,4,1,San Francisco Sunset District,San Francisco
186,4,1,San Francisco Sunset District,San Francisco
187,4,1,San Francisco Sunset District,San Francisco
188,4,1,San Francisco Sunset District,San Francisco
189,4,1,San Francisco Sunset District,San Francisco
190,4,1,San Francisco Sunset District,San Francisco
191,5,2,Daly City and San Bruno,San Mateo
192,5,2,Daly City and San Bruno,San Mateo
193,5,2,Daly City and San Bruno,San Mateo
194,5,2,Daly City and San Bruno,San Mateo
195,5,2,Daly City and San Bruno,San Mateo
