coefficient_name,value,constrain
sr2_ASC_auto_sufficient_univ,-0.4821987,F
sr2_ASC_auto_sufficient_work,-1.080192,F
sr2_ASC_auto_sufficient_atwork,-1.624263,F
sr3p_ASC_no_auto_eatout,0.1523596,F
sr3p_ASC_no_auto_escort,-1.795863,F
sr3p_ASC_no_auto_othdiscr,0.1523596,F
sr3p_ASC_no_auto_othmaint,-1.795863,F
sr3p_ASC_no_auto_school,2.542156,F
sr3p_ASC_no_auto_shopping,-1.795863,F
sr3p_ASC_no_auto_social,0.1523596,F
sr3p_ASC_no_auto_univ,-42.62499,F
sr3p_ASC_no_auto_work,-6.014345,F
sr3p_ASC_no_auto_atwork,0.2616855,F
sr3p_ASC_auto_deficient_eatout,0.2204794,F
sr3p_ASC_auto_deficient_escort,1.064286,F
sr3p_ASC_auto_deficient_othdiscr,0.2204794,F
sr3p_ASC_auto_deficient_othmaint,1.064286,F
sr3p_ASC_auto_deficient_school,1.411598,F
sr3p_ASC_auto_deficient_shopping,1.064286,F
sr3p_ASC_auto_deficient_social,0.2204794,F
sr3p_ASC_auto_deficient_univ,-0.6120902,F
sr3p_ASC_auto_deficient_work,-1.206295,F
sr3p_ASC_auto_deficient_atwork,-3.499019,F
sr3p_ASC_auto_sufficient_eatout,0.2147439,F
sr3p_ASC_auto_sufficient_escort,0.5590946,F
sr3p_ASC_auto_sufficient_othdiscr,0.2147439,F
sr3p_ASC_auto_sufficient_othmaint,0.5590946,F
sr3p_ASC_auto_sufficient_school,-0.5446532,F
sr3p_ASC_auto_sufficient_shopping,0.5590946,F
sr3p_ASC_auto_sufficient_social,0.2147439,F
sr3p_ASC_auto_sufficient_univ,-1.628827,F
sr3p_ASC_auto_sufficient_work,-1.559252,F
sr3p_ASC_auto_sufficient_atwork,-2.073483,F
walk_transit_ASC_no_auto_eatout,3.290391,F
walk_transit_ASC_no_auto_escort,3.635889,F
walk_transit_ASC_no_auto_othdiscr,3.290391,F
walk_transit_ASC_no_auto_othmaint,3.635889,F
walk_transit_ASC_no_auto_school,6.363259,F
walk_transit_ASC_no_auto_shopping,3.635889,F
walk_transit_ASC_no_auto_social,3.290391,F
walk_transit_ASC_no_auto_univ,3.324765,F
walk_transit_ASC_no_auto_work,7.249683,F
walk_transit_ASC_no_auto_atwork,3.140859,F
walk_transit_ASC_auto_deficient_eatout,0.7769466,F
walk_transit_ASC_auto_deficient_escort,0.156905,F
walk_transit_ASC_auto_deficient_othdiscr,0.7769466,F
walk_transit_ASC_auto_deficient_othmaint,0.156905,F
walk_transit_ASC_auto_deficient_school,2.79502,F
walk_transit_ASC_auto_deficient_shopping,0.156905,F
walk_transit_ASC_auto_deficient_social,0.7769466,F
walk_transit_ASC_auto_deficient_univ,8.846401,F
walk_transit_ASC_auto_deficient_work,1.425289,F
walk_transit_ASC_auto_deficient_atwork,-3.53219,F
walk_transit_ASC_auto_sufficient_eatout,-0.7927647,F
walk_transit_ASC_auto_sufficient_escort,-1.65955,F
walk_transit_ASC_auto_sufficient_othdiscr,-0.7927647,F
walk_transit_ASC_auto_sufficient_othmaint,-1.65955,F
walk_transit_ASC_auto_sufficient_school,-0.3426624,F
walk_transit_ASC_auto_sufficient_shopping,-1.65955,F
walk_transit_ASC_auto_sufficient_social,-0.7927647,F
walk_transit_ASC_auto_sufficient_univ,0.1440752,F
walk_transit_ASC_auto_sufficient_work,-2.080923,F
walk_transit_ASC_auto_sufficient_atwork,-4.362526,F
drive_transit_ASC_no_auto_all,0,F
drive_transit_ASC_auto_deficient_eatout,1.458892,F
drive_transit_ASC_auto_deficient_escort,0.2745878,F
drive_transit_ASC_auto_deficient_othdiscr,1.458892,F
drive_transit_ASC_auto_deficient_othmaint,0.2745878,F
drive_transit_ASC_auto_deficient_school,4.750874,F
drive_transit_ASC_auto_deficient_shopping,0.2745878,F
drive_transit_ASC_auto_deficient_social,1.458892,F
drive_transit_ASC_auto_deficient_univ,8.349589,F
drive_transit_ASC_auto_deficient_work,0.5330412,F
drive_transit_ASC_auto_deficient_atwork,-999,T
drive_transit_ASC_auto_sufficient_eatout,-0.8580621,F
drive_transit_ASC_auto_sufficient_escort,-2.086874,F
drive_transit_ASC_auto_sufficient_othdiscr,-0.8580621,F
drive_transit_ASC_auto_sufficient_othmaint,-2.086874,F
drive_transit_ASC_auto_sufficient_school,1.501443,F
drive_transit_ASC_auto_sufficient_shopping,-2.086874,F
drive_transit_ASC_auto_sufficient_social,-0.8580621,F
drive_transit_ASC_auto_sufficient_univ,-0.9864578,F
drive_transit_ASC_auto_sufficient_work,-2.516243,F
drive_transit_ASC_auto_sufficient_atwork,-999,T
taxi_ASC_no_auto_eatout_othdiscr_social,1.640941,F
taxi_ASC_no_auto_escort_othmaint_shopping,0.3774743,F
taxi_ASC_no_auto_school,-7,T
taxi_ASC_no_auto_univ,-14.4133910,F
taxi_ASC_no_auto_work,4.670053,F
taxi_ASC_no_auto_atwork,4.641131,F
taxi_ASC_auto_deficient_eatout_othdiscr_social,-2.219407,F
taxi_ASC_auto_deficient_escort_othmaint_shopping,-0.2034341,F
taxi_ASC_auto_deficient_school,0.2818404,F
taxi_ASC_auto_deficient_univ,6.484522,F
taxi_ASC_auto_deficient_work,-2.160356,F
taxi_ASC_auto_deficient_atwork,-5.107485,F
taxi_ASC_auto_sufficient_eatout_othdiscr_social,-2.742356,F
taxi_ASC_auto_sufficient_escort_othmaint_shopping,-2.279749,F
taxi_ASC_auto_sufficient_school,-2.566959,F
taxi_ASC_auto_sufficient_univ,0.437676,F
taxi_ASC_auto_sufficient_work,-4.484996,F
taxi_ASC_auto_sufficient_atwork,-3.570655,F
tnc_single_ASC_no_auto_eatout_othdiscr_social,1.821087,F
tnc_single_ASC_no_auto_escort_othmaint_shopping,0.9356022,F
tnc_single_ASC_no_auto_school,-7.023529,T
tnc_single_ASC_no_auto_univ,-10.67614,F
tnc_single_ASC_no_auto_work,5.190589,F
tnc_single_ASC_no_auto_atwork,4.639365,F
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-2.97371,F
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,0.1627508,F
tnc_single_ASC_auto_deficient_school,0.8573659,F
tnc_single_ASC_auto_deficient_univ,6.642225,F
tnc_single_ASC_auto_deficient_work,-0.6226975,F
tnc_single_ASC_auto_deficient_atwork,-4.142458,F
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-2.575117,F
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-2.015471,F
tnc_single_ASC_auto_sufficient_school,-2.133443,F
tnc_single_ASC_auto_sufficient_univ,0.7795481,F
tnc_single_ASC_auto_sufficient_work,-3.979398,F
tnc_single_ASC_auto_sufficient_atwork,-3.452219,F
tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.5721126,F
tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.2211473,F
tnc_shared_ASC_no_auto_school,-6.798384,T
tnc_shared_ASC_no_auto_univ,-14.72984,F
tnc_shared_ASC_no_auto_work,2.610872,F
tnc_shared_ASC_no_auto_atwork,3.108664,F
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-3.591687,F
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-0.8397169,F
tnc_shared_ASC_auto_deficient_school,0.1180807,F
tnc_shared_ASC_auto_deficient_univ,4.814259,F
tnc_shared_ASC_auto_deficient_work,-1.866436,F
tnc_shared_ASC_auto_deficient_atwork,-5.501766,F
tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,-3.5676473,F
tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,-2.9488051,F
tnc_shared_ASC_auto_sufficient_school,-2.8682956,F
tnc_shared_ASC_auto_sufficient_univ,-0.3980509,F
tnc_shared_ASC_auto_sufficient_work,-5.0490648,F
tnc_shared_ASC_auto_sufficient_atwork,-4.3546362,F
joint_walk_ASC_no_auto_all,-2.3505204,F
joint_walk_ASC_auto_deficient_all,-5.6817039,F
joint_walk_ASC_auto_sufficient_all,-7.7874729,F
joint_bike_ASC_no_auto_all,-4.4556271,F
joint_bike_ASC_auto_deficient_all,-8.0967498,F
joint_bike_ASC_auto_sufficient_all,-7.5927750,F
joint_sr2_ASC_no_auto_all,1.1279064,T
joint_sr2_ASC_auto_deficient_all,1.7942436,T
joint_sr2_ASC_auto_sufficient_all,0.3671843,T
joint_sr3p_ASC_no_auto_all,1.3763602,F
joint_sr3p_ASC_auto_deficient_all,-2.4868225,F
joint_sr3p_ASC_auto_sufficient_all,-2.3150367,F
joint_walk_transit_ASC_no_auto_all,-1.5252090,F
joint_walk_transit_ASC_auto_deficient_all,-6.2606050,F
joint_walk_transit_ASC_auto_sufficient_all,-7.4530509,F
joint_drive_transit_ASC_no_auto_all,0,T
joint_drive_transit_ASC_auto_deficient_all,-5.6369495,F
joint_drive_transit_ASC_auto_sufficient_all,-7.0277331,F
joint_taxi_ASC_no_auto_all,-4.5792092,F
joint_taxi_ASC_auto_deficient_all,-9.8157176,F
joint_taxi_ASC_auto_sufficient_all,-11.7098769,T
joint_tnc_single_ASC_no_auto_all,-4.4134283,F
joint_tnc_single_ASC_auto_deficient_all,-10.0172019,F
joint_tnc_single_ASC_auto_sufficient_all,-14.0374223,T
joint_tnc_shared_ASC_no_auto_all,-4.3461008,F
joint_tnc_shared_ASC_auto_deficient_all,-10.9884575,F
joint_tnc_shared_ASC_auto_sufficient_all,-13.1693687,T
walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0,F
walk_transit_CBD_ASC_school,0,F
walk_transit_CBD_ASC_univ,1.568,F
walk_transit_CBD_ASC_work,0.268,F
walk_transit_CBD_ASC_atwork,0.282,F
drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0,F
drive_transit_CBD_ASC_school,0,F
drive_transit_CBD_ASC_univ,1.568,F
drive_transit_CBD_ASC_work,0.603,F
drive_transit_CBD_ASC_atwork,0,F
commuter_rail_ASC_eatout,2.2934919476846907,F
commuter_rail_ASC_escort,2.022804873775887,F
