Label,Description,Expression,0_car,1_car_1HV,1_car_1AV,2_cars_2HV,2_cars_2AV,2_cars_1HV1AV,3_cars_3HV,3_cars_3AV,3_cars_2HV1AV,3_cars_1HV2AV,4+_cars_4HV
util_drivers_2,2 Adults (age 16+),num_drivers==2,,,,coef_2_cars_2HV_util_drivers_2,coef_2_cars_2AV_util_drivers_2,coef_2_cars_1HV1AV_util_drivers_2,coef_3_cars_3HV_util_drivers_2,coef_3_cars_3AV_util_drivers_2,coef_3_cars_2HV1AV_util_drivers_2,coef_3_cars_1HV2AV_util_drivers_2,coef_4plus_cars_4HV_util_drivers_2
util_drivers_3,3 Adults (age 16+),num_drivers==3,,,,coef_2_cars_2HV_util_drivers_3,coef_2_cars_2AV_util_drivers_3,coef_2_cars_1HV1AV_util_drivers_3,coef_3_cars_3HV_util_drivers_3,coef_3_cars_3AV_util_drivers_3,coef_3_cars_2HV1AV_util_drivers_3,coef_3_cars_1HV2AV_util_drivers_3,coef_4plus_cars_4HV_util_drivers_3
util_drivers_4_up,4+ Adults (age 16+),num_drivers>3,,coef_1_car_1HV_util_drivers_4_up,coef_1_car_1AV_util_drivers_4_up,coef_2_cars_2HV_util_drivers_4_up,coef_2_cars_2AV_util_drivers_4_up,coef_2_cars_1HV1AV_util_drivers_4_up,coef_3_cars_3HV_util_drivers_4_up,coef_3_cars_3AV_util_drivers_4_up,coef_3_cars_2HV1AV_util_drivers_4_up,coef_3_cars_1HV2AV_util_drivers_4_up,coef_4plus_cars_4HV_util_drivers_4_up
util_persons_16_17,Persons age 16-17,num_children_16_to_17,,,,coef_2_cars_2HV_util_persons_16_17,coef_2_cars_2AV_util_persons_16_17,coef_2_cars_1HV1AV_util_persons_16_17,coef_3_cars_3HV_util_persons_16_17,coef_3_cars_3AV_util_persons_16_17,coef_3_cars_2HV1AV_util_persons_16_17,coef_3_cars_1HV2AV_util_persons_16_17,coef_4plus_cars_4HV_util_persons_16_17
util_persons_18_24,Persons age 18-24,num_college_age,,coef_1_car_1HV_util_persons_18_24,coef_1_car_1AV_util_persons_18_24,coef_2_cars_2HV_util_persons_18_24,coef_2_cars_2AV_util_persons_18_24,coef_2_cars_1HV1AV_util_persons_18_24,coef_3_cars_3HV_util_persons_18_24,coef_3_cars_3AV_util_persons_18_24,coef_3_cars_2HV1AV_util_persons_18_24,coef_3_cars_1HV2AV_util_persons_18_24,coef_4plus_cars_4HV_util_persons_18_24
util_persons_25_34,Persons age 35-34,num_young_adults,,,,coef_2_cars_2HV_util_persons_25_34,coef_2_cars_2AV_util_persons_25_34,coef_2_cars_1HV1AV_util_persons_25_34,coef_3_cars_3HV_util_persons_25_34,coef_3_cars_3AV_util_persons_25_34,coef_3_cars_2HV1AV_util_persons_25_34,coef_3_cars_1HV2AV_util_persons_25_34,coef_4plus_cars_4HV_util_persons_25_34
util_presence_children_0_4,Presence of children age 0-4,num_young_children>0,,coef_1_car_1HV_util_presence_children_0_4,coef_1_car_1AV_util_presence_children_0_4,coef_2_cars_2HV_util_presence_children_0_4,coef_2_cars_2AV_util_presence_children_0_4,coef_2_cars_1HV1AV_util_presence_children_0_4,coef_3_cars_3HV_util_presence_children_0_4,coef_3_cars_3AV_util_presence_children_0_4,coef_3_cars_2HV1AV_util_presence_children_0_4,coef_3_cars_1HV2AV_util_presence_children_0_4,coef_4plus_cars_4HV_util_presence_children_0_4
util_presence_children_5_17,Presence of children age 5-17,(num_children_5_to_15+num_children_16_to_17)>0,,coef_1_car_1HV_util_presence_children_5_17,coef_1_car_1AV_util_presence_children_5_17,coef_2_cars_2HV_util_presence_children_5_17,coef_2_cars_2AV_util_presence_children_5_17,coef_2_cars_1HV1AV_util_presence_children_5_17,coef_3_cars_3HV_util_presence_children_5_17,coef_3_cars_3AV_util_presence_children_5_17,coef_3_cars_2HV1AV_util_presence_children_5_17,coef_3_cars_1HV2AV_util_presence_children_5_17,coef_4plus_cars_4HV_util_presence_children_5_17
util_num_workers_clip_3,"Number of workers, capped at 3",@df.num_workers.clip(upper=3),,,,coef_2_cars_2HV_util_num_workers_clip_3,coef_2_cars_2AV_util_num_workers_clip_3,coef_2_cars_1HV1AV_util_num_workers_clip_3,coef_3_cars_3HV_util_num_workers_clip_3,coef_3_cars_3AV_util_num_workers_clip_3,coef_3_cars_2HV1AV_util_num_workers_clip_3,coef_3_cars_1HV2AV_util_num_workers_clip_3,coef_4plus_cars_4HV_util_num_workers_clip_3
util_hh_income_0_30k,"Piecewise Linear household income, $0-30k","@df.income_in_thousands.clip(0, 30)",,coef_1_car_1HV_util_hh_income_0_30k,coef_1_car_1AV_util_hh_income_0_30k,coef_2_cars_2HV_util_hh_income_0_30k,coef_2_cars_2AV_util_hh_income_0_30k,coef_2_cars_1HV1AV_util_hh_income_0_30k,coef_3_cars_3HV_util_hh_income_0_30k,coef_3_cars_3AV_util_hh_income_0_30k,coef_3_cars_2HV1AV_util_hh_income_0_30k,coef_3_cars_1HV2AV_util_hh_income_0_30k,coef_4plus_cars_4HV_util_hh_income_0_30k
