A,B,Parallel_Corridor
1608,1616,Periphery_SR4_AM
1608,8015,Periphery_SR4_PM
1609,1610,Periphery_SR4_PM
1609,8015,Periphery_SR4_AM
1610,1609,Periphery_SR4_AM
1610,1639,Periphery_SR4_PM
1616,1608,Periphery_SR4_PM
1616,15953,Periphery_SR4_AM
1633,1639,EastBay_68024980_AM
1638,1801,EastBay_68024980_PM
1638,3535,EastBay_68024980_AM
1639,1610,Periphery_SR4_AM
1639,1633,EastBay_68024980_PM
1639,1801,EastBay_68024980_AM
1639,1811,Periphery_SR4_PM
1801,1638,EastBay_68024980_AM
1801,1639,EastBay_68024980_PM
1811,1639,Periphery_SR4_AM
1811,1812,Periphery_SR4_PM
1812,1811,Periphery_SR4_AM
1812,1814,Periphery_SR4_PM
1814,1812,Periphery_SR4_AM
1814,1815,Periphery_SR4_PM
1815,1814,Periphery_SR4_AM
1815,1816,Periphery_SR4_PM
1816,1815,Periphery_SR4_AM
1931,11535,EastBay_Outer80_AM
1953,1956,EastBay_68024980_PM
1956,1953,EastBay_68024980_AM
1956,8149,EastBay_68024980_PM
1957,1970,EastBay_68024980_PM
1957,8149,EastBay_68024980_AM
1970,1957,EastBay_68024980_AM
1970,1975,EastBay_68024980_PM
1975,1970,EastBay_68024980_AM
1975,8141,EastBay_68024980_PM
1976,1981,EastBay_68024980_PM
1976,8141,EastBay_68024980_AM
1981,1976,EastBay_68024980_AM
1981,1987,EastBay_68024980_PM
1985,8056,EastBay_68024980_PM
1985,10329,EastBay_68024980_AM
1987,1981,EastBay_68024980_AM
1987,10331,EastBay_68024980_PM
1998,8050,EastBay_68024980_PM
1998,8056,EastBay_68024980_AM
2004,2005,EastBay_68024980_PM
2004,8050,EastBay_68024980_AM
2005,2004,EastBay_68024980_AM
2005,8051,EastBay_68024980_PM
2272,2311,EastBay_Outer80_AM
2305,2395,EastBay_Outer80_AM
2310,2305,EastBay_Outer80_AM
2311,1931,EastBay_Outer80_AM
2334,2407,EastBay_Outer80_AM
2395,2401,EastBay_Outer80_AM
2401,2334,EastBay_Outer80_AM
2407,2334,EastBay_Outer80_PM
2407,2412,EastBay_Outer80_AM
2408,2412,EastBay_Outer80_PM
2408,11544,EastBay_Outer80_AM
2412,2407,EastBay_Outer80_PM
2412,2408,EastBay_Outer80_AM
2414,2427,EastBay_Outer80_AM
2414,11544,EastBay_Outer80_PM
2427,2414,EastBay_Outer80_PM
2427,2430,EastBay_Outer80_AM
2429,2430,EastBay_Outer80_PM
2429,2492,EastBay_Outer80_AM
2430,2427,EastBay_Outer80_PM
2430,2429,EastBay_Outer80_AM
2492,2429,EastBay_Outer80_PM
2492,2493,EastBay_Outer80_AM
2493,2492,EastBay_Outer80_PM
2493,2536,EastBay_Outer80_AM
2535,2536,EastBay_Outer80_PM
2535,2619,EastBay_Outer80_AM
2536,2493,EastBay_Outer80_PM
2536,2535,EastBay_Outer80_AM
2618,12062,EastBay_Outer80_PM
2618,12069,EastBay_Outer80_AM
2619,2535,EastBay_Outer80_PM
2619,12062,EastBay_Outer80_AM
2641,2643,EastBay_Inner580_PM
2642,2657,EastBay_Outer80_PM
2643,2641,EastBay_Inner580_AM
2643,2694,EastBay_Inner580_PM
2657,2642,EastBay_Outer80_AM
2657,2658,EastBay_Outer80_PM
2658,2657,EastBay_Outer80_AM
2658,2659,EastBay_Outer80_PM
2659,2658,EastBay_Outer80_AM
2659,12069,EastBay_Outer80_PM
2687,2688,EastBay_Inner580_AM
2687,2914,EastBay_Inner580_PM
2688,2687,EastBay_Inner580_PM
2688,2690,EastBay_Inner580_AM
2690,2688,EastBay_Inner580_PM
2690,2694,EastBay_Inner580_AM
2694,2643,EastBay_Inner580_AM
2694,2690,EastBay_Inner580_PM
2742,2862,EastBay_InnerBBApproach80580880_AM
2753,2754,EastBay_InnerBBApproach80580880_PM
2754,2753,EastBay_InnerBBApproach80580880_AM
2754,2862,EastBay_InnerBBApproach80580880_PM
2775,2776,EastBay_880680_PM
2775,3918,EastBay_880680_AM
2776,2775,EastBay_880680_AM
2776,12007,EastBay_880680_PM
2862,2742,EastBay_InnerBBApproach80580880_PM
2862,2754,EastBay_InnerBBApproach80580880_AM
2909,2910,EastBay_Inner580_AM
2910,2909,EastBay_Inner580_PM
2910,2913,EastBay_Inner580_AM
2913,2910,EastBay_Inner580_PM
2913,2914,EastBay_Inner580_AM
2914,2687,EastBay_Inner580_AM
2914,2913,EastBay_Inner580_PM
3070,3683,EastBay_880680_PM
3070,3684,EastBay_880680_AM
3139,3716,EastBay_880680_PM
3139,3728,EastBay_880680_AM
3222,3646,EastBay_880680_AM
3222,3647,EastBay_880680_PM
3223,3647,EastBay_880680_AM
3223,3648,EastBay_880680_PM
3242,3286,EastBay_880680_PM
3242,3741,EastBay_880680_AM
3286,3242,EastBay_880680_AM
3286,3290,EastBay_880680_PM
3290,3286,EastBay_880680_AM
3290,3728,EastBay_880680_PM
3410,3417,EastBay_880680_AM
3417,3410,EastBay_880680_PM
3417,3531,EastBay_880680_AM
3492,3507,EastBay_Outer580_AM
3492,3532,EastBay_Outer580_PM
3497,3508,EastBay_Outer580_PM
3507,3492,EastBay_Outer580_PM
3507,3509,EastBay_Outer580_AM
3508,3497,EastBay_Outer580_AM
3508,3509,EastBay_Outer580_PM
3509,3507,EastBay_Outer580_PM
3509,3508,EastBay_Outer580_AM
3531,3417,EastBay_880680_PM
3531,3592,EastBay_880680_AM
3532,3492,EastBay_Outer580_AM
3535,1638,EastBay_68024980_PM
3535,8051,EastBay_68024980_AM
3540,3592,EastBay_880680_PM
3540,3645,EastBay_880680_AM
3557,3561,EastBay_880680_PM
3557,3875,EastBay_880680_AM
3561,3557,EastBay_880680_AM
3561,3574,EastBay_880680_PM
3574,3561,EastBay_880680_AM
3574,3923,EastBay_880680_PM
3592,3531,EastBay_880680_PM
3592,3540,EastBay_880680_AM
3618,3645,EastBay_880680_PM
3618,3648,EastBay_880680_AM
3645,3540,EastBay_880680_PM
3645,3618,EastBay_880680_AM
3646,3222,EastBay_880680_PM
3646,3660,EastBay_880680_AM
3647,3222,EastBay_880680_AM
3647,3223,EastBay_880680_PM
3648,3223,EastBay_880680_AM
3648,3618,EastBay_880680_PM
3660,3646,EastBay_880680_PM
3660,3683,EastBay_880680_AM
3683,3070,EastBay_880680_AM
3683,3660,EastBay_880680_PM
3684,3070,EastBay_880680_PM
3684,12180,EastBay_880680_AM
3716,3139,EastBay_880680_AM
3717,12180,EastBay_880680_PM
3728,3139,EastBay_880680_PM
3728,3290,EastBay_880680_AM
3741,3242,EastBay_880680_PM
3741,12185,EastBay_880680_AM
3758,3891,EastBay_880680_AM
3758,3892,EastBay_880680_PM
3789,12152,EastBay_880680_PM
3875,3557,EastBay_880680_PM
3875,3893,EastBay_880680_AM
3891,3758,EastBay_880680_PM
3891,12007,EastBay_880680_AM
3892,3758,EastBay_880680_AM
3892,3893,EastBay_880680_PM
3893,3875,EastBay_880680_PM
3893,3892,EastBay_880680_AM
3918,2775,EastBay_880680_PM
3918,12152,EastBay_880680_AM
3923,3574,EastBay_880680_AM
3923,12185,EastBay_880680_PM
3977,12225,Periphery_580_PM
3977,20438,Periphery_580_AM
3980,20438,Periphery_580_PM
3987,4038,Periphery_580_AM
3987,15969,Periphery_580_PM
4021,4504,Periphery_101SouthBay_AM
4021,11210,Periphery_101SouthBay_PM
4038,3987,Periphery_580_PM
4038,12225,Periphery_580_AM
4154,15985,Periphery_101SouthBay_AM
4193,5651,SouthBay_Inner_PM
4193,5652,SouthBay_Inner_AM
4195,4196,SouthBay_Inner_PM
4195,5651,SouthBay_Inner_AM
4196,4195,SouthBay_Inner_AM
4196,12567,SouthBay_Inner_PM
4201,4202,Periphery_101SouthBay_PM
4201,11211,Periphery_101SouthBay_AM
4202,4201,Periphery_101SouthBay_AM
4202,4504,Periphery_101SouthBay_PM
4212,4214,Periphery_101SouthBay_PM
4214,4212,Periphery_101SouthBay_AM
4214,4220,Periphery_101SouthBay_PM
4220,4214,Periphery_101SouthBay_AM
4220,4221,Periphery_101SouthBay_PM
4221,4220,Periphery_101SouthBay_AM
4221,11211,Periphery_101SouthBay_PM
4238,4246,Periphery_101SouthBay_AM
4243,4262,Periphery_101SouthBay_AM
4243,4266,Periphery_101SouthBay_PM
4244,4262,Periphery_101SouthBay_PM
4244,4305,Periphery_101SouthBay_AM
4245,4246,Periphery_101SouthBay_PM
4245,4266,Periphery_101SouthBay_AM
4246,4238,Periphery_101SouthBay_PM
4246,4245,Periphery_101SouthBay_AM
4251,4253,SouthBay_Inner_PM
4251,5793,SouthBay_Inner_AM
4253,4251,SouthBay_Inner_AM
4253,5097,SouthBay_Inner_PM
4262,4243,Periphery_101SouthBay_PM
4262,4244,Periphery_101SouthBay_AM
4266,4243,Periphery_101SouthBay_AM
4266,4245,Periphery_101SouthBay_PM
4305,4244,Periphery_101SouthBay_PM
4305,4315,Periphery_101SouthBay_AM
4315,4305,Periphery_101SouthBay_PM
4315,4316,Periphery_101SouthBay
4316,4315,Periphery_101SouthBay_PM
4316,5497,SouthBay_Outer10187_AM
4338,5494,SouthBay_Outer10187_AM
4338,5497,SouthBay_Outer10187_PM
4343,4345,SouthBay_Outer10187_AM
4343,5494,SouthBay_Outer10187_PM
4345,4343,SouthBay_Outer10187_PM
4345,4349,SouthBay_Outer10187_AM
4349,4345,SouthBay_Outer10187_PM
4349,4681,SouthBay_Outer10187_AM
4413,4451,SouthBay_Outer10187_AM
4413,4681,SouthBay_Outer10187_PM
4446,4447,SouthBay_Outer10187_AM
4446,4451,SouthBay_Outer10187_PM
4447,4446,SouthBay_Outer10187_PM
4447,4448,SouthBay_Outer10187_AM
4448,4447,SouthBay_Outer10187_PM
4448,4476,SouthBay_Outer10187_AM
4451,4413,SouthBay_Outer10187_PM
4451,4446,SouthBay_Outer10187_AM
4473,4477,SouthBay_Outer10187_PM
4476,4448,SouthBay_Outer10187_PM
4476,4477,SouthBay_Outer10187_AM
4477,4473,SouthBay_Outer10187_AM
4477,4476,SouthBay_Outer10187_PM
4504,4021,Periphery_101SouthBay_PM
4504,4202,Periphery_101SouthBay_AM
4606,5588,SouthBay_Outer280680_AM
4606,5897,SouthBay_Outer280680_PM
4659,4662,SouthBay_Outer280680_PM
4659,4700,SouthBay_Outer280680_AM
4662,4659,SouthBay_Outer280680_AM
4662,4663,SouthBay_Outer280680_PM
4663,4662,SouthBay_Outer280680_AM
4673,5567,SouthBay_Outer280680_PM
4681,4349,SouthBay_Outer10187_PM
4681,4413,SouthBay_Outer10187_AM
4687,4704,SouthBay_Outer280680_PM
4687,5372,SouthBay_Outer280680_AM
4700,4659,SouthBay_Outer280680_PM
4700,4702,SouthBay_Outer280680_AM
4702,4700,SouthBay_Outer280680_PM
4702,4703,SouthBay_Outer280680_AM
4703,4702,SouthBay_Outer280680_PM
4703,4704,SouthBay_Outer280680_AM
4704,4687,SouthBay_Outer280680_AM
4704,4703,SouthBay_Outer280680_PM
4845,5371,SouthBay_Outer280680_PM
4845,12694,SouthBay_Outer280680_AM
4945,4973,SouthBay_Outer280680_AM
4945,5024,SouthBay_Outer280680_PM
4960,4961,SouthBay_Outer280680_PM
4960,4968,SouthBay_Outer280680_AM
4961,4960,SouthBay_Outer280680_AM
4961,4962,SouthBay_Outer280680_PM
4962,4961,SouthBay_Outer280680_AM
4962,4973,SouthBay_Outer280680_PM
4968,4960,SouthBay_Outer280680_PM
4968,5166,SouthBay_Outer280680_AM
4973,4945,SouthBay_Outer280680_PM
4973,4962,SouthBay_Outer280680_AM
5014,5017,SouthBay_Outer280680_AM
5014,5240,SouthBay_Outer280680_PM
5017,5014,SouthBay_Outer280680_PM
5017,5024,SouthBay_Outer280680_AM
5024,4945,SouthBay_Outer280680_AM
5024,5017,SouthBay_Outer280680_PM
5097,4253,SouthBay_Inner_AM
5125,5127,SouthBay_Outer280680_PM
5125,5147,SouthBay_Outer280680_AM
5127,5125,SouthBay_Outer280680_AM
5127,12694,SouthBay_Outer280680_PM
5147,5125,SouthBay_Outer280680_PM
5166,4968,SouthBay_Outer280680_PM
5166,5190,SouthBay_Outer280680_AM
5167,5190,SouthBay_Outer280680_PM
5190,5166,SouthBay_Outer280680_PM
5190,5167,SouthBay_Outer280680_AM
5235,5241,SouthBay_Outer280680_AM
5240,5014,SouthBay_Outer280680_AM
5240,5241,SouthBay_Outer280680_PM
5241,5235,SouthBay_Outer280680_PM
5241,5240,SouthBay_Outer280680_AM
5303,5700,SouthBay_Inner_AM
5303,5702,SouthBay_Inner_PM
5370,5371,SouthBay_Outer280680_AM
5370,5376,SouthBay_Outer280680_PM
5371,4845,SouthBay_Outer280680_AM
5371,5370,SouthBay_Outer280680_PM
5372,4687,SouthBay_Outer280680_PM
5372,5376,SouthBay_Outer280680_AM
5376,5370,SouthBay_Outer280680_AM
5376,5372,SouthBay_Outer280680_PM
5437,5679,SouthBay_Inner_PM
5437,12567,SouthBay_Inner_AM
5494,4338,SouthBay_Outer10187_PM
5494,4343,SouthBay_Outer10187_AM
5497,4316,SouthBay_Outer10187_PM
5497,4338,SouthBay_Outer10187_AM
5563,5566,SouthBay_Outer280680_AM
5563,5579,SouthBay_Outer280680_PM
5566,5563,SouthBay_Outer280680_PM
5566,5567,SouthBay_Outer280680_AM
5567,4673,SouthBay_Outer280680_AM
5567,5566,SouthBay_Outer280680_PM
5579,5563,SouthBay_Outer280680_AM
5579,5590,SouthBay_Outer280680_PM
5588,4606,SouthBay_Outer280680_PM
5588,5590,SouthBay_Outer280680_AM
5590,5579,SouthBay_Outer280680_AM
5590,5588,SouthBay_Outer280680_PM
5651,4193,SouthBay_Inner_AM
5651,4195,SouthBay_Inner_PM
5652,4193,SouthBay_Inner_PM
5675,5676,SouthBay_Inner_PM
5675,5704,SouthBay_Inner_AM
5676,5675,SouthBay_Inner_AM
5676,5741,SouthBay_Inner_PM
5679,5437,SouthBay_Inner_AM
5679,5793,SouthBay_Inner_PM
5683,5709,SouthBay_Inner_AM
5683,5800,SouthBay_Inner_PM
5687,5702,SouthBay_Inner_AM
5687,5704,SouthBay_Inner_PM
5700,5303,SouthBay_Inner_PM
5702,5303,SouthBay_Inner_AM
5702,5687,SouthBay_Inner_PM
5704,5675,SouthBay_Inner_PM
5704,5687,SouthBay_Inner_AM
5709,5683,SouthBay_Inner_PM
5709,5741,SouthBay_Inner_AM
5741,5676,SouthBay_Inner_AM
5741,5709,SouthBay_Inner_PM
5793,4251,SouthBay_Inner_PM
5793,5679,SouthBay_Inner_AM
5800,5683,SouthBay_Inner_AM
5882,5896,SouthBay_Outer280680_PM
5882,5897,SouthBay_Outer280680_AM
5885,5983,SanMateo_101_PM_SanMateo_28092_PM
5896,5882,SouthBay_Outer280680_AM
5897,4606,SouthBay_Outer280680_AM
5897,5882,SouthBay_Outer280680_PM
5976,5983,SanMateo_101_AM_SanMateo_28092_AM
5976,6018,SanMateo_101_PM_SanMateo_28092_PM
5983,5885,SanMateo_101_AM_SanMateo_28092_AM
5983,5976,SanMateo_101_PM_SanMateo_28092_PM
5992,6018,SanMateo_101_AM_SanMateo_28092_AM
5992,6097,SanMateo_101_PM_SanMateo_28092_PM
6005,6011,SanMateo_101_PM_SanMateo_28092_PM
6005,6097,SanMateo_101_AM_SanMateo_28092_AM
6011,6005,SanMateo_101_AM_SanMateo_28092_AM
6018,5976,SanMateo_101_AM_SanMateo_28092_AM
6018,5992,SanMateo_101_PM_SanMateo_28092_PM
6097,5992,SanMateo_101_AM_SanMateo_28092_AM
6097,6005,SanMateo_101_PM_SanMateo_28092_PM
6125,6126,SanMateo_101_PM_SanMateo_28092_PM
6126,6125,SanMateo_101_AM_SanMateo_28092_AM
6126,6127,SanMateo_101_PM_SanMateo_28092_PM
6127,6126,SanMateo_101_AM_SanMateo_28092_AM
6127,6129,SanMateo_101_PM_SanMateo_28092_PM
6129,6127,SanMateo_101_AM_SanMateo_28092_AM
6129,13024,SanMateo_101_PM_SanMateo_28092_PM
6134,6136,SanMateo_101_PM_SanMateo_28092_PM
6134,13024,SanMateo_101_AM_SanMateo_28092_AM
6135,6136,SanMateo_101_AM_SanMateo_28092_AM
6135,6313,SanMateo_101_PM_SanMateo_28092_PM
6136,6134,SanMateo_101_AM_SanMateo_28092_AM
6136,6135,SanMateo_101_PM_SanMateo_28092_PM
6164,6165,SanMateo_101_AM_SanMateo_28092_AM
6164,6172,SanMateo_101_PM_SanMateo_28092_PM
6165,6164,SanMateo_101_PM_SanMateo_28092_PM
6165,6169,SanMateo_101_AM_SanMateo_28092_AM
6169,6165,SanMateo_101_PM_SanMateo_28092_PM
6169,6176,SanMateo_101_AM_SanMateo_28092_AM
6172,6164,SanMateo_101_AM_SanMateo_28092_AM
6172,6186,SanMateo_101_PM_SanMateo_28092_PM
6176,6169,SanMateo_101_PM_SanMateo_28092_PM
6176,6313,SanMateo_101_AM_SanMateo_28092_AM
6186,6172,SanMateo_101_AM_SanMateo_28092_AM
6186,13008,SanMateo_101_PM_SanMateo_28092_PM
6236,6415,SanMateo_101_AM_SanMateo_28092_AM
6236,6543,SanMateo_101_PM_SanMateo_28092_PM
6302,6309,SanMateo_101_PM_SanMateo_28092_PM
6302,6354,SanMateo_101_AM_SanMateo_28092_AM
6309,6302,SanMateo_101_AM_SanMateo_28092_AM
6309,13034,SanMateo_101_PM_SanMateo_28092_PM
6310,6329,SanMateo_101_AM_SanMateo_28092_AM
6310,6414,SanMateo_101_PM_SanMateo_28092_PM
6313,6135,SanMateo_101_AM_SanMateo_28092_AM
6313,6176,SanMateo_101_PM_SanMateo_28092_PM
6329,6310,SanMateo_101_PM_SanMateo_28092_PM
6329,13034,SanMateo_101_AM_SanMateo_28092_AM
6354,6302,SanMateo_101_PM_SanMateo_28092_PM
6354,6689,SanMateo_101_AM_SanMateo_28092_AM
6364,6689,SanMateo_101_PM_SanMateo_28092_PM
6364,13043,SanMateo_101_AM_SanMateo_28092_AM
6366,6367,SanMateo_101_AM_SanMateo_28092_AM
6366,13043,SanMateo_101_PM_SanMateo_28092_PM
6367,6366,SanMateo_101_PM_SanMateo_28092_PM
6367,13008,SanMateo_101_AM_SanMateo_28092_AM
6407,6600,SFOSanMateo_101_AM
6407,6607,SFOSanMateo_101_PM
6412,6414,SanMateo_101_AM_SanMateo_28092_AM
6412,6415,SanMateo_101_PM_SanMateo_28092_PM
6414,6310,SanMateo_101_AM_SanMateo_28092_AM
6414,6412,SanMateo_101_PM_SanMateo_28092_PM
6415,6236,SanMateo_101_PM_SanMateo_28092_PM
6415,6412,SanMateo_101_AM_SanMateo_28092_AM
6425,6535,SanMateo_101_PM_SanMateo_28092_PM
6425,6544,SanMateo_101_AM_SanMateo_28092_AM
6476,6590,SFOSanMateo_280380_AM
6476,6614,SFOSanMateo_280380_PM
6482,6486,SanMateo_101_PM_SanMateo_28092_PM
6482,6511,SanMateo_101_AM_SanMateo_28092_AM
6484,6489,SFOSanMateo_280380_AM
6484,6590,SFOSanMateo_280380_PM
6486,6482,SanMateo_101_AM_SanMateo_28092_AM
6486,6489,SanMateo_101_PM_SanMateo_28092_PM
6489,6484,SFOSanMateo_280380_PM
6489,6486,SanMateo_101_AM_SanMateo_28092_AM
6511,6482,SanMateo_101_PM_SanMateo_28092_PM
6511,6512,SanMateo_101_AM_SanMateo_28092_AM
6512,6511,SanMateo_101_PM_SanMateo_28092_PM
6512,6619,SanMateo_101_AM_SanMateo_28092_AM
6529,6531,SanMateo_101_AM_SanMateo_28092_AM
6529,6532,SanMateo_101_PM_SanMateo_28092_PM
6531,6529,SanMateo_101_PM_SanMateo_28092_PM
6531,6535,SanMateo_101_AM_SanMateo_28092_AM
6532,6529,SanMateo_101_AM_SanMateo_28092_AM
6532,6619,SanMateo_101_PM_SanMateo_28092_PM
6535,6425,SanMateo_101_AM_SanMateo_28092_AM
