"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Bike","Share of Tours",0.060449738680692
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Bike","Share of Tours",0.0181976656541747
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Zero-Auto","Tour Mode","Bike","Share of Tours",0.0369186375489206
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Drive Alone","Share of Tours",0.279158953395616
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Drive Alone","Share of Tours",0.497074589987855
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Other","Share of Tours",0.00628924011382927
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Other","Share of Tours",0.00876139872598017
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","PNR-Transit","Share of Tours",0.00668895479852734
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Shared 2 Free","Share of Tours",0.0828075701259232
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Shared 2 Free","Share of Tours",0.159171588238989
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Shared 3 Free","Share of Tours",0.010282662390816
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Shared 3 Free","Share of Tours",0.0652364991439886
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Zero-Auto","Tour Mode","Shared 3 Free","Share of Tours",0.0060266784829735
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Taxi","Share of Tours",0.00119644415712964
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Taxi","Share of Tours",0.00106996774286584
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Zero-Auto","Tour Mode","Taxi","Share of Tours",0.0139817267288431
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Walk","Share of Tours",0.559815391135994
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Walk","Share of Tours",0.242590250604259
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Zero-Auto","Tour Mode","Walk","Share of Tours",0.76371753537777
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Walk-Transit","Share of Tours",0.0012090851033599
"CHTS","Share of At-Work tours by auto sufficiency and tour mode","Auto Sufficiency","Zero-Auto","Tour Mode","Walk-Transit","Share of Tours",0.179355421861492
"CHTS","Share of Discretionary tours by auto sufficiency and tour mode","Auto Sufficiency","Insufficient","Tour Mode","Bike","Share of Tours",0.0917055223912237
"CHTS","Share of Discretionary tours by auto sufficiency and tour mode","Auto Sufficiency","Sufficient","Tour Mode","Bike","Share of Tours",0.0238082037530348
