"tour_purpose","average_duration"
"At-Work",0.986966368609815
"Discretionary",3.06017223558339
"Eat Out",1.98386736591039
"Escorting",1.01384515201189
"Maintenance",2.68754072136679
"School",7.91759706255013
"Shopping",1.91739892653293
"Social/Visit",3.11796868922111
"University",6.34769678497858
"Work",9.0438815670306
