"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[0-1]","Share of Tours",0.435223678672898
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[1-2]","Share of Tours",0.125621924128142
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[2-3]","Share of Tours",0.112682123133467
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[3-4]","Share of Tours",0.0667544876657478
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[4-5]","Share of Tours",0.0689258124961286
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[5-6]","Share of Tours",0.0426978392815413
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[6-7]","Share of Tours",0.0172726781007276
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[7-8]","Share of Tours",0.012862850713988
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[8-9]","Share of Tours",0.00909535614346837
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[9-10]","Share of Tours",0.0192658991305339
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[10-11]","Share of Tours",0.0206485860851139
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[11-12]","Share of Tours",0.0148208264842599
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[12-13]","Share of Tours",0.00477100437384329
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[13-14]","Share of Tours",0.00401691364728872
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[14-15]","Share of Tours",0.0035150808256628
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[15-16]","Share of Tours",0.00109169819465458
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[16-17]","Share of Tours",0.00480405677167774
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[17-18]","Share of Tours",0.00149485493601654
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[18-19]","Share of Tours",0.00184877037510736
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[19-20]","Share of Tours",0.00277308924393526
