"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[0-1]","Share of Tours",0.293448719945696
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[1-2]","Share of Tours",0.226009953855967
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[2-3]","Share of Tours",0.143806521267503
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[3-4]","Share of Tours",0.0878719990337639
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[4-5]","Share of Tours",0.0693703374786886
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[5-6]","Share of Tours",0.0423407016350762
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[6-7]","Share of Tours",0.0223969775159975
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[7-8]","Share of Tours",0.0239344087425463
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[8-9]","Share of Tours",0.0152765174290396
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[9-10]","Share of Tours",0.0107810892830148
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[10-11]","Share of Tours",0.0129057532043955
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[11-12]","Share of Tours",0.00690776158781771
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[12-13]","Share of Tours",0.00338394673872159
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[13-14]","Share of Tours",0.0111106845764779
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[14-15]","Share of Tours",0.00311468149495562
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[15-16]","Share of Tours",0.00363823763131896
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[16-17]","Share of Tours",0.00177544515097981
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[17-18]","Share of Tours",0.00617797806129444
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[18-19]","Share of Tours",0.000878795296886349
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[19-20]","Share of Tours",0.000746991853509135
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[20-21]","Share of Tours",0.00168715807466862
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[21-22]","Share of Tours",0.000685629051439947
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[22-23]","Share of Tours",0.00124110095334662
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[23-24]","Share of Tours",0.000249420318555761
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[25-26]","Share of Tours",0.00152181144292223
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[26-27]","Share of Tours",0.000057144355534963
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[27-28]","Share of Tours",0.00126539429364611
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[28-29]","Share of Tours",0.000618134209197337
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[29-30]","Share of Tours",0.00112667997224812
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[30-31]","Share of Tours",0.00255213331804826
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","School","Distance Bin (miles)","[34-35]","Share of Tours",0.0000604802270221742
