"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Tours by tour purpose and person type","Tour Purpose","At-Work","Person Type","Full-time worker","Number of Tours",403361.57628521
"CHTS","Tours by tour purpose and person type","Tour Purpose","At-Work","Person Type","Part-time worker","Number of Tours",67763.86943407
"CHTS","Tours by tour purpose and person type","Tour Purpose","At-Work","Person Type","University student","Number of Tours",17224.36499029
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Driving age student","Number of Tours",30806.8650335916
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Full-time worker","Number of Tours",309690.255217376
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Non-driving student","Number of Tours",140766.363346488
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Non-working adult","Number of Tours",368368.123698178
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Non-working senior","Number of Tours",238285.141808137
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Part-time worker","Number of Tours",168057.245542018
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","Pre-school","Number of Tours",117063.224155213
"CHTS","Tours by tour purpose and person type","Tour Purpose","Discretionary","Person Type","University student","Number of Tours",81774.0457333351
"CHTS","Tours by tour purpose and person type","Tour Purpose","Eat Out","Person Type","Driving age student","Number of Tours",2596.07680621925
"CHTS","Tours by tour purpose and person type","Tour Purpose","Eat Out","Person Type","Full-time worker","Number of Tours",131607.480346827
"CHTS","Tours by tour purpose and person type","Tour Purpose","Eat Out","Person Type","Non-driving student","Number of Tours",22032.0179429633
"CHTS","Tours by tour purpose and person type","Tour Purpose","Eat Out","Person Type","Non-working adult","Number of Tours",83307.4580222309
"CHTS","Tours by tour purpose and person type","Tour Purpose","Eat Out","Person Type","Non-working senior","Number of Tours",73669.7519101066
