tour_purpose,tours,average_distance
At-Work,481395,3.93
Discretionary,1379780,6.07
Eat Out,394956,4.48
Escorting,1096361,3.82
Maintenance,803578,6.47
School,1171409,3.32
Shopping,902354,4.39
Social/Visit,365584,7.64
University,262793,10.7
Work,2669875,13
