"COUNTY","County_Name","total_units_2010","total_units_2015","TOTHH_2010","TOTHH_2015"
1,"San Francisco",385334,390375,357928,358774
2,"San Mateo",275211,275118,258018,261800
3,"Santa Clara",664257,658221,612493,630308
4,"Alameda",561647,596864,551581,569024
5,"Contra Costa",402307,409118,368608,389597
6,"Solano",142796,155951,136733,147331
7,"Napa",55344,55476,46097,49065
8,"Sonoma",205988,207908,173653,190058
9,"Marin",112232,112607,103889,104848
