"work_county","agrempn","fpsempn","herempn","mwtempn","othempn","retempn"
"Alameda",1921,138309,253802,131092,81870,66171
"Contra Costa",3259,91077,144562,47394,44507,42611
"Marin",888,32394,48116,11954,16997,14189
"Napa",4762,9476,29663,13787,7986,7345
"San Francisco",1677,232852,234628,65954,101827,60457
"San Mateo",2126,104655,118645,70556,49878,37641
"Santa Clara",4944,249554,305609,218765,130364,86989
"Solano",1813,19506,51650,19273,22223,16252
"Sonoma",6176,37662,86231,37276,27926,26515
