"zone_id","agrempn","fpsempn","herempn","mwtempn","othempn","retempn"
1,17,19494,2426,308,2301,401
2,66,28872,3430,1801,4051,550
3,2,3084,1395,120,589,166
4,45,11935,2619,2167,3193,779
5,6,5517,5724,751,3662,2839
6,2,764,2407,65,269,119
7,4,1239,7388,221,290,326
8,14,761,3095,69,623,177
9,0,3831,8596,442,17955,218
10,2,1425,1427,221,3674,535
11,0,2071,2990,388,2213,2785
12,164,6885,5274,433,2718,542
13,0,9457,1344,1328,2206,429
14,12,12023,729,1362,5759,495
15,17,7851,2205,321,3481,238
16,101,11304,5423,945,4902,1631
17,9,3381,1250,678,2395,264
18,27,3380,1577,850,1162,349
19,0,1283,1840,1007,2847,1256
20,2,1088,1248,847,1404,384
21,77,2887,1945,259,3357,382
22,10,11880,3512,587,1599,442
23,3,3818,794,2167,2483,229
24,32,10071,1962,846,3289,230
25,0,458,1396,188,385,339
26,0,337,572,108,133,128
27,0,179,1202,56,103,157
28,0,1342,432,27,132,28
29,2,198,1771,13,209,18
30,0,245,998,109,271,131
31,0,1109,2044,65,224,145
32,0,387,1229,111,261,235
33,2,306,627,85,271,149
34,2,261,518,55,192,196
35,0,306,219,45,103,36
36,0,430,1323,135,450,343
37,0,1214,1082,224,306,266
38,0,1690,583,231,537,185
39,0,237,753,374,190,64
40,5,589,1813,117,204,1014
41,14,1676,4624,983,515,737
42,0,114,135,64,465,19
43,12,477,690,73,993,184
44,2,1763,1182,2149,400,126
45,2,1239,1647,283,1053,503
46,0,758,841,75,435,102
47,3,397,2911,96,359,226
48,21,286,723,12,83,50
49,17,553,477,27,139,38
50,4,694,1545,127,983,432
51,3,1206,238,21,183,25
52,6,1324,1465,419,1108,23
53,35,96,2310,11,414,163
54,2,350,676,83,180,251
55,0,193,79,11,65,48
56,0,19,486,0,90,3
57,7,263,68,21,38,5
58,2,224,651,41,203,234
59,0,358,859,71,218,42
60,3,132,120,29,99,22
61,2,241,373,21,836,67
62,4,536,865,124,403,157
63,0,299,601,47,154,80
64,0,473,489,54,260,160
65,0,519,800,118,487,336
66,2,318,991,222,264,260
67,2,265,216,32,169,68
68,0,120,352,18,92,53
69,0,1127,3138,182,314,462
70,0,767,1750,197,1177,568
71,21,661,1692,102,363,205
72,2,317,1090,59,133,87
73,0,345,1055,111,442,243
74,0,614,3314,95,305,251
75,0,1311,1749,126,676,341
76,8,628,1023,121,3507,123
77,3,435,1071,103,208,105
78,0,221,369,9,1131,28
79,2,614,3110,80,1481,173
80,0,140,222,16,115,24
81,0,358,1611,78,209,131
82,3,391,572,52,264,403
83,14,258,466,44,96,62
84,2,249,277,50,1306,129
85,0,391,423,60,289,326
86,0,427,1039,38,212,68
87,0,257,1008,17,152,51
88,0,302,858,112,226,400
89,0,425,484,175,194,134
90,0,234,7016,35,220,129
91,5,287,368,36,70,32
92,0,155,5232,20,674,7
93,0,376,308,50,206,68
94,0,608,876,47,254,235
95,0,401,363,33,873,43
96,4,184,192,22,104,56
97,0,224,353,36,121,31
98,2,441,458,64,129,201
99,0,145,368,15,97,97
100,0,477,1727,188,483,350
101,4,659,1636,201,800,432
102,0,229,287,92,145,24
103,0,294,434,39,227,112
104,7,1829,1119,47,355,277
105,2,383,586,37,168,89
106,4,792,1475,259,5032,493
107,0,2076,2592,1916,2707,1123
108,2,1038,1297,1419,2215,437
109,0,2445,1387,984,1695,415
110,30,679,1330,1335,2476,809
111,5,1029,1053,1015,1002,259
112,2,411,445,221,328,84
