"TAZ1454","emp_sec11","emp_sec21","emp_sec22","emp_sec23","emp_sec3133","emp_sec42","emp_sec4445","emp_sec4849","emp_sec51","emp_sec52","emp_sec53","emp_sec54","emp_sec55","emp_sec56","emp_sec61","emp_sec62","emp_sec71","emp_sec72","emp_sec81","emp_sec92","TOTEMP","AGREMPN","FPSEMPN","HEREMPN","MWTEMPN","OTHEMPN","RETEMPN"
1291,75,0,0,215,111,45,537,3,20,30,61,37,0,26,706,59,103,399,74,110,2611,75,154,1341,159,345,537
1292,34,0,5,967,2171,610,797,367,144,357,344,634,11,608,287,411,133,862,252,504,9498,34,1954,1945,3153,1615,797
1293,44,0,0,21,45,49,77,19,72,3,31,15,0,16,74,227,11,97,46,63,910,44,65,455,113,156,77
1294,15,0,0,185,573,71,57,25,6,0,16,395,0,6,932,19,54,57,38,43,2492,15,417,1100,669,234,57
1295,1,0,0,139,154,35,1111,256,60,58,72,56,3,107,164,62,69,540,212,44,3143,1,296,1047,445,243,1111
1296,107,0,0,60,58,5,88,5,48,8,19,47,0,15,75,31,5,73,142,0,786,107,89,326,68,108,88
1297,2,0,0,172,83,13,331,11,32,111,95,162,0,106,127,898,50,375,241,3,2812,2,474,1691,107,207,331
1298,2,0,19,242,293,70,1044,131,69,289,301,314,14,171,129,225,85,1022,460,295,5175,2,1089,1921,513,606,1044
1299,24,0,8,186,139,30,536,151,440,413,129,478,3,188,71,194,100,580,374,1360,5404,24,1211,1319,328,1986,536
1300,0,3,0,56,196,6,35,31,0,8,13,88,0,54,86,41,9,69,69,0,764,3,163,274,233,56,35
1301,0,0,0,250,74,58,247,60,0,54,31,183,0,158,53,722,21,168,145,1598,3822,0,426,1109,192,1848,247
1302,1,0,0,125,639,9,662,11,6,0,16,24,0,11,189,71,11,46,121,0,1942,1,51,438,659,131,662
1303,0,0,0,53,8,6,41,0,0,8,12,47,0,17,2,2,18,6,5,0,225,0,84,33,14,53,41
1304,0,0,5,57,9,10,80,10,5,19,66,64,0,12,128,174,2,93,143,0,877,0,161,540,34,62,80
1305,0,0,0,165,163,39,477,187,62,134,329,66,0,83,515,277,27,300,131,43,2998,0,612,1250,389,270,477
1306,81,0,6,846,278,244,1205,148,144,218,270,306,0,451,350,2198,231,315,226,5,7522,81,1245,3320,676,995,1205
1307,19,0,0,35,24,6,41,387,5,27,45,20,0,242,274,157,32,411,138,0,1863,19,334,1012,417,40,41
1308,121,0,0,72,571,15,18,23,37,11,11,37,0,40,143,26,23,17,28,23,1216,121,99,237,609,132,18
1309,105,0,0,73,798,26,80,4,0,40,50,52,4,18,57,38,43,317,124,11,1840,105,164,579,828,84,80
1310,28,0,0,67,242,33,174,59,22,33,31,29,0,72,45,873,63,1081,1464,138,4454,28,165,3526,334,227,174
1311,648,0,2,151,1033,17,94,7,6,20,20,167,4,34,68,24,177,773,57,32,3334,648,245,1099,1059,189,94
1312,57,0,3,247,48,0,24,10,0,0,12,48,0,9,10,1,35,19,10,32,565,57,69,75,61,279,24
1313,160,2,0,104,947,32,174,26,2,16,26,24,3,26,2543,561,4,292,122,155,5219,162,95,3522,1005,261,174
1314,263,0,5,303,1773,555,732,71,86,262,189,474,0,88,315,293,58,1282,343,71,7163,263,1013,2291,2404,460,732
1315,352,0,0,121,3883,73,226,9,12,13,16,44,3,64,1,84,2,231,36,174,5344,352,140,354,3965,307,226
1316,31,0,0,110,794,21,5,0,0,11,2,33,0,38,0,0,29,227,35,6,1342,31,84,291,815,116,5
1317,31,0,7,160,142,24,373,45,19,49,40,93,0,49,243,84,151,847,195,105,2657,31,231,1520,218,284,373
1318,158,0,0,327,540,122,181,43,75,49,88,222,0,228,137,125,64,456,262,83,3160,158,587,1044,705,485,181
1319,10,0,0,91,44,40,168,10,42,28,18,82,0,9,105,74,26,1176,69,0,1992,10,137,1450,94,133,168
1320,13,3,0,93,354,31,774,38,65,225,140,294,0,124,101,379,114,834,344,31,3957,16,783,1772,423,189,774
1321,0,0,13,101,12,11,69,8,0,4,8,39,0,60,221,18,7,35,23,5,634,0,111,304,44,106,69
1322,67,0,0,44,69,24,33,16,46,4,28,44,0,89,0,2336,61,7,94,0,2962,67,165,2498,109,90,33
1323,28,0,10,471,224,125,940,128,191,262,389,361,0,400,387,859,79,837,518,351,6560,28,1412,2680,487,1013,940
1324,207,5,0,379,869,495,443,148,12,20,39,81,0,332,0,4,16,74,85,210,3419,212,472,179,1512,601,443
1325,470,0,275,268,2055,656,677,166,151,1248,139,756,0,108,166,87,320,374,285,40,8241,470,2251,1232,3152,459,677
1326,2,0,0,63,20,14,39,0,1,2,0,31,0,17,75,78,50,7,20,4,423,2,50,230,34,68,39
1327,15,0,0,28,5,2,16,2,10,4,10,18,0,15,471,566,1,23,65,768,2019,15,47,1126,9,806,16
1328,83,0,3,170,70,75,62,8,5,5,8,44,0,15,103,42,9,86,132,1465,2385,83,72,372,156,1640,62
1329,38,0,9,463,105,1506,745,178,165,61,138,145,0,139,69,101,83,205,112,39,4301,38,483,570,1798,667,745
1330,0,0,0,27,17,29,46,28,3,3,18,25,2,14,118,18,2,78,60,112,600,0,62,276,74,142,46
1331,2,0,0,121,156,384,1018,12,53,90,135,59,0,56,164,68,20,254,275,0,2867,2,340,781,552,174,1018
1332,0,7,0,505,183,311,1297,100,121,313,606,685,0,295,187,442,122,1076,703,366,7319,7,1899,2530,594,992,1297
1333,2,0,0,16,0,9,21,0,0,4,9,5,0,9,82,3,10,0,0,0,170,2,27,95,9,16,21
1334,0,0,0,34,0,0,12,0,3,5,0,17,0,27,253,24,9,0,13,0,397,0,49,299,0,37,12
1335,0,0,44,146,24,13,834,29,31,86,39,90,0,53,111,335,87,392,106,15,2435,0,268,1031,110,192,834
1336,18,3,277,541,1092,366,959,164,683,373,139,364,0,306,585,1576,92,368,176,74,8156,21,1182,2797,1899,1298,959
1337,34,0,0,1212,704,531,1479,1063,227,230,120,626,0,157,143,246,143,1359,254,187,8715,34,1133,2145,2298,1626,1479
1338,15,3,0,141,20,16,144,5,8,8,27,60,0,78,16,53,8,194,113,115,1024,18,173,384,41,264,144
1339,3,0,0,49,23,0,206,17,5,3,11,81,0,17,0,41,65,64,48,0,633,3,112,218,40,54,206
1340,3,0,0,95,30,148,200,7,8,31,10,17,0,9,122,9,14,153,42,0,898,3,67,340,185,103,200
1341,10,0,0,21,0,17,17,11,3,2,16,20,0,2,0,166,2,15,3,0,305,10,40,186,28,24,17
1342,0,0,0,23,1,0,40,4,53,4,14,9,0,17,236,27,13,109,34,0,584,0,44,419,5,76,40
1343,2,0,0,24,1,0,37,3,8,3,22,15,0,26,95,30,16,29,60,0,371,2,66,230,4,32,37
1344,0,0,0,68,41,69,476,11,24,163,194,55,0,95,64,118,69,456,100,596,2599,0,507,807,121,688,476
1345,2,0,4,147,4,31,36,8,23,3,31,42,0,86,10,109,34,1,39,29,639,2,162,193,47,199,36
1346,4,3,2,208,128,109,206,44,65,100,172,206,0,296,183,326,147,39,125,0,2363,7,774,820,283,273,206
1347,0,0,0,61,7,14,121,7,4,48,79,51,0,29,55,43,101,396,62,0,1078,0,207,657,28,65,121
1348,0,0,0,570,294,495,3712,188,71,37,152,98,0,222,57,64,25,844,403,9,7241,0,509,1393,977,650,3712
1349,1,0,0,132,5,225,203,0,9,65,83,73,0,82,119,258,66,189,258,32,1800,1,303,890,230,173,203
1350,3,0,2,75,40,13,214,6,243,170,49,195,0,68,99,84,38,219,258,45,1821,3,482,698,61,363,214
1351,0,0,0,12,0,1,30,2,1,6,2,57,0,6,113,226,3,0,14,0,473,0,71,356,3,13,30
1352,0,0,0,17,31,4,19,0,0,4,11,29,0,6,47,23,5,40,2,15,253,0,50,117,35,32,19
1353,3,0,0,16,217,33,53,13,8,36,59,53,0,21,8,100,113,16,55,330,1134,3,169,292,263,354,53
1354,11,38,0,159,91,24,201,0,29,19,11,56,0,41,124,80,22,205,109,23,1243,49,127,540,115,211,201
1355,0,0,0,15,4,0,10,0,10,2,19,11,0,13,252,15,0,0,45,0,396,0,45,312,4,25,10
1356,1,0,0,58,24,12,382,14,18,39,145,83,0,9,58,324,22,184,155,12,1540,1,276,743,50,88,382
1357,3,0,5,98,13,10,104,9,9,55,53,71,0,41,48,86,8,136,106,6,861,3,220,384,37,113,104
1358,0,0,0,73,28,24,268,11,26,48,63,110,0,97,402,671,78,188,188,0,2275,0,318,1527,63,99,268
1359,0,0,0,38,35,1,553,9,38,75,40,50,0,4,99,4118,5,263,170,15,5513,0,169,4655,45,91,553
1360,0,0,0,86,17,15,110,1,14,19,13,81,0,31,68,414,11,57,59,29,1025,0,144,609,33,129,110
1361,8,0,8,396,149,138,1652,228,618,925,626,1287,65,244,161,1126,46,685,565,1653,10580,8,3147,2583,523,2667,1652
1362,0,0,0,87,29,24,205,56,21,127,380,328,0,68,36,396,2,75,184,0,2018,0,903,693,109,108,205
1363,65,0,5,13,13,28,221,4,52,177,215,274,0,62,329,455,415,190,160,3304,5982,65,728,1549,50,3369,221
1364,0,0,0,89,10,8,113,3,9,13,30,41,0,26,46,51,1,215,134,0,789,0,110,447,21,98,113
1365,3,0,0,13,16,15,224,0,13,46,15,75,3,41,57,609,69,423,110,28,1760,3,180,1268,31,54,224
1366,0,0,0,126,595,26,273,0,154,580,119,1721,0,54,286,2962,170,468,121,126,7781,0,2474,4007,621,406,273
1367,0,0,0,173,10,4,164,57,10,39,48,96,0,25,105,104,226,11,43,0,1115,0,208,489,71,183,164
1368,78,0,3,1131,2855,681,1295,248,57,263,197,1266,16,556,540,2058,274,317,155,1018,13008,78,2298,3344,3787,2206,1295
1369,16,3,0,713,619,391,870,104,37,69,102,325,0,246,565,411,126,665,462,3289,9013,19,742,2229,1114,4039,870
1370,22,0,1,215,238,127,203,39,12,27,42,56,0,44,222,72,49,180,65,0,1614,22,169,588,405,227,203
1371,2,0,0,26,10,31,79,8,2,5,14,17,0,3,1,12,3,149,53,0,415,2,39,218,49,28,79
1372,0,0,0,11,26,6,17,3,5,9,22,3,0,6,132,53,0,0,30,0,323,0,40,215,35,16,17
1373,3,0,0,296,330,131,1491,87,37,283,182,193,0,93,266,418,127,479,282,94,4792,3,751,1572,548,427,1491
1374,21,0,272,512,306,276,797,80,71,485,296,497,0,583,218,621,44,370,305,50,5804,21,1861,1558,934,633,797
1375,22,0,268,104,38,26,362,100,26,108,68,204,0,57,89,416,8,63,122,736,2817,22,437,698,432,866,362
1376,0,0,4,167,248,92,528,29,32,253,245,201,0,39,86,460,31,596,455,81,3547,0,738,1628,373,280,528
1377,3,0,0,71,40,10,142,8,12,23,44,38,0,58,51,44,1,127,82,0,754,3,163,305,58,83,142
1378,0,0,0,73,70,67,391,236,16,39,81,55,0,64,343,75,21,201,114,8,1854,0,239,754,373,97,391
1379,0,0,0,9,1,1,36,0,0,0,3,2,0,3,0,97,0,11,37,5,205,0,8,145,2,14,36
1380,8,0,0,1739,635,1058,3156,253,239,35,127,106,0,369,220,62,5,479,500,12,9003,8,637,1266,1946,1990,3156
1381,25,0,11,943,1505,313,762,60,35,214,58,346,3,357,216,605,18,214,208,232,6125,25,978,1261,1889,1210,762
1382,94,0,269,117,81,65,80,12,17,35,18,188,0,84,207,99,113,58,241,5,1783,94,325,718,427,139,80
1383,161,0,4,105,460,48,131,14,138,6,43,39,0,15,111,32,11,68,81,45,1512,161,103,303,526,288,131
1384,55,0,3,203,230,202,936,27,308,190,245,406,2,144,489,311,80,544,235,82,4692,55,987,1659,462,593,936
1385,8,0,0,194,28,50,54,19,17,14,18,81,0,99,31,41,26,31,57,3,771,8,212,186,97,214,54
1386,8,0,0,187,60,41,349,49,9,16,45,141,0,70,123,762,86,333,133,6,2418,8,272,1437,150,202,349
1387,15,0,0,93,35,54,48,3,12,13,10,62,0,9,86,10,14,26,80,9,579,15,94,216,92,114,48
1388,33,0,0,82,50,14,28,2,0,3,4,52,0,19,143,32,6,59,4,27,558,33,78,244,66,109,28
1389,43,0,12,75,51,8,170,18,29,11,55,62,2,28,146,64,83,976,466,108,2407,43,158,1735,89,212,170
1390,36,5,3,37,14,0,64,17,12,3,5,39,0,8,27,27,17,162,83,0,559,41,55,316,34,49,64
1391,2,0,288,95,603,22,239,13,80,16,79,28,0,17,74,107,30,323,73,40,2129,2,140,607,926,215,239
1392,117,24,0,138,174,558,99,3,5,14,18,78,0,22,180,40,21,55,39,3,1588,141,132,335,735,146,99
1393,46,0,30,96,133,7,126,18,44,13,7,41,0,12,101,48,5,89,34,8,858,46,73,277,188,148,126
1394,260,0,4,73,308,33,24,4,11,20,15,25,0,66,248,150,93,125,95,95,1649,260,126,711,349,179,24
1395,46,1,17,613,349,304,886,187,76,59,232,255,0,443,170,145,99,518,203,116,4719,47,989,1135,857,805,886
1396,34,0,1,77,109,37,272,36,14,111,22,70,0,114,210,159,18,354,89,44,1771,34,317,830,183,135,272
1397,131,29,0,132,343,100,177,29,2,9,50,49,0,72,101,51,42,111,82,25,1535,160,180,387,472,159,177
1398,4,0,0,125,93,27,111,0,14,27,18,80,0,41,225,129,18,54,55,4,1025,4,166,481,120,143,111
1399,14,0,15,311,625,280,1306,98,310,179,340,303,0,68,198,699,42,1112,341,171,6412,14,890,2392,1018,792,1306
1400,53,0,1,31,592,16,104,14,0,2,1,46,0,8,28,7,24,98,66,56,1147,53,57,223,623,87,104
1401,489,0,50,33,1275,44,55,7,17,2,11,34,0,30,199,13,35,106,61,14,2475,489,77,414,1376,64,55
1402,128,0,60,132,503,63,411,35,23,43,64,145,0,34,179,194,22,340,206,111,2693,128,286,941,661,266,411
1403,39,0,7,111,70,29,111,13,47,2,57,197,0,96,106,8,129,345,57,98,1522,39,352,645,119,256,111
1404,2,0,0,22,10,51,20,17,9,11,14,50,0,25,4,1,97,0,45,13,391,2,100,147,78,44,20
1405,0,0,24,150,2,36,1241,0,52,73,18,249,0,35,68,1081,32,441,113,246,3861,0,375,1735,62,448,1241
1406,2,0,0,558,66,115,167,109,32,53,93,265,0,280,2,10,16,35,213,165,2181,2,691,276,290,755,167
1407,2,0,0,604,248,274,303,38,111,152,111,1118,0,648,163,216,34,247,138,99,4506,2,2029,798,560,814,303
1408,2,0,0,80,4,21,57,2,343,18,45,82,0,53,60,130,104,178,53,0,1232,2,198,525,27,423,57
1409,0,0,0,55,80,23,265,8,30,93,57,308,112,171,287,141,34,319,92,5,2080,0,741,873,111,90,265
1410,0,0,0,167,18,13,295,12,30,115,39,128,0,108,101,143,20,101,137,90,1517,0,390,502,43,287,295
1411,0,0,0,122,20,17,159,157,18,114,152,102,0,414,110,769,17,137,87,5,2400,0,782,1120,194,145,159
1412,11,0,60,579,84,199,849,33,248,339,237,370,3,246,306,416,65,487,392,235,5159,11,1195,1666,376,1062,849
1413,0,0,0,17,4,80,213,3,5,1900,95,640,0,17,125,224,113,87,21,20,3564,0,2652,570,87,42,213
1414,5,0,0,73,17,71,82,12,12,7,10,49,0,41,158,67,108,17,33,11,773,5,107,383,100,96,82
1415,40,0,4,38,132,54,389,12,1145,23,176,59,0,42,183,176,98,323,100,67,3061,40,300,880,202,1250,389
1416,52,0,8,37,39,12,73,5,16,3,3,25,0,27,11,6,25,176,48,153,719,52,58,266,64,206,73
1417,0,0,0,1,0,2,4,2,9,0,0,6,0,1,2,0,0,65,120,0,212,0,7,187,4,10,4
1418,3,0,0,64,3,18,39,10,4,2,23,61,0,40,160,33,63,64,78,13,678,3,126,398,31,81,39
1419,0,0,0,40,0,5,49,3,4,3,11,52,0,5,186,50,2,29,63,0,502,0,71,330,8,44,49
1420,3,0,0,61,18,17,61,9,25,27,66,118,0,133,367,375,9,41,57,0,1387,3,344,849,44,86,61
1421,5,0,0,80,8,36,1168,9,106,164,392,188,0,72,398,1204,6,614,206,53,4709,5,816,2428,53,239,1168
1422,0,0,0,255,17,91,164,29,29,75,19,280,6,123,269,654,41,80,111,22,2265,0,503,1155,137,306,164
1423,0,0,0,43,8,49,42,14,30,21,11,183,0,22,223,97,33,5,35,125,941,0,237,393,71,198,42
1424,12,0,19,426,176,247,568,156,393,367,236,799,4,283,147,1231,73,148,645,43,5973,12,1689,2244,598,862,568
1425,0,0,0,379,2,4,300,43,54,27,18,515,0,76,185,623,109,418,97,2213,5063,0,636,1432,49,2646,300
1426,2,0,0,44,3,91,54,11,11,23,24,99,0,44,145,45,72,64,26,5,763,2,190,352,105,60,54
1427,2,0,9,547,73,205,902,52,84,178,479,638,0,335,611,399,62,220,697,138,5631,2,1630,1989,339,769,902
1428,18,10,13,1362,813,652,2383,431,249,109,238,855,11,443,92,698,69,452,708,301,9907,28,1656,2019,1909,1912,2383
1429,0,0,268,442,164,210,1630,109,109,201,295,214,2,117,244,78,23,115,361,17,4599,0,829,821,751,568,1630
1430,6,0,0,264,130,279,800,107,228,497,190,1246,2,173,167,1003,80,1245,861,920,8198,6,2108,3356,516,1412,800
1431,0,0,0,111,25,6,134,3,91,103,41,219,0,53,167,206,32,126,118,0,1435,0,416,649,34,202,134
1432,4,0,0,233,90,52,497,94,22,88,42,296,2,77,289,214,48,360,179,65,2652,4,505,1090,236,320,497
1433,0,0,0,51,0,2,13,13,0,2,3,104,0,11,129,23,6,1,21,0,379,0,120,180,15,51,13
1434,0,0,0,94,62,16,329,11,35,17,33,186,0,66,51,107,14,191,85,56,1353,0,302,448,89,185,329
1435,2,0,0,44,11,4,43,5,37,16,45,40,0,21,182,12,4,15,98,70,649,2,122,311,20,151,43
1436,3,0,0,60,7,20,74,45,1,66,51,79,0,16,1731,584,32,67,45,26,2907,3,212,2459,72,87,74
1437,1,0,0,22,25,29,386,3,24,199,499,209,0,46,9,2845,27,179,82,114,4699,1,953,3142,57,160,386
1438,2,4,0,122,212,102,2461,214,47,549,149,674,0,192,266,366,77,547,296,82,6362,6,1564,1552,528,251,2461
1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,84,36,53,427,8,51,61,103,147,2,55,370,358,111,288,161,112,2427,0,368,1288,97,247,427
1441,1,0,8,100,141,195,1397,76,148,241,88,271,0,66,156,378,447,875,260,333,5181,1,666,2116,420,581,1397
1442,3,0,0,227,108,188,560,28,111,103,49,268,0,139,53,258,77,171,176,3,2522,3,559,735,324,341,560
1443,0,3,1,58,21,20,400,140,17,153,123,225,3,88,352,381,139,364,421,83,2992,3,592,1657,182,158,400
1444,0,0,0,38,16,26,372,1,14,269,235,67,0,23,265,62,104,297,148,25,1962,0,594,876,43,77,372
1445,1,0,0,122,47,11,55,16,10,49,91,429,0,14,124,60,10,51,59,4,1153,1,583,304,74,136,55
1446,8,0,16,128,11,8,139,69,62,112,450,350,17,52,259,138,60,434,241,57,2611,8,981,1132,104,247,139
1447,0,0,0,45,26,5,133,0,14,24,43,48,2,16,2,14,65,8,55,73,573,0,133,144,31,132,133
1448,14,0,0,371,718,226,927,188,400,293,294,1512,8,253,250,199,276,994,362,297,7582,14,2360,2081,1132,1068,927
1449,0,0,0,7,0,1,212,1,12,0,21,17,0,14,60,45,5,75,82,33,585,0,52,267,2,52,212
1450,0,0,0,58,9,18,146,9,11,16,26,137,2,71,129,73,41,206,43,0,995,0,252,492,36,69,146
1451,2,0,0,37,4,29,50,10,22,10,8,126,0,14,61,18,8,146,911,0,1456,2,158,1144,43,59,50
1452,0,0,0,127,37,20,408,4,181,141,104,259,0,36,112,162,27,297,185,75,2175,0,540,783,61,383,408
1453,33,0,0,12,0,3,28,5,35,2,0,5,0,0,14,103,45,141,130,77,633,33,7,433,8,124,28
1454,7,0,20,49,18,30,102,7,23,4,38,52,0,30,35,34,25,222,36,26,758,7,124,352,75,98,102
