"TAZ1454","emp_sec11","emp_sec21","emp_sec22","emp_sec23","emp_sec3133","emp_sec42","emp_sec4445","emp_sec4849","emp_sec51","emp_sec52","emp_sec53","emp_sec54","emp_sec55","emp_sec56","emp_sec61","emp_sec62","emp_sec71","emp_sec72","emp_sec81","emp_sec92","TOTEMP","AGREMPN","FPSEMPN","HEREMPN","MWTEMPN","OTHEMPN","RETEMPN"
1244,0,0,0,13,7,0,9,5,0,3,5,1,0,13,360,75,9,0,7,0,507,0,22,451,12,13,9
1245,0,0,0,4,1,0,16,10,87,2,5,2,0,10,26,11,0,27,16,52,269,0,19,80,11,143,16
1246,2,0,0,12,1,85,2043,4,36,82,45,99,0,64,112,188,101,1009,79,14,3976,2,290,1489,90,62,2043
1247,3,0,15,258,502,179,542,107,9,7,112,161,0,108,303,28,72,101,40,50,2597,3,388,544,803,317,542
1248,91,0,6,212,230,57,471,0,40,355,173,108,484,71,548,400,124,211,118,0,3699,91,1191,1401,293,252,471
1249,5,0,29,173,673,652,750,50,24,153,125,126,0,226,24,559,124,523,304,92,4612,5,630,1534,1404,289,750
1250,0,0,0,203,837,923,1576,118,57,206,72,113,0,908,97,317,125,134,206,1318,7210,0,1299,879,1878,1578,1576
1251,3,0,4,34,211,52,84,47,19,67,34,66,2,159,115,68,63,316,132,123,1599,3,328,694,314,176,84
1252,0,0,0,132,23,23,78,60,14,35,45,34,0,196,371,296,10,265,115,3706,5403,0,310,1057,106,3852,78
1253,0,0,0,4,0,1,9,3,12,0,8,4,0,2,3,1,2,0,23,16,88,0,14,29,4,32,9
1254,0,0,0,6,0,3,10,2,0,0,11,3,0,16,105,11,25,4,4,0,200,0,30,149,5,6,10
1255,2,0,0,27,5,15,55,78,5,9,33,13,0,66,72,32,27,113,156,67,775,2,121,400,98,99,55
1256,0,0,0,238,56,28,55,146,5,3,40,28,0,19,56,13,3,7,201,0,898,0,90,280,230,243,55
1257,0,0,0,15,0,4,3,10,8,0,16,5,0,50,80,122,3,0,14,0,330,0,71,219,14,23,3
1258,0,0,0,11,0,0,23,1,0,0,9,4,0,0,7,28,0,20,263,0,366,0,13,318,1,11,23
1259,7,0,0,313,24,74,228,31,32,95,122,177,0,399,281,182,25,246,289,36,2561,7,793,1023,129,381,228
1260,0,0,0,6,7,9,43,3,0,24,52,9,0,6,37,5,0,37,75,10,323,0,91,154,19,16,43
1261,0,0,0,12,9,12,208,3,7,65,19,40,3,5,16,51,122,176,93,0,841,0,132,458,24,19,208
1262,0,0,5,65,20,15,115,34,145,163,32,241,0,192,344,270,38,207,227,1659,3772,0,628,1086,74,1869,115
1263,0,0,15,222,5,0,65,151,13,23,25,125,0,4,1,518,216,10,133,766,2292,0,177,878,171,1001,65
1264,0,0,0,10,19,3,269,22,3,27,86,33,0,145,151,90,15,263,105,6,1247,0,291,624,44,19,269
1265,0,0,0,8,14,0,1771,3,78,38,290,66,0,7,93,2048,171,1296,137,35,6055,0,401,3745,17,121,1771
1266,0,0,0,26,0,11,74,23,7,75,55,148,0,41,80,224,2,52,78,26,922,0,319,436,34,59,74
1267,0,0,0,37,2,8,309,4,1,43,31,22,0,22,66,113,37,279,64,91,1129,0,118,559,14,129,309
1268,27,0,0,49,3,4,185,6,0,99,106,242,0,26,342,195,92,101,47,24,1548,27,473,777,13,73,185
1269,0,0,0,38,24,30,731,2,21,68,118,34,0,21,232,634,143,341,110,55,2602,0,241,1460,56,114,731
1270,0,0,0,250,155,410,119,92,5,1,94,57,0,383,310,78,13,57,89,57,2170,0,535,547,657,312,119
1271,1,0,0,31,2,4,133,3,0,37,20,28,0,38,120,121,41,87,28,0,694,1,123,397,9,31,133
1272,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,6,0,2,1427,1449,0,0,19,0,1430,0
1273,0,0,0,27,5,19,203,20,19,24,84,21,0,8,64,96,107,216,75,0,988,0,137,558,44,46,203
1274,4,0,255,151,44,14,557,35,6,81,49,44,0,40,410,116,23,195,110,29,2163,4,214,854,348,186,557
1275,0,4,0,97,12,14,179,20,8,4,41,40,0,91,76,68,16,50,46,0,766,4,176,256,46,105,179
1276,0,0,0,24,0,0,90,0,0,0,14,2,0,6,106,1,0,18,12,0,273,0,22,137,0,24,90
1277,0,0,0,30,6,4,59,0,0,0,6,12,0,17,66,9,0,0,12,0,221,0,35,87,10,30,59
1278,0,0,0,18,1,2,18,1,1,10,3,5,0,10,102,7,6,40,18,0,242,0,28,173,4,19,18
1279,16,0,255,1618,909,1998,1034,97,88,16,203,271,6,241,57,10391,26,511,120,70,17927,16,737,11105,3259,1776,1034
1280,0,0,0,173,49,9,2839,110,11,36,187,150,0,57,345,1132,136,943,255,88,6520,0,430,2811,168,272,2839
1281,1,0,0,107,16,25,622,109,85,244,59,61,0,14,44,24,2,775,148,49,2385,1,378,993,150,241,622
1282,3,0,25,272,79,66,508,11,27,82,69,65,0,107,181,114,112,340,155,55,2271,3,323,902,181,354,508
1283,0,0,0,63,22,5,78,50,32,151,96,35,0,200,429,282,40,148,129,87,1847,0,482,1028,77,182,78
1284,0,4,15,182,30,67,472,50,89,313,488,350,0,123,118,395,95,699,692,1152,5334,4,1274,1999,162,1423,472
1285,0,0,0,34,105,11,31,5,4,13,15,88,0,60,135,40,4,4,26,0,575,0,176,209,121,38,31
1286,90,0,6,171,4,59,49,12,11,0,6,118,0,31,12,5,6,0,36,0,616,90,155,59,81,182,49
1287,306,0,4,68,313,229,125,289,0,8,4,104,0,60,30,15,3,9,87,19,1673,306,176,144,835,87,125
1288,2,0,0,183,21,85,284,7,11,138,94,32,0,14,179,147,12,556,76,10,1851,2,278,970,113,204,284
1289,14,0,9,336,376,685,600,115,78,90,74,132,20,106,395,116,61,151,221,134,3713,14,422,944,1185,548,600
1290,120,277,49,312,90,182,345,48,19,19,70,111,0,62,238,48,108,381,194,238,2911,397,262,969,369,569,345
