TAZ1454,emp_sec11,emp_sec21,emp_sec22,emp_sec23,emp_sec3133,emp_sec42,emp_sec4445,emp_sec4849,emp_sec51,emp_sec52,emp_sec53,emp_sec54,emp_sec55,emp_sec56,emp_sec61,emp_sec62,emp_sec71,emp_sec72,emp_sec81,emp_sec92,TOTEMP
1,0,11,0,61,87,222,697,57,666,5379,1307,6127,4,1299,35,405,52,674,221,200,17504
2,0,0,0,659,113,483,3089,502,373,6610,1196,8533,1222,1271,297,685,195,1465,879,85,27657
3,0,0,0,182,34,33,149,4,136,207,97,350,4,109,133,12,2,689,133,72,2346
4,1,0,0,111,160,1768,893,41,2158,4477,494,5850,5,1112,92,343,88,704,655,390,19342
5,0,0,0,85,2603,226,6249,24,299,437,249,2542,18,563,280,719,197,3487,1786,69,19833
6,0,0,0,14,38,27,274,0,27,43,44,118,0,142,45,272,186,1944,716,5,3895
7,0,0,0,24,20,20,480,0,71,23,340,282,0,120,9,47,64,7816,781,0,10097
8,0,0,0,29,8,48,602,11,264,92,228,226,0,60,62,591,99,1357,293,345,4315
9,0,5,0,440,23,80,230,105,117,144,1046,616,0,192,417,1198,503,829,482,10680,17107
10,0,0,9,558,452,116,369,78,519,243,116,361,8,97,70,583,86,649,574,1081,5969
11,0,0,0,141,171,153,4711,17,3768,120,355,524,0,123,398,622,140,1962,436,76,13717
12,0,0,0,72,96,140,1413,23,595,547,202,1598,0,407,239,431,731,3999,363,92,10948
13,0,0,0,275,46,156,1246,346,225,3708,547,9223,9,372,1574,290,25,493,495,236,19266
14,3,0,8145,263,58,99,1261,134,617,9234,197,7728,0,336,541,152,114,424,287,583,30176
15,0,5,429,57,217,93,588,52,1093,2649,163,5617,13,425,93,106,31,1190,452,456,13729
16,3,19,266,401,617,33,3696,101,3847,3283,310,6343,0,345,71,441,103,953,353,3895,25080
17,0,0,0,247,180,75,992,24,1305,88,440,1446,6,116,25,128,76,288,176,130,5742
18,8,0,0,1021,246,394,577,20,1002,64,313,976,0,165,53,455,245,616,815,32,7002
19,0,0,0,141,378,458,2429,19,108,83,90,1018,0,83,28,178,27,149,355,4207,9751
20,0,0,0,429,469,292,757,259,310,82,103,590,0,204,340,759,123,436,480,796,6429
21,0,0,0,79,601,69,619,87,185,240,138,880,4,70,138,249,96,402,299,108,4264
22,9,1,16,270,707,116,1059,32,417,2741,1423,6670,114,889,11,305,182,1040,267,254,16523
23,0,0,0,195,233,277,2891,165,1453,473,543,3008,0,159,48,70,87,521,280,10,10413
24,15,0,57,193,350,115,613,83,1071,1764,782,4189,204,1177,293,1139,96,1137,340,67,13685
25,0,0,0,0,97,84,333,1,25,239,33,105,0,83,1,174,2,603,334,0,2114
26,0,0,5,6,53,26,266,15,47,803,127,1349,0,91,19,129,15,192,401,34,3578
27,0,0,0,8,38,12,141,9,45,45,50,10,0,70,163,647,13,54,175,0,1480
28,0,0,0,5,0,4,32,0,73,2,143,34,1,12,82,18,21,777,180,0,1384
29,0,0,0,53,12,29,24,13,17,18,129,92,0,65,33,65,8,1449,416,0,2423
30,0,0,0,82,2,41,170,5,94,9,99,122,0,15,1,55,105,580,182,16,1578
31,0,0,0,6,11,12,129,13,15,26,97,88,0,14,191,976,93,446,143,3,2263
32,1,0,0,243,20,47,350,148,85,116,234,162,0,78,88,1702,27,760,269,10,4340
