TAZ1454,LT_FR_CA_OFF_production,LT_FR_CA_OFF_attraction,LT_FR_CA_AM_production,LT_FR_CA_AM_attraction,LT_FR_CA_MID_production,LT_FR_CA_MID_attraction,LT_FR_CA_PM_production,LT_FR_CA_PM_attraction,MT1_FR_CA_OFF_production,MT1_FR_CA_OFF_attraction,MT1_FR_CA_AM_production,MT1_FR_CA_AM_attraction,MT1_FR_CA_MID_production,MT1_FR_CA_MID_attraction,MT1_FR_CA_PM_production,MT1_FR_CA_PM_attraction,MT2_FR_CA_OFF_production,MT2_FR_CA_OFF_attraction,MT2_FR_CA_AM_production,MT2_FR_CA_AM_attraction,MT2_FR_CA_MID_production,MT2_FR_CA_MID_attraction,MT2_FR_CA_PM_production,MT2_FR_CA_PM_attraction,HT_FR_CA_OFF_production,HT_FR_CA_OFF_attraction,HT_FR_CA_AM_production,HT_FR_CA_AM_attraction,HT_FR_CA_MID_production,HT_FR_CA_MID_attraction,HT_FR_CA_PM_production,HT_FR_CA_PM_attraction,MT1_FR_EXT_OFF_production,MT1_FR_EXT_OFF_attraction,MT1_FR_EXT_AM_production,MT1_FR_EXT_AM_attraction,MT1_FR_EXT_MID_production,MT1_FR_EXT_MID_attraction,MT1_FR_EXT_PM_production,MT1_FR_EXT_PM_attraction,MT2_FR_EXT_OFF_production,MT2_FR_EXT_OFF_attraction,MT2_FR_EXT_AM_production,MT2_FR_EXT_AM_attraction,MT2_FR_EXT_MID_production,MT2_FR_EXT_MID_attraction,MT2_FR_EXT_PM_production,MT2_FR_EXT_PM_attraction,HT_FR_EXT_OFF_production,HT_FR_EXT_OFF_attraction,HT_FR_EXT_AM_production,HT_FR_EXT_AM_attraction,HT_FR_EXT_MID_production,HT_FR_EXT_MID_attraction,HT_FR_EXT_PM_production,HT_FR_EXT_PM_attraction,LT_NF_CA_OFF_production,LT_NF_CA_OFF_attraction,LT_NF_CA_AM_production,LT_NF_CA_AM_attraction,LT_NF_CA_MID_production,LT_NF_CA_MID_attraction,LT_NF_CA_PM_production,LT_NF_CA_PM_attraction,MT1_NF_CA_OFF_production,MT1_NF_CA_OFF_attraction,MT1_NF_CA_AM_production,MT1_NF_CA_AM_attraction,MT1_NF_CA_MID_production,MT1_NF_CA_MID_attraction,MT1_NF_CA_PM_production,MT1_NF_CA_PM_attraction,MT2_NF_CA_OFF_production,MT2_NF_CA_OFF_attraction,MT2_NF_CA_AM_production,MT2_NF_CA_AM_attraction,MT2_NF_CA_MID_production,MT2_NF_CA_MID_attraction,MT2_NF_CA_PM_production,MT2_NF_CA_PM_attraction,HT_NF_CA_OFF_production,HT_NF_CA_OFF_attraction,HT_NF_CA_AM_production,HT_NF_CA_AM_attraction,HT_NF_CA_MID_production,HT_NF_CA_MID_attraction,HT_NF_CA_PM_production,HT_NF_CA_PM_attraction
1142,0.0,0.0822666,0.0,0.0535353,0.0,0.0811642,0.0,0.0518817,0.0,0.2981303,0.0,0.19354008,0.0,0.2928939,0.0,0.1868568,0.0,0.099216,0.0,0.0644904,0.0,0.097769104,0.0,0.0624234,0.0,0.3320291,0.0,0.21558808,0.0,0.3261726,0.0,0.2080091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.393425,79.47517,51.63292,51.68443,78.35903,78.43666,50.075993,50.125942,17.150932,17.123146,11.152704,11.135339,16.926182,16.90006,10.81723,10.800423,1.0009189,0.9982212,0.6545557,0.6520011,0.9887923,0.9851303,0.63223195,0.62981516,1.3695378,1.3648382,0.8934345,0.8919791,1.3520372,1.3471315,0.86449635,0.86276466
1143,0.0101122,0.94638216,0.0065240003,0.61541754,0.009786,0.9321714,0.0061978,0.5958719,0.09916769,3.31735,0.064309865,2.156693,0.096744396,3.265652,0.061606973,2.0865655,0.0187798,1.1905822,0.012116,0.7740146,0.018174,1.1720545,0.0115102,0.7487944,0.15648569,3.8781552,0.10158987,2.521653,0.15285079,3.8168535,0.09739577,2.4389195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.54459,73.630775,45.876743,47.884926,69.62196,72.66829,44.493893,46.44129,15.313793,15.953558,9.958704,10.374922,15.113041,15.743848,9.658647,10.062683,1.5941529,1.6554451,1.0376511,1.0781523,1.5724373,1.633863,1.005916,1.0454142,2.6707635,2.775309,1.737823,1.805408,2.6361861,2.7391255,1.6850712,1.7502618
1144,0.0115878,1.004921,0.0074760006,0.65348476,0.011214,0.9898317,0.0071022003,0.63273025,0.11363851,3.5225441,0.07369414,2.2900996,0.1108616,3.4676452,0.07059683,2.2156305,0.021520201,1.264226,0.013884001,0.8218919,0.020826,1.2445531,0.0131898,0.7951118,0.17932051,4.1180363,0.11641414,2.6776357,0.17515521,4.0529423,0.11160803,2.589777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.83866,78.18529,52.5712,50.846935,79.781395,77.16332,50.986557,49.313972,17.548424,16.940351,11.411906,11.01666,17.318377,16.717663,11.068064,10.685107,1.826776,1.7578382,1.189068,1.1448369,1.8018916,1.7349215,1.1527021,1.1100756,3.0604887,2.946966,1.9914107,1.9170768,3.0208657,2.9085467,1.9309614,1.8585211
1145,0.1023,6.9842114,0.066,4.5425086,0.099,6.8864098,0.0627,4.400606,1.1751125,21.830927,0.763708,14.199317,1.1483121,21.527939,0.73440754,13.759515,0.33020622,8.368322,0.21400401,5.4431114,0.321306,8.249919,0.2048038,5.2714114,1.8245124,24.10692,1.184808,15.679818,1.783812,23.770838,1.1390077,15.191919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.69424,135.11937,87.5935,87.87219,132.93015,133.35002,84.955,85.22269,29.310421,29.345356,19.065115,19.08761,28.928421,28.961452,18.484215,18.50963,11.839699,11.81816,7.7055645,7.691465,11.683898,11.660558,7.4721622,7.4582605,20.198181,20.166824,13.135318,13.117649,19.93768,19.90923,12.740915,12.72057
1146,0.1546,3.884709,0.1,2.5271072,0.15,3.831609,0.0954,2.4485054,1.2209091,11.992324,0.793506,7.800311,1.195109,11.829517,0.76300585,7.561613,0.39510623,4.625609,0.25600404,3.0091066,0.384506,4.5623074,0.2448038,2.914805,1.7793092,13.106922,1.156406,8.5251045,1.743309,12.929413,1.1140058,8.2632065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.93082,69.11743,44.830017,44.950657,68.03122,68.21543,43.47751,43.59309,15.093232,15.099888,9.817121,9.821266,14.89663,14.903696,9.519619,9.523471,5.665348,5.6455803,3.684332,3.670587,5.5909476,5.573281,3.5734305,3.561588,9.990091,9.968377,6.495659,6.48158,9.863689,9.84027,6.3020573,6.2870865
1147,0.0,0.77416307,0.0,0.5031398,0.0,0.7623309,0.0,0.48699248,0.08240551,2.618914,0.053430002,1.702766,0.080145,2.5789623,0.0511695,1.6476418,0.016988002,0.9489286,0.0109600015,0.6170055,0.01644,0.93445176,0.010412,0.59716934,0.113984,3.0019915,0.07398,1.9513757,0.111038506,2.9540348,0.070966,1.8866467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.32859,126.701256,80.8551,82.39602,122.70459,125.044044,78.41717,79.912865,26.98051,27.440113,17.546253,17.843084,26.629448,27.080694,17.018322,17.307255,1.784098,1.8060446,1.1634825,1.1776283,1.7619038,1.783077,1.1260123,1.1405318,2.8538046,2.891871,1.8571203,1.8820474,2.8163345,2.8545635,1.800539,1.8231671
1148,0.0,0.2388,0.0,0.1553,0.0,0.23550002,0.0,0.15050001,0.0031,0.775403,0.002,0.50410193,0.003,0.7632031,0.0019,0.4875019,0.0,0.2818,0.0,0.18310001,0.0,0.27769995,0.0,0.17740001,0.0124,0.82450294,0.008,0.5359019,0.012,0.81160307,0.0076,0.51830196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.17764,135.80656,87.909035,88.318214,133.40924,134.0321,85.260216,85.65659,29.251919,29.351297,19.023478,19.085234,28.869316,28.965012,18.451275,18.511637,1.6266139,1.6249944,1.0645089,1.0624951,1.6075137,1.6058935,1.0279086,1.0272954,2.308321,2.3035927,1.5064142,1.5035957,2.2765212,2.273692,1.4557133,1.4553956
1149,0.0,0.3381402,0.0,0.2197622,0.0,0.33297217,0.0,0.21270938,0.037894502,1.1438906,0.024570001,0.7437372,0.036854997,1.1264414,0.023530502,0.71966046,0.0078120003,0.4144746,0.00504,0.2694966,0.0075600003,0.40815133,0.004788,0.26083255,0.052416,1.311211,0.03402,0.85232574,0.0510615,1.2902654,0.032633997,0.82405365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.172997,55.34072,37.181538,35.98906,56.4262,54.617,36.06045,34.904484,12.407097,11.985332,8.068716,7.7935357,12.245657,11.828342,7.825944,7.55949,0.8204246,0.7888472,0.53503215,0.5143669,0.8102186,0.7788152,0.5178014,0.49816406,1.3123335,1.2631147,0.85400426,0.8220436,1.2951028,1.24682,0.82798505,0.79632515
1150,0.0062,1.4398093,0.004,0.9364058,0.006,1.4183092,0.0038,0.90610576,0.1667031,4.563513,0.108002,2.9677105,0.16200298,4.497011,0.1033019,2.8741095,0.0279,1.7892096,0.018,1.163606,0.026999999,1.7624092,0.0171,1.1262053,0.25280622,5.1964307,0.164004,3.3805206,0.24640602,5.122227,0.1572038,3.2742193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.275444,91.66712,59.357323,59.615032,90.08304,90.470116,57.570816,57.817234,19.803497,19.855051,12.879562,12.914277,19.544697,19.595568,12.491462,12.525275,2.8317242,2.8182871,1.8458159,1.8393924,2.7937236,2.785588,1.7847154,1.7782928,4.5875416,4.5751834,2.9867277,2.9759874,4.5277414,4.5137825,2.8932264,2.8858902
1151,0.011333601,0.13611148,0.0073120007,0.088522494,0.010968,0.1335885,0.0069464007,0.08556451,0.110002734,0.59338343,0.07129383,0.38575804,0.10721494,0.5836829,0.068231836,0.37323004,0.025500601,0.17617364,0.016452001,0.11453462,0.024678,0.17295471,0.0156294,0.11066316,0.15072143,0.6120448,0.09779983,0.39789444,0.14715675,0.60212684,0.093641035,0.38488805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.023865,65.093414,44.2384,42.332527,67.13494,64.24289,42.903954,41.056618,14.759639,14.104261,9.598872,9.173053,14.567377,13.919218,9.31,8.896697,0.92383385,0.8762187,0.6028342,0.57141364,0.9113575,0.86460394,0.5837314,0.55379647,1.3892472,1.3194392,0.9059651,0.8591661,1.3727038,1.3022126,0.8768997,0.83332664
1152,0.26880312,1.098803,0.17400199,0.7142018,0.261003,1.0793033,0.1662019,0.68920213,1.5266091,4.8985977,0.99260604,3.1863976,1.496609,4.8240952,0.9568058,3.0848975,0.44710618,1.5464007,0.29000401,1.0053995,0.43590602,1.5188004,0.27750382,0.97080034,2.1920154,4.9913,1.4258101,3.2462015,2.1514153,4.914901,1.3746097,3.1415005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.65102,100.18602,64.806404,65.15281,98.34851,98.8751,62.852493,63.190063,21.650352,21.73989,14.082901,14.140128,21.368353,21.454311,13.657198,13.712442,3.0836267,3.0708864,2.0099173,2.0008912,3.0455265,3.030385,1.9476168,1.9396901,5.0562463,5.038283,3.2913303,3.278789,4.990246,4.97188,3.1893291,3.1768892
1153,0.159453,0.32799795,0.10332,0.21324672,0.15516901,0.3217902,0.098784,0.20582275,1.3267916,1.5690835,0.86329657,1.0206702,1.3015913,1.5443157,0.83185923,0.98706895,0.4265769,0.49126196,0.27707654,0.31935886,0.4167488,0.4823024,0.2659884,0.3077747,1.320925,1.4577879,0.8593855,0.94815814,1.2959769,1.4341075,0.82864136,0.916605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.61208,72.23753,45.922108,46.97846,69.68988,71.294685,44.536217,45.56195,15.3276615,15.6666565,9.968203,10.188608,15.126122,15.462,9.666682,9.882893,1.395966,1.4149069,0.9103578,0.921852,1.3783259,1.3978198,0.8815664,0.8952918,2.1398144,2.1705537,1.3914306,1.4127314,2.1104562,2.1422658,1.3504803,1.3690208
