"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
1051,1458,3604,358,644,179,277,287,554,534,83,1085,373,613,348,280,217,170,555,1461,824,594,5,0,0,5
1052,500,1157,112,228,116,44,125,128,232,15,385,115,130,80,102,188,44,114,353,314,332,0,0,0,0
1053,1617,3981,385,658,262,312,374,621,527,95,1165,452,380,344,494,399,230,582,943,1342,884,2,0,0,2
1054,1069,2782,279,329,268,193,125,475,327,142,805,264,244,311,301,213,128,388,882,946,438,8,0,0,8
1055,1911,6016,518,389,292,712,306,714,473,418,1267,644,588,654,402,267,402,1021,2408,1456,729,3,0,0,3
1056,1740,4660,677,356,199,508,476,656,346,262,1193,547,828,602,234,76,319,764,1695,1316,566,20,0,0,20
1057,1155,4782,114,235,166,640,143,361,429,222,417,738,460,422,194,79,492,1049,2179,895,167,5,0,0,5
1058,1986,6665,481,466,336,703,358,934,409,285,1172,814,980,754,194,58,373,1490,2802,1434,566,190,0,0,190
1059,2731,6153,999,1048,376,308,388,1232,942,169,2185,546,709,857,639,526,306,658,2529,1915,745,3,0,0,3
1060,1830,6424,291,418,327,794,386,742,454,248,906,924,1082,521,159,68,636,1570,2502,1178,538,18,0,0,18
1061,2148,7129,618,428,290,812,454,1181,350,163,1376,772,1394,491,244,19,471,1863,2825,1338,632,180,0,0,180
1062,1745,3196,765,691,194,95,378,774,537,56,1524,221,383,438,414,510,68,245,869,1152,862,3,0,0,3
1063,1690,5678,399,335,283,673,352,587,466,285,877,813,1008,462,170,50,528,1329,2423,948,450,6,0,0,6
1064,1087,4277,137,206,223,521,127,402,365,193,452,635,404,479,163,41,269,1094,1722,790,402,0,0,0,0
1065,2223,7468,405,575,330,913,244,783,771,425,1501,722,880,776,480,87,385,1296,3009,2074,704,23,0,0,23
1066,2439,7020,703,522,498,716,518,970,666,285,1548,891,1499,565,236,139,502,1444,2245,1703,1126,21,0,0,21
1067,2390,8680,341,432,365,1252,330,769,804,487,1188,1202,1145,792,384,69,456,2093,3425,2044,662,39,0,0,39
1068,1429,5729,172,212,224,821,168,726,354,181,601,828,703,449,238,39,441,1635,2142,1166,345,112,0,0,112
1069,4074,12010,1303,794,712,1265,673,1962,990,449,2718,1356,1159,1285,931,699,682,2223,4297,3540,1268,14,0,0,14
1070,1282,4494,192,305,258,527,184,494,351,253,709,573,453,561,176,92,213,956,1871,1034,420,6,0,0,6
1071,1690,6224,317,274,284,815,211,634,514,331,863,827,602,700,315,73,497,1296,2477,1378,576,0,0,0,0
1072,1777,5883,354,399,346,678,329,699,540,209,1109,668,776,479,336,186,349,1100,2408,1431,595,2,0,0,2
1073,1944,5046,634,508,366,436,465,897,413,169,1320,624,814,666,312,152,418,794,1900,1160,774,16,0,0,16
1074,2665,6948,563,1195,350,557,478,1027,908,252,1945,720,668,1057,793,147,228,1001,2341,2323,1055,22,0,0,22
1075,1029,2692,277,330,130,292,96,479,357,97,713,316,397,322,203,107,135,529,968,778,282,3,0,0,3
1076,1261,3344,292,544,179,246,223,452,511,75,940,321,255,449,354,203,188,368,1052,1074,662,0,0,0,0
1077,1955,5532,449,667,413,426,327,769,633,226,1402,553,552,612,366,425,196,913,2059,1555,809,5,0,0,5
1078,1595,4421,367,542,297,389,376,590,439,190,1133,462,479,503,390,223,138,671,1471,1325,816,22,0,0,22
1079,3107,8922,574,1167,505,861,639,1037,1093,338,2287,820,648,776,825,858,419,1239,2546,2737,1981,39,0,0,39
1080,1929,5934,454,478,306,691,411,529,718,271,1207,722,663,537,453,276,225,1292,1898,1758,761,14,0,0,14
1081,1271,4334,187,338,241,505,198,431,405,237,615,656,413,435,250,173,224,810,1278,1198,824,11,0,0,11
1082,1968,5943,353,635,431,549,381,542,776,269,1279,689,500,655,385,428,339,886,1933,1750,1035,15,0,0,15
1083,5295,14955,1178,1676,1054,1387,700,2071,1962,562,3509,1786,1021,1475,1485,1314,758,2405,5314,4473,2005,4,0,0,4
1084,2166,6001,419,841,360,546,521,595,848,202,1617,549,413,640,632,481,75,987,1689,1938,1312,28,0,0,28
1085,1382,4708,186,395,272,529,220,430,418,314,931,451,187,306,384,505,225,590,1590,1499,804,7,0,0,7
1086,2157,6503,454,643,365,695,372,778,709,298,1414,743,288,706,778,385,200,1086,2251,1850,1116,1,0,0,1
1087,2268,6372,492,724,438,614,318,887,755,308,1697,571,208,525,557,978,266,885,1839,2164,1218,9,0,0,9
1088,1303,4540,139,448,211,505,247,379,450,227,846,457,225,478,354,246,238,809,1486,1284,723,29,0,0,29
1089,2146,6094,421,809,320,596,466,835,605,240,1329,817,939,551,422,234,414,1144,2277,1566,693,12,0,0,12
1090,1494,3201,492,675,172,155,282,738,447,27,1198,296,367,471,458,198,178,427,923,1250,423,0,0,0,0
1091,1504,3703,500,525,153,326,295,657,503,49,1111,393,342,552,396,214,196,626,1208,1077,596,2,0,0,2
1092,479,918,266,135,32,46,158,229,85,7,387,92,283,92,59,45,55,137,313,308,105,53,0,0,53
1093,1079,2458,426,396,136,121,100,630,235,114,817,262,350,382,187,160,86,357,993,781,241,133,0,0,133
1094,3167,8341,959,878,551,779,404,1330,1173,260,2319,848,736,1015,862,554,558,1270,2905,2726,882,31,0,0,31
1095,1308,4243,153,354,224,577,198,393,588,129,694,614,325,446,323,214,279,852,1455,1222,435,0,0,0,0
1096,3548,9130,981,1062,824,681,463,1525,1213,347,2364,1184,820,735,1131,862,594,1631,2831,2915,1159,66,0,0,66
1097,1268,3615,252,483,155,378,172,474,485,137,894,374,391,302,367,208,217,710,1144,1222,322,75,0,0,75
1098,3006,11021,179,935,600,1292,286,950,1135,635,1626,1380,426,837,678,1065,669,2230,4504,2724,894,1,0,0,1
1099,3047,8725,548,1117,559,823,484,1115,1118,330,2031,1016,653,949,932,513,589,1435,2799,2455,1447,11,0,0,11
1100,3170,8644,639,1306,385,840,554,1109,1196,311,2220,950,489,549,787,1345,390,1768,2174,2984,1328,10,0,0,10
1101,1508,4325,232,530,326,420,220,629,554,105,991,517,178,291,368,671,191,800,1142,1414,778,0,0,0,0
1102,306,886,55,104,45,102,57,78,144,27,172,134,64,42,77,123,15,266,161,270,174,0,0,0,0
1103,2880,8177,541,905,613,821,457,1058,937,428,1836,1044,371,691,627,1191,451,1599,2322,2681,1124,8,0,0,8
1104,1324,3947,160,503,203,458,252,429,517,126,890,434,136,318,374,496,161,881,947,1274,684,0,0,0,0
1105,386,927,105,142,71,68,85,146,112,43,241,145,61,78,129,118,57,145,230,269,226,0,0,0,0
1106,3145,7855,1044,864,659,578,663,1255,915,312,2363,782,972,949,803,421,404,1298,3052,1870,1231,12,0,0,12
1107,1507,4129,414,463,257,373,290,589,458,170,971,536,442,366,516,183,207,828,1495,1017,582,4,0,0,4
1108,2260,6032,571,711,337,641,459,1104,620,77,1425,835,426,630,799,405,555,1109,1759,1555,1054,41,0,0,41
1109,2932,8457,571,923,638,800,476,1112,1192,152,1891,1041,563,743,1011,615,686,1244,2703,2568,1256,1,0,0,1
1110,2777,6884,720,1148,425,484,506,1227,855,189,2021,756,969,878,553,377,412,1062,2382,1918,1110,32,0,0,32
1111,1836,5467,376,673,292,495,308,867,499,162,1269,567,436,685,485,230,352,860,1852,1667,736,19,0,0,19
1112,2126,6091,495,680,421,530,324,770,638,394,1485,641,529,650,682,265,331,922,2469,1691,678,43,0,0,43
1113,1424,2375,782,460,143,39,507,642,240,35,1239,185,833,313,170,108,81,168,760,557,809,34,0,0,34
1114,2683,7456,802,695,460,726,489,1379,636,179,1627,1056,1477,899,307,0,688,1626,3130,1409,603,0,0,0,0
1115,1500,5307,280,300,272,648,121,588,395,396,760,740,692,472,245,91,439,1129,2378,1064,297,0,0,0,0
1116,1207,3369,208,362,343,294,212,321,550,124,883,324,248,478,296,185,205,479,1245,927,513,27,0,0,27
1117,1269,3698,148,479,335,307,209,414,423,223,942,327,129,485,365,290,160,458,1201,1192,687,15,1,0,14
1118,3104,7892,665,1153,799,487,409,1418,1097,180,2113,991,914,1149,650,391,543,978,2919,2284,1168,66,43,0,23
1119,3289,8646,661,1365,587,676,584,1255,1113,337,2309,980,909,931,884,565,482,1335,3322,2399,1108,19,0,0,19
1120,2943,10195,426,729,458,1330,462,1043,1072,366,1426,1517,1416,948,421,158,1039,2331,4277,1736,812,7,0,0,7
1121,5563,11147,2358,1948,768,489,935,2768,1612,248,4485,1078,1353,1435,1515,1260,772,985,5119,2688,1583,16,0,0,16
1122,2833,7853,789,805,460,779,411,1298,929,195,1845,988,1032,1027,605,169,461,1364,2890,2158,980,85,0,0,85
1123,2236,5466,749,508,629,350,458,939,640,199,1669,567,569,871,546,250,319,729,2395,1532,491,41,0,0,41
1124,2495,6569,588,946,352,609,390,976,1009,120,1742,753,508,629,779,579,303,1053,1841,2163,1209,18,0,0,18
1125,1818,4488,450,731,276,361,381,603,666,168,1325,493,176,485,568,589,322,643,1126,1442,955,8,0,0,8
1126,2657,6896,495,1047,547,568,422,1147,840,248,1837,820,407,460,782,1008,253,1127,1906,2316,1294,10,0,0,10
1127,2419,6236,640,835,398,546,501,981,787,150,1753,666,491,562,580,786,383,934,1821,1985,1113,7,0,0,7
1128,1667,4565,351,500,353,463,304,599,651,113,1040,627,261,457,478,471,541,617,1490,1281,636,10,0,0,10
1129,2184,5639,627,655,419,483,457,772,827,128,1501,683,490,518,600,576,316,949,1747,1631,996,81,0,0,81
1130,1320,3498,283,507,181,349,307,350,534,129,953,367,219,233,317,551,197,556,954,968,823,10,0,0,10
1131,2240,5940,411,955,347,527,476,865,742,157,1622,618,275,402,387,1176,248,1093,1087,2134,1378,14,0,0,14
1132,1696,4924,239,603,413,441,370,811,446,69,1073,623,119,225,302,1050,225,1113,1014,1512,1060,16,0,0,16
1133,2951,7397,642,1169,507,633,375,1202,1203,171,2118,833,444,537,597,1373,151,1360,2109,2457,1320,26,0,0,26
1134,2477,6293,761,834,197,685,596,983,851,47,1783,694,849,612,410,606,502,1020,2299,1610,862,14,0,0,14
1135,2884,6052,991,1194,346,353,452,1464,888,80,2232,652,608,797,588,891,334,693,2203,1599,1223,2,0,0,2
1136,2524,5580,912,905,336,371,321,1329,820,54,1910,614,495,704,652,673,383,655,2721,1310,511,2,0,0,2
1137,1400,3759,334,508,251,307,278,604,448,70,1008,392,196,393,308,503,170,634,854,1039,1062,29,0,0,29
1138,2303,5979,359,979,487,478,515,1058,646,84,1648,655,325,506,759,713,343,998,1109,2044,1485,9,0,0,9
1139,1212,3486,137,480,294,301,160,508,453,91,782,430,115,166,180,751,113,717,683,1178,795,6,0,0,6
1140,1106,2888,298,430,116,262,368,239,439,60,828,278,238,200,188,480,101,556,443,880,908,5,0,0,5
1141,2104,6104,200,931,456,517,491,736,788,89,1323,781,240,354,370,1140,431,1222,1180,1889,1382,24,0,0,24
1142,1452,3870,219,651,216,366,237,510,570,135,940,512,156,207,394,695,144,711,770,1444,801,6,0,0,6
1143,1840,4680,406,687,348,399,364,710,694,72,1294,546,386,503,274,677,362,751,1191,1224,1152,27,0,0,27
1144,2033,4722,638,717,345,333,483,648,803,99,1445,588,506,433,525,569,222,771,1731,1155,843,4,0,0,4
1145,3507,7131,1509,1259,397,342,517,2037,859,94,2812,695,1067,1003,728,709,359,865,3478,1318,1111,34,0,0,34
1146,1894,3520,904,645,211,134,183,1136,511,64,1566,328,552,606,503,233,157,420,2058,589,296,24,0,0,24
1147,2350,6204,449,961,297,643,539,694,959,158,1584,766,389,474,264,1223,380,1134,1484,1435,1771,14,0,0,14
1148,5918,8030,3921,1966,30,1,4746,1081,91,0,5916,2,2424,2131,851,512,1,4,15,850,7160,2,0,0,2
1149,2165,5365,622,637,455,451,328,905,794,138,1465,700,329,487,695,654,225,1153,1494,1626,867,16,0,0,16
1150,2116,5615,455,765,403,493,408,845,707,156,1375,741,570,337,397,812,233,1183,1623,1579,997,6,0,0,6
1151,2126,6221,268,805,405,648,393,817,802,114,1234,892,301,198,333,1294,370,1595,1143,1976,1137,0,0,0,0
1152,2532,6420,592,1021,418,501,392,1179,837,124,1783,749,370,644,507,1011,308,1234,1740,2070,1068,0,0,0,0
1153,1547,4454,260,544,253,490,273,503,640,131,993,554,172,272,152,951,251,904,993,1399,907,3,0,0,3
1154,2688,6939,630,1008,292,758,602,1078,863,145,1799,889,423,171,332,1762,313,1410,1192,2139,1885,6,0,0,6
1155,738,2113,94,291,143,210,131,209,354,44,478,260,63,103,155,417,91,416,489,680,437,0,0,0,0
1156,1393,4031,193,575,224,401,266,561,497,69,922,471,147,196,251,799,161,828,932,1359,751,0,0,0,0
1157,1040,2540,231,425,176,208,250,422,339,29,711,329,156,274,203,407,62,553,550,696,679,0,0,0,0
1158,2320,5934,648,702,407,563,506,899,793,122,1512,808,469,538,527,786,210,1340,1477,1830,1077,0,0,0,0
1159,800,3052,152,310,152,186,179,343,245,33,542,258,98,113,122,467,78,835,881,719,539,973,947,0,26
1160,1812,5707,181,747,331,553,299,827,614,72,1056,756,218,180,283,1131,162,1642,1254,1660,989,572,571,0,1
1161,4058,11000,937,1309,771,1041,723,1897,1212,226,2559,1499,543,745,775,1995,634,2416,2204,3618,2128,15,0,0,15
1162,441,1242,79,128,158,76,111,142,156,32,284,157,38,73,33,297,0,331,190,537,184,3,0,0,3
1163,1319,3457,187,617,232,283,362,528,362,67,899,420,195,166,231,727,245,578,784,1083,767,0,0,0,0
1164,1948,5688,258,725,391,574,368,798,635,147,1170,778,120,249,265,1314,158,1499,989,2052,990,19,0,0,19
1165,2801,7337,496,1316,251,738,601,1279,752,169,2113,688,248,602,520,1431,279,1323,1219,2634,1882,4,0,0,4
1166,3975,11301,643,1432,580,1320,579,1930,1283,183,2240,1735,304,598,825,2248,669,2924,2291,3810,1607,5,0,0,5
1167,3971,10902,618,1669,533,1151,746,1529,1385,311,2654,1317,404,619,830,2118,524,2441,2068,3651,2218,6,0,0,6
1168,3157,7577,982,1001,539,635,362,1581,1102,112,2019,1138,350,609,1011,1187,400,1486,2294,2494,903,0,0,0,0
1169,2235,6767,362,687,473,713,343,792,939,161,1291,944,277,458,580,920,420,1538,1763,1861,1185,29,0,0,29
1170,2911,7265,772,1037,503,599,283,1294,1199,135,1975,936,377,545,850,1139,413,1631,2386,2153,682,0,0,0,0
1171,2747,8628,286,746,650,1065,263,989,1190,305,1435,1312,229,338,617,1563,334,2115,2245,2931,1003,9,0,0,9
1172,1837,5985,247,518,299,773,164,653,755,265,872,965,247,289,573,728,606,868,2138,1515,858,17,0,0,17
1173,1237,3938,115,337,346,439,146,378,620,93,619,618,130,250,383,474,304,975,996,1113,550,5,0,0,5
1174,1640,4677,349,478,265,548,371,376,703,190,1035,605,267,264,410,699,154,1031,1114,1513,865,16,0,0,16
1175,4099,11930,729,982,1012,1376,451,2034,1378,236,1905,2194,526,883,1029,1661,717,3012,3798,3367,1036,0,0,0,0
1176,13850,44666,1636,3394,2557,6263,1336,5996,5517,1001,5769,8081,1599,1784,2426,8041,2536,12898,12693,12224,4315,124,0,0,124
1177,7661,22578,1083,2939,1286,2353,1305,2785,2842,729,4933,2728,1404,1718,1858,2681,901,5211,6224,6723,3519,94,0,0,94
1178,13394,42174,2076,4146,2254,4918,2839,4251,4561,1743,7577,5817,2802,3442,3797,3353,2338,10058,11834,11850,6094,63,0,0,63
1179,6308,20961,910,1666,1243,2489,919,2303,2221,865,3524,2784,1580,1639,1489,1600,1396,5102,7097,5218,2148,110,0,0,110
1180,4263,15151,649,919,750,1945,626,1505,1556,576,2217,2046,1057,1370,1112,724,1081,3919,5446,3556,1149,4,0,0,4
1181,1804,4798,512,520,374,398,457,715,474,158,1227,577,757,366,425,256,307,751,1407,1549,784,14,0,0,14
1182,3554,11005,768,993,807,986,710,1541,999,304,2111,1443,1201,1089,939,325,751,2602,3684,2832,1136,61,0,0,61
1183,1040,3346,220,372,88,360,214,375,274,177,748,292,237,369,299,135,163,593,1039,1000,551,2,0,0,2
1184,1359,4328,144,423,334,458,171,605,491,92,847,512,245,384,502,228,142,938,1397,1343,508,3,0,0,3
1185,5305,19178,651,1234,1097,2323,466,1869,1918,1052,2903,2402,829,1227,1852,1397,1376,4628,6532,5091,1551,17,0,0,17
1186,5400,18433,877,1267,959,2297,711,1944,1710,1035,3046,2354,1114,1486,1430,1370,1089,4207,5967,5450,1720,8,0,0,8
1187,2492,7757,371,712,617,792,657,1034,584,217,1544,948,964,708,602,218,399,1688,2565,2076,1029,9,0,0,9
1188,2878,8874,571,802,571,934,491,1141,973,273,1579,1299,1043,1160,513,162,634,2063,3061,2093,1023,55,0,0,55
1189,2255,6421,649,664,436,506,500,1140,419,196,1403,852,1058,821,343,33,578,1140,2652,1445,606,156,0,0,156
1190,1471,4130,377,453,214,427,349,825,236,61,645,826,901,458,94,18,577,1005,1634,744,170,1,0,0,1
1191,1674,5399,316,403,328,627,273,745,509,147,910,764,836,641,157,40,413,1294,1872,1188,632,1,0,0,1
1192,1253,4226,158,469,196,430,333,401,323,196,847,406,387,542,271,53,260,1004,1242,1145,575,5,0,0,5
1193,2534,7037,755,746,262,771,703,1237,401,193,1619,915,1298,844,269,123,508,1533,2366,1796,834,8,0,0,8
1194,1425,4488,298,436,234,457,317,482,447,179,926,499,361,514,371,179,206,895,1321,1287,779,4,0,0,4
1195,5061,17454,701,1442,1028,1890,702,1821,1880,658,2893,2168,949,1424,1533,1155,789,4041,5353,5272,1999,59,0,0,59
1196,2693,8500,581,752,522,838,478,986,899,330,1755,938,581,799,777,536,575,1499,2886,2333,1207,25,0,0,25
1197,1092,3514,222,225,214,431,209,526,273,84,618,474,503,396,121,72,251,684,1538,628,413,59,0,0,59
1198,1506,4043,341,563,250,352,267,670,435,134,1068,438,454,589,258,205,173,659,1452,1161,598,15,0,0,15
1199,2588,7093,711,931,328,618,768,1101,537,182,1809,779,1285,782,425,96,540,1318,2391,1605,1239,8,0,0,8
1200,2641,8668,461,757,491,932,412,1001,788,440,1655,986,603,973,710,355,640,1515,2982,2463,1068,40,0,0,40
1201,1292,4774,116,293,244,639,129,508,429,226,686,606,235,552,339,166,279,871,1879,1219,526,5,0,0,5
1202,827,3136,62,241,182,342,112,277,238,200,413,414,347,323,111,46,219,746,1210,721,240,5,0,0,5
1203,1495,5430,207,257,388,643,271,560,503,161,646,849,631,518,214,132,511,1382,1872,1140,525,26,0,0,26
1204,768,2168,208,178,196,186,220,286,199,63,472,296,458,188,69,53,124,507,709,477,351,0,0,0,0
1205,1294,3548,367,427,165,335,304,572,340,78,902,392,473,367,250,204,222,601,1265,926,534,26,0,0,26
1206,1722,6486,273,319,373,757,329,628,554,211,874,848,699,620,288,115,633,1599,2436,1377,441,0,0,0,0
1207,1673,5739,196,376,463,638,196,594,595,288,924,749,605,653,312,103,396,1269,2082,1276,716,3,0,0,3
1208,2574,8399,558,514,511,991,618,1072,550,334,1271,1303,1416,790,232,136,625,2403,3080,1649,642,5,0,0,5
1209,1746,6304,256,289,338,863,305,624,522,295,770,976,855,533,150,208,410,1698,2463,1422,311,10,0,0,10
1210,1722,6788,192,242,425,863,240,610,429,443,767,955,851,599,165,107,501,1600,2710,1455,522,4,0,0,4
1211,1524,3951,451,428,357,288,204,639,559,122,994,530,430,476,424,194,201,783,1369,1049,549,15,0,0,15
1212,2202,4417,749,1004,203,246,666,858,634,44,1770,432,590,631,526,455,321,438,1061,1392,1205,5,0,0,5
1213,1357,3193,275,660,244,178,263,658,359,77,922,435,346,418,292,301,105,607,766,1122,593,6,0,0,6
1214,1353,3436,269,565,295,224,243,600,429,81,941,412,200,420,323,410,282,420,979,1094,661,0,0,0,0
1215,1908,4967,471,676,323,438,338,849,615,106,1280,628,354,551,528,475,295,925,1317,1593,837,0,0,0,0
1216,1294,3342,298,449,316,231,199,523,513,59,846,448,194,383,271,446,95,633,908,1119,587,0,0,0,0
1217,1759,5349,119,619,442,579,222,633,723,181,972,787,240,339,429,751,279,1173,1387,1930,580,1,0,0,1
1218,1911,5208,464,687,319,441,370,761,558,222,1404,507,585,547,479,300,236,770,1759,1517,926,21,0,0,21
1219,1069,3480,198,379,202,290,188,394,375,112,799,270,329,361,199,180,155,637,1050,990,648,25,0,0,25
1220,2878,7900,692,1113,460,613,435,1115,1062,266,2186,692,437,976,785,680,470,1018,2598,2510,1304,15,0,0,15
1221,1550,5356,262,494,212,582,278,523,567,182,1061,489,429,531,387,203,343,1193,2048,1296,476,15,0,0,15
1222,1239,3308,374,441,252,172,218,678,287,56,917,322,571,367,164,137,181,448,1416,865,398,372,356,0,16
1223,1111,3387,252,269,282,308,258,328,438,87,701,410,581,376,121,33,312,470,1039,1008,558,11,0,0,11
1224,1327,2773,650,395,137,145,435,738,128,26,945,382,964,236,79,48,472,234,1010,713,344,137,0,0,137
1225,1045,2696,322,359,195,169,164,535,287,59,674,371,446,409,160,30,154,524,1000,769,249,0,0,0,0
1226,1133,3061,387,321,219,206,256,517,257,103,868,265,594,396,143,0,155,714,1098,757,337,12,0,0,12
1227,1058,2724,301,374,170,213,276,476,213,93,708,350,421,393,151,93,182,458,947,796,341,9,0,0,9
1228,772,2250,215,216,128,213,150,313,258,51,516,256,250,278,156,88,146,424,790,611,279,27,0,0,27
1229,1399,3757,281,564,226,328,342,552,457,48,847,552,659,448,235,57,172,766,1319,929,571,7,0,0,7
1230,2399,7074,664,690,456,589,635,890,599,275,1678,721,808,639,533,419,366,1112,2156,1968,1472,29,0,0,29
1231,1084,3212,221,333,211,319,269,340,380,95,720,364,393,489,162,40,190,719,968,860,475,13,0,0,13
1232,1255,3496,449,234,252,320,310,558,242,145,859,396,591,386,230,48,211,653,1199,935,498,15,0,0,15
1233,1134,2626,323,470,164,177,226,556,228,124,899,235,341,343,319,131,127,287,802,810,600,0,0,0,0
1234,1452,4463,344,338,340,430,299,662,446,45,818,634,814,377,214,47,272,1219,1706,1004,262,3,0,0,3
1235,1075,2505,512,302,103,158,254,529,234,58,848,227,679,299,83,14,159,447,996,705,198,7,0,0,7
1236,1358,3508,371,477,332,178,293,670,318,77,955,403,607,449,249,53,206,572,1446,832,452,46,0,0,46
1237,942,2596,258,313,105,266,162,382,272,126,644,298,306,352,159,125,126,491,976,650,353,0,0,0,0
1238,220,767,26,69,70,55,51,89,67,13,145,75,35,48,56,81,35,171,326,158,77,87,83,0,4
1239,870,3246,75,236,192,367,93,334,289,154,468,402,248,243,227,152,171,676,1192,777,430,39,0,0,39
1240,1519,5570,124,427,222,746,226,553,474,266,779,740,429,596,356,138,370,1208,1872,1382,738,43,0,0,43
1241,1231,2618,584,288,195,164,671,326,166,68,862,369,889,211,131,0,292,300,810,652,564,38,0,0,38
1242,2111,5656,572,703,302,534,559,530,762,260,1320,791,674,683,423,331,487,772,1896,1608,893,3,0,0,3
1243,1811,4544,718,426,305,362,476,959,276,100,1262,549,946,454,374,37,398,676,1337,1134,999,125,0,0,125
1244,1744,6213,273,515,149,807,423,694,435,192,1048,696,805,517,361,61,457,1241,1942,1685,888,29,0,0,29
1245,1641,5616,214,493,345,589,211,791,404,235,1022,619,465,581,448,147,442,894,1948,1637,695,18,0,0,18
1246,3472,10921,421,1224,749,1078,478,1239,1258,497,2286,1186,804,813,896,959,533,1394,4013,3419,1562,21,0,0,21
1247,3424,11242,442,891,867,1224,344,1244,1288,548,1954,1470,340,969,1082,1033,517,2486,3494,3641,1104,3,0,0,3
1248,3030,9192,433,1252,374,971,499,1244,986,301,1873,1157,408,704,714,1204,533,1867,2709,2677,1406,4,0,0,4
1249,1656,4916,220,598,315,523,239,635,612,170,1151,505,154,545,598,359,290,803,1598,1497,728,5,0,0,5
1250,1756,5333,357,499,397,503,351,755,400,250,1100,656,737,600,294,125,273,1225,2042,1346,447,6,0,0,6
1251,2348,6786,505,730,409,704,457,873,829,189,1527,821,812,632,564,340,360,1398,2417,1836,775,12,0,0,12
1252,841,3681,34,202,256,349,43,432,357,9,222,619,272,381,161,27,535,704,2335,87,20,908,0,908,0
1253,1218,3791,154,474,177,413,181,463,454,120,749,469,197,458,323,240,287,729,1233,1172,370,0,0,0,0
1254,1820,6096,261,479,423,657,263,570,566,421,1130,690,446,563,514,297,361,1286,2283,1433,733,3,0,0,3
1255,1740,5336,320,518,336,566,322,582,602,234,1147,593,565,677,376,122,246,1022,2062,1413,593,7,0,0,7
1256,1753,5707,304,417,397,635,367,847,378,161,967,786,726,500,395,132,362,1313,2026,1200,806,0,0,0,0
1257,2152,6671,430,640,403,679,469,828,697,158,1195,957,777,831,351,193,399,1627,2259,1629,757,20,0,0,20
1258,1329,4317,296,348,180,505,232,603,372,122,672,657,630,479,188,32,416,1268,1309,935,389,6,0,0,6
1259,1616,5570,357,346,309,604,323,574,471,248,952,664,831,473,242,70,264,1514,1953,1233,606,25,0,0,25
1260,1200,4441,167,196,264,573,188,486,347,179,519,681,702,261,218,19,552,1154,1753,694,288,14,0,0,14
1261,1261,4022,225,327,264,445,73,574,442,172,658,603,271,541,271,178,472,823,1548,941,238,0,0,0,0
1262,627,1710,180,165,124,158,108,274,208,37,356,271,386,171,58,12,170,412,453,552,123,23,0,0,23
1263,935,2653,318,256,123,238,217,479,170,69,576,359,462,298,152,23,269,469,817,724,374,30,0,0,30
1264,1909,6072,379,532,317,681,435,883,445,146,1028,881,975,690,190,54,460,1425,2484,1111,592,83,0,0,83
1265,1085,3256,247,331,187,320,188,469,354,74,686,399,555,284,154,92,140,751,1117,852,396,19,0,0,19
1266,1373,4472,245,388,187,553,286,574,300,213,784,589,540,475,217,141,145,1278,1442,1121,486,8,0,0,8
1267,1275,3357,340,484,212,239,292,433,503,47,899,376,356,357,342,220,166,636,807,1004,744,0,0,0,0
1268,4063,10923,870,1503,677,1013,734,1506,1465,358,2870,1193,678,1063,1176,1146,625,1617,3269,3518,1894,31,0,0,31
1269,3558,9806,869,1167,805,717,761,1317,1159,321,2538,1020,933,1006,1085,534,546,1436,3031,2771,2022,42,0,0,42
1270,5280,17806,573,1349,1301,2057,602,1733,2070,875,2918,2362,676,1614,1839,1151,1233,3634,6615,4497,1827,6,0,0,6
1271,4897,15350,688,1423,1108,1678,548,1939,1801,609,2753,2144,705,1399,1701,1092,1036,3505,5656,3814,1339,0,0,0,0
1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2757,-3366,588,0,0,0,0
1273,1675,5027,388,399,375,513,323,597,553,202,931,744,521,503,397,254,499,975,1648,1359,546,4,0,0,4
1274,2370,6136,687,699,439,545,585,1165,518,102,1544,826,984,888,421,77,536,1358,2169,1221,852,0,0,0,0
1275,1250,3503,294,386,269,301,206,437,403,204,780,470,328,395,286,241,139,700,1508,863,293,0,0,0,0
1276,1307,4178,243,282,283,499,173,478,489,167,733,574,294,541,372,100,388,858,1600,878,454,0,0,0,0
1277,2070,6105,450,515,462,643,334,720,700,316,1227,843,450,596,534,490,291,1340,2301,1611,562,7,0,0,7
1278,1029,3024,159,310,244,316,141,354,378,156,621,408,121,368,351,189,145,679,1003,947,250,0,0,0,0
1279,2376,6310,655,849,287,585,475,920,803,178,1719,657,422,793,614,547,345,1108,2115,1696,1046,16,0,0,16
1280,4539,10485,1755,1520,459,805,1739,1452,1125,223,3592,947,1488,1301,1003,747,298,1672,2065,3073,3377,0,0,0,0
1281,2446,6050,659,975,246,566,375,1064,810,197,1715,731,1079,778,438,151,285,1217,2533,1439,576,0,0,0,0
1282,4450,13820,630,1497,616,1707,559,1668,1774,449,2500,1950,1180,1410,845,1015,1245,2977,4752,3688,1158,5,0,0,5
