"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
883,1225,3631,179,458,260,328,196,499,352,178,912,313,192,265,486,282,235,440,1167,962,827,0,0,0,0
884,1412,3449,359,606,163,284,214,709,366,123,1053,359,222,377,324,489,308,316,871,1119,835,16,0,0,16
885,2651,6333,653,1202,381,415,331,1030,1062,228,2085,566,300,747,660,944,339,537,1902,2133,1422,0,0,0,0
886,1770,5118,450,485,378,457,241,618,666,245,1323,447,435,533,434,368,253,721,2100,1433,611,19,0,0,19
887,1284,3651,390,416,94,384,230,662,322,70,778,506,415,404,342,123,207,848,1231,764,601,137,0,0,137
888,1549,5370,381,254,310,604,204,707,363,275,711,838,770,533,215,31,355,1602,2020,1086,307,39,0,0,39
889,1103,3313,296,267,208,332,141,549,304,109,624,479,660,246,116,81,179,890,1169,778,297,0,0,0,0
890,1722,6176,393,274,271,784,241,799,469,213,803,919,830,635,173,84,656,1579,2338,1215,388,2,0,0,2
891,1291,4451,268,231,370,422,154,457,461,219,657,634,655,422,182,32,245,1180,1680,1028,318,8,0,0,8
892,1150,4846,183,134,179,654,125,439,382,204,464,686,576,299,187,88,465,1337,1861,917,266,6,0,0,6
893,1145,4630,191,184,194,576,135,517,296,197,493,652,703,306,122,14,492,1251,1882,715,290,17,0,0,17
894,986,3314,271,163,187,365,178,492,196,120,495,491,639,239,99,9,305,822,1222,648,317,122,0,0,122
895,2065,6438,756,296,302,711,540,979,345,201,1148,917,1441,429,137,58,708,1531,2571,1019,609,7,0,0,7
896,754,2455,184,195,93,282,106,237,216,195,537,217,326,202,191,35,93,406,1146,660,150,4,0,0,4
897,1132,4193,203,219,207,503,161,362,373,236,579,553,535,409,141,47,337,926,1686,984,260,51,0,0,51
898,1303,4300,220,437,200,446,198,742,298,65,717,586,813,350,101,39,366,1061,1762,715,396,0,0,0,0
899,2305,7708,517,567,359,862,355,1112,549,289,1281,1024,1063,735,419,88,650,1856,2863,1590,749,15,0,0,15
900,1768,6516,406,407,249,706,378,737,411,242,846,922,1043,449,172,104,713,1513,2575,1187,528,75,0,0,75
901,1792,4690,547,460,452,333,242,783,431,336,1173,619,751,532,341,168,380,721,1781,1302,506,3,0,0,3
902,770,2625,252,181,166,171,96,321,292,61,522,248,236,178,218,138,118,764,884,556,303,688,681,0,7
903,1638,4248,488,436,421,293,231,776,571,60,1103,535,524,451,340,323,326,685,1233,1346,658,5,0,0,5
904,2230,6488,541,694,476,519,289,1174,598,169,1441,789,943,660,422,205,548,1150,2463,1793,534,49,0,0,49
905,2326,7577,443,668,466,749,235,818,868,405,1424,902,899,821,436,170,576,1346,3190,1758,707,0,0,0,0
906,1975,5873,533,574,344,524,179,1056,580,160,1124,851,845,819,216,95,196,1424,1866,1649,738,27,0,0,27
907,1109,2954,260,370,199,280,103,371,547,88,719,390,188,223,326,372,198,468,1055,771,462,35,0,0,35
908,1519,3939,356,545,287,331,146,745,468,160,1062,457,365,521,330,303,276,576,1442,1098,547,8,0,0,8
909,1371,3602,330,420,305,316,123,533,531,184,922,449,380,289,313,389,234,469,1371,1046,482,0,0,0,0
910,2133,4957,680,775,333,345,354,1025,642,112,1670,463,610,483,509,531,246,681,1440,1547,1043,10,0,0,10
911,998,2679,256,456,105,181,128,406,403,61,765,233,106,178,210,504,106,499,789,762,523,351,351,0,0
912,1765,4544,277,850,304,334,257,582,745,181,1329,436,159,207,415,984,152,606,1144,1586,1056,0,0,0,0
913,2413,5553,557,1084,386,386,244,1132,1037,0,1655,758,172,493,515,1233,290,895,1220,2049,1099,6,0,0,6
914,2310,5425,537,980,431,362,268,862,1003,177,1674,636,214,352,529,1215,231,788,1550,2039,817,0,0,0,0
