"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,79818,139465,147425,74265,1735,88597,33907,20722,12679,12510,348046,4472,10818,66600,42059,23476,19465,154411,86226,401,17603,69940,2619.00456,8945.82941,6012.63089,7960
2,106321,210475,216130,124607,16917,94806,28331,28018,21717,28255,84789,8560,18573,104536,55283,29178,8177,12053,38186,103,2721,23549,7629.77561,6280.5752,1075.53699,5655
3,122685,329797,336452,167164,60176,70891,36682,32905,26007,27091,152075,20919,50383,136419,90421,38310,10950,29750,61422,138,13854,35961,8915.19855,11758.27192,20879.59252,6655
4,49104,131276,134052,63773,35338,16874,11686,13350,11265,12803,27600,6650,18698,48168,38735,21801,5389,4547,10422,13,916,6313,9528.89758,16147.21444,10216.667,2776
5,96515,284409,287104,133950,72233,31477,19400,25349,26028,25738,108571,15763,54148,98103,80881,38209,14394,20160,31616,376,25784,16241,11162.38804,1741.46997,5446.26855,2695
6,83567,210973,213427,102758,56264,32621,14813,18848,19710,30196,100175,11718,35024,73472,63451,29762,11502,35889,27044,730,10152,14858,10549.47842,3358.42456,7684.04712,2454
7,77936,218313,221210,98632,58679,23937,13827,17087,17114,29908,129842,15432,42905,77724,58736,26413,8970,35784,29007,1428,25636,29017,7246.32013,1311.81017,3891.56723,2897
8,71929,175214,182560,85887,44384,32215,17817,16029,14528,23555,157160,8913,30004,62443,52536,28664,9959,39339,75927,171,13396,18368,9233.1047,16516.37362,16779.61328,7346
9,107259,272629,274049,131985,45307,70669,35473,24275,23936,23575,285978,18322,41149,117367,67794,29417,13786,72588,37253,735,110823,50793,7036.24069,2586.61344,7907.67797,1420
10,116656,312555,314805,139878,86003,40791,26211,27081,26711,36653,119715,18644,60956,102155,91320,41730,17229,25176,37749,292,16885,22384,19244.38219,9968.77221,23995.80371,2250
11,107048,302498,312896,135083,58687,58329,40677,27776,21478,17117,135747,21863,64471,119919,72106,34537,10230,33569,32852,370,16716,42010,14579.99529,22287.61331,19556.98013,10398
12,107579,394077,397077,164740,87606,27935,28436,24987,26479,27677,107978,29116,90333,140498,101591,35539,13116,18582,26410,287,24464,25119,20463.57306,1881.78597,7165.64666,3000
13,70615,213771,214724,98525,58589,17619,15025,15987,18137,21466,52350,14706,47191,71438,63377,18012,8798,11986,14816,319,7819,8612,12660.81128,0,0,953
14,31407,101717,103171,43098,27707,8416,7943,7509,7618,8337,44408,7853,26104,31880,28557,8777,6388,7268,10588,2900,9328,7936,5068.06079,1106.37048,2599.01782,1454
15,71358,197468,199235,97318,56091,17007,14658,15195,18438,23067,121963,13848,39368,76840,54258,14921,18406,34252,22155,525,16481,30144,8516.94324,1105.59998,4892.58936,1767
16,103634,322812,325130,161703,73777,29246,21207,25850,27872,28705,119762,24036,63759,127668,81570,28097,12821,24598,27783,199,35176,19185,15392.16745,4434.63916,7506.65869,2318
17,121755,359395,365034,169109,85879,39520,35077,39001,28509,19168,127113,25929,69001,133410,89150,47544,13491,17455,31308,121,36425,28313,15526.20576,12589.97705,14714.47461,5639
