"COUNTY","pers_occ_management","pers_occ_professional","pers_occ_services","pers_occ_retail","pers_occ_manual","pers_occ_military"
1,74936,170328,115925,82826,60898,415
2,56577,119639,94359,62577,71739,301
3,128177,342876,194128,132853,169109,569
4,98978,257734,198881,115038,155626,1485
5,70029,139222,131134,86098,108924,808
6,18243,40422,54791,31258,51566,4260
7,9001,14334,16394,12593,18819,36
8,29062,53366,62262,42477,61967,876
9,23255,38195,30542,20485,18092,177
