"zone_id","agrempn","fpsempn","herempn","mwtempn","othempn","retempn","totemp"
1,17,19494,2426,308,2301,401,24947
2,66,28872,3430,1801,4051,550,38770
3,2,3084,1395,120,589,166,5356
4,45,11935,2619,2167,3193,779,20738
5,6,5517,5724,751,3662,2839,18499
6,2,764,2407,65,269,119,3626
7,4,1239,7388,221,290,326,9468
8,14,761,3095,69,623,177,4739
9,0,3831,8596,442,17955,218,31042
10,2,1425,1427,221,3674,535,7284
11,0,2071,2990,388,2213,2785,10447
12,164,6885,5274,433,2718,542,16016
13,0,9457,1344,1328,2206,429,14764
14,12,12023,729,1362,5759,495,20380
15,17,7851,2205,321,3481,238,14113
16,101,11304,5423,945,4902,1631,24306
17,9,3381,1250,678,2395,264,7977
18,27,3380,1577,850,1162,349,7345
19,0,1283,1840,1007,2847,1256,8233
20,2,1088,1248,847,1404,384,4973
21,77,2887,1945,259,3357,382,8907
22,10,11880,3512,587,1599,442,18030
23,3,3818,794,2167,2483,229,9494
24,32,10071,1962,846,3289,230,16430
25,0,458,1396,188,385,339,2766
26,0,337,572,108,133,128,1278
27,0,179,1202,56,103,157,1697
28,0,1342,432,27,132,28,1961
29,2,198,1771,13,209,18,2211
30,0,245,998,109,271,131,1754
31,0,1109,2044,65,224,145,3587
32,0,387,1229,111,261,235,2223
33,2,306,627,85,271,149,1440
34,2,261,518,55,192,196,1224
35,0,306,219,45,103,36,709
36,0,430,1323,135,450,343,2681
37,0,1214,1082,224,306,266,3092
38,0,1690,583,231,537,185,3226
39,0,237,753,374,190,64,1618
40,5,589,1813,117,204,1014,3742
41,14,1676,4624,983,515,737,8549
42,0,114,135,64,465,19,797
43,12,477,690,73,993,184,2429
44,2,1763,1182,2149,400,126,5622
45,2,1239,1647,283,1053,503,4727
46,0,758,841,75,435,102,2211
47,3,397,2911,96,359,226,3992
48,21,286,723,12,83,50,1175
49,17,553,477,27,139,38,1251
50,4,694,1545,127,983,432,3785
51,3,1206,238,21,183,25,1676
52,6,1324,1465,419,1108,23,4345
53,35,96,2310,11,414,163,3029
54,2,350,676,83,180,251,1542
55,0,193,79,11,65,48,396
56,0,19,486,0,90,3,598
57,7,263,68,21,38,5,402
58,2,224,651,41,203,234,1355
59,0,358,859,71,218,42,1548
60,3,132,120,29,99,22,405
61,2,241,373,21,836,67,1540
62,4,536,865,124,403,157,2089
63,0,299,601,47,154,80,1181
64,0,473,489,54,260,160,1436
65,0,519,800,118,487,336,2260
66,2,318,991,222,264,260,2057
67,2,265,216,32,169,68,752
68,0,120,352,18,92,53,635
69,0,1127,3138,182,314,462,5223
70,0,767,1750,197,1177,568,4459
71,21,661,1692,102,363,205,3044
72,2,317,1090,59,133,87,1688
73,0,345,1055,111,442,243,2196
74,0,614,3314,95,305,251,4579
75,0,1311,1749,126,676,341,4203
76,8,628,1023,121,3507,123,5410
77,3,435,1071,103,208,105,1925
78,0,221,369,9,1131,28,1758
79,2,614,3110,80,1481,173,5460
80,0,140,222,16,115,24,517
81,0,358,1611,78,209,131,2387
82,3,391,572,52,264,403,1685
83,14,258,466,44,96,62,940
84,2,249,277,50,1306,129,2013
85,0,391,423,60,289,326,1489
86,0,427,1039,38,212,68,1784
87,0,257,1008,17,152,51,1485
88,0,302,858,112,226,400,1898
89,0,425,484,175,194,134,1412
90,0,234,7016,35,220,129,7634
91,5,287,368,36,70,32,798
92,0,155,5232,20,674,7,6088
93,0,376,308,50,206,68,1008
94,0,608,876,47,254,235,2020
95,0,401,363,33,873,43,1713
96,4,184,192,22,104,56,562
97,0,224,353,36,121,31,765
98,2,441,458,64,129,201,1295
99,0,145,368,15,97,97,722
100,0,477,1727,188,483,350,3225
101,4,659,1636,201,800,432,3732
102,0,229,287,92,145,24,777
103,0,294,434,39,227,112,1106
104,7,1829,1119,47,355,277,3634
105,2,383,586,37,168,89,1265
106,4,792,1475,259,5032,493,8055
107,0,2076,2592,1916,2707,1123,10414
108,2,1038,1297,1419,2215,437,6408
