COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military
1,78657,193619,94533,54865,50074,539
2,58017,138010,75762,44169,65643,547
3,134125,413106,170644,108364,149804,1192
4,114289,303726,170072,92411,144292,2309
5,77297,161837,118333,74783,109463,627
6,19232,41251,51395,27119,52377,4842
7,10072,16034,15725,10862,17612,67
8,31133,59558,56717,36212,56485,775
9,22861,38227,25821,16433,16001,173
