TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
181,803,86,44,511,10,63,89
182,548,39,22,358,0,13,116
183,1511,118,59,1258,0,19,57
184,1009,149,174,570,0,27,89
185,1956,87,286,1447,0,54,82
186,1511,69,216,1037,1,52,136
187,1073,234,520,231,0,12,76
188,6595,942,173,5427,0,8,45
189,795,6,222,503,0,5,59
190,830,5,38,772,0,3,12
191,517,37,107,328,0,4,41
192,1581,671,157,729,0,4,20
193,2629,115,313,1557,0,151,493
194,2157,79,63,1841,0,86,88
195,268,0,24,205,0,6,33
196,289,0,48,208,0,1,32
197,517,149,83,278,0,0,7
198,1093,5,25,1032,0,30,1
199,2096,1145,124,796,0,7,24
200,4574,2561,307,1450,50,122,84
201,1213,256,104,564,1,168,120
202,448,1,16,380,0,17,34
203,2568,258,451,1428,3,53,375
204,797,148,86,423,0,26,114
205,303,6,58,219,0,3,17
206,163,1,52,85,0,4,21
207,883,48,55,309,0,459,12
208,8405,484,3318,964,34,2939,666
209,486,1,64,334,0,38,49
210,629,87,58,205,0,154,125
211,1827,255,450,733,0,235,154
212,46725,1127,15118,4910,257,22347,2966
213,1282,118,100,912,0,28,124
214,907,100,102,381,0,23,301
215,572,80,207,275,0,4,6
216,3692,116,25,3484,0,17,50
217,458,64,51,290,0,4,49
218,2090,285,427,1262,0,26,90
219,360,85,8,240,0,1,26
220,321,9,23,258,0,0,31
221,318,90,41,152,0,9,26
222,824,140,88,495,0,64,37
223,1224,125,181,506,0,59,353
224,304,9,13,201,0,1,80
225,1041,171,120,602,0,39,109
226,929,252,112,461,3,2,99
227,399,3,63,195,7,76,55
228,14,0,0,14,0,0,0
229,811,15,38,733,0,8,17
230,1642,511,79,939,0,98,15
231,275,2,38,183,0,31,21
232,371,8,89,249,0,7,18
233,489,91,64,245,0,12,77
234,8401,1300,2590,1278,0,269,2964
235,842,2,17,455,0,51,317
236,944,119,201,505,0,35,84
237,1606,200,133,1228,0,11,34
238,857,33,87,355,0,296,86
239,10884,291,1031,1290,0,8212,60
240,3150,319,459,2040,0,214,118
241,463,0,53,320,0,7,83
242,223,1,25,178,0,2,17
243,143,3,44,79,0,5,12
244,1080,230,169,484,0,35,162
245,346,0,26,287,0,4,29
246,4614,181,1083,3194,0,97,59
247,404,7,51,196,0,9,141
248,16526,383,8633,3032,0,3351,1127
