,zone_id,industry,value
0,1,agrempn,6
1,1,fpsempn,462
2,1,herempn,323
3,1,mwtempn,114
4,1,othempn,122
5,1,retempn,42
6,2,agrempn,11
7,2,fpsempn,799
8,2,herempn,559
9,2,mwtempn,198
10,2,othempn,211
11,2,retempn,72
12,3,agrempn,1
13,3,fpsempn,55
14,3,herempn,38
15,3,mwtempn,14
16,3,othempn,15
17,3,retempn,5
18,4,agrempn,12
19,4,fpsempn,932
20,4,herempn,652
21,4,mwtempn,231
22,4,othempn,247
23,4,retempn,84
24,5,agrempn,7
25,5,fpsempn,521
26,5,herempn,365
27,5,mwtempn,129
28,5,othempn,138
29,5,retempn,47
30,6,agrempn,2
31,6,fpsempn,136
32,6,herempn,95
33,6,mwtempn,34
34,6,othempn,36
35,6,retempn,12
36,7,agrempn,3
37,7,fpsempn,165
38,7,herempn,116
39,7,mwtempn,41
40,7,othempn,44
41,7,retempn,15
42,8,agrempn,1
43,8,fpsempn,102
44,8,herempn,72
45,8,mwtempn,24
46,8,othempn,28
47,8,retempn,9
48,9,agrempn,2
49,9,fpsempn,179
50,9,herempn,126
51,9,mwtempn,44
52,9,othempn,47
53,9,retempn,16
54,10,agrempn,6
55,10,fpsempn,450
56,10,herempn,314
57,10,mwtempn,111
58,10,othempn,119
59,10,retempn,40
60,11,agrempn,4
61,11,fpsempn,264
62,11,herempn,184
63,11,mwtempn,65
64,11,othempn,70
65,11,retempn,24
66,12,agrempn,5
67,12,fpsempn,401
68,12,herempn,280
69,12,mwtempn,99
70,12,othempn,106
71,12,retempn,36
72,13,agrempn,4
73,13,fpsempn,327
74,13,herempn,229
75,13,mwtempn,81
76,13,othempn,86
77,13,retempn,29
78,14,agrempn,6
79,14,fpsempn,431
80,14,herempn,301
81,14,mwtempn,106
82,14,othempn,114
83,14,retempn,39
84,15,agrempn,4
85,15,fpsempn,265
86,15,herempn,185
87,15,mwtempn,66
88,15,othempn,70
89,15,retempn,24
90,16,agrempn,6
91,16,fpsempn,428
92,16,herempn,300
93,16,mwtempn,106
94,16,othempn,113
95,16,retempn,39
96,17,agrempn,3
97,17,fpsempn,201
98,17,herempn,140
99,17,mwtempn,50
100,17,othempn,53
101,17,retempn,18
102,18,agrempn,3
103,18,fpsempn,252
104,18,herempn,176
105,18,mwtempn,62
106,18,othempn,66
107,18,retempn,23
108,19,agrempn,3
109,19,fpsempn,226
110,19,herempn,158
111,19,mwtempn,56
112,19,othempn,60
113,19,retempn,20
114,20,agrempn,5
115,20,fpsempn,419
116,20,herempn,293
117,20,mwtempn,104
118,20,othempn,111
119,20,retempn,37
120,21,agrempn,4
121,21,fpsempn,297
122,21,herempn,207
123,21,mwtempn,73
124,21,othempn,78
125,21,retempn,27
126,22,agrempn,6
127,22,fpsempn,432
128,22,herempn,302
129,22,mwtempn,107
130,22,othempn,114
131,22,retempn,39
132,23,agrempn,3
133,23,fpsempn,245
134,23,herempn,171
135,23,mwtempn,61
136,23,othempn,65
137,23,retempn,22
138,24,agrempn,6
139,24,fpsempn,458
140,24,herempn,321
141,24,mwtempn,114
142,24,othempn,121
143,24,retempn,41
144,25,agrempn,1
145,25,fpsempn,78
146,25,herempn,54
147,25,mwtempn,19
148,25,othempn,21
149,25,retempn,7
150,26,agrempn,1
151,26,fpsempn,73
152,26,herempn,51
153,26,mwtempn,18
154,26,othempn,19
155,26,retempn,7
156,27,agrempn,1
157,27,fpsempn,41
158,27,herempn,29
159,27,mwtempn,10
160,27,othempn,11
161,27,retempn,4
162,28,agrempn,1
163,28,fpsempn,82
164,28,herempn,58
165,28,mwtempn,20
166,28,othempn,22
167,28,retempn,7
168,29,agrempn,1
169,29,fpsempn,49
170,29,herempn,34
171,29,mwtempn,12
172,29,othempn,13
173,29,retempn,4
174,30,agrempn,2
175,30,fpsempn,90
176,30,herempn,63
177,30,mwtempn,22
178,30,othempn,24
179,30,retempn,8
180,31,agrempn,1
181,31,fpsempn,99
182,31,herempn,70
183,31,mwtempn,25
184,31,othempn,26
185,31,retempn,9
186,32,agrempn,2
187,32,fpsempn,160
188,32,herempn,112
189,32,mwtempn,40
190,32,othempn,42
191,32,retempn,14
192,33,agrempn,1
193,33,fpsempn,49
194,33,herempn,34
195,33,mwtempn,12
196,33,othempn,13
197,33,retempn,4
198,34,agrempn,2
199,34,fpsempn,138
200,34,herempn,97
201,34,mwtempn,34
202,34,othempn,37
203,34,retempn,12
204,35,agrempn,1
205,35,fpsempn,109
206,35,herempn,76
207,35,mwtempn,27
208,35,othempn,29
209,35,retempn,10
210,36,agrempn,2
211,36,fpsempn,200
212,36,herempn,140
213,36,mwtempn,49
214,36,othempn,53
215,36,retempn,18
216,37,agrempn,3
217,37,fpsempn,174
218,37,herempn,121
219,37,mwtempn,43
220,37,othempn,46
221,37,retempn,16
222,38,agrempn,2
223,38,fpsempn,172
224,38,herempn,121
225,38,mwtempn,43
226,38,othempn,46
227,38,retempn,16
228,39,agrempn,2
229,39,fpsempn,157
230,39,herempn,110
231,39,mwtempn,39
232,39,othempn,41
233,39,retempn,14
234,40,agrempn,1
235,40,fpsempn,88
236,40,herempn,62
237,40,mwtempn,21
238,40,othempn,23
239,40,retempn,8
240,41,agrempn,3
241,41,fpsempn,206
242,41,herempn,145
243,41,mwtempn,51
244,41,othempn,55
245,41,retempn,19
246,42,agrempn,0
247,42,fpsempn,15
248,42,herempn,10
249,42,mwtempn,4
250,42,othempn,4
251,42,retempn,1
252,43,agrempn,3
253,43,fpsempn,173
254,43,herempn,121
255,43,mwtempn,43
256,43,othempn,46
257,43,retempn,16
258,44,agrempn,2
259,44,fpsempn,143
260,44,herempn,100
261,44,mwtempn,35
262,44,othempn,38
263,44,retempn,13
264,45,agrempn,7
265,45,fpsempn,492
266,45,herempn,344
267,45,mwtempn,122
268,45,othempn,130
269,45,retempn,44
270,46,agrempn,3
271,46,fpsempn,199
272,46,herempn,139
273,46,mwtempn,49
274,46,othempn,52
275,46,retempn,18
276,47,agrempn,4
277,47,fpsempn,293
278,47,herempn,205
279,47,mwtempn,73
280,47,othempn,78
281,47,retempn,26
282,48,agrempn,2
283,48,fpsempn,124
284,48,herempn,87
285,48,mwtempn,31
286,48,othempn,33
287,48,retempn,11
288,49,agrempn,1
289,49,fpsempn,82
290,49,herempn,58
291,49,mwtempn,20
292,49,othempn,22
293,49,retempn,7
294,50,agrempn,2
295,50,fpsempn,187
296,50,herempn,131
297,50,mwtempn,46
298,50,othempn,49
299,50,retempn,17
300,51,agrempn,1
301,51,fpsempn,51
302,51,herempn,36
303,51,mwtempn,13
304,51,othempn,13
305,51,retempn,5
306,52,agrempn,2
307,52,fpsempn,146
308,52,herempn,102
309,52,mwtempn,36
310,52,othempn,38
311,52,retempn,13
312,53,agrempn,0
313,53,fpsempn,32
314,53,herempn,22
315,53,mwtempn,8
316,53,othempn,8
317,53,retempn,2
318,54,agrempn,2
319,54,fpsempn,170
320,54,herempn,119
321,54,mwtempn,42
322,54,othempn,45
323,54,retempn,15
324,55,agrempn,1
325,55,fpsempn,44
326,55,herempn,31
327,55,mwtempn,11
328,55,othempn,12
329,55,retempn,4
330,56,agrempn,0
331,56,fpsempn,34
332,56,herempn,24
333,56,mwtempn,8
334,56,othempn,9
335,56,retempn,3
336,57,agrempn,1
337,57,fpsempn,80
338,57,herempn,56
339,57,mwtempn,20
340,57,othempn,21
341,57,retempn,7
342,58,agrempn,2
343,58,fpsempn,124
344,58,herempn,87
345,58,mwtempn,31
346,58,othempn,33
347,58,retempn,11
348,59,agrempn,2
349,59,fpsempn,88
350,59,herempn,62
351,59,mwtempn,22
352,59,othempn,24
353,59,retempn,8
354,60,agrempn,1
355,60,fpsempn,56
356,60,herempn,39
357,60,mwtempn,14
358,60,othempn,15
359,60,retempn,5
360,61,agrempn,1
361,61,fpsempn,109
362,61,herempn,76
363,61,mwtempn,27
364,61,othempn,29
365,61,retempn,10
366,62,agrempn,2
367,62,fpsempn,184
368,62,herempn,129
369,62,mwtempn,46
370,62,othempn,48
371,62,retempn,17
372,63,agrempn,1
373,63,fpsempn,112
374,63,herempn,78
375,63,mwtempn,28
376,63,othempn,29
377,63,retempn,10
378,64,agrempn,2
379,64,fpsempn,133
380,64,herempn,93
381,64,mwtempn,33
382,64,othempn,35
383,64,retempn,12
384,65,agrempn,3
385,65,fpsempn,221
386,65,herempn,154
387,65,mwtempn,55
388,65,othempn,58
389,65,retempn,20
390,66,agrempn,2
391,66,fpsempn,170
392,66,herempn,119
393,66,mwtempn,42
394,66,othempn,45
395,66,retempn,15
396,67,agrempn,1
397,67,fpsempn,46
398,67,herempn,32
399,67,mwtempn,11
400,67,othempn,12
401,67,retempn,4
402,68,agrempn,1
403,68,fpsempn,73
404,68,herempn,51
405,68,mwtempn,18
406,68,othempn,19
407,68,retempn,7
408,69,agrempn,1
409,69,fpsempn,115
410,69,herempn,80
411,69,mwtempn,28
412,69,othempn,31
413,69,retempn,11
414,70,agrempn,3
415,70,fpsempn,213
416,70,herempn,150
417,70,mwtempn,53
418,70,othempn,57
419,70,retempn,20
420,71,agrempn,5
421,71,fpsempn,398
422,71,herempn,278
423,71,mwtempn,98
424,71,othempn,105
425,71,retempn,36
426,72,agrempn,1
427,72,fpsempn,95
428,72,herempn,66
429,72,mwtempn,23
430,72,othempn,25
431,72,retempn,9
432,73,agrempn,2
433,73,fpsempn,155
434,73,herempn,109
435,73,mwtempn,38
436,73,othempn,41
437,73,retempn,14
438,74,agrempn,2
439,74,fpsempn,175
440,74,herempn,122
441,74,mwtempn,43
442,74,othempn,46
443,74,retempn,16
444,75,agrempn,2
445,75,fpsempn,155
446,75,herempn,109
447,75,mwtempn,38
448,75,othempn,41
449,75,retempn,14
450,76,agrempn,1
451,76,fpsempn,104
452,76,herempn,73
453,76,mwtempn,26
454,76,othempn,28
455,76,retempn,9
456,77,agrempn,1
457,77,fpsempn,49
458,77,herempn,34
459,77,mwtempn,12
460,77,othempn,13
461,77,retempn,4
462,78,agrempn,1
463,78,fpsempn,43
464,78,herempn,30
465,78,mwtempn,11
466,78,othempn,11
467,78,retempn,4
468,79,agrempn,4
469,79,fpsempn,303
470,79,herempn,212
471,79,mwtempn,75
472,79,othempn,80
473,79,retempn,27
474,80,agrempn,1
475,80,fpsempn,90
476,80,herempn,63
477,80,mwtempn,22
478,80,othempn,24
479,80,retempn,8
480,81,agrempn,3
481,81,fpsempn,229
482,81,herempn,159
483,81,mwtempn,57
484,81,othempn,60
485,81,retempn,21
486,82,agrempn,2
487,82,fpsempn,177
488,82,herempn,124
489,82,mwtempn,44
490,82,othempn,47
491,82,retempn,16
492,83,agrempn,2
493,83,fpsempn,116
494,83,herempn,81
495,83,mwtempn,29
496,83,othempn,31
497,83,retempn,10
498,84,agrempn,2
499,84,fpsempn,184
500,84,herempn,129
501,84,mwtempn,46
502,84,othempn,49
503,84,retempn,17
504,85,agrempn,1
505,85,fpsempn,63
506,85,herempn,44
507,85,mwtempn,16
508,85,othempn,17
509,85,retempn,6
510,86,agrempn,2
511,86,fpsempn,96
512,86,herempn,67
513,86,mwtempn,24
514,86,othempn,26
515,86,retempn,9
516,87,agrempn,2
517,87,fpsempn,138
518,87,herempn,97
519,87,mwtempn,34
520,87,othempn,37
521,87,retempn,12
522,88,agrempn,2
523,88,fpsempn,170
524,88,herempn,119
525,88,mwtempn,42
526,88,othempn,45
527,88,retempn,15
528,89,agrempn,3
529,89,fpsempn,250
530,89,herempn,174
531,89,mwtempn,62
532,89,othempn,66
533,89,retempn,22
534,90,agrempn,2
535,90,fpsempn,146
536,90,herempn,102
537,90,mwtempn,36
538,90,othempn,38
539,90,retempn,13
540,91,agrempn,1
541,91,fpsempn,87
542,91,herempn,61
543,91,mwtempn,22
544,91,othempn,23
545,91,retempn,8
546,92,agrempn,0
547,92,fpsempn,32
548,92,herempn,22
549,92,mwtempn,8
550,92,othempn,8
551,92,retempn,3
552,93,agrempn,2
553,93,fpsempn,191
554,93,herempn,134
555,93,mwtempn,48
556,93,othempn,51
557,93,retempn,17
558,94,agrempn,2
559,94,fpsempn,131
560,94,herempn,92
561,94,mwtempn,32
562,94,othempn,35
563,94,retempn,12
564,95,agrempn,1
565,95,fpsempn,70
566,95,herempn,49
567,95,mwtempn,17
568,95,othempn,19
569,95,retempn,6
570,96,agrempn,2
571,96,fpsempn,117
572,96,herempn,81
573,96,mwtempn,29
574,96,othempn,31
575,96,retempn,10
576,97,agrempn,2
577,97,fpsempn,170
578,97,herempn,119
579,97,mwtempn,42
580,97,othempn,45
581,97,retempn,15
582,98,agrempn,2
583,98,fpsempn,126
584,98,herempn,88
585,98,mwtempn,31
586,98,othempn,33
587,98,retempn,11
588,99,agrempn,1
589,99,fpsempn,53
590,99,herempn,37
591,99,mwtempn,13
592,99,othempn,14
593,99,retempn,5
594,100,agrempn,2
595,100,fpsempn,154
596,100,herempn,107
597,100,mwtempn,38
598,100,othempn,40
599,100,retempn,14
600,101,agrempn,5
601,101,fpsempn,342
602,101,herempn,239
603,101,mwtempn,85
604,101,othempn,90
605,101,retempn,31
606,102,agrempn,2
607,102,fpsempn,163
608,102,herempn,114
609,102,mwtempn,40
610,102,othempn,43
611,102,retempn,15
612,103,agrempn,2
613,103,fpsempn,167
614,103,herempn,117
615,103,mwtempn,41
616,103,othempn,44
617,103,retempn,15
618,104,agrempn,2
619,104,fpsempn,167
620,104,herempn,117
621,104,mwtempn,41
622,104,othempn,44
623,104,retempn,15
624,105,agrempn,2
625,105,fpsempn,155
626,105,herempn,108
627,105,mwtempn,38
628,105,othempn,41
629,105,retempn,14
630,106,agrempn,3
631,106,fpsempn,250
632,106,herempn,175
633,106,mwtempn,62
634,106,othempn,66
635,106,retempn,22
636,107,agrempn,5
637,107,fpsempn,357
638,107,herempn,249
639,107,mwtempn,88
640,107,othempn,94
641,107,retempn,32
642,108,agrempn,3
643,108,fpsempn,197
644,108,herempn,138
645,108,mwtempn,49
646,108,othempn,52
647,108,retempn,18
648,109,agrempn,3
649,109,fpsempn,251
650,109,herempn,176
651,109,mwtempn,62
652,109,othempn,66
653,109,retempn,22
654,110,agrempn,1
655,110,fpsempn,90
656,110,herempn,63
657,110,mwtempn,22
658,110,othempn,24
659,110,retempn,8
660,111,agrempn,4
661,111,fpsempn,315
662,111,herempn,221
663,111,mwtempn,78
664,111,othempn,83
665,111,retempn,28
666,112,agrempn,1
667,112,fpsempn,97
668,112,herempn,68
669,112,mwtempn,24
670,112,othempn,26
671,112,retempn,9
672,113,agrempn,3
673,113,fpsempn,194
674,113,herempn,136
675,113,mwtempn,48
676,113,othempn,51
677,113,retempn,17
678,114,agrempn,2
679,114,fpsempn,121
680,114,herempn,85
681,114,mwtempn,30
682,114,othempn,32
683,114,retempn,11
684,115,agrempn,1
685,115,fpsempn,85
686,115,herempn,59
687,115,mwtempn,21
688,115,othempn,22
689,115,retempn,8
690,116,agrempn,5
691,116,fpsempn,357
692,116,herempn,249
693,116,mwtempn,88
694,116,othempn,94
695,116,retempn,32
696,117,agrempn,2
697,117,fpsempn,133
698,117,herempn,93
699,117,mwtempn,33
700,117,othempn,35
701,117,retempn,12
702,118,agrempn,2
703,118,fpsempn,114
704,118,herempn,80
705,118,mwtempn,28
706,118,othempn,30
707,118,retempn,10
708,119,agrempn,1
709,119,fpsempn,68
710,119,herempn,47
711,119,mwtempn,17
712,119,othempn,18
713,119,retempn,6
714,120,agrempn,0
715,120,fpsempn,36
716,120,herempn,25
717,120,mwtempn,9
718,120,othempn,10
719,120,retempn,3
720,121,agrempn,1
721,121,fpsempn,109
722,121,herempn,76
723,121,mwtempn,27
724,121,othempn,29
725,121,retempn,10
726,122,agrempn,3
727,122,fpsempn,208
728,122,herempn,145
729,122,mwtempn,52
730,122,othempn,55
731,122,retempn,19
732,123,agrempn,2
733,123,fpsempn,141
734,123,herempn,98
735,123,mwtempn,35
736,123,othempn,37
737,123,retempn,13
738,124,agrempn,1
739,124,fpsempn,65
740,124,herempn,46
741,124,mwtempn,16
742,124,othempn,17
743,124,retempn,6
744,125,agrempn,1
745,125,fpsempn,58
746,125,herempn,41
747,125,mwtempn,14
748,125,othempn,15
749,125,retempn,5
750,126,agrempn,0
751,126,fpsempn,15
752,126,herempn,10
753,126,mwtempn,4
754,126,othempn,4
755,126,retempn,1
756,127,agrempn,1
757,127,fpsempn,78
758,127,herempn,54
759,127,mwtempn,19
760,127,othempn,21
761,127,retempn,7
762,128,agrempn,3
763,128,fpsempn,204
764,128,herempn,142
765,128,mwtempn,50
766,128,othempn,54
767,128,retempn,18
768,129,agrempn,1
769,129,fpsempn,69
770,129,herempn,49
771,129,mwtempn,17
772,129,othempn,19
773,129,retempn,6
774,130,agrempn,1
775,130,fpsempn,70
776,130,herempn,49
777,130,mwtempn,17
778,130,othempn,19
779,130,retempn,6
780,131,agrempn,2
781,131,fpsempn,121
782,131,herempn,85
783,131,mwtempn,30
784,131,othempn,32
785,131,retempn,11
786,132,agrempn,1
787,132,fpsempn,48
788,132,herempn,33
789,132,mwtempn,11
790,132,othempn,12
791,132,retempn,4
792,133,agrempn,1
793,133,fpsempn,85
794,133,herempn,59
795,133,mwtempn,21
796,133,othempn,22
797,133,retempn,8
798,134,agrempn,3
799,134,fpsempn,216
800,134,herempn,151
801,134,mwtempn,53
802,134,othempn,57
803,134,retempn,19
804,135,agrempn,0
805,135,fpsempn,17
806,135,herempn,12
807,135,mwtempn,4
808,135,othempn,4
809,135,retempn,2
810,136,agrempn,1
811,136,fpsempn,46
812,136,herempn,32
813,136,mwtempn,11
814,136,othempn,12
815,136,retempn,4
816,137,agrempn,1
817,137,fpsempn,39
818,137,herempn,27
819,137,mwtempn,10
820,137,othempn,10
821,137,retempn,3
822,138,agrempn,3
823,138,fpsempn,211
824,138,herempn,148
825,138,mwtempn,52
826,138,othempn,56
827,138,retempn,19
828,139,agrempn,0
829,139,fpsempn,36
830,139,herempn,25
831,139,mwtempn,9
832,139,othempn,9
833,139,retempn,3
834,140,agrempn,1
835,140,fpsempn,44
836,140,herempn,31
837,140,mwtempn,11
838,140,othempn,12
839,140,retempn,4
840,141,agrempn,0
841,141,fpsempn,14
842,141,herempn,10
843,141,mwtempn,3
844,141,othempn,4
845,141,retempn,1
846,142,agrempn,11
847,142,fpsempn,822
848,142,herempn,575
849,142,mwtempn,204
850,142,othempn,217
851,142,retempn,74
852,143,agrempn,1
853,143,fpsempn,30
854,143,herempn,21
855,143,mwtempn,8
856,143,othempn,8
857,143,retempn,3
858,144,agrempn,0
859,144,fpsempn,24
860,144,herempn,17
861,144,mwtempn,6
862,144,othempn,6
863,144,retempn,2
864,145,agrempn,0
865,145,fpsempn,32
866,145,herempn,22
867,145,mwtempn,8
868,145,othempn,8
869,145,retempn,3
870,146,agrempn,0
871,146,fpsempn,2
872,146,herempn,1
873,146,mwtempn,0
874,146,othempn,1
875,146,retempn,0
876,147,agrempn,1
877,147,fpsempn,65
878,147,herempn,46
879,147,mwtempn,16
880,147,othempn,17
881,147,retempn,6
882,148,agrempn,2
883,148,fpsempn,146
884,148,herempn,102
885,148,mwtempn,36
886,148,othempn,38
887,148,retempn,13
888,149,agrempn,1
889,149,fpsempn,53
890,149,herempn,37
891,149,mwtempn,13
892,149,othempn,14
893,149,retempn,5
894,150,agrempn,1
895,150,fpsempn,78
896,150,herempn,54
897,150,mwtempn,19
898,150,othempn,21
899,150,retempn,7
900,151,agrempn,0
901,151,fpsempn,7
902,151,herempn,5
903,151,mwtempn,2
904,151,othempn,2
905,151,retempn,1
906,152,agrempn,1
907,152,fpsempn,109
908,152,herempn,76
909,152,mwtempn,27
910,152,othempn,29
911,152,retempn,10
912,153,agrempn,0
913,153,fpsempn,12
914,153,herempn,8
915,153,mwtempn,3
916,153,othempn,3
917,153,retempn,1
918,154,agrempn,0
919,154,fpsempn,31
920,154,herempn,22
921,154,mwtempn,8
922,154,othempn,8
923,154,retempn,3
924,155,agrempn,0
925,155,fpsempn,17
926,155,herempn,12
927,155,mwtempn,4
928,155,othempn,4
929,155,retempn,2
930,156,agrempn,1
931,156,fpsempn,39
932,156,herempn,27
933,156,mwtempn,10
934,156,othempn,10
935,156,retempn,3
936,157,agrempn,0
937,157,fpsempn,7
938,157,herempn,5
939,157,mwtempn,2
940,157,othempn,2
941,157,retempn,1
942,158,agrempn,0
943,158,fpsempn,0
944,158,herempn,0
945,158,mwtempn,0
946,158,othempn,0
947,158,retempn,0
948,159,agrempn,1
949,159,fpsempn,41
950,159,herempn,29
951,159,mwtempn,10
952,159,othempn,11
953,159,retempn,4
954,160,agrempn,1
955,160,fpsempn,39
956,160,herempn,27
957,160,mwtempn,10
958,160,othempn,10
959,160,retempn,3
960,161,agrempn,0
961,161,fpsempn,33
962,161,herempn,23
963,161,mwtempn,8
964,161,othempn,9
965,161,retempn,3
966,162,agrempn,1
967,162,fpsempn,58
968,162,herempn,41
969,162,mwtempn,14
970,162,othempn,15
971,162,retempn,5
972,163,agrempn,0
973,163,fpsempn,15
974,163,herempn,11
975,163,mwtempn,4
976,163,othempn,4
977,163,retempn,2
978,164,agrempn,1
979,164,fpsempn,43
980,164,herempn,30
981,164,mwtempn,10
982,164,othempn,11
983,164,retempn,4
984,165,agrempn,0
985,165,fpsempn,34
986,165,herempn,24
987,165,mwtempn,8
988,165,othempn,9
989,165,retempn,3
990,166,agrempn,1
991,166,fpsempn,78
992,166,herempn,54
993,166,mwtempn,19
994,166,othempn,20
995,166,retempn,7
996,167,agrempn,1
997,167,fpsempn,70
998,167,herempn,49
999,167,mwtempn,17
1000,167,othempn,19
1001,167,retempn,6
1002,168,agrempn,0
1003,168,fpsempn,65
1004,168,herempn,45
1005,168,mwtempn,16
1006,168,othempn,18
1007,168,retempn,6
1008,169,agrempn,2
1009,169,fpsempn,183
1010,169,herempn,129
1011,169,mwtempn,46
1012,169,othempn,49
1013,169,retempn,17
1014,170,agrempn,3
1015,170,fpsempn,251
1016,170,herempn,175
1017,170,mwtempn,62
1018,170,othempn,66
1019,170,retempn,22
1020,171,agrempn,1
1021,171,fpsempn,44
1022,171,herempn,31
1023,171,mwtempn,11
1024,171,othempn,12
1025,171,retempn,4
1026,172,agrempn,2
1027,172,fpsempn,126
1028,172,herempn,88
1029,172,mwtempn,31
1030,172,othempn,33
1031,172,retempn,11
1032,173,agrempn,1
1033,173,fpsempn,65
1034,173,herempn,46
1035,173,mwtempn,16
1036,173,othempn,17
1037,173,retempn,6
1038,174,agrempn,1
1039,174,fpsempn,75
1040,174,herempn,53
1041,174,mwtempn,19
1042,174,othempn,20
1043,174,retempn,7
1044,175,agrempn,1
1045,175,fpsempn,108
1046,175,herempn,76
1047,175,mwtempn,27
1048,175,othempn,29
1049,175,retempn,10
1050,176,agrempn,1
1051,176,fpsempn,112
1052,176,herempn,78
1053,176,mwtempn,28
1054,176,othempn,29
1055,176,retempn,10
1056,177,agrempn,2
1057,177,fpsempn,143
1058,177,herempn,100
1059,177,mwtempn,36
1060,177,othempn,37
1061,177,retempn,13
1062,178,agrempn,2
1063,178,fpsempn,125
1064,178,herempn,87
1065,178,mwtempn,31
1066,178,othempn,33
1067,178,retempn,12
1068,179,agrempn,2
1069,179,fpsempn,126
1070,179,herempn,88
1071,179,mwtempn,31
1072,179,othempn,33
1073,179,retempn,11
1074,180,agrempn,1
1075,180,fpsempn,73
1076,180,herempn,51
1077,180,mwtempn,18
1078,180,othempn,19
1079,180,retempn,7
1080,181,agrempn,1
1081,181,fpsempn,87
1082,181,herempn,61
1083,181,mwtempn,22
1084,181,othempn,23
1085,181,retempn,8
