TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
1,19842,414,15532,1684,4,665,1543
2,29888,266,20168,3179,13,1444,4818
3,2166,10,1321,425,0,5,405
4,24263,404,15988,3079,0,570,4222
5,14992,2529,6594,3605,0,702,1562
6,3005,58,494,2322,0,41,90
7,5053,942,1333,2679,0,14,85
8,4721,111,935,2820,0,33,822
9,7312,122,942,4022,0,3,2223
10,31281,181,5099,13362,0,909,11730
11,12353,2150,3828,3849,2,214,2310
12,17732,1379,10123,4035,0,726,1469
13,19107,105,14845,1131,1,485,2540
14,33397,76,22491,453,0,7303,3074
15,17375,435,9357,829,0,3639,3115
16,30066,373,17849,1655,7,1342,8840
17,16180,284,6485,886,0,2249,6276
18,9296,376,3442,2211,0,464,2803
19,13903,1045,5450,4069,0,447,2892
20,6477,450,2513,1457,0,597,1460
21,15370,317,8517,2418,11,2282,1825
22,17099,304,11114,2372,11,205,3093
23,9263,139,5766,918,0,547,1893
24,17422,481,8696,2410,2,347,5486
25,1931,178,245,1452,0,28,28
26,5019,53,2665,1089,0,127,1085
27,1659,97,73,1483,0,6,0
28,717,15,172,471,0,31,28
29,1527,12,653,829,0,24,9
30,1242,115,220,832,0,6,69
31,2270,15,480,1748,0,13,14
32,2637,333,219,2017,0,9,59
33,1489,98,371,908,0,55,57
34,1317,255,225,780,0,26,31
35,564,23,236,292,3,6,4
36,2353,262,236,1764,6,32,53
37,2688,97,759,1519,0,121,192
38,1433,169,506,460,0,141,157
39,534,21,108,367,1,8,29
40,2310,204,846,771,4,443,42
41,5848,890,2783,1911,0,210,54
42,565,18,54,354,1,30,108
43,1772,288,315,1015,0,118,36
44,1378,69,375,796,0,16,122
45,2896,226,650,1554,2,168,296
46,2031,24,625,1314,0,24,44
47,2973,133,755,1972,0,20,93
48,984,70,162,639,0,93,20
49,1138,1,171,941,0,4,21
50,2256,406,289,1331,1,16,213
51,500,96,65,278,0,35,26
52,6161,313,1785,2242,20,341,1460
53,1206,8,24,1010,0,0,164
54,830,183,55,504,0,41,47
55,318,35,33,216,0,11,23
56,3762,21,190,3549,0,0,2
57,291,1,35,230,0,9,16
58,866,50,74,683,0,29,30
59,1103,25,103,826,0,58,91
60,670,9,21,619,0,0,21
61,1152,24,717,392,0,0,19
62,1426,150,174,992,0,44,66
63,756,81,152,401,0,5,117
64,712,138,77,448,0,3,46
65,1611,223,296,925,2,25,140
66,1582,279,177,1001,0,36,89
67,852,54,73,661,0,9,55
68,941,31,286,574,0,0,50
69,10116,294,215,9526,0,28,53
70,2193,451,532,1038,0,23,149
71,2473,121,449,1827,7,31,38
72,1334,67,204,1041,0,11,11
73,1424,235,123,986,0,24,56
74,3184,198,523,2413,0,19,31
75,5199,482,821,3841,0,8,47
76,3269,55,379,907,0,13,1915
77,1554,162,109,1221,0,28,34
78,1349,2,102,1228,0,14,3
79,10153,158,485,5171,0,249,4090
80,607,13,187,367,0,21,19
81,17434,60,491,16758,0,27,98
82,1425,333,417,590,0,16,69
83,593,12,446,120,0,2,13
84,1708,27,249,1341,0,26,65
85,1248,166,188,643,0,53,198
86,1042,41,69,890,0,9,33
87,1829,22,119,1664,0,6,18
88,1647,543,189,701,19,28,167
89,1265,89,183,837,0,49,107
90,19757,53,159,19509,0,1,35
91,489,9,82,334,1,4,59
92,172,6,23,122,0,1,20
93,380,5,105,179,0,41,50
94,891,150,180,514,0,16,31
95,663,6,251,339,0,9,58
96,299,6,123,140,0,5,25
97,1343,84,107,1007,0,115,30
98,880,211,224,399,0,15,31
99,780,17,137,404,0,199,23
100,2125,211,620,1104,0,58,132
101,3272,425,589,1925,4,106,223
102,1689,189,112,1079,0,151,158
103,1020,104,261,602,0,37,16
104,1764,365,425,863,0,7,104
105,1680,133,152,1309,1,24,61
106,4373,389,924,2403,0,77,580
107,32589,1263,2684,4257,0,12997,11388
108,4863,218,1203,2584,0,442,416
