TAZ1454,AGREMPN,FPSEMPN,HEREMPN,MWTEMPN,OTHEMPN,RETEMPN,TOTEMP
1,2,15482,1998,754,1580,429,20245
2,8,20103,3771,1637,4933,276,30728
3,0,1317,505,5,415,11,2253
4,0,15936,3652,646,4323,418,24975
5,0,6573,4276,796,1600,2620,15865
6,0,493,2754,46,92,60,3445
7,0,1328,3177,16,87,976,5584
8,0,932,3345,38,842,115,5272
9,0,939,4771,3,2276,126,8115
10,0,5082,15849,1030,12011,188,34160
11,1,3815,4565,242,2365,2227,13215
12,0,10090,4786,823,1504,1429,18632
13,0,14798,1342,550,2601,109,19400
14,0,22418,537,8279,3148,79,34461
15,0,9327,983,4125,3190,451,18076
16,4,17791,1963,1521,9052,387,30718
17,0,6464,1051,2550,6427,294,16786
18,0,3431,2623,527,2870,390,9841
19,0,5432,4826,507,2961,1083,14809
20,0,2505,1729,677,1496,466,6873
21,6,8489,2868,2587,1869,328,16147
22,6,11079,2813,233,3167,315,17613
23,0,5747,1089,620,1938,144,9538
24,1,8668,2858,393,5618,498,18036
25,0,244,1722,31,29,185,2211
26,0,2657,1292,144,1111,55,5259
27,0,73,1758,6,0,101,1938
28,0,172,559,36,29,15,811
29,0,651,983,27,9,12,1682
30,0,220,987,6,70,119,1402
31,0,479,2074,15,14,15,2597
32,0,219,2393,11,60,345,3028
33,0,370,1077,62,58,101,1668
34,0,225,925,29,32,264,1475
35,2,235,346,6,4,24,617
36,4,235,2093,37,54,271,2694
37,0,756,1802,137,197,101,2993
38,0,505,545,159,160,175,1544
39,0,107,436,9,30,22,604
40,2,844,914,502,43,212,2517
41,0,2774,2267,238,55,922,6256
42,0,54,419,34,111,19,637
43,0,314,1204,134,37,299,1988
44,0,374,944,18,125,72,1533
45,2,648,1844,191,303,235,3223
46,0,623,1558,27,45,25,2278
47,0,752,2339,23,96,138,3348
48,0,162,757,106,21,73,1119
49,0,171,1116,4,22,1,1314
50,0,288,1579,18,219,420,2524
51,0,65,330,40,26,100,561
52,12,1780,2659,387,1496,325,6659
53,0,24,1198,0,168,9,1399
54,0,55,598,46,48,190,937
55,0,33,256,13,23,36,361
56,0,190,4209,0,2,22,4423
57,0,35,273,11,16,1,336
58,0,74,810,33,31,52,1000
59,0,102,979,66,93,26,1266
60,0,21,734,0,22,10,787
61,0,714,465,0,20,25,1224
62,0,174,1177,50,68,155,1624
63,0,151,476,5,120,84,836
64,0,77,532,3,47,143,802
65,2,295,1097,28,144,231,1797
66,0,177,1188,41,91,289,1786
67,0,73,785,10,56,56,980
68,0,285,680,0,52,33,1050
69,0,215,11298,32,54,304,11903
70,0,531,1231,26,153,467,2408
71,4,447,2167,36,38,125,2817
72,0,204,1235,13,11,69,1532
73,0,122,1170,27,57,243,1619
74,0,522,2862,22,32,205,3643
75,0,819,4556,9,48,500,5932
76,0,378,1075,15,1961,56,3485
77,0,108,1449,32,35,168,1792
78,0,101,1457,16,3,2,1579
79,0,484,6133,282,4188,164,11251
80,0,187,436,24,20,13,680
81,0,490,19877,30,100,62,20559
82,0,415,699,18,70,345,1547
83,0,444,142,2,13,12,613
84,0,248,1591,29,67,28,1963
85,0,188,763,60,203,172,1386
86,0,69,1055,10,34,42,1210
87,0,118,1973,6,19,23,2139
88,12,189,832,31,171,563,1798
89,0,183,993,56,110,92,1434
90,0,159,23139,1,36,55,23390
91,0,81,396,4,60,10,551
92,0,23,145,1,21,6,196
93,0,104,212,46,52,5,419
94,0,180,610,18,32,155,995
95,0,250,402,10,59,6,727
96,0,122,166,5,25,6,324
97,0,106,1194,130,31,87,1548
98,0,224,473,17,32,218,964
99,0,136,479,225,23,17,880
100,0,618,1309,66,135,218,2346
101,2,587,2283,121,228,440,3661
102,0,111,1280,171,161,195,1918
103,0,260,714,42,16,108,1140
104,0,423,1024,8,107,378,1940
105,0,151,1553,27,63,138,1932
106,0,921,2850,87,594,403,4855
107,0,2676,5049,14734,11661,1308,35428
108,0,1199,3065,501,426,226,5417
109,0,2862,1120,487,2319,128,6916
110,0,3757,2420,1563,102,154,7996
111,0,2025,2506,1676,1365,387,7959
112,0,288,317,284,80,38,1007
113,0,308,642,135,242,19,1346
114,0,306,548,69,114,393,1430
115,0,225,402,17,7,11,662
116,0,2295,1476,493,954,762,5980
117,0,402,530,39,34,31,1036
118,0,55,431,4,24,46,560
119,0,24,327,6,25,79,461
120,0,123,431,16,171,58,799
121,0,166,204,71,52,101,594
122,0,414,510,130,108,67,1229
123,0,248,1500,106,92,244,2190
124,0,22,204,3,30,108,367
125,0,23,212,1,16,5,257
126,0,45,238,8,34,0,325
127,0,74,565,2,53,97,791
128,0,268,433,10,52,43,806
129,0,86,169,8,48,0,311
130,4,252,517,19,25,209,1026
131,0,81,218,98,60,4,461
132,0,87,360,45,20,217,729
133,0,159,2613,28,152,80,3032
134,0,121,699,79,102,31,1032
135,0,56,513,13,45,81,708
136,0,57,1062,2,48,0,1169
137,0,33,358,1,61,49,502
138,0,155,1289,34,1197,235,2910
139,10,129,680,84,145,70,1118
140,0,0,264,52,19,38,373
141,0,46,242,10,43,15,356
142,0,1788,1374,3261,3443,891,10757
143,0,75,680,84,176,37,1052
144,0,187,628,8,16,0,839
145,0,77,630,33,211,0,951
146,0,127,42,38,0,0,207
147,1,219,503,647,682,35,2087
148,4,140,467,548,1011,349,2519
149,0,532,361,48,199,7,1147
150,2,431,871,179,785,214,2482
151,0,3,134,11,4,20,172
152,0,563,387,4,33,5,992
153,0,12,218,30,25,1,286
154,0,86,469,32,11,123,721
155,0,25,372,1,44,4,446
156,0,5,206,0,11,2,224
157,0,0,216,10,3,4,233
158,0,17,392,0,2,0,411
159,0,12,330,2,46,30,420
160,0,52,257,4,12,1,326
161,0,42,380,4,29,15,470
162,0,61,427,17,54,62,621
163,0,20,467,9,40,14,550
164,0,3047,532,40,68,115,3802
165,0,52,1090,4,70,195,1411
166,0,30,1046,10,105,12,1203
167,0,26,448,4,86,14,578
168,0,35,568,14,85,26,728
169,0,164,940,36,135,26,1301
170,0,383,1647,43,154,123,2350
171,24,57,341,48,31,121,622
172,2,53,342,28,91,132,648
173,0,88,135,5,31,34,293
174,0,62,358,12,88,1,521
175,0,239,1135,41,34,84,1533
176,0,78,367,14,35,75,569
177,0,277,1212,44,68,194,1795
178,0,111,441,5,47,8,612
179,0,50,595,16,96,7,764
180,0,22,452,15,31,63,583
181,4,85,647,44,105,79,964
182,0,27,402,24,112,38,603
183,0,43,1523,28,49,117,1760
184,0,144,640,26,70,149,1029
185,0,283,1942,33,91,121,2470
186,1,210,1446,33,124,73,1887
187,22,555,266,12,68,231,1154
188,0,120,6507,2,15,752,7396
189,0,257,624,5,2,6,894
190,0,26,964,43,16,6,1055
191,0,108,302,2,46,25,483
192,0,191,639,1,15,714,1560
193,0,294,1449,125,463,105,2436
194,0,64,2167,21,75,75,2402
195,0,31,204,7,32,0,274
196,0,44,223,1,12,0,280
197,0,56,248,1,7,166,478
198,0,25,1042,25,0,13,1105
199,0,141,605,2,23,1138,1909
200,45,244,1605,93,72,2575,4634
201,2,104,608,144,129,263,1250
202,0,24,422,17,48,8,519
203,0,490,1010,79,789,229,2597
204,0,92,396,9,63,141,701
205,0,50,220,6,18,2,296
206,0,37,83,3,22,4,149
207,0,41,344,428,23,47,883
208,38,3035,759,2989,772,338,7931
209,0,56,325,24,68,1,474
210,0,117,210,136,120,74,657
211,98,445,719,95,141,168,1666
212,240,13069,4679,21977,2859,1189,44013
213,0,113,963,24,137,129,1366
214,0,88,457,8,314,82,949
215,0,114,348,8,5,99,574
216,0,23,4158,15,42,108,4346
217,0,137,275,4,50,61,527
218,0,290,1320,38,88,262,1998
219,0,3,238,1,26,87,355
220,0,15,282,2,26,11,336
221,0,40,172,6,19,88,325
222,0,50,501,65,31,140,787
223,0,166,533,42,312,111,1164
224,0,18,209,2,100,11,340
225,0,116,576,28,98,146,964
226,6,118,432,4,89,226,875
227,6,55,204,44,82,2,393
228,0,0,15,0,0,0,15
229,0,31,751,4,12,15,813
230,0,64,884,153,16,425,1542
231,0,36,170,36,10,4,256
232,0,70,272,2,17,5,366
233,0,64,269,12,72,101,518
234,0,1409,1082,332,2690,1372,6885
235,0,18,483,43,309,10,863
236,0,400,518,33,71,102,1124
237,0,155,1236,33,44,168,1636
238,0,83,365,625,85,32,1190
239,0,693,842,8364,63,152,10114
240,0,381,1808,189,111,296,2785
241,0,56,318,9,85,0,468
242,0,24,207,6,18,2,257
243,0,60,75,6,17,0,158
244,0,125,455,39,162,217,998
245,0,20,302,1,31,1,355
246,0,831,3744,48,80,180,4883
247,0,20,143,5,120,3,291
248,0,8958,3033,3047,1085,319,16442
249,2,1635,899,1198,718,245,4697
250,0,79,385,21,120,89,694
251,0,1188,1453,124,722,905,4392
252,9,424,884,84,184,2,1587
253,0,54,66,32,27,43,222
254,5,153,418,6,45,1,628
255,0,129,387,16,22,6,560
256,0,1228,820,9,61,22,2140
257,0,2095,3502,191,1037,628,7453
258,0,156,755,17,93,10,1031
259,0,103,1162,128,99,118,1610
260,0,395,543,177,183,166,1464
261,0,57,343,17,68,21,506
262,0,149,459,17,65,64,754
263,0,7,198,64,48,2,319
264,0,466,330,38,58,86,978
