"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[0-1]","Share of Tours",0.349918930094459
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[1-2]","Share of Tours",0.082364843664721
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[2-3]","Share of Tours",0.0801275722439647
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[3-4]","Share of Tours",0.0622172557725247
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[4-5]","Share of Tours",0.0707028776413423
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[5-6]","Share of Tours",0.0429217074825081
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[6-7]","Share of Tours",0.0229006138579321
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[7-8]","Share of Tours",0.0135630066817108
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[8-9]","Share of Tours",0.0170049797588772
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[9-10]","Share of Tours",0.0286210753836056
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[10-11]","Share of Tours",0.0263359233188174
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[11-12]","Share of Tours",0.00982371599430005
"CHTS","Share of tours by tour purpose and tour distance bin","Tour Purpose","At-Work","Distance Bin (miles)","[12-13]","Share of Tours",0.0077746114536108
