"TAZ1454","hispanic","white_nonh","black_nonh","asian_nonh","other_nonh","TOTPOP","COUNTY","County_Name"
1,7,16,2,33,50,108,1,"San Francisco"
2,24,56,7,113,137,337,1,"San Francisco"
3,14,89,8,141,148,400,1,"San Francisco"
4,22,55,13,58,112,260,1,"San Francisco"
5,82,205,58,152,303,800,1,"San Francisco"
6,366,1042,147,706,1194,3455,1,"San Francisco"
7,958,1579,532,1494,1400,5963,1,"San Francisco"
8,2135,2557,1591,2968,1747,10998,1,"San Francisco"
9,2965,2896,923,2549,2736,12069,1,"San Francisco"
10,953,1996,447,2473,2371,8240,1,"San Francisco"
11,645,962,573,1094,1661,4935,1,"San Francisco"
12,102,473,25,294,419,1313,1,"San Francisco"
13,3,31,2,13,47,96,1,"San Francisco"
14,36,362,30,158,148,734,1,"San Francisco"
15,47,112,30,120,233,542,1,"San Francisco"
16,651,2789,316,3417,2591,9764,1,"San Francisco"
17,467,2522,183,2350,2622,8144,1,"San Francisco"
18,146,466,73,421,804,1910,1,"San Francisco"
19,213,458,273,358,721,2023,1,"San Francisco"
20,504,1079,269,955,1973,4780,1,"San Francisco"
21,289,1065,209,2091,2139,5793,1,"San Francisco"
22,119,785,50,578,425,1957,1,"San Francisco"
23,54,335,19,293,576,1277,1,"San Francisco"
24,14,71,10,388,382,865,1,"San Francisco"
25,51,71,48,2024,1392,3586,1,"San Francisco"
26,33,81,6,751,718,1589,1,"San Francisco"
27,64,292,27,1302,1383,3068,1,"San Francisco"
28,156,1200,27,650,1408,3441,1,"San Francisco"
29,442,1886,113,1054,1518,5013,1,"San Francisco"
30,1603,1869,455,1478,1586,6991,1,"San Francisco"
31,547,1257,130,991,1344,4269,1,"San Francisco"
32,350,1622,106,1227,2189,5494,1,"San Francisco"
33,255,1599,60,1315,2213,5442,1,"San Francisco"
34,224,1765,34,622,2025,4670,1,"San Francisco"
35,151,1274,25,1032,2091,4573,1,"San Francisco"
36,167,582,69,2429,2317,5564,1,"San Francisco"
37,183,787,38,951,1595,3554,1,"San Francisco"
38,211,1632,17,652,1943,4455,1,"San Francisco"
39,152,1430,26,590,1886,4084,1,"San Francisco"
40,191,1930,28,363,2030,4542,1,"San Francisco"
41,239,1016,146,865,1738,4004,1,"San Francisco"
42,484,495,286,349,1119,2733,1,"San Francisco"
43,278,2462,26,320,2549,5635,1,"San Francisco"
44,294,2671,47,536,2951,6499,1,"San Francisco"
45,179,1935,25,331,2079,4549,1,"San Francisco"
46,368,2927,57,749,3034,7135,1,"San Francisco"
47,140,1154,39,284,1295,2912,1,"San Francisco"
48,160,1561,35,315,1781,3852,1,"San Francisco"
49,172,1909,31,307,2045,4464,1,"San Francisco"
50,196,2010,34,277,2126,4643,1,"San Francisco"
