"COUNTY","pers_occ_management","pers_occ_professional","pers_occ_services","pers_occ_retail","pers_occ_manual","pers_occ_military"
1,82659,193068,107321,71463,57392,286
2,62567,137491,85228,53933,70155,463
3,137461,400376,184923,119342,165682,1229
4,111708,303180,188085,109264,162210,1429
5,78433,161651,129967,83015,117390,727
6,19166,45452,56195,32541,58665,4154
7,9391,15242,15150,12303,18198,72
8,32350,57697,60027,39812,61429,723
9,23447,41078,27823,20273,18053,143
