"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,86763,152914,163835,91245,4255,92652,31592,14592,15409,25170,366027,4433,10058,84105,38299,26940,44597,148779,88754,92,26474,57331,4065,8946,6013,10921
2,105802,216860,221746,139650,20776,94379,21355,16202,22742,45503,98752,8836,20525,108973,47668,35744,12054,13512,57988,72,3115,12011,6931,6281,1076,4886
3,129043,341896,348871,202907,64543,73244,28152,23245,27304,50342,148456,15858,43194,149658,88629,51532,15419,18403,71185,98,19497,23854,8650,11572,20879,6975
4,50240,134403,135500,78387,36239,18633,10489,10050,11313,18388,26100,5627,17312,50811,34563,27187,4811,4644,13070,11,1063,2501,7098,24504,5982,1097
5,102138,302690,304258,167715,73164,33281,20722,23082,26205,32129,134509,14860,47540,107665,81178,53015,21595,23062,48452,78,27673,13649,11622,1741,5446,1568
6,85675,222758,224777,119832,54298,36361,14000,14432,19265,37978,118300,12261,38266,77675,58202,38373,18422,35155,33431,152,11601,19539,11026,3359,7684,2019
7,81632,229709,232093,122290,58715,26787,13028,14334,17030,37240,142336,12723,43934,80389,60591,34456,15017,35057,35140,319,17742,39061,9655,1312,3892,2384
8,73695,184191,197228,98344,46821,32255,12104,10367,13174,38050,126752,8330,33981,74875,47674,32368,17799,24208,50967,79,12870,20829,11199,15778,16461,13037
9,114825,296220,297366,173708,55231,65025,15570,18874,28238,52143,333368,19308,42465,142497,61948,31148,34668,59758,47744,47,142810,48341,9733,2587,7908,1146
10,122101,336550,337439,168556,88686,40055,18642,20430,25910,57119,124695,15861,67426,105739,96035,52378,24933,24479,50026,200,12671,12386,17405,9969,23996,889
11,111927,311599,323150,174322,66421,50549,28085,26536,25047,32259,178626,16897,57505,130993,78796,38959,16678,46244,66539,84,15628,33453,14119,32746,16181,11551
12,116570,410973,413282,212849,96686,22939,21528,22691,30601,41750,116128,21245,76801,146308,109765,59163,17288,16933,37065,86,29285,15471,22021,1882,7166,2309
13,76998,230277,231358,120062,60812,17627,12477,15110,19079,30332,61282,12469,45029,76244,64153,33463,10951,9687,28162,32,9065,3385,12742,0,0,1081
14,39943,126873,127992,61172,34141,6249,6990,9133,10115,13705,48446,7349,27680,39591,34625,18747,9280,5727,13223,2156,12659,5401,6774,1106,2599,1119
15,85253,239385,241200,125735,66681,19971,10808,14784,21341,38320,136569,13374,49853,79833,66061,32079,28018,24783,36731,117,29125,17795,12209,1106,4893,1815
16,110449,343256,346205,181859,85657,28820,15591,19679,29802,45377,160515,20136,63994,125800,88274,48001,27050,23382,42476,242,52002,15363,16425,4435,7507,2949
17,130988,395960,399886,208067,96000,37988,31874,35012,34264,29838,163040,22034,71813,143585,103910,58544,23073,20391,59503,200,39814,20059,17953,16558,13355,3926
18,190039,482626,498127,260152,99037,103527,58308,44761,39728,47242,223039,26145,81933,195876,121649,72524,19974,41638,97534,66,30205,33622,20573,6954,19592,15501
19,74825,167068,186582,100063,34983,44278,20414,15720,15813,22878,118708,7271,30096,83944,37234,28037,12667,34885,47197,48,12803,11108,5751,36767,6608,19514
20,93886,272640,274792,139345,73737,26090,25257,26552,23693,18384,74898,14750,49667,96413,70359,43603,13356,9962,25183,686,14886,10825,10359,1909,5143,2152
21,90400,238526,239712,123951,66064,25827,19338,21611,25689,23762,118948,13314,40750,80102,64818,40728,16239,25390,41078,893,13281,22067,9353,6846,13678,1186
22,62111,148368,150339,72876,42701,21343,10458,11370,13844,26439,82121,7035,26446,40020,39720,37118,12179,23651,34881,101,3837,7472,11116,3490,2162,1971
23,56908,165045,165406,79427,50066,9396,6974,7706,11929,30299,71740,7162,39752,41413,50974,26105,6744,21079,18855,117,19630,5315,10369,0,0,361
24,103782,330229,331290,155584,92246,13836,25559,28653,28104,21466,67893,19555,73082,109335,84840,44478,11752,9037,27876,1044,6820,11364,17541,1409,5314,1061
25,54785,151982,153817,74434,43593,14214,16182,15891,13504,9208,49719,7976,27284,49965,41161,27431,7044,6780,20953,483,6921,7538,6278,504,66,1835
26,101053,290056,291518,141739,82399,21050,23740,30035,28457,18821,107239,17006,57329,97000,73634,46549,15863,14396,43498,972,13461,19049,14119,2641,7434,1462
27,37933,105355,106886,55531,31123,8562,9367,10139,9824,8603,53913,5108,20224,34037,28657,18860,7329,8824,19199,526,8715,9320,7029,1613,4630,1531
28,11898,27824,29248,14825,13392,2462,3129,2682,2663,3424,31848,983,4364,7141,7805,8955,1867,2213,13155,1664,10601,2348,803,1497,170,1424
29,65966,165549,169279,87975,54559,15471,16690,18072,16716,14488,81209,7736,28681,53529,44680,34653,11201,13580,27465,1202,14732,13029,7332,8264,1144,3730
30,90257,235276,237514,122012,71941,23259,24963,25825,23018,16451,126845,11441,42680,75251,60327,47815,20303,21632,43743,701,16981,23485,11609,6225,15613,2238
31,31411,79001,79540,42051,36254,3596,7864,8096,8132,7319,32446,3334,12793,21511,22895,19007,4123,3966,11333,1488,7688,3848,3671,0,0,539
32,23381,59659,60192,30245,18991,5467,5028,5463,5393,7497,27648,2728,10685,15727,17266,13786,3621,9186,8529,24,1912,4376,2517,0,0,533
33,42786,107344,108877,56142,32809,13114,9339,9106,10110,14231,61408,5004,19320,29780,30852,23921,9572,12568,21608,158,5235,12267,4782,757,813,1533
34,38060,87729,88270,44430,29176,12063,6188,6108,7597,18167,47786,3585,16195,20091,27595,20804,8208,10623,20800,80,3260,4815,4105,1489,5370,541
