facility_name,fac_index,tollclass,tollseg,tolltype,use,tollea_da,tollam_da,tollmd_da,tollpm_da,tollev_da,tollea_s2,tollam_s2,tollmd_s2,tollpm_s2,tollev_s2,tollea_s3,tollam_s3,tollmd_s3,tollpm_s3,tollev_s3,tollea_vsm,tollam_vsm,tollmd_vsm,tollpm_vsm,tollev_vsm,tollea_sml,tollam_sml,tollmd_sml,tollpm_sml,tollev_sml,tollea_med,tollam_med,tollmd_med,tollpm_med,tollev_med,tollea_lrg,tollam_lrg,tollmd_lrg,tollpm_lrg,tollev_lrg,toll_flat
Dumbarton Bridge HOV,7002,7,0,bridge,2,3.5,3.5,3.5,3.5,3.5,3.5,1.75,3.5,1.75,3.5,3.5,1.75,3.5,1.75,3.5,5,5,5,5,5,3.5,3.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,1
I-680 Sunol EL SB: SCL County Line to SR84,690004,690,0,expr_lane,4,0,0.23,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.09,0.05,0,0,0.23,0.06,0.03,0,0,0.23,0.06,0.03,0,0,0.23,0.06,0.03,0,0
SR-237 EL SB: US101 Interchange to I-880 Interchange,232004,232,0,expr_lane,4,0,0.9,0,0.15,0,0,0.45,0,0.075,0,0,0,0,0,0,0,1.29,0,0.22,0,0,0.9,0,0.15,0,0,0.9,0,0.15,0,0,0.9,0,0.15,0,0
SR-237 EL NB: US101 Interchange to I-880 Interchange,231004,231,0,expr_lane,4,0,0.06,0,0.54,0,0,0.03,0,0.27,0,0,0,0,0,0,0,0.09,0,0.78,0,0,0.06,0,0.54,0,0,0.06,0,0.54,0,0,0.06,0,0.54,0,0
SR-237 Express Lanes (first segment before TOLLCLASS 232): I-880 SCL - SR237 to SR262 Mission Blvd - SB,888004,888,0,expr_lane,4,0,0.9,0,0.15,0,0,0.45,0,0.075,0,0,0,0,0,0,0,1.29,0,0.22,0,0,0.9,0,0.15,0,0,0.9,0,0.15,0,0,0.9,0,0.15,0,0
SR-237 Express Lanes (last segment after TOLLCLASS 231): I-880 SCL - SR237 to SR262 Mission Blvd - NB,887004,887,0,expr_lane,4,0,0.06,0,0.54,0,0,0.03,0,0.27,0,0,0,0,0,0,0,0.09,0,0.78,0,0,0.06,0,0.54,0,0,0.06,0,0.54,0,0,0.06,0,0.54,0,0
US101 SM - 2740 San Mateo SB - SB,2740004,2740,0,expr_lane,4,0,0.19,0.20,0.43,0,0,0.10,0.10,0.22,0,0,0,0,0,0,0,0.19,0.20,0.43,0,0,0.19,0.20,0.43,0,0,0.19,0.20,0.43,0,0,0.19,0.20,0.43,0,0
US101 SM - 2770 Redwood City SB - SB,2770004,2770,0,expr_lane,4,0,1.01,0.27,0.50,0,0,0.51,0.14,0.25,0,0,0,0,0,0,0,1.01,0.27,0.50,0,0,1.01,0.27,0.50,0,0,1.01,0.27,0.50,0,0,1.01,0.27,0.50,0,0
US101 SM - 2830 San Mateo NB - NB,2830004,2830,0,expr_lane,4,0,0.52,0.20,0.34,0,0,0.26,0.10,0.17,0,0,0,0,0,0,0,0.52,0.20,0.34,0,0,0.52,0.20,0.34,0,0,0.52,0.20,0.34,0,0,0.52,0.20,0.34,0,0
US101 SM - 2810 Redwood City NB - NB,2810004,2810,0,expr_lane,4,0,0.45,0.20,0.53,0,0,0.23,0.10,0.26,0,0,0,0,0,0,0,0.45,0.20,0.53,0,0,0.45,0.20,0.53,0,0,0.45,0.20,0.53,0,0,0.45,0.20,0.53,0,0
I-880 - 2340 Union City SB - SB,2340004,2340,0,expr_lane,4,0,0.59,0.16,0.19,0,0,0.30,0.08,0.09,0,0,0,0,0,0,0,0.59,0.16,0.19,0,0,0.59,0.16,0.19,0,0,0.59,0.16,0.19,0,0,0.59,0.16,0.19,0,0
I-880 - 2320 San Leandro SB - SB,2320004,2320,0,expr_lane,4,0,0.51,0.22,0.23,0,0,0.25,0.11,0.12,0,0,0,0,0,0,0,0.51,0.22,0.23,0,0,0.51,0.22,0.23,0,0,0.51,0.22,0.23,0,0,0.51,0.22,0.23,0,0
I-880 - 2370 Fremont SB - SB,2370004,2370,0,expr_lane,4,0,0.97,0.38,0.43,0,0,0.48,0.19,0.21,0,0,0,0,0,0,0,0.97,0.38,0.43,0,0,0.97,0.38,0.43,0,0,0.97,0.38,0.43,0,0,0.97,0.38,0.43,0,0
I-880 - 2450 Union City NB - NB,2450004,2450,0,expr_lane,4,0,0.41,0.54,1.30,0,0,0.20,0.27,0.65,0,0,0,0,0,0,0,0.41,0.54,1.30,0,0,0.41,0.54,1.30,0,0,0.41,0.54,1.30,0,0,0.41,0.54,1.30,0,0
