A,B,RP_SEGMENT
8900,8901,2320
8901,8903,2320
8903,8904,2320
8904,8905,2320
8905,20229,2320
8907,20231,2320
8909,20233,2320
8911,20235,2320
8913,20237,2340
8914,20239,2340
8916,8996,2340
8918,8919,2450
8919,20238,2450
8921,20234,2450
8923,20232,2450
8925,20230,2450
8927,8928,2450
8928,8929,2450
8996,9039,2340
8998,20240,2450
9000,9001,2120
9001,9002,2120
9002,9003,2120
9003,9004,2120
9004,9005,2130
9005,9006,2130
9006,9007,2130
9007,9008,2130
9008,9009,2130
9009,9010,2130
9010,9011,2130
9011,9012,2130
9012,10040,2130
9013,9014,2130
9014,10654,2130
9017,9018,2230
9018,9019,2230
9019,10658,2230
9020,9021,2230
9021,9022,2230
9022,9023,2230
9023,9024,2230
9024,9025,2230
9025,9026,2230
9026,9027,2230
9027,9028,2230
9028,9029,2230
9029,9030,2230
9030,9031,2230
9031,9032,2230
9032,9741,2230
9038,9044,
9039,9125,2340
9041,8998,2450
9042,20197,
9043,9042,
9044,20198,
9046,20196,2370
9047,9043,
9048,9050,
9049,9202,2420
9050,9056,
9051,20199,
9056,20201,
9059,20200,
9060,20203,
9125,9173,2340
9172,9041,2450
9173,20241,2340
9174,9172,2450
9175,10621,
9176,9174,2420
9177,9179,2370
9178,9467,
9179,9181,2370
9180,20193,2420
9181,20194,2370
9182,9180,2420
9184,9182,2420
9185,20242,2370
9187,10624,
9188,20195,2420
9189,9191,2370
9190,9188,2420
9191,9193,2370
9192,9190,2420
9193,9195,2370
9194,9192,2420
9195,9197,2370
9196,9194,2420
9197,9199,2370
9198,9196,2420
9199,9201,2370
9200,9198,2420
9201,9046,2370
9202,9200,2420
9234,10665,2120
9235,10662,2120
9238,10667,2120
9240,10668,2120
9242,10038,2120
9247,9248,2120
9248,20001,2120
9250,20128,
9251,20090,
9253,9251,
9254,20130,
9255,10645,
9257,10642,
9258,10641,
9259,10626,
9261,10627,
9263,10639,
9264,10628,
9267,10629,
9268,10638,
9271,10633,
9342,9261,
9343,9258,
9350,9354,
9354,9356,
9355,20087,
9356,20537,
9357,9355,
9358,20088,
9359,20094,
9361,9359,
9362,9373,
9364,20092,
9367,20093,
9368,20095,
9371,20091,
9372,20097,
9373,9250,
9373,9364,
9407,9408,
9408,9409,
9409,9410,
9410,9411,
9411,9412,
9412,9466,
9413,9414,
9414,9415,
9415,9416,
9416,9417,
9417,9418,
9418,9463,
9419,9420,
9420,9421,
9421,9422,
9422,9461,
9424,9425,
9425,9426,
9426,9427,
9427,9428,
9428,9429,
9429,9430,
9430,9431,
9431,9474,
9432,9407,
9443,9444,2120
9444,9445,2120
9445,9446,2120
9446,9447,2120
9447,9448,2120
9448,9449,2120
9449,9450,2120
9450,9451,2120
9451,9000,2120
9453,20197,2420
9461,9424,
9462,9419,
9463,9465,
9464,9462,
9465,9808,
9466,9413,
9473,9475,
9474,9473,
9475,9476,
9476,9477,
9477,9478,
9478,9818,
9527,9528,
9528,9529,
9529,9432,
9549,9017,2230
9557,9558,2320
9558,9559,2320
9559,9560,2320
9560,8900,2320
9588,9589,2810
9589,9590,2810
9590,9591,2810
9591,9592,2810
9592,9593,2830
9593,9594,2830
9594,9595,2830
9595,9596,2830
9596,9597,2830
9597,9598,2830
9598,9599,2830
9599,9600,2830
9600,9601,2830
9601,9602,2830
9602,9603,2830
9603,9604,2830
9604,9605,2830
9605,9606,2830
9606,9607,2830
9607,9608,2830
9608,9609,2830
9609,9610,2830
9610,9725,2830
9701,9702,2740
9702,9703,2740
9703,9704,2740
9704,9705,2740
9705,9706,2740
9706,9707,2740
9707,9708,2740
9708,9709,2740
9709,20534,2740
9710,9711,2740
9711,9712,2740
9712,9713,2740
9713,9714,2740
9714,9715,2740
9715,9716,2740
9716,9717,2740
9717,9718,2740
9718,9719,2740
9719,9720,2770
9720,9721,2770
9721,9722,2770
9722,9723,2770
9723,9724,2770
9724,9879,2770
9725,9611,2830
9809,9464,
9818,9819,
9849,9557,2320
9851,9849,2320
9870,20147,2810
9872,9873,2810
9873,9874,2810
9874,9875,2810
9875,9876,2810
9876,20083,2810
9878,9588,2810
9879,9880,2770
9880,9881,2770
9881,9882,2770
9882,9883,2770
9883,9884,2770
9884,20084,2770
9886,20085,2770
10038,9240,2120
10040,9013,2130
10107,9254,
10139,10140,
10140,20204,
10141,10142,
10142,10143,
10143,20202,
10199,10141,
10599,9371,
10620,10622,
10621,10620,
10622,9187,
10623,10625,
10624,10623,
10625,9259,
10626,9342,
10627,9264,
10628,9267,
10629,10632,
10632,9271,
10633,10630,
10638,9263,
10639,10640,
10640,9343,
10641,9257,
10642,10643,
10643,10644,
10644,9255,
10645,10646,
10646,9178,
10654,9016,2130
10658,9020,2230
10661,9443,2120
10662,10663,2120
10663,10661,2120
10664,9235,2120
10665,10664,2120
10666,9234,2120
10667,10666,2120
10668,9238,2120
20001,9242,2120
20083,9878,2810
20084,9886,2770
20085,9350,2770
20087,9870,2810
20088,20089,
20089,9362,
20090,9361,
20091,9367,
20092,9368,
20093,9251,
20094,9357,
20095,9372,
20128,20129,
20129,10100,
20130,9253,
20147,9872,2810
20193,9176,2420
20194,9185,2370
20195,9184,2420
20196,9038,
20196,9452,2370
20197,9049,2420
20198,9048,
20199,9047,
20200,9051,
20201,9060,
20202,9059,
20203,10139,
20207,10599,
20229,8907,2320
20230,8927,2450
20231,8909,2320
20232,8925,2450
20233,8911,2320
20234,8923,2450
20235,8913,2320
20236,8921,2450
20237,8914,2340
20238,20236,2450
20239,8916,2340
