Corridor,Category,Short Name,Model Run ID,Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID"
Periphery_580,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,838.50,153.05,243.39,149.39,,0.00,,0.00,,0.00,1081.89,302.44
Periphery_580,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,855.84,170.39,261.39,167.39,,0.00,,0.00,,0.00,1117.23,337.78
Periphery_580,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,813.49,128.04,116.00,22.00,,0.00,,0.00,,0.00,929.49,150.04
Periphery_580,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,799.91,114.46,102.00,8.00,,0.00,,0.00,,0.00,901.91,122.46
Periphery_580,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,759.90,74.45,96.00,2.00,,0.00,,0.00,,0.00,855.90,76.45
Periphery_580,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,699.35,13.90,70.00,-24.00,,0.00,,0.00,,0.00,769.35,-10.10
Periphery_580,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,685.45,0.00,94.00,0.00,,0.00,,0.00,,0.00,779.45,0.00
Periphery_SR4,No Project,NoProject v10,2035_TM152_NGF_NP10,382.00,32.01,112.00,-380.00,,0.00,4224.44,-67.55,,0.00,4718.44,-415.54
Periphery_SR4,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,406.00,56.01,166.00,-326.00,,0.00,4790.44,498.45,,0.00,5362.44,228.46
Periphery_SR4,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,560.00,210.01,891.19,399.19,,0.00,4455.13,163.14,,0.00,5906.32,772.34
Periphery_SR4,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,362.00,12.01,506.00,14.00,,0.00,4880.44,588.45,,0.00,5748.44,614.46
Periphery_SR4,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,630.01,280.02,937.19,445.19,,0.00,4633.13,341.14,,0.00,6200.33,1066.35
Periphery_SR4,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,658.00,308.01,961.19,469.19,,0.00,4837.13,545.14,,0.00,6456.32,1322.34
Periphery_SR4,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,376.00,26.01,536.00,44.00,,0.00,5192.44,900.45,,0.00,6104.44,970.46
Periphery_SR4,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,488.00,138.01,588.00,96.00,,0.00,5262.44,970.45,,0.00,6338.44,1204.46
Periphery_SR4,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,386.00,36.01,472.13,-19.87,,0.00,4469.99,178.00,,0.00,5328.12,194.14
Periphery_SR4,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,348.00,-1.99,398.00,-94.00,,0.00,4527.99,236.00,,0.00,5273.99,140.01
Periphery_SR4,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,349.99,0.00,492.00,0.00,,0.00,4291.99,0.00,,0.00,5133.98,0.00
SanMateo_101,No Project,NoProject v10,2035_TM152_NGF_NP10,1404.00,358.00,2312.00,-544.00,,0.00,,0.00,31395.95,-928.34,35111.95,-1114.34
SanMateo_101,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,1033.39,-12.61,2494.00,-362.00,,0.00,,0.00,34087.65,1763.36,37615.04,1388.75
SanMateo_101,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,1367.90,321.90,5545.65,2689.65,,0.00,,0.00,33326.29,1002.00,40239.84,4013.55
SanMateo_101,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,986.01,-59.99,3344.00,488.00,,0.00,,0.00,35436.86,3112.57,39766.87,3540.58
SanMateo_101,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,1562.13,516.13,5939.36,3083.36,,0.00,,0.00,34205.82,1881.53,41707.31,5481.02
SanMateo_101,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,1530.68,484.68,6169.38,3313.38,,0.00,,0.00,34595.89,2271.60,42295.95,6069.66
SanMateo_101,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,1044.00,-2.00,3662.00,806.00,,0.00,,0.00,36068.15,3743.86,40774.15,4547.86
SanMateo_101,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,1050.00,4.00,3572.00,716.00,,0.00,,0.00,35814.16,3489.87,40436.16,4209.87
SanMateo_101,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,1206.00,160.00,3881.25,1025.25,,0.00,,0.00,32205.81,-118.48,37293.06,1066.77
SanMateo_101,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,1050.00,4.00,2578.00,-278.00,,0.00,,0.00,33440.15,1115.86,37068.15,841.86
SanMateo_101,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,1046.00,0.00,2856.00,0.00,,0.00,,0.00,32324.29,0.00,36226.29,0.00
SanMateo_28092,No Project,NoProject v10,2035_TM152_NGF_NP10,872.00,256.00,2842.00,-716.00,,0.00,,0.00,31429.42,-882.77,35143.42,-1342.77
SanMateo_28092,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,584.00,-32.00,3144.00,-414.00,,0.00,,0.00,33695.12,1382.93,37423.12,936.93
SanMateo_28092,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,694.00,78.00,3888.00,330.00,,0.00,,0.00,33801.91,1489.72,38383.91,1897.72
SanMateo_28092,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,580.00,-36.00,3920.00,362.00,,0.00,,0.00,35076.82,2764.63,39576.82,3090.63
SanMateo_28092,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,818.00,202.00,3756.00,198.00,,0.00,,0.00,34767.33,2455.14,39341.33,2855.14
SanMateo_28092,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,708.00,92.00,3754.00,196.00,,0.00,,0.00,35223.30,2911.11,39685.30,3199.11
SanMateo_28092,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,648.00,32.00,3846.00,288.00,,0.00,,0.00,35733.99,3421.80,40227.99,3741.80
SanMateo_28092,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,666.00,50.00,3762.00,204.00,,0.00,,0.00,35332.02,3019.83,39760.02,3273.83
SanMateo_28092,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,678.00,62.00,2712.00,-846.00,,0.00,,0.00,32603.31,291.12,35993.31,-492.88
SanMateo_28092,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,646.00,30.00,2776.00,-782.00,,0.00,,0.00,33357.61,1045.42,36779.61,293.42
SanMateo_28092,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,616.00,0.00,3558.00,0.00,,0.00,,0.00,32312.19,0.00,36486.19,0.00
SF,No Project,NoProject v10,2035_TM152_NGF_NP10,26109.96,1859.98,306.00,-490.00,3264.00,-668.00,51630.39,385.08,29918.81,-406.62,111229.16,680.44
SF,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,28609.84,4359.86,410.00,-386.00,3642.00,-290.00,53635.86,2390.55,28305.75,-2019.68,114603.45,4054.73
SF,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,24913.48,663.50,3171.94,2375.94,3428.00,-504.00,48384.51,-2860.80,30218.07,-107.36,110116.00,-432.72
SF,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,24034.00,-215.98,794.00,-2.00,3872.00,-60.00,52562.95,1317.64,31212.14,886.71,112475.09,1926.37
SF,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,24709.80,459.82,3242.40,2446.40,3380.00,-552.00,48838.43,-2406.88,30327.09,1.66,110497.72,-51.00
SF,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,25011.26,761.28,3158.16,2362.16,3390.00,-542.00,48924.45,-2320.86,30668.20,342.77,111152.07,603.35
SF,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,24518.00,268.02,868.00,72.00,4060.00,128.00,52588.96,1343.65,31083.28,757.85,113118.24,2569.52
SF,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,24251.98,2.00,794.00,-2.00,4108.00,176.00,52960.96,1715.65,31186.06,860.63,113301.00,2752.28
SF,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,26199.91,1949.93,2734.59,1938.59,4040.00,108.00,49437.15,-1808.16,30419.11,93.68,112830.76,2282.04
SF,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,26491.82,2241.84,614.00,-182.00,4098.00,166.00,52605.11,1359.80,31384.18,1058.75,115193.11,4644.39
SF,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,24249.98,0.00,796.00,0.00,3932.00,0.00,51245.31,0.00,30325.43,0.00,110548.72,0.00
SFOSanMateo_101,No Project,NoProject v10,2035_TM152_NGF_NP10,928.00,74.00,340.00,-498.00,,0.00,16136.57,-468.33,34437.34,-440.70,51841.91,-1333.03
SFOSanMateo_101,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,1014.00,160.00,436.00,-402.00,,0.00,17094.57,489.67,33936.73,-941.31,52481.30,-693.64
SFOSanMateo_101,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,846.00,-8.00,1006.33,168.33,,0.00,15873.30,-731.60,35083.36,205.32,52808.99,-365.95
SFOSanMateo_101,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,786.00,-68.00,860.00,22.00,,0.00,16878.81,273.91,35905.13,1027.09,54429.94,1255.00
SFOSanMateo_101,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,926.00,72.00,1072.81,234.81,,0.00,15985.43,-619.47,35028.43,150.39,53012.67,-162.27
SFOSanMateo_101,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,940.00,86.00,1020.57,182.57,,0.00,15795.41,-809.49,35527.53,649.49,53283.51,108.57
SFOSanMateo_101,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,870.00,16.00,922.00,84.00,,0.00,17020.89,415.99,35714.28,836.24,54527.17,1352.23
SFOSanMateo_101,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,810.00,-44.00,846.00,8.00,,0.00,16782.88,177.98,36054.94,1176.90,54493.82,1318.88
SFOSanMateo_101,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,880.00,26.00,779.13,-58.87,,0.00,15924.89,-680.01,34885.80,7.76,52469.82,-705.12
SFOSanMateo_101,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,864.00,10.00,666.00,-172.00,,0.00,16646.90,42.00,35753.71,875.67,53930.61,755.67
SFOSanMateo_101,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,854.00,0.00,838.00,0.00,,0.00,16604.90,0.00,34878.04,0.00,53174.94,0.00
SFOSanMateo_280380,No Project,NoProject v10,2035_TM152_NGF_NP10,564.00,144.00,796.00,-6.00,,0.00,10162.88,311.67,25266.36,255.04,36789.24,704.71
SFOSanMateo_280380,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,544.00,124.00,922.00,120.00,,0.00,11358.88,1507.67,25173.11,161.79,37997.99,1913.46
SFOSanMateo_280380,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,452.00,32.00,1185.91,383.91,,0.00,9701.61,-149.60,25129.85,118.53,36469.37,384.84
SFOSanMateo_280380,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,408.00,-12.00,848.00,46.00,,0.00,10111.12,259.91,25724.65,713.33,37091.77,1007.24
SFOSanMateo_280380,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,466.00,46.00,1221.89,419.89,,0.00,9519.74,-331.47,25042.50,31.18,36250.13,165.60
SFOSanMateo_280380,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,458.00,38.00,1223.88,421.88,,0.00,9675.72,-175.49,25361.04,349.72,36718.64,634.11
SFOSanMateo_280380,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,428.00,8.00,784.00,-18.00,,0.00,10209.20,357.99,25626.92,615.60,37048.12,963.59
SFOSanMateo_280380,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,422.00,2.00,874.00,72.00,,0.00,10079.19,227.98,25932.05,920.73,37307.24,1222.71
SFOSanMateo_280380,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,406.00,-14.00,1109.41,307.41,,0.00,9511.20,-340.01,24929.73,-81.59,35956.34,-128.19
SFOSanMateo_280380,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,450.00,30.00,658.00,-144.00,,0.00,10005.21,154.00,25494.00,482.68,36607.21,522.68
SFOSanMateo_280380,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,420.00,0.00,802.00,0.00,,0.00,9851.21,0.00,25011.32,0.00,36084.53,0.00
SouthBay_Inner,No Project,NoProject v10,2035_TM152_NGF_NP10,1792.52,278.60,194.00,2.00,,0.00,,0.00,12286.77,-1192.03,14273.29,-911.43
SouthBay_Inner,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,2010.60,496.68,294.00,102.00,6294.00,6294.00,,0.00,13149.08,-329.72,21747.68,6562.96
SouthBay_Inner,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,2099.04,585.12,1997.15,1805.15,6476.00,6476.00,,0.00,13105.21,-373.59,23677.40,8492.68
SouthBay_Inner,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,1574.43,60.51,248.00,56.00,,0.00,,0.00,15103.94,1625.14,16926.37,1741.65
SouthBay_Inner,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,2201.01,687.09,1954.27,1762.27,6324.00,6324.00,,0.00,13270.03,-208.77,23749.31,8564.59
SouthBay_Inner,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,2200.93,687.01,1982.21,1790.21,6564.00,6564.00,,0.00,13526.49,47.69,24273.63,9088.91
SouthBay_Inner,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,1536.42,22.50,222.00,30.00,,0.00,,0.00,14925.16,1446.36,16683.58,1498.86
SouthBay_Inner,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,1601.75,87.83,272.00,80.00,,0.00,,0.00,14854.24,1375.44,16727.99,1543.27
SouthBay_Inner,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,1809.85,295.93,1581.37,1389.37,5928.00,5928.00,,0.00,12153.29,-1325.51,21472.51,6287.79
SouthBay_Inner,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,1849.35,335.43,178.00,-14.00,5974.00,5974.00,,0.00,13305.30,-173.50,21306.65,6121.93
SouthBay_Inner,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,1513.92,0.00,192.00,0.00,,0.00,,0.00,13478.80,0.00,15184.72,0.00
SouthBay_Outer10187,No Project,NoProject v10,2035_TM152_NGF_NP10,1380.95,146.53,32.00,12.00,,0.00,,0.00,2160.70,-242.53,3573.65,-84.00
SouthBay_Outer10187,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,3247.25,2012.83,82.00,62.00,6532.00,6532.00,,0.00,2348.15,-55.08,12209.40,8551.75
SouthBay_Outer10187,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,2791.30,1556.88,209.93,189.93,7946.00,7946.00,,0.00,1942.54,-460.69,12889.77,9232.12
SouthBay_Outer10187,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,1266.51,32.09,42.00,22.00,,0.00,,0.00,2506.35,103.12,3814.86,157.21
SouthBay_Outer10187,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,2850.50,1616.08,171.40,151.40,8046.00,8046.00,,0.00,2132.26,-270.97,13200.16,9542.51
SouthBay_Outer10187,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,2882.02,1647.60,209.81,189.81,8002.00,8002.00,,0.00,2166.26,-236.97,13260.09,9602.44
SouthBay_Outer10187,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,1324.08,89.66,50.00,30.00,,0.00,,0.00,2568.84,165.61,3942.92,285.27
SouthBay_Outer10187,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,1332.70,98.28,48.00,28.00,,0.00,,0.00,2544.85,141.62,3925.55,267.90
SouthBay_Outer10187,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,4018.85,2784.43,180.41,160.41,6558.00,6558.00,,0.00,2066.62,-336.61,12823.88,9166.23
SouthBay_Outer10187,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,3217.54,1983.12,18.00,-2.00,7506.00,7506.00,,0.00,2108.62,-294.61,12850.16,9192.51
SouthBay_Outer10187,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,1234.42,0.00,20.00,0.00,,0.00,,0.00,2403.23,0.00,3657.65,0.00
SouthBay_Outer280680,No Project,NoProject v10,2035_TM152_NGF_NP10,2648.36,93.00,,0.00,,0.00,,0.00,,0.00,2648.36,93.00
SouthBay_Outer280680,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,3641.67,1086.31,,0.00,2908.92,2908.92,,0.00,,0.00,6550.59,3995.23
SouthBay_Outer280680,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,3363.58,808.22,179.93,179.93,3264.96,3264.96,,0.00,,0.00,6808.47,4253.11
SouthBay_Outer280680,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,2777.41,222.05,0.00,0.00,,0.00,,0.00,,0.00,2777.41,222.05
SouthBay_Outer280680,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,3306.21,750.85,147.40,147.40,3272.96,3272.96,,0.00,,0.00,6726.57,4171.21
SouthBay_Outer280680,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,3420.04,864.68,173.81,173.81,3256.96,3256.96,,0.00,,0.00,6850.81,4295.45
SouthBay_Outer280680,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,2659.17,103.81,0.00,0.00,,0.00,,0.00,,0.00,2659.17,103.81
SouthBay_Outer280680,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,2540.20,-15.16,0.00,0.00,,0.00,,0.00,,0.00,2540.20,-15.16
SouthBay_Outer280680,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,4648.70,2093.34,,0.00,3219.27,3219.27,,0.00,,0.00,7867.97,5312.61
SouthBay_Outer280680,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,4708.19,2152.83,,0.00,3317.88,3317.88,,0.00,,0.00,8026.07,5470.71
SouthBay_Outer280680,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,2555.36,0.00,,0.00,,0.00,,0.00,,0.00,2555.36,0.00
SouthBay_Outer280680,Pathway 4,,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
SouthBay_Outer280680,Pathway 4,,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
