Corridor,Category,Short Name,Model Run ID,Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID"
EastBay_Inner580,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,646.00,6.00,2123.89,111.17,,0.00,,0.00,,0.00,2769.89,117.17
EastBay_Inner580,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,4024.00,3384.00,4878.92,2866.20,,0.00,,0.00,,0.00,8902.92,6250.20
EastBay_Inner580,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,4156.00,3516.00,4840.26,2827.54,,0.00,,0.00,,0.00,8996.26,6343.54
EastBay_Inner580,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,616.00,-24.00,2261.41,248.69,,0.00,,0.00,,0.00,2877.41,224.69
EastBay_Inner580,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,610.00,-30.00,2259.73,247.01,,0.00,,0.00,,0.00,2869.73,217.01
EastBay_Inner580,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,4206.00,3566.00,4645.84,2633.12,,0.00,,0.00,,0.00,8851.84,6199.12
EastBay_Inner580,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,678.00,38.00,1743.71,-269.01,,0.00,,0.00,,0.00,2421.71,-231.01
EastBay_Inner580,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,640.00,0.00,2012.72,0.00,,0.00,,0.00,,0.00,2652.72,0.00
EastBay_InnerBBApproach80580880,No Project,NoProject v10,2035_TM152_NGF_NP10,,0.00,10600.00,-2016.01,,0.00,101039.14,-1383.89,,0.00,111639.14,-3399.90
EastBay_InnerBBApproach80580880,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,,0.00,13687.99,1071.98,,0.00,103588.96,1165.93,,0.00,117276.95,2237.91
