A,B,I580_I238_I880_PortOfOakland,I101_I880_PortOfOakland,I80_I880_PortOfOakland,I680,SR85
1602,11993,,,AM,,
1603,11944,,,PM,,
1912,2488,,,PM,,
1913,1912,,,PM,,
1914,2483,,,AM,,
1929,2324,,,AM,,
1930,2326,,,PM,,
1983,2307,,,AM,,
2115,2116,,,PM,,
2116,2174,,,PM,,
2174,2175,,,PM,,
2175,2178,,,PM,,
2176,2227,,,AM,,
2178,2180,,,PM,,
2179,2176,,,AM,,
2206,11637,,,PM,,
2210,2115,,,PM,,
2211,2221,,,AM,,
2212,2211,,,AM,,
2215,2238,,,AM,,
2216,2215,,,AM,,
2218,2216,,,AM,,
2219,20512,,,PM,,
2220,2224,,,PM,,
2221,2222,,,AM,,
2222,2218,,,AM,,
2224,2210,,,PM,,
2226,2212,,,AM,,
2227,2226,,,AM,,
2238,2275,,,AM,,
2243,2266,,,AM,,
2251,2243,,,AM,,
2256,15972,,,AM,,
2257,2261,,,PM,,
2258,1983,,,AM,,
2260,2258,,,AM,,
2261,2265,,,PM,,
2265,2287,,,PM,,
2266,2256,,,AM,,
2275,2251,,,AM,,
2278,2288,,,PM,,
2281,2278,,,PM,,
2284,2285,,,PM,,
2285,2281,,,PM,,
2287,2284,,,PM,,
2288,2290,,,PM,,
2290,2291,,,PM,,
2291,2219,,,PM,,
2306,2327,,,AM,,
2307,2306,,,AM,,
2318,2487,,,AM,,
2320,2318,,,AM,,
2321,2320,,,AM,,
2323,2321,,,AM,,
2324,2323,,,AM,,
2326,2396,,,PM,,
2327,1929,,,AM,,
2396,2397,,,PM,,
2397,2257,,,PM,,
2409,2496,,,PM,,
2419,2420,,,PM,,
2420,2422,,,PM,,
2422,2424,,,PM,,
2424,2425,,,PM,,
2425,1930,,,PM,,
2459,2805,,,AM,,
2482,1913,,,PM,,
2483,2516,,,AM,,
2487,1914,,,AM,,
2488,2419,,,PM,,
2496,2499,,,PM,,
2498,2785,,,AM,,
2499,2526,,,PM,,
2500,2498,,,AM,,
2503,2500,,,AM,,
2505,2508,,,PM,,
2506,2637,,,AM,,
2508,2511,,,PM,,
2509,2506,,,AM,,
2511,2513,,,PM,,
2512,2509,,,AM,,
2513,2515,,,PM,,
2514,2512,,,AM,,
2515,2482,,,PM,,
2516,2514,,,AM,,
2526,2601,,,PM,,
2529,2503,,,AM,,
2539,10506,,,PM,,
2540,2529,,,AM,,
2601,2539,,,PM,,
2631,2764,,,AM,,
2632,2634,,,PM,,
2633,2631,,,AM,,
2634,2636,,,PM,,
2636,2505,,,PM,,
2637,2633,,,AM,,
2645,2693,,PM,,,
2646,3678,,AM,,,
2649,2646,,AM,,,
2663,2664,AM,AM,,,
2664,3315,AM,AM,,,
2665,2682,PM,PM,,,
2682,3296,PM,PM,,,
2684,2806,AM,AM,,,
2693,3715,,PM,,,
2737,2738,PM,PM,,,
2738,3189,PM,PM,,,
2739,3502,PM,,,,
2755,3500,AM,,,,
2757,4039,AM,,,,
2758,2757,AM,,,,
2759,2760,PM,,,,
2760,8317,PM,,,,
2764,2540,,,AM,,
2778,2632,,,PM,,
2785,2459,,,AM,,
2805,2808,PM,PM,,,
2806,2810,AM,AM,,,
2808,2737,PM,PM,,,
2810,2826,AM,AM,,,
2821,4087,PM,,,,
2826,2409,,,PM,,
2897,4103,AM,,,,
2899,4122,PM,,,,
2936,4123,AM,,,,
3183,3188,AM,AM,,,
3184,3191,PM,PM,,,
3188,2684,AM,AM,,,
3189,3184,PM,PM,,,
3190,3183,AM,AM,,,
3191,3316,PM,PM,,,
3278,3400,PM,PM,,,
3279,3278,PM,PM,,,
3281,3279,PM,PM,,,
3289,3281,PM,PM,,,
3291,3293,AM,AM,,,
3292,3289,PM,PM,,,
3293,3297,AM,AM,,,
3294,3292,PM,PM,,,
3296,3294,PM,PM,,,
3297,2663,AM,AM,,,
3315,3190,AM,AM,,,
3316,2665,PM,PM,,,
3360,3361,AM,AM,,,
3361,3363,AM,AM,,,
3363,3365,AM,AM,,,
3365,3291,AM,AM,,,
3377,3382,AM,AM,,,
3378,3377,AM,,,,
3382,3360,AM,AM,,,
3396,3416,,PM,,,
3397,3396,,PM,,,
3399,3397,,PM,,,
3399,3422,PM,,,,
3400,3399,PM,PM,,,
3411,3498,PM,,,,
3412,3411,PM,,,,
3413,3412,PM,,,,
3415,3419,,AM,,,
3416,3606,,PM,,,
3419,3420,,AM,,,
3420,3377,,AM,,,
3422,3413,PM,,,,
3432,3378,AM,,,,
3433,3432,AM,,,,
3435,3433,AM,,,,
3437,3435,AM,,,,
3478,3437,AM,,,,
3498,2739,PM,,,,
3500,3478,AM,,,,
3501,2755,AM,,,,
3502,3576,PM,,,,
3533,3501,AM,,,,
3534,3533,AM,,,,
3542,4016,PM,,,,
3576,3542,PM,,,,
3597,3598,,AM,,,
3598,3600,,AM,,,
3600,3602,,AM,,,
3601,3640,,PM,,,
3602,3605,,AM,,,
3603,3601,,PM,,,
3605,3415,,AM,,,
3606,3603,,PM,,,
3637,3679,,PM,,,
3638,3637,,PM,,,
3639,3638,,PM,,,
3640,3639,,PM,,,
3666,3667,,AM,,,
3667,3597,,AM,,,
3678,3666,,AM,,,
3679,2645,,PM,,,
3705,3709,,AM,,,
3706,3857,,PM,,,
3709,3711,,AM,,,
3710,3706,,PM,,,
3711,3714,,AM,,,
3712,3710,,PM,,,
3714,2649,,AM,,,
3715,3712,,PM,,,
3745,3746,,AM,,,
3746,3748,,AM,,,
3748,3705,,AM,,,
3750,3745,,AM,,,
3751,3750,,AM,,,
3775,3751,,AM,,,
3776,3775,,AM,,,
3778,3776,,AM,,,
3843,3847,,AM,,,
3844,4485,,PM,,,
3846,3844,,PM,,,
3847,3849,,AM,,,
3849,3851,,AM,,,
3850,3846,,PM,,,
3851,3854,,AM,,,
3852,3850,,PM,,,
3854,3920,,AM,,,
3855,3852,,PM,,,
3856,3855,,PM,,,
3857,3859,,PM,,,
3859,3887,,PM,,,
3887,3889,,PM,,,
3889,3890,,PM,,,
3890,3911,,PM,,,
3903,3905,,PM,,,
3905,3856,,PM,,,
3911,3912,,PM,,,
3912,3914,,PM,,,
3914,3903,,PM,,,
3920,3929,,AM,,,
3929,3931,,AM,,,
3931,3778,,AM,,,
3959,3534,AM,,,,
3960,3959,AM,,,,
3961,3963,AM,,,,
3963,3960,AM,,,,
3970,3961,AM,,,,
3974,3976,AM,,,,
3976,3982,AM,,,,
3982,3970,AM,,,,
3986,4046,AM,,,,
3992,4047,PM,,,,
3994,3992,PM,,,,
3995,4040,PM,,,,
4002,3994,PM,,,,
4013,4015,PM,,,,
4015,4030,PM,,,,
4016,4013,PM,,,,
4030,4002,PM,,,,
4039,3986,AM,,,,
4040,2759,PM,,,,
4045,3995,PM,,,,
4046,4048,AM,,,,
4047,4045,PM,,,,
4048,3974,AM,,,,
4074,4079,PM,,,,
4079,4080,PM,,,,
4080,2821,PM,,,,
4087,4088,PM,,,,
4088,4114,PM,,,,
4096,8770,AM,,,,
4097,2897,AM,,,,
4098,4097,AM,,,,
4103,4104,AM,,,,
4104,4096,AM,,,,
4110,4120,AM,,,,
4112,4098,AM,,,,
4113,4112,AM,,,,
4114,4116,PM,,,,
4115,2899,PM,,,,
4116,4115,PM,,,,
4118,2936,AM,,,,
4120,4118,AM,,,,
4122,4124,PM,,,,
4123,4113,AM,,,,
4124,4111,PM,,,,
4150,20364,,AM,,,
4169,4183,,AM,,,
4170,4182,,PM,,,
4172,4170,,PM,,,
4173,4751,,AM,,,
4174,4178,,PM,,,
4177,4173,,AM,,,
4178,4172,,PM,,,
4179,4188,,PM,,,
4180,4181,,AM,,,
4181,4169,,AM,,,
4182,4179,,PM,,,
4183,4177,,AM,,,
4187,20364,,PM,,,
4188,4180,,AM,,,
4188,20363,,PM,,,
4204,4226,,AM,,,
4205,4204,,AM,,,
4206,4208,,PM,,,
4208,4591,,PM,,,
4225,4234,,AM,,,
4226,4225,,AM,,,
4227,4206,,PM,,,
4229,4227,,PM,,,
4230,4236,,AM,,,
4231,4233,,PM,,,
4233,4229,,PM,,,
4234,4230,,AM,,,
4236,4272,,AM,,,
4237,4231,,PM,,,
4252,5795,,AM,,,
4271,4237,,PM,,,
4272,5079,,AM,,,
4301,4332,,PM,,,
4302,4304,,AM,,,
4303,4301,,PM,,,
4304,4340,,AM,,,
4332,5077,,PM,,,
4333,4302,,AM,,,
4336,4303,,PM,,,
4339,4336,,PM,,,
4340,4341,,AM,,,
4341,4424,,AM,,,
4342,4339,,PM,,,
4379,12673,,AM,,,
4395,4994,,AM,,,
4400,4395,,AM,,,
4405,4418,,PM,,,
4406,4405,,PM,,,
4407,4423,,PM,,,
4418,10144,,PM,,,
4422,4400,,AM,,,
4423,4342,,PM,,,
4424,4379,,AM,,,
4465,4406,,PM,,,
4485,5812,,PM,,,
4491,4465,,PM,,,
4497,4498,,PM,,,
4498,4491,,PM,,,
4548,4568,,PM,,,
4568,4578,,PM,,,
4578,4174,,PM,,,
4591,4548,,PM,,,
4593,4634,,AM,,,
4634,4205,,AM,,,
4751,12239,,AM,,,
4994,5001,,AM,,,
4995,5006,,AM,,,
5001,4995,,AM,,,
5006,5028,,AM,,,
5007,12241,,AM,,,
5009,5007,,AM,,,
5010,5018,,PM,,,
5012,5010,,PM,,,
5013,5009,,AM,,,
5015,5013,,AM,,,
5016,5027,,PM,,,
5018,5016,,PM,,,
5027,4497,,PM,,,
5028,5015,,AM,,,
5040,5041,,PM,,,
5041,5043,,PM,,,
5043,12242,,PM,,,
5077,5080,,PM,,,
5078,4333,,AM,,,
5079,5078,,AM,,,
5080,4271,,PM,,,
5098,5100,,PM,,,
5099,5798,,AM,,,
5100,5682,,PM,,,
5101,5099,,AM,,,
5681,5098,,PM,,,
5682,5684,,PM,,,
5684,5685,,PM,,,
5685,5686,,PM,,,
5686,5688,,PM,,,
5688,5689,,PM,,,
5689,5691,,PM,,,
5691,5040,,PM,,,
5710,5799,,AM,,,
5711,5710,,AM,,,
5712,5711,,AM,,,
5713,5712,,AM,,,
5714,5713,,AM,,,
5716,5717,,AM,,,
5717,5714,,AM,,,
5718,5716,,AM,,,
5720,5718,,AM,,,
5795,3843,,AM,,,
5796,4252,,AM,,,
5798,5796,,AM,,,
5799,5101,,AM,,,
5812,5831,,PM,,,
5831,5681,,PM,,,
8316,2758,AM,,,,
8317,8319,PM,,,,
8318,8316,AM,,,,
8319,8775,PM,,,,
8671,11807,,,PM,,
8672,11768,,,AM,,
8770,8771,AM,,,,
8771,8318,AM,,,,
8772,8773,PM,,,,
8773,4074,PM,,,,
8775,8772,PM,,,,
8900,8901,PM,PM,,,
8901,8903,,PM,,,
8903,8904,,PM,,,
8904,8905,,PM,,,
8905,20229,,PM,,,
8907,20231,,PM,,,
8909,20233,,PM,,,
8911,20235,,PM,,,
8913,20237,,PM,,,
8914,20239,,PM,,,
8916,8996,,PM,,,
8918,8919,,AM,,,
8919,20238,,AM,,,
8921,20234,,AM,,,
8923,20232,,AM,,,
8925,20230,,AM,,,
8927,8928,,AM,,,
8928,8929,,AM,,,
8929,8930,,AM,,,
8930,9550,,AM,,,
8931,8933,,,AM,,
8932,9518,,,PM,,
8933,9217,,,AM,,
8934,8932,,,PM,,
8936,8934,,,PM,,
8937,8939,,,AM,,
8938,8936,,,PM,,
8939,8941,,,AM,,
8940,8938,,,PM,,
8941,20009,,,AM,,
8942,8940,,,PM,,
8943,20011,,,AM,,
8944,8942,,,PM,,
8946,20023,,,PM,,
8947,20012,,,AM,,
8948,8946,,,PM,,
8949,20013,,,AM,,
8950,8948,,,PM,,
8952,8950,,,PM,,
8953,20014,,,AM,,
8954,8952,,,PM,,
8956,8954,,,PM,,
8957,8959,,,AM,,
8958,8956,,,PM,,
8959,8961,,,AM,,
8960,8958,,,PM,,
8961,20015,,,AM,,
8962,8960,,,PM,,
8964,8962,,,PM,,
8965,20016,,,AM,,
8966,8964,,,PM,,
8968,8966,,,PM,,
8969,20017,,,AM,,
8970,8968,,,PM,,
8972,8970,,,PM,,
8973,20018,,,AM,,
8974,20022,,,PM,,
8975,8974,,,PM,,
8976,8975,,,PM,,
8977,8979,,,AM,,
8978,8976,,,PM,,
8979,20019,,,AM,,
8980,8978,,,PM,,
8982,8980,,,PM,,
8983,20020,,,AM,,
8984,8982,,,PM,,
8986,8984,,,PM,,
8987,20021,,,AM,,
8988,8986,,,PM,,
8990,8988,,,PM,,
8991,8993,,,AM,,
8992,8990,,,PM,,
8993,9863,,,AM,,
8994,8992,,,PM,,
8996,9039,,PM,,,
8997,8931,,,AM,,
8998,20240,,AM,,,
9039,9125,,PM,,,
9041,8998,,AM,,,
9046,20196,,PM,,,
9049,9202,,AM,,,
9125,9173,,PM,,,
9152,9153,,PM,,,
9153,10012,,PM,,,
9154,20145,,PM,,,
9156,20146,,PM,,,
9158,10108,,PM,,,
9161,20208,,AM,,,
9163,9164,,AM,,,
9164,10015,,AM,,,
9165,20143,,AM,,,
9172,9041,,AM,,,
9173,20241,,PM,,,
9174,9172,,AM,,,
9176,9174,,AM,,,
9177,9179,,PM,,,
9179,9181,,PM,,,
9180,20193,,AM,,,
9181,20194,,PM,,,
9182,9180,,AM,,,
9184,9182,,AM,,,
9185,20242,,PM,,,
9188,20195,,AM,,,
9189,9191,,PM,,,
9190,9188,,AM,,,
9191,9193,,PM,,,
9192,9190,,AM,,,
9193,9195,,PM,,,
9194,9192,,AM,,,
9195,9197,,PM,,,
9196,9194,,AM,,,
9197,9199,,PM,,,
9198,9196,,AM,,,
9199,9201,,PM,,,
9200,9198,,AM,,,
9201,9046,,PM,,,
9202,9200,,AM,,,
9217,8937,,,AM,,
9218,9220,,,AM,,
9219,9520,,,PM,,
9220,8997,,,AM,,
9221,9218,,,AM,,
9223,9221,,,AM,,
9225,20010,,,AM,,
9285,9225,,,AM,,
9286,9290,,,PM,,
9287,9972,,,AM,,
9288,9286,,,PM,,
9289,20361,,,AM,,
9290,20003,,,PM,,
9291,9289,,,AM,,
9292,20005,,,PM,,
9293,20002,,,AM,,
9294,20004,,,AM,,
9295,20006,,,PM,,
9296,20007,,,AM,,
9297,9299,,,PM,,
9298,20008,,,AM,,
9299,9300,,,PM,,
9300,9302,,,PM,,
9301,9298,,,AM,,
9302,9305,,,PM,,
9303,9301,,,AM,,
9304,9303,,,AM,,
9305,9307,,,PM,,
9306,9304,,,AM,,
9307,10043,,,PM,,
9308,10042,,,AM,,
9309,10045,,,PM,,
9310,10049,,,PM,,
9311,10047,,,PM,,
9312,10048,,,AM,,
9313,10046,,,AM,,
9314,9308,,,AM,,
9315,10052,,,PM,,
9316,10549,,,PM,,
9317,10051,,,AM,,
9344,9345,,,PM,,
9345,9482,,,PM,,
9407,9408,PM,,,,
9408,9409,PM,,,,
9409,9410,PM,,,,
9410,9411,PM,,,,
9411,9412,PM,,,,
9412,9466,PM,,,,
9413,9414,PM,,,,
9414,9415,PM,,,,
9415,9416,PM,,,,
9416,9417,PM,,,,
9417,9418,PM,,,,
9418,9463,PM,,,,
9419,9420,AM,,,,
9420,9421,AM,,,,
9421,9422,AM,,,,
9422,9461,AM,,,,
9424,9425,AM,,,,
9425,9426,AM,,,,
9426,9427,AM,,,,
9427,9428,AM,,,,
9428,9429,AM,,,,
9429,9430,AM,,,,
9430,9431,AM,,,,
9431,9474,AM,,,,
9432,9407,PM,,,,
9452,9454,,PM,,,
9453,20197,,AM,,,
9454,9456,,PM,,,
9455,9453,,AM,,,
9456,9458,,PM,,,
9457,9455,,AM,,,
9458,9565,,PM,,,
9459,9457,,AM,,,
9461,9424,AM,,,,
9462,9419,AM,,,,
9463,9465,PM,,,,
9464,9462,AM,,,,
9465,9808,PM,,,,
9466,9413,PM,,,,
9473,9475,AM,,,,
9474,9473,AM,,,,
9475,9476,AM,,,,
9476,9477,AM,,,,
9477,9478,AM,,,,
9478,9818,AM,,,,
9481,10132,,AM,,,
9482,9483,,,PM,,
9483,9484,,,PM,,
9484,9485,,,PM,,
9485,9486,,,PM,,
9486,9487,,,PM,,
9487,9488,,,PM,,
9488,9489,,,PM,,
9489,9490,,,PM,,
9490,9491,,,PM,,
9491,9492,,,PM,,
9492,9493,,,PM,,
9493,9494,,,PM,,
9494,9988,,,PM,,
9495,9496,,,AM,,
9496,9497,,,AM,,
9497,9498,,,AM,,
9498,9499,,,AM,,
9499,9500,,,AM,,
9500,9501,,,AM,,
9501,9502,,,AM,,
9502,9503,,,AM,,
9503,9504,,,AM,,
9504,9505,,,AM,,
9505,9506,,,AM,,
9506,9285,,,AM,,
9518,9519,,,PM,,
9519,9219,,,PM,,
9520,9521,,,PM,,
9521,9522,,,PM,,
9522,9523,,,PM,,
9523,9344,,,PM,,
9524,9525,PM,,,,
9525,9526,PM,,,,
9526,9527,PM,,,,
9527,9528,PM,,,,
9528,9529,PM,,,,
9529,9432,PM,,,,
9550,9551,,AM,,,
9551,9552,AM,AM,,,
9552,9553,AM,AM,,,
9553,9554,AM,AM,,,
9554,9555,AM,AM,,,
9555,9556,AM,AM,,,
9556,9848,AM,AM,,,
9557,9558,PM,PM,,,
9558,9559,PM,PM,,,
9559,9560,PM,PM,,,
9560,8900,PM,PM,,,
9565,9566,,PM,,,
9566,9567,,PM,,,
9567,9568,,PM,,,
9568,9569,,PM,,,
9570,9571,,AM,,,
9571,9572,,AM,,,
9572,9573,,AM,,,
9573,9574,,AM,,,
9574,9459,,AM,,,
9576,9577,,PM,,,
9806,9902,,,PM,,
9807,9901,PM,PM,,,
9808,9811,PM,,,,
9809,9464,AM,,,,
9810,9809,AM,,,,
9811,9814,PM,,,,
9812,9810,AM,,,,
9813,9812,AM,,,,
9814,9815,PM,,,,
9815,9817,PM,,,,
9816,9813,AM,,,,
9818,9819,AM,,,,
9819,9820,AM,,,,
9820,9824,AM,,,,
9821,9822,PM,,,,
9822,9823,PM,,,,
9823,9524,PM,,,,
9824,9825,AM,,,,
9825,9826,AM,,,,
9826,9829,AM,,,,
9827,9828,PM,,,,
9828,9821,PM,,,,
9829,9831,AM,,,,
9830,9827,PM,,,,
9831,9833,AM,,,,
9832,9830,PM,,,,
9833,9835,AM,,,,
9834,9832,PM,,,,
9835,9836,AM,,,,
9837,9834,PM,,,,
9848,9850,AM,AM,,,
9849,9557,PM,PM,,,
9850,9852,AM,AM,,,
9851,9849,PM,PM,,,
9852,9854,AM,AM,,,
9853,9851,PM,PM,,,
9854,9856,AM,AM,,,
9855,9853,PM,PM,,,
9856,9858,AM,AM,,,
9857,9855,PM,PM,,,
9858,9860,AM,AM,,,
9859,9857,PM,PM,,,
9860,9864,AM,AM,,,
9862,9859,PM,PM,,,
9864,9868,AM,AM,,,
9866,9862,PM,PM,,,
9868,9899,AM,AM,,,
9896,9866,PM,PM,,,
9897,9896,PM,PM,,,
9898,9897,PM,PM,,,
9899,9900,AM,AM,,,
9900,9916,AM,AM,,,
9901,9898,PM,PM,,,
9902,9906,,,PM,,
9903,9807,,,AM,,
9904,9903,,,AM,,
9905,9904,,,AM,,
9906,9907,,,PM,,
9907,10386,,,PM,,
9908,9905,,,AM,,
9909,9908,,,AM,,
9910,9909,,,AM,,
9916,9806,AM,AM,,,
9972,9975,,,AM,,
9973,20362,,,PM,,
9974,9973,,,PM,,
9975,9976,,,AM,,
9976,9977,,,AM,,
9977,9981,,,AM,,
9978,9979,,,PM,,
9979,9980,,,PM,,
9980,9974,,,PM,,
9981,9982,,,AM,,
9982,9985,,,AM,,
9983,9984,,,PM,,
9984,9978,,,PM,,
9985,9987,,,AM,,
9986,9983,,,PM,,
9987,9495,,,AM,,
9988,9986,,,PM,,
10012,10013,,PM,,,
10013,9154,,PM,,,
10014,9165,,AM,,,
10015,10014,,AM,,,
10041,9306,,,AM,,
10042,10041,,,AM,,
10043,10044,,,PM,,
10044,9309,,,PM,,
10045,9310,,,PM,,
10046,9314,,,AM,,
10047,9315,,,PM,,
10048,9313,,,AM,,
10049,9311,,,PM,,
10050,9312,,,AM,,
10051,10050,,,AM,,
10052,9316,,,PM,,
10055,20132,,PM,,,
10058,10059,,PM,,,
10059,10086,,PM,,,
10086,10087,,PM,,,
