A,B,Parallel_Corridor,Shape_Leng
6600,6407,SFOSanMateo_101_PM,81.65184683790
6600,6602,SFOSanMateo_101_AM,468.54602745600
6601,6586,SFOSanMateo_101_AM,546.99877911500
6601,20081,SFOSanMateo_101_PM,403.61044816000
6602,6600,SFOSanMateo_101_PM,468.54602745600
6602,20081,SFOSanMateo_101_AM,444.73381093300
6607,6407,SFOSanMateo_101_AM,271.89391187400
6607,6715,SFOSanMateo_101_PM,415.15585540400
6614,6476,SFOSanMateo_280380_AM,807.36732656200
6614,6615,SFOSanMateo_280380_PM,213.71476317700
6615,6614,SFOSanMateo_280380_AM,213.71476317700
6615,6631,SFOSanMateo_280380_PM,1740.29250415000
6619,6512,SanMateo_101_PM_SanMateo_28092_PM,642.33436321500
6619,6532,SanMateo_101_AM_SanMateo_28092_AM,1351.77136043000
6631,6615,SFOSanMateo_280380_AM,1740.29250415000
6631,6632,SFOSanMateo_280380_PM,737.19453598200
6632,6631,SFOSanMateo_280380_AM,737.19453598200
6632,6699,SFOSanMateo_280380_PM,288.63057777400
6638,6692,SFOSanMateo_280380_PM,838.60002384900
6638,6713,SFOSanMateo_280380_AM,781.96803003700
6689,6354,SanMateo_101_PM_SanMateo_28092_PM,394.60613274500
6689,6364,SanMateo_101_AM_SanMateo_28092_AM,294.17001886700
6692,6638,SFOSanMateo_280380_AM,838.60002384900
6692,6705,SFOSanMateo_280380_PM,403.03970027800
6699,6632,SFOSanMateo_280380_AM,288.63057777400
6699,6713,SFOSanMateo_280380_PM,290.19567342200
6701,6705,SFOSanMateo_280380_AM,1327.37334612000
6703,6854,SFOSanMateo_280380_PM,758.47544456000
6705,6692,SFOSanMateo_280380_AM,403.03970027800
6705,6701,SFOSanMateo_280380_PM,1327.37334612000
6713,6638,SFOSanMateo_280380_PM,781.96803003700
6713,6699,SFOSanMateo_280380_AM,290.19567342200
6714,6715,SFOSanMateo_101_AM,450.69641350300
6714,6716,SFOSanMateo_101_PM,606.07226339300
6715,6607,SFOSanMateo_101_AM,415.15585540400
6715,6714,SFOSanMateo_101_PM,450.69641350300
6716,6714,SFOSanMateo_101_AM,606.07226339300
6716,6718,SFOSanMateo_101_PM,830.98105392500
6718,6716,SFOSanMateo_101_AM,830.98105392500
6718,15857,SFOSanMateo_101_PM,691.04916303300
6719,6721,SFOSanMateo_101_AM,1418.32083817000
6719,6740,SFOSanMateo_101_PM,497.42537128700
6721,6719,SFOSanMateo_101_PM,1418.32083817000
6721,15857,SFOSanMateo_101_AM,328.38934470300
6735,6738,SFOSanMateo_101_AM,397.59778671400
6735,6789,SFOSanMateo_101_PM,261.37513336200
6738,6735,SFOSanMateo_101_PM,397.59778671400
6738,6739,SFOSanMateo_101_AM,263.82190962800
6739,6738,SFOSanMateo_101_PM,263.82190962800
6739,6740,SFOSanMateo_101_AM,174.07182425700
6740,6719,SFOSanMateo_101_AM,497.42537128700
6740,6739,SFOSanMateo_101_PM,174.07182425700
6753,6754,SF_PM,455.33893108600
6753,6937,SF_AM,840.53832545700
6754,6753,SF_AM,455.33893108600
6754,6755,SF_PM,402.29968561200
6755,6754,SF_AM,402.29968561200
6755,13510,SF_PM,358.30124612300
6758,6795,SF_PM,403.44144556600
6758,13510,SF_AM,629.24592269100
6775,6788,SFOSanMateo_101_AM,573.96075753100
6779,6789,SFOSanMateo_101_AM,152.39420573000
6781,6788,SFOSanMateo_101_PM,169.31922513400
6781,13504,SFOSanMateo_101_AM,452.41842260400
6782,6785,SF_AM,273.38617375400
6785,6782,SF_PM,273.38617375400
6785,13632,SF_AM,481.09562459000
6787,6792,SFOSanMateo_101_AM,325.75369470400
6787,13504,SFOSanMateo_101_PM,557.22223777800
6788,6775,SFOSanMateo_101_PM,573.96075753100
6788,6781,SFOSanMateo_101_AM,169.31922513400
6789,6735,SFOSanMateo_101_AM,261.37513336200
6789,6779,SFOSanMateo_101_PM,152.39420573000
6792,6787,SFOSanMateo_101_PM,325.75369470400
6795,6758,SF_AM,403.44144556600
6795,13632,SF_PM,481.24941558400
6828,6831,SFOSanMateo_280380_AM,178.96135985500
6831,6828,SFOSanMateo_280380_PM,178.96135985500
6831,7707,SFOSanMateo_280380_AM,334.78608430600
6832,6833,SFOSanMateo_280380_AM,102.03015123200
6832,6835,SFOSanMateo_280380_PM,190.75474138300
6833,6832,SFOSanMateo_280380_PM,102.03015123200
6833,6834,SFOSanMateo_280380_AM,380.84099203900
6834,6833,SFOSanMateo_280380_PM,380.84099203900
6834,6849,SFOSanMateo_280380_AM,479.67185514500
6835,6832,SFOSanMateo_280380_AM,190.75474138300
6835,7707,SFOSanMateo_280380_PM,130.08458786500
6849,6834,SFOSanMateo_280380_PM,479.67185514500
6849,6855,SFOSanMateo_280380_AM,381.18359376100
6854,6703,SFOSanMateo_280380_AM,758.47544456000
6854,7127,SFOSanMateo_280380_PM,546.00000000000
6855,6849,SFOSanMateo_280380_PM,381.18359376100
6855,7127,SFOSanMateo_280380_AM,558.51349648200
6936,6941,SF_PM,433.55853122700
6936,6953,SF_AM,287.56390594100
6937,6753,SF_PM,840.53832545700
6937,6941,SF_AM,285.56785533400
6941,6936,SF_AM,433.55853122700
6941,6937,SF_PM,285.56785533400
6952,6953,SF_PM,658.89984064300
6952,6958,SF_AM,533.45766472500
6953,6936,SF_PM,287.56390594100
6953,6952,SF_AM,658.89984064300
6958,6952,SF_PM,533.45766472500
7127,6854,SFOSanMateo_280380_AM,546.00000000000
7127,6855,SFOSanMateo_280380_PM,558.51349648200
7707,6831,SFOSanMateo_280380_PM,334.78608430600
7707,6835,SFOSanMateo_280380_AM,130.08458786500
8006,8388,Periphery_101NorthBay_PM,292.16073088400
8015,1608,Periphery_SR4_AM,1325.26550816000
8015,1609,Periphery_SR4_PM,679.21804420800
8050,1998,EastBay_68024980_AM,519.60930854000
8050,2004,EastBay_68024980_PM,761.99689480500
8051,2005,EastBay_68024980_AM,586.74175640000
8051,3535,EastBay_68024980_PM,4614.93015951000
8056,1985,EastBay_68024980_AM,1277.69455893000
8056,1998,EastBay_68024980_PM,759.30791195700
8141,1975,EastBay_68024980_AM,1246.64549893000
8141,1976,EastBay_68024980_PM,522.65954502000
8149,1956,EastBay_68024980_AM,174.62919373600
8149,1957,EastBay_68024980_PM,461.29058087100
8293,8330,Periphery_101NorthBay_AM,839.92202019000
8293,8551,Periphery_101NorthBay_PM,393.85911186600
8330,8293,Periphery_101NorthBay_PM,839.92202019000
8330,8331,Periphery_101NorthBay_AM,199.24315149900
8331,8330,Periphery_101NorthBay_PM,199.24315149900
8331,8333,Periphery_101NorthBay_AM,876.99692630700
8333,8331,Periphery_101NorthBay_PM,876.99692630700
8333,12253,Periphery_101NorthBay_AM,1267.26996552000
8358,8371,Periphery_101NorthBay_PM,1294.52467141000
8358,8380,Periphery_101NorthBay_AM,481.68039196100
8371,8358,Periphery_101NorthBay_AM,1294.52467141000
8376,8378,Periphery_101NorthBay_PM,859.71274272300
8376,8402,Periphery_101NorthBay_AM,641.64554077800
8378,8376,Periphery_101NorthBay_AM,859.71274272300
8378,8380,Periphery_101NorthBay_PM,854.28332536700
8380,8358,Periphery_101NorthBay_PM,481.68039196100
8380,8378,Periphery_101NorthBay_AM,854.28332536700
8388,12253,Periphery_101NorthBay_PM,3183.68161161000
8402,8376,Periphery_101NorthBay_PM,641.64554077800
8402,8404,Periphery_101NorthBay_AM,470.73665674100
8404,8402,Periphery_101NorthBay_PM,470.73665674100
8404,8551,Periphery_101NorthBay_AM,308.78471464800
8551,8293,Periphery_101NorthBay_AM,393.85911186600
8551,8404,Periphery_101NorthBay_PM,308.78471464800
10329,1985,EastBay_68024980_PM,637.52756442300
10329,10330,EastBay_68024980_AM,603.95035850000
10330,10329,EastBay_68024980_PM,603.95035850000
10330,10331,EastBay_68024980_AM,894.40262349300
10331,1987,EastBay_68024980_AM,1000.23247298000
10331,10330,EastBay_68024980_PM,894.40262349300
10522,10523,Periphery_80Solano_PM,688.32041957200
10522,11800,Periphery_80Solano_AM,862.18791455200
10523,10522,Periphery_80Solano_AM,688.32041957200
10523,11852,Periphery_80Solano_PM,467.34301416800
11074,11873,Periphery_80Solano_PM,817.00550793700
11074,11874,Periphery_80Solano_AM,547.70977716300
11076,11874,Periphery_80Solano_PM,474.01687733700
11076,11887,Periphery_80Solano_AM,359.12393403900
11096,11795,Periphery_80Solano_AM,347.01296805700
11096,11856,Periphery_80Solano_PM,417.00119903900
11210,4021,Periphery_101SouthBay_AM,1155.27139222000
11210,15985,Periphery_101SouthBay_PM,273.90820223000
11211,4201,Periphery_101SouthBay_PM,1342.32845415000
11211,4221,Periphery_101SouthBay_AM,2139.97282021000
11535,2310,EastBay_Outer80_AM,192.91644604300
11544,2408,EastBay_Outer80_PM,833.40566352800
11544,2414,EastBay_Outer80_AM,372.49026832900
11794,11795,Periphery_80Solano_PM,151.00331122200
11794,11873,Periphery_80Solano_AM,669.06053537800
11795,11096,Periphery_80Solano_PM,347.01296805700
11795,11794,Periphery_80Solano_AM,151.00331122200
11800,10522,Periphery_80Solano_PM,862.18791455200
11800,11856,Periphery_80Solano_AM,421.23271477900
11852,10523,Periphery_80Solano_AM,467.34301416800
11856,11096,Periphery_80Solano_AM,417.00119903900
11856,11800,Periphery_80Solano_PM,421.23271477900
11870,11886,Periphery_80Solano_PM,556.35420372300
11873,11074,Periphery_80Solano_AM,817.00550793700
11873,11794,Periphery_80Solano_PM,669.06053537800
11874,11074,Periphery_80Solano_PM,547.70977716300
11874,11076,Periphery_80Solano_AM,474.01687733700
11886,11870,Periphery_80Solano_AM,556.35420372300
11886,11887,Periphery_80Solano_PM,929.40034430800
11887,11076,Periphery_80Solano_PM,359.12393403900
11887,11886,Periphery_80Solano_AM,929.40034430800
12007,2776,EastBay_880680_AM,184.54809671200
12007,3891,EastBay_880680_PM,472.07626502500
12062,2618,EastBay_Outer80_AM,406.94387024500
12062,2619,EastBay_Outer80_PM,499.08791479200
12069,2618,EastBay_Outer80_PM,391.72605086900
12069,2659,EastBay_Outer80_AM,632.53853637500
12152,3789,EastBay_880680_AM,614.65437442500
12152,3918,EastBay_880680_PM,248.56588663800
12180,3684,EastBay_880680_PM,1507.17119134000
12180,3717,EastBay_880680_AM,1040.97502372000
12185,3741,EastBay_880680_PM,702.16379855400
12185,3923,EastBay_880680_AM,134.84806264800
12225,3977,Periphery_580_AM,874.39319701400
12225,4038,Periphery_580_PM,1067.98884816000
12253,8333,Periphery_101NorthBay_PM,1267.26996552000
12253,8388,Periphery_101NorthBay_AM,3183.68161161000
12567,4196,SouthBay_Inner_AM,344.30945383500
12567,5437,SouthBay_Inner_PM,233.45235059900
12694,4845,SouthBay_Outer280680_PM,376.00132978500
12694,5127,SouthBay_Outer280680_AM,874.06921922700
13008,6186,SanMateo_101_AM_SanMateo_28092_AM,858.43229203000
13008,6367,SanMateo_101_PM_SanMateo_28092_PM,735.18501072900
13024,6129,SanMateo_101_AM_SanMateo_28092_AM,180.47991578000
13024,6134,SanMateo_101_PM_SanMateo_28092_PM,387.49709676300
13034,6309,SanMateo_101_AM_SanMateo_28092_AM,578.88340795000
13034,6329,SanMateo_101_PM_SanMateo_28092_PM,699.27533919100
13043,6364,SanMateo_101_PM_SanMateo_28092_PM,390.69297408600
13043,6366,SanMateo_101_AM_SanMateo_28092_AM,707.11597351500
13504,6781,SFOSanMateo_101_PM,452.41842260400
13504,6787,SFOSanMateo_101_AM,557.22223777800
13510,6755,SF_AM,358.30124612300
13510,6758,SF_PM,629.24592269100
13632,6785,SF_PM,481.09562459000
13632,6795,SF_AM,481.24941558400
15857,6718,SFOSanMateo_101_AM,691.04916303300
15857,6721,SFOSanMateo_101_PM,328.38934470300
15953,1616,Periphery_SR4_PM,1974.28158728000
15969,3987,Periphery_580_AM,1924.35874064000
15985,4154,Periphery_101SouthBay_PM,1220.18136301000
15985,11210,Periphery_101SouthBay_AM,273.90820223000
20081,6601,SFOSanMateo_101_AM,403.61044816000
20081,6602,SFOSanMateo_101_PM,444.73381093300
20438,3977,Periphery_580_PM,612.13486919300
20438,3980,Periphery_580_AM,558.63757560800
