A,B,Parallel_Corridor,Shape_Leng
3222,3646,EastBay_880680_AM,174.47062790100
3222,3647,EastBay_880680_PM,698.14683269400
3223,3647,EastBay_880680_AM,422.18479366300
3223,3648,EastBay_880680_PM,630.89222534400
3242,3286,EastBay_880680_PM,433.29551117000
3242,3741,EastBay_880680_AM,575.47284905500
3286,3242,EastBay_880680_AM,433.29551117000
3286,3290,EastBay_880680_PM,680.80026439500
3290,3286,EastBay_880680_AM,680.80026439500
3290,3728,EastBay_880680_PM,793.87908399200
3410,3417,EastBay_880680_AM,340.15617037600
3417,3410,EastBay_880680_PM,340.15617037600
3417,3531,EastBay_880680_AM,174.92855684500
3492,3507,EastBay_Outer580_AM,856.42979864100
3492,3532,EastBay_Outer580_PM,760.19076553200
3497,3508,EastBay_Outer580_PM,322.37400639600
3507,3492,EastBay_Outer580_PM,856.42979864100
3507,3509,EastBay_Outer580_AM,614.00325732000
3508,3497,EastBay_Outer580_AM,322.37400639600
3508,3509,EastBay_Outer580_PM,519.30145387800
3509,3507,EastBay_Outer580_PM,614.00325732000
3509,3508,EastBay_Outer580_AM,519.30145387800
3531,3417,EastBay_880680_PM,174.92855684500
3531,3592,EastBay_880680_AM,421.33597045600
3532,3492,EastBay_Outer580_AM,760.19076553200
3535,1638,EastBay_68024980_PM,2108.90841154000
3535,8051,EastBay_68024980_AM,4614.93015951000
3540,3592,EastBay_880680_PM,617.21957195200
3540,3645,EastBay_880680_AM,1048.23709150000
3557,3561,EastBay_880680_PM,144.45068362600
3557,3875,EastBay_880680_AM,330.65087327900
3561,3557,EastBay_880680_AM,144.45068362600
3561,3574,EastBay_880680_PM,142.27438279600
3574,3561,EastBay_880680_AM,142.27438279600
3574,3923,EastBay_880680_PM,140.13208055300
3592,3531,EastBay_880680_PM,421.33597045600
3592,3540,EastBay_880680_AM,617.21957195200
3618,3645,EastBay_880680_PM,726.94222604000
3618,3648,EastBay_880680_AM,829.22855715400
3645,3540,EastBay_880680_PM,1048.23709150000
3645,3618,EastBay_880680_AM,726.94222604000
3646,3222,EastBay_880680_PM,174.47062790100
3646,3660,EastBay_880680_AM,255.39185578200
3647,3222,EastBay_880680_AM,698.14683269400
3647,3223,EastBay_880680_PM,422.18479366300
3648,3223,EastBay_880680_AM,630.89222534400
3648,3618,EastBay_880680_PM,829.22855715400
3660,3646,EastBay_880680_PM,255.39185578200
3660,3683,EastBay_880680_AM,573.61049782700
3683,3070,EastBay_880680_AM,799.97189861600
3683,3660,EastBay_880680_PM,573.61049782700
3684,3070,EastBay_880680_PM,767.87522944600
3684,12180,EastBay_880680_AM,1507.17119134000
3716,3139,EastBay_880680_AM,299.20227271900
3717,12180,EastBay_880680_PM,1040.97502372000
3728,3139,EastBay_880680_PM,1657.07724624000
3728,3290,EastBay_880680_AM,793.87908399200
3741,3242,EastBay_880680_PM,575.47284905500
3741,12185,EastBay_880680_AM,702.16379855400
3758,3891,EastBay_880680_AM,416.86568580300
3758,3892,EastBay_880680_PM,499.98899987900
3789,12152,EastBay_880680_PM,614.65437442500
3875,3557,EastBay_880680_PM,330.65087327900
3875,3893,EastBay_880680_AM,242.47061677700
3891,3758,EastBay_880680_PM,416.86568580300
3891,12007,EastBay_880680_AM,472.07626502500
3892,3758,EastBay_880680_AM,499.98899987900
3892,3893,EastBay_880680_PM,152.55163060400
3893,3875,EastBay_880680_PM,242.47061677700
3893,3892,EastBay_880680_AM,152.55163060400
3918,2775,EastBay_880680_PM,232.54461937400
3918,12152,EastBay_880680_AM,248.56588663800
3923,3574,EastBay_880680_AM,140.13208055300
3923,12185,EastBay_880680_PM,134.84806264800
3977,12225,Periphery_580_PM,874.39319701400
3977,20438,Periphery_580_AM,612.13486919300
3980,20438,Periphery_580_PM,558.63757560800
3987,4038,Periphery_580_AM,1405.11529776000
3987,15969,Periphery_580_PM,1924.35874064000
4021,4504,Periphery_101SouthBay_AM,1766.30263545000
4021,11210,Periphery_101SouthBay_PM,1155.27139222000
4038,3987,Periphery_580_PM,1405.11529776000
4038,12225,Periphery_580_AM,1067.98884816000
4154,15985,Periphery_101SouthBay_AM,1220.18136301000
4193,5651,SouthBay_Inner_PM,323.09905601800
4193,5652,SouthBay_Inner_AM,1005.52274962000
4195,4196,SouthBay_Inner_PM,376.47974713100
4195,5651,SouthBay_Inner_AM,653.44089250700
4196,4195,SouthBay_Inner_AM,376.47974713100
4196,12567,SouthBay_Inner_PM,344.30945383500
4201,4202,Periphery_101SouthBay_PM,1736.75617172000
4201,11211,Periphery_101SouthBay_AM,1342.32845415000
4202,4201,Periphery_101SouthBay_AM,1736.75617172000
4202,4504,Periphery_101SouthBay_PM,1760.33292306000
4212,4214,Periphery_101SouthBay_PM,681.80495744800
4214,4212,Periphery_101SouthBay_AM,681.80495744800
4214,4220,Periphery_101SouthBay_PM,1478.10588254000
4220,4214,Periphery_101SouthBay_AM,1478.10588254000
4220,4221,Periphery_101SouthBay_PM,897.35723098400
4221,4220,Periphery_101SouthBay_AM,897.35723098400
4221,11211,Periphery_101SouthBay_PM,2139.97282021000
4238,4246,Periphery_101SouthBay_AM,1572.07760623000
4243,4262,Periphery_101SouthBay_AM,552.75763224000
4243,4266,Periphery_101SouthBay_PM,1951.45125484000
4244,4262,Periphery_101SouthBay_PM,2739.39883916000
4244,4305,Periphery_101SouthBay_AM,3019.02003968000
4245,4246,Periphery_101SouthBay_PM,1488.93787647000
4245,4266,Periphery_101SouthBay_AM,2170.22948095000
4246,4238,Periphery_101SouthBay_PM,1572.07760623000
4246,4245,Periphery_101SouthBay_AM,1488.93787647000
4251,4253,SouthBay_Inner_PM,1409.05813566000
4251,5793,SouthBay_Inner_AM,777.13169777300
4253,4251,SouthBay_Inner_AM,1409.05813566000
4253,5097,SouthBay_Inner_PM,838.64772103700
4262,4243,Periphery_101SouthBay_PM,552.75763224000
4262,4244,Periphery_101SouthBay_AM,2739.39883916000
4266,4243,Periphery_101SouthBay_AM,1951.45125484000
4266,4245,Periphery_101SouthBay_PM,2170.22948095000
4305,4244,Periphery_101SouthBay_PM,3019.02003968000
4305,4315,Periphery_101SouthBay_AM,1852.46673384000
4315,4305,Periphery_101SouthBay_PM,1852.46673384000
4315,4316,Periphery_101SouthBay,366.20349534100
4316,4315,Periphery_101SouthBay_PM,366.20349534100
4316,5497,SouthBay_Outer10187_AM,1973.60001013000
4338,5494,SouthBay_Outer10187_AM,591.35437767900
4338,5497,SouthBay_Outer10187_PM,347.61472926200
4343,4345,SouthBay_Outer10187_AM,669.72307710000
4343,5494,SouthBay_Outer10187_PM,652.50670494600
4345,4343,SouthBay_Outer10187_PM,669.72307710000
4345,4349,SouthBay_Outer10187_AM,1335.00000000000
4349,4345,SouthBay_Outer10187_PM,1335.00000000000
4349,4681,SouthBay_Outer10187_AM,783.23559674000
4413,4451,SouthBay_Outer10187_AM,211.15160430400
4413,4681,SouthBay_Outer10187_PM,879.62037266100
4446,4447,SouthBay_Outer10187_AM,1280.24099294000
4446,4451,SouthBay_Outer10187_PM,866.42483805600
4447,4446,SouthBay_Outer10187_PM,1280.24099294000
4447,4448,SouthBay_Outer10187_AM,847.90624481700
4448,4447,SouthBay_Outer10187_PM,847.90624481700
4448,4476,SouthBay_Outer10187_AM,423.79476164800
4451,4413,SouthBay_Outer10187_PM,211.15160430400
4451,4446,SouthBay_Outer10187_AM,866.42483805600
4473,4477,SouthBay_Outer10187_PM,718.93949675900
4476,4448,SouthBay_Outer10187_PM,423.79476164800
4476,4477,SouthBay_Outer10187_AM,1093.84505301000
4477,4473,SouthBay_Outer10187_AM,718.93949675900
4477,4476,SouthBay_Outer10187_PM,1093.84505301000
4504,4021,Periphery_101SouthBay_PM,1766.30263545000
