taz1454,ORIGIN_SF,ORIGIN_SJ,ORIGIN_OAK
566,,Downtown San Jose,
565,,Downtown San Jose,
573,,Downtown San Jose,
571,,Downtown San Jose,
576,,Downtown San Jose,
575,,Downtown San Jose,
567,,Downtown San Jose,
570,,Downtown San Jose,
583,,East San Jose,
584,,East San Jose,
642,,East San Jose,
650,,East San Jose,
651,,East San Jose,
653,,East San Jose,
644,,East San Jose,
643,,East San Jose,
646,,East San Jose,
649,,East San Jose,
487,,Cupertino,
491,,Cupertino,
480,,Cupertino,
482,,Cupertino,
485,,Cupertino,
459,,Sunnyvale,
454,,Sunnyvale,
598,,East San Jose,
625,,East San Jose,
622,,East San Jose,
610,,East San Jose,
609,,East San Jose,
620,,East San Jose,
471,,Cupertino,
470,,Cupertino,
473,,Cupertino,
468,,Cupertino,
504,,Cupertino,
503,,Cupertino,
501,,Cupertino,
499,,Cupertino,
500,,Cupertino,
505,,Cupertino,
518,,Cupertino,
517,,Cupertino,
516,,Cupertino,
514,,Cupertino,
511,,Cupertino,
513,,Cupertino,
508,,Cupertino,
510,,Cupertino,
497,,Cupertino,
496,,Cupertino,
498,,Cupertino,
495,,Cupertino,
490,,Cupertino,
489,,Cupertino,
488,,Cupertino,
486,,Cupertino,
492,,Cupertino,
481,,Cupertino,
483,,Cupertino,
484,,Cupertino,
479,,Cupertino,
460,,Cupertino,
457,,Sunnyvale,
458,,Sunnyvale,
455,,Sunnyvale,
451,,Sunnyvale,
448,,Sunnyvale,
394,,Sunnyvale,
450,,Sunnyvale,
425,,Sunnyvale,
391,,Sunnyvale,
618,,East San Jose,
617,,East San Jose,
615,,East San Jose,
613,,East San Jose,
606,,East San Jose,
611,,East San Jose,
401,,Sunnyvale,
422,,Sunnyvale,
420,,Sunnyvale,
413,,Sunnyvale,
543,,Downtown San Jose,
438,,Sunnyvale,
442,,Sunnyvale,
441,,Sunnyvale,
440,,Sunnyvale,
545,,Downtown San Jose,
544,,Downtown San Jose,
465,,Cupertino,
464,,Cupertino,
463,,Cupertino,
476,,Cupertino,
478,,Cupertino,
472,,Cupertino,
467,,Cupertino,
469,,Cupertino,
475,,Cupertino,
474,,Cupertino,
502,,Cupertino,
506,,Cupertino,
515,,Cupertino,
509,,Cupertino,
507,,Cupertino,
493,,Cupertino,
494,,Cupertino,
424,,Sunnyvale,
393,,Sunnyvale,
377,,,
376,,,
374,,,
380,,,
372,,,
378,,,
381,,,
383,,,
389,,,
388,,,
384,,,
370,,,
371,,,
367,,,
366,,,
363,,,
360,,,
358,,,
357,,,
359,,,
355,,,
354,,,
352,,,
368,,,
512,,Cupertino,
688,,South San Jose,
693,,South San Jose,
695,,South San Jose,
696,,South San Jose,
694,,South San Jose,
690,,South San Jose,
656,,South San Jose,
657,,South San Jose,
392,,Sunnyvale,
373,,,
375,,,
365,,,
379,,,
390,,,
382,,,
387,,,
386,,,
369,,,
362,,,
364,,,
361,,,
356,,,
353,,,
385,,,
692,,South San Jose,
691,,South San Jose,
689,,South San Jose,
680,,South San Jose,
675,,South San Jose,
669,,South San Jose,
668,,South San Jose,
667,,South San Jose,
673,,South San Jose,
665,,South San Jose,
659,,South San Jose,
700,,,
701,,,
456,,Sunnyvale,
453,,Sunnyvale,
452,,Sunnyvale,
449,,Sunnyvale,
447,,Sunnyvale,
445,,Sunnyvale,
446,,Sunnyvale,
423,,Sunnyvale,
710,,,
660,,South San Jose,
661,,South San Jose,
658,,South San Jose,
697,,,
703,,,
702,,,
704,,,
698,,,
1260,,,
1251,,,
1261,,,
1254,,,
1252,,,
1271,,,
1276,,,
1272,,,
1281,,,
1275,,,
1285,,,
1288,,,
1290,,,
1324,,,
1322,,,
1321,,,
1318,,,
1325,,,
713,,,
711,,,
709,,,
705,,,
707,,,
706,,,
1246,,,
1231,,,
1227,,,
1219,,,
1221,,,
1220,,,
1222,,,
1238,,,
1232,,,
1242,,,
1234,,,
699,,,
712,,,
708,,,
714,,,
1230,,,
1229,,,
1228,,,
1223,,,
1224,,,
1225,,,
1226,,,
1233,,,
1235,,,
1237,,,
1239,,,
1244,,,
1245,,,
1216,,,
1214,,,
1267,,,
1269,,,
1266,,,
1263,,,
1265,,,
674,,South San Jose,
676,,South San Jose,
670,,South San Jose,
672,,South San Jose,
671,,South San Jose,
666,,South San Jose,
679,,South San Jose,
678,,South San Jose,
677,,South San Jose,
664,,South San Jose,
663,,South San Jose,
662,,South San Jose,
1334,,,
1335,,,
1336,,,
1339,,,
1338,,,
1343,,,
