"COUNTY","population","households","units","group","jobs","residents"
1,860066,358774,390375,16110,600353,505328
2,759621,261800,275118,6193,371556,405192
3,1901653,630308,658221,25929,957973,967712
4,1621425,569024,596864,24712,772058,827742
5,1118989,389597,409118,5486,392237,536215
6,426510,147331,155951,2038,154343,200540
7,139349,49065,55476,2429,80612,71177
8,497591,190058,207908,5076,224098,250010
9,256192,104848,112607,2884,127199,130746
