"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,77063,136159,142652,83878,3115,86091,32328,13378,12324,19033,343718,3812,9372,69194,36812,23462,41877,138287,84632,87,24870,53965,4065,8946,6013,6493
2,104116,217984,221572,141418,20494,92764,24775,20031,21198,38112,92781,9958,18927,109555,50054,33078,11333,12418,54726,69,2928,11307,6931,6281,1076,3588
3,125956,344238,348172,200014,64959,68768,32278,26443,25819,41416,139346,19005,41150,150430,91807,45780,14465,16454,67176,93,18313,22845,8650,11572,20879,3934
4,51639,145575,147670,80018,36299,17885,11635,12178,11395,16431,24508,6288,20010,56332,39398,25642,4514,4293,12323,10,1002,2366,7098,24504,5982,2095
5,99139,303330,304994,166464,69339,34086,21801,25686,24801,26851,126260,15854,47565,108621,84708,48246,20265,18983,47170,74,25986,13782,11622,1741,5446,1664
6,83332,220204,222113,118085,53867,34376,15086,17556,18413,32277,111063,13695,38054,74856,60014,35494,17296,30913,31548,143,10895,20268,11026,3359,7684,1909
7,79329,229894,232514,120643,58060,25390,16985,16755,14326,31263,134233,15587,45272,78096,62879,30680,14148,32749,33281,302,16739,37014,9655,1312,3892,2620
8,71216,179965,188584,94321,45157,30107,13485,11443,12406,33882,122273,9067,37172,65573,47409,29363,17170,23037,49376,77,12415,20198,11199,15778,16461,8619
9,104658,279613,280511,154251,53602,56624,19295,21359,24639,39365,321589,22013,41180,127665,60151,29502,33435,56119,46750,47,137770,47468,9733,2587,7908,898
10,119088,328778,329485,162490,86131,40024,20678,23690,24188,50532,120282,17984,64576,103128,96960,46837,24039,23196,48593,195,12237,12022,17405,9969,23996,707
11,108427,316842,328162,171937,63713,49524,32884,27477,21558,26508,172319,21816,59707,136262,76082,34295,16096,43929,64504,82,15081,32627,14119,32746,16181,11320
12,114561,419928,422173,208783,96268,21228,26330,27827,27161,33243,112025,25128,81350,151550,110502,53643,16665,15674,36028,85,28258,15315,22021,1882,7166,2245
13,74974,231097,232025,116566,60904,16310,13577,17107,17569,26721,59117,15516,46224,76391,63765,30129,10558,9169,27248,32,8751,3359,12742,0,0,928
14,37384,119501,120713,59364,31828,6801,8907,8741,8766,10970,50368,7967,27035,37659,33031,15021,9652,5681,13914,2240,13154,5727,6774,1106,2599,1212
15,79828,225900,226707,117512,64827,17937,12622,15559,19010,32637,141335,13826,46482,71330,67081,27988,29004,24531,38255,119,30133,19293,12209,1106,4893,807
16,107675,346768,348293,175298,85148,26746,18085,24783,27928,36879,152656,21443,63076,128872,91152,43750,25722,21417,40791,230,49462,15034,16425,4435,7507,1525
17,127965,386084,389141,195311,92995,39507,37739,38728,29363,22135,155345,24286,69675,139949,105036,50195,21978,17975,57755,193,37946,19498,17953,16558,13355,3057
18,181443,469766,475707,242239,95293,97171,64773,48114,33669,34887,210604,29302,77094,187482,119834,61995,18847,34960,92747,65,28532,35453,20573,6954,19592,5941
19,72113,168195,181577,97382,35056,42184,22838,16198,13936,19141,112118,8480,28747,82250,38315,23785,11964,32648,44822,45,12093,10546,5751,36767,6608,13382
20,90265,262584,263662,130117,69753,26343,29170,26840,19396,14859,70321,15053,46482,94385,71108,36634,12542,8589,23822,645,13988,10735,10359,1909,5143,1078
21,89414,240199,241313,123722,67176,25600,22361,24845,22728,19480,111517,15132,40409,83106,68405,34261,15222,23164,38716,839,12453,21123,9353,6846,13678,1114
22,60928,147190,149204,69718,42198,21435,12426,13315,11894,23293,77514,6779,26676,39047,41919,34783,11497,21961,33015,97,3627,7317,11116,3490,2162,2014
23,52226,152109,152388,71985,45637,8605,5854,8439,11393,26540,68583,8376,37165,39114,46602,21131,6446,20020,18091,114,18767,5145,10369,0,0,279
24,96764,311421,312422,140673,87636,14735,29017,28796,22368,16583,64302,19980,70894,103944,81536,36068,11133,8094,26583,988,6461,11043,17541,1409,5314,1001
25,53207,147992,148956,69503,42363,14917,18455,15968,11121,7663,47151,9371,25361,49596,42141,22487,6681,6046,19989,458,6567,7410,6278,504,66,964
26,94124,276480,277554,131037,79463,19208,26512,29240,22845,15527,107192,17116,56890,93635,71793,38120,15850,13509,44013,972,13456,19392,14119,2641,7434,1074
27,34478,101576,102431,52877,29275,7742,9416,10239,8013,6810,50606,6204,20511,34468,26910,14338,6876,8000,18138,494,8174,8924,7029,1613,4630,855
28,14587,35344,36918,18300,16136,2323,4297,3781,2741,3768,30006,1265,5726,9454,10758,9715,1761,1979,12417,1568,9998,2283,803,1497,170,1574
29,65297,168306,171009,88006,56300,13601,18920,20180,14131,12066,75503,8999,29863,54615,48675,28857,10417,12356,25710,1120,13701,12199,7332,8264,1144,2703
30,92638,242963,244721,121250,75947,21492,29414,29713,19183,14328,118396,13709,44067,80247,65977,40721,18952,19611,41040,659,15839,22295,11609,6225,15613,1758
31,32123,81246,81861,40754,37105,3463,9688,9306,6810,6319,30199,3338,13868,22349,25529,16777,3834,3537,10637,1385,7160,3646,3671,0,0,615
32,24586,61970,62444,31936,20296,5388,6232,5949,5163,7242,25641,3116,10548,16810,20009,11961,3358,8416,7944,23,1774,4126,2517,0,0,474
33,42423,105292,107064,55465,33004,12346,10643,9544,8939,13297,57274,5553,18895,29407,32114,21095,8927,11244,20465,149,4882,11607,4782,757,813,1772
34,37839,86046,86684,43345,29411,12162,7351,7057,7260,16171,44284,3786,15799,18929,28701,19469,7607,9742,19314,76,3025,4520,4105,1489,5370,638
