TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
1,20161,402,16405,1185,6,539,1624
2,29473,377,20600,2430,23,1435,4608
3,1820,34,1030,324,0,3,429
4,22933,530,15561,2608,2,780,3452
5,16992,3436,7142,3560,0,1137,1717
6,3535,83,568,2676,0,33,175
7,7977,394,1934,4347,0,1230,72
8,4327,120,978,2662,0,84,483
9,7725,120,1124,4498,0,6,1977
10,30951,301,5384,12513,0,1412,11341
11,13055,2726,3992,3376,0,191,2770
12,21570,2730,10778,5522,0,1111,1429
13,19813,199,15552,1354,4,535,2169
14,36822,76,23057,772,5,8519,4393
15,19138,124,8948,891,0,6523,2652
16,31641,351,18288,2079,16,2629,8278
17,17131,424,7587,1398,6,2534,5182
18,8695,326,3111,1963,1,512,2782
19,14781,1350,5579,4498,0,543,2811
20,6703,616,2554,1380,0,747,1406
21,16660,325,8900,2254,16,3634,1531
22,14701,273,9516,2258,8,274,2372
23,10203,213,6413,1023,0,559,1995
24,16597,601,9419,2272,4,298,4003
25,1690,161,234,1253,0,16,26
26,5189,47,2920,1025,0,182,1015
27,1478,105,72,1301,0,0,0
28,671,25,148,465,0,3,30
29,1892,17,563,1273,0,32,7
30,1561,115,215,672,0,487,72
31,2050,17,394,1613,0,12,14
32,1738,360,234,1087,0,11,46
33,1212,97,300,688,0,75,52
34,1066,172,219,624,0,22,29
35,477,24,162,280,2,7,2
36,2115,273,297,1446,11,22,66
37,2511,84,745,1309,0,151,222
38,1702,162,639,551,0,233,117
39,733,24,131,539,4,12,23
40,2389,220,803,892,4,432,38
41,6670,1017,3204,2033,0,367,49
42,597,1,28,370,3,25,170
43,2055,280,627,1068,0,46,34
44,1291,75,339,710,0,13,154
45,2524,231,652,1221,3,147,270
46,2352,47,790,1313,0,21,181
47,2797,114,687,1852,0,85,59
48,893,89,142,580,0,66,16
49,1079,3,171,880,0,6,19
50,1839,425,272,1000,1,29,112
51,517,112,66,284,0,34,21
52,6081,357,1802,2020,20,518,1364
53,1153,2,16,1080,0,0,55
54,889,193,60,588,0,14,34
55,312,43,41,194,0,17,17
56,3058,0,191,2865,0,0,2
57,228,0,35,179,0,9,5
58,686,47,68,524,0,27,20
59,951,18,120,668,0,63,82
60,663,10,21,623,0,1,8
61,1115,26,724,353,0,2,10
62,1244,157,168,810,0,38,71
63,747,91,125,458,0,4,69
64,605,133,79,341,0,8,44
65,1403,285,289,688,2,26,113
66,1503,271,186,973,0,32,41
67,620,43,75,467,0,9,26
68,965,50,248,627,0,0,40
69,9743,326,256,9093,0,19,49
70,2250,542,477,1074,0,21,136
71,2340,136,361,1785,11,15,32
72,1204,68,273,836,0,18,9
73,1507,326,114,990,0,23,54
74,2883,202,438,2209,0,19,15
75,4572,421,774,3297,0,43,37
76,2935,144,372,844,0,18,1557
77,1704,151,175,1318,0,6,54
78,1176,6,87,1059,0,21,3
79,11030,171,459,6281,0,354,3765
80,588,16,175,368,0,13,16
81,10366,63,424,9725,8,48,98
82,1306,271,507,480,0,14,34
83,567,19,409,108,0,13,18
84,1530,30,239,1164,0,38,59
85,1135,176,189,549,0,49,172
86,927,53,46,795,0,5,28
87,1677,26,115,1510,0,7,19
88,1400,445,191,532,12,37,183
89,1062,104,159,693,0,57,49
90,562,9,177,340,0,0,36
91,449,8,79,314,1,6,41
92,176,5,37,119,0,0,15
93,406,4,138,171,0,48,45
94,838,198,155,463,0,9,13
95,546,13,198,261,0,7,67
96,230,6,105,88,0,7,24
97,1113,105,99,782,0,100,27
98,745,182,171,348,0,10,34
99,689,14,86,408,0,165,16
100,2238,243,786,1062,0,52,95
101,2940,389,542,1646,0,149,214
102,1410,225,165,746,0,205,69
103,866,124,243,452,0,26,21
104,1588,344,400,783,0,5,56
105,1630,153,176,1150,1,53,97
106,4138,505,1097,2078,0,89,369
107,49930,1578,2366,21180,0,14100,10706
108,4632,238,1134,2310,0,513,437
109,7163,142,3193,1001,0,411,2416
110,8713,262,4415,2444,0,1484,108
111,7274,513,2001,2311,0,1000,1449
112,874,48,291,215,0,239,81
113,896,19,178,361,0,125,213
114,1159,332,272,339,0,102,114
115,570,13,205,337,0,14,1
116,7704,1042,3452,1828,0,485,897
117,805,21,349,379,0,31,25
118,501,74,51,348,0,3,25
119,373,79,25,251,0,2,16
120,728,56,145,357,0,30,140
121,572,112,100,187,0,87,86
122,819,40,291,320,0,67,101
123,1986,227,357,1222,0,94,86
124,295,87,34,149,0,4,21
125,140,6,20,100,0,1,13
126,257,0,44,168,0,6,39
127,613,108,69,395,0,1,40
128,630,39,209,290,0,59,33
129,283,1,105,128,0,21,28
130,777,159,269,322,6,2,19
131,373,2,73,156,0,78,64
132,597,190,91,265,0,38,13
133,2528,68,166,2177,0,21,96
134,804,55,116,489,0,68,76
135,584,115,92,339,0,9,29
136,956,0,47,868,0,2,39
137,373,66,32,228,0,1,46
138,2646,230,152,949,0,25,1290
139,880,121,144,446,0,60,109
140,272,43,0,167,0,47,15
141,310,13,37,167,0,7,86
142,11264,818,1790,1185,0,3926,3545
143,950,43,86,530,0,86,205
144,618,0,182,423,0,2,11
145,976,0,81,543,0,23,329
146,106,0,29,36,0,40,1
147,1655,41,217,361,0,546,490
148,2314,296,155,342,0,607,914
149,918,2,420,234,0,52,210
150,2035,207,374,581,2,168,703
151,137,25,1,99,0,7,5
152,816,10,556,231,0,1,18
153,230,0,16,171,0,23,20
154,613,164,55,357,0,30,7
155,300,3,23,247,0,0,27
156,162,2,5,146,0,0,9
157,155,5,0,140,0,6,4
158,276,0,9,264,0,0,3
159,337,32,15,261,0,3,26
160,216,0,30,171,0,6,9
161,344,13,27,276,0,4,24
162,506,64,61,304,0,13,64
163,368,12,12,307,0,6,31
164,2995,107,2464,367,4,25,28
165,1040,147,72,764,0,5,52
166,891,12,35,732,0,6,106
167,371,14,19,287,0,3,48
168,552,1,43,427,0,13,68
169,1052,54,214,618,0,25,141
170,1810,126,402,1089,0,39,154
171,593,122,36,252,18,132,33
172,656,117,45,384,3,34,73
173,189,32,30,88,0,6,33
174,394,6,53,250,0,7,78
175,1124,163,200,709,0,21,31
176,424,52,76,271,0,9,16
177,1385,189,276,818,0,47,55
178,465,12,83,301,0,14,55
179,653,4,55,491,0,17,86
180,455,71,32,312,0,13,27
181,749,30,36,559,0,47,77
182,507,37,23,328,0,16,103
183,1326,129,31,1102,0,14,50
184,730,116,131,391,0,27,65
185,1664,132,271,1162,0,17,82
186,1313,71,194,902,1,31,114
187,1169,270,635,180,26,8,50
188,6500,873,126,5490,0,1,10
189,764,8,273,479,0,4,0
190,842,0,16,748,0,73,5
191,386,23,101,216,0,6,40
192,1387,713,186,470,0,5,13
193,2124,85,271,1162,4,119,483
194,2564,45,37,2357,0,15,110
195,247,0,27,183,0,6,31
196,250,5,28,196,0,5,16
197,407,157,32,214,0,0,4
198,733,17,26,660,0,30,0
199,1857,1244,130,447,0,5,31
200,3876,2591,263,806,38,93,85
201,1110,271,92,489,0,134,124
202,403,8,20,309,0,12,54
