A,B,_PROJECT,_PROJ_BRT_EA,_PROJ_BRT_AM,_PROJ_BRT_MD,_PROJ_BRT_PM,_PROJ_BRT_EV
9000,9001,CC_170061,0,0,0,3,0
9001,9002,CC_170061,0,0,0,3,0
9002,9003,CC_170061,0,0,0,3,0
9003,9004,CC_170061,0,0,0,3,0
9004,9005,CC_170061,0,0,0,3,0
9005,9006,CC_170061,0,0,0,3,0
9006,9007,CC_170061,0,0,0,3,0
9007,9008,CC_170061,0,0,0,3,0
9008,9009,CC_170061,0,0,0,3,0
9009,9010,CC_170061,0,0,0,3,0
9010,9011,CC_170061,0,0,0,3,0
9011,9012,CC_170061,0,0,0,3,0
9012,10040,CC_170061,0,0,0,3,0
9013,9014,CC_170061,0,0,0,3,0
9014,10654,CC_170061,0,0,0,3,0
9018,9019,CC_170061,0,0,0,3,0
9019,10658,CC_170061,0,0,0,3,0
9020,9021,CC_170061,0,0,0,3,0
9021,9022,CC_170061,0,0,0,3,0
9022,9023,CC_170061,0,0,0,3,0
9023,9024,CC_170061,0,0,0,3,0
9024,9025,CC_170061,0,0,0,3,0
9025,9026,CC_170061,0,0,0,3,0
9026,9027,CC_170061,0,0,0,3,0
9027,9028,CC_170061,0,0,0,3,0
9028,9029,CC_170061,0,0,0,3,0
9029,9030,CC_170061,0,0,0,3,0
9030,9031,CC_170061,0,0,0,3,0
9031,9032,CC_170061,0,0,0,3,0
9032,9741,CC_170061,0,0,0,3,0
9451,9000,CC_170061,0,0,0,3,0
10040,9013,CC_170061,0,0,0,3,0
10654,9016,CC_170061,0,0,0,3,0
10658,9020,CC_170061,0,0,0,3,0
