A,B,_PROJECT,_PROJ_BRT_EA,_PROJ_BRT_AM,_PROJ_BRT_MD,_PROJ_BRT_PM,_PROJ_BRT_EV
8675,15855,VINE_Bus_Enhancements,0,3,0,3,0
15855,8675,VINE_Bus_Enhancements,0,3,0,3,0
8760,15855,VINE_Bus_Enhancements,0,3,0,3,0
15855,8760,VINE_Bus_Enhancements,0,3,0,3,0
8677,8760,VINE_Bus_Enhancements,0,3,0,3,0
8760,8677,VINE_Bus_Enhancements,0,3,0,3,0
8678,8677,VINE_Bus_Enhancements,0,3,0,3,0
8677,8678,VINE_Bus_Enhancements,0,3,0,3,0
38702,8678,VINE_Bus_Enhancements,0,3,0,3,0
8678,38702,VINE_Bus_Enhancements,0,3,0,3,0
38700,38702,VINE_Bus_Enhancements,0,3,0,3,0
38702,38700,VINE_Bus_Enhancements,0,3,0,3,0
38700,10353,VINE_Bus_Enhancements,0,3,0,3,0
10353,38700,VINE_Bus_Enhancements,0,3,0,3,0
8642,10353,VINE_Bus_Enhancements,0,3,0,3,0
10353,8642,VINE_Bus_Enhancements,0,3,0,3,0
