"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Marin County, California!!Estimate","Marin County, California!!Margin of Error","Napa County, California!!Estimate","Napa County, California!!Margin of Error","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error","San Joaquin County, California!!Estimate","San Joaquin County, California!!Margin of Error","San Mateo County, California!!Estimate","San Mateo County, California!!Margin of Error","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Solano County, California!!Estimate","Solano County, California!!Margin of Error","Sonoma County, California!!Estimate","Sonoma County, California!!Margin of Error"
"Total:","571,828","±2,806","391,996","±2,551","105,887","±1,549","49,619","±1,123","356,916","±3,701","223,062","±2,329","263,280","±1,811","633,786","±3,221","145,502","±1,849","190,662","±2,442"
"    No vehicle available","56,013","±2,838","22,872","±2,535","5,053","±1,241","2,392","±706","111,510","±4,996","16,241","±1,910","13,287","±1,779","33,383","±2,671","8,155","±1,212","8,108","±1,431"
"    1 vehicle available","186,223","±5,222","109,167","±3,087","35,536","±2,557","14,951","±1,223","145,943","±5,056","61,282","±2,826","78,546","±4,046","171,566","±5,098","40,881","±2,931","62,439","±2,932"
"    2 vehicles available","204,855","±5,254","152,670","±5,224","44,194","±2,319","17,603","±1,306","72,054","±3,691","86,039","±3,711","104,529","±3,907","255,747","±6,564","52,678","±3,288","71,040","±3,531"
"    3 vehicles available","83,059","±3,570","69,277","±3,683","16,517","±1,470","9,943","±1,333","18,956","±1,755","39,202","±3,621","41,227","±2,531","111,235","±4,818","28,486","±2,273","31,313","±2,398"
"    4 or more vehicles available","41,678","±2,912","38,010","±2,861","4,587","±935","4,730","±825","8,453","±1,380","20,298","±1,757","25,691","±2,308","61,855","±3,181","15,302","±1,840","17,762","±1,808"
"    1-person household:","138,663","±5,157","86,408","±3,995","32,333","±2,611","13,149","±1,438","133,937","±4,227","45,508","±2,706","57,938","±3,586","130,568","±4,352","33,174","±2,590","53,210","±2,778"
"        No vehicle available","31,754","±2,690","13,918","±2,126","4,259","±1,191","1,913","±704","66,711","±4,372","8,365","±1,136","7,781","±1,449","17,962","±1,770","5,360","±1,017","4,825","±1,036"
"        1 vehicle available","91,200","±4,325","56,727","±3,090","22,722","±2,246","9,420","±1,218","63,469","±3,822","27,579","±1,894","41,038","±3,206","90,846","±4,365","20,759","±2,054","38,329","±2,604"
"        2 vehicles available","12,896","±1,605","13,107","±2,000","4,784","±1,148","1,338","±443","3,369","±863","7,686","±1,606","7,225","±1,288","16,602","±1,842","5,909","±1,143","8,190","±1,315"
"        3 vehicles available","2,113","±549","2,399","±813","482","±321","333","±230","219","±206","1,535","±648","1,666","±617","3,392","±979","943","±446","1,475","±641"
"        4 or more vehicles available","700","±297","257","±320","86","±138","145","±121","169","±166","343","±242","228","±201","1,766","±672","203","±158","391","±282"
"    2-person household:","174,839","±4,676","122,036","±4,937","37,115","±2,397","15,708","±1,369","119,352","±4,696","61,625","±3,311","82,396","±3,784","190,772","±4,806","48,322","±2,415","64,098","±3,036"
"        No vehicle available","13,986","±1,581","5,222","±1,302","430","±278","219","±147","29,840","±2,623","3,961","±1,079","3,231","±823","8,629","±1,417","1,713","±676","1,795","±513"
"        1 vehicle available","52,574","±2,716","26,790","±2,374","7,586","±1,420","3,341","±711","53,154","±3,412","14,246","±1,937","20,185","±2,557","44,493","±3,027","10,677","±1,680","13,393","±1,838"
"        2 vehicles available","83,994","±4,073","65,297","±3,528","22,577","±1,928","8,177","±1,049","32,671","±3,027","30,761","±2,502","46,773","±2,637","105,423","±4,268","22,773","±2,126","35,681","±2,290"
"        3 vehicles available","19,437","±1,834","18,340","±2,068","5,560","±1,156","3,309","±738","2,951","±717","9,627","±1,319","9,141","±1,137","24,552","±1,771","9,735","±1,271","9,404","±1,315"
"        4 or more vehicles available","4,848","±920","6,387","±1,086","962","±445","662","±267","736","±330","3,030","±747","3,066","±721","7,675","±1,246","3,424","±747","3,825","±900"
"    3-person household:","103,213","±4,747","67,486","±3,697","15,695","±1,615","8,008","±1,251","47,312","±3,358","37,837","±2,553","47,902","±3,197","116,933","±4,567","23,651","±2,197","32,049","±2,551"
