CDSCode,StatusType,District,School,Street,StreetAbr,City,Zip,State,County,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Latitude,Longitude
01100170000000,Active,Alameda County Office of Education,,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,Alameda,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,37.658212,-122.09713
01100170109835,Closed,Alameda County Office of Education,FAME Public Charter,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,94560-5359,CA,Alameda,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,94560-5359,CA,37.521436,-121.99391
01100170112607,Active,Alameda County Office of Education,Envision Academy for Arts & Technology,1515 Webster Street,1515 Webster St.,Oakland,94612-3355,CA,Alameda,1515 Webster Street,1515 Webster St.,Oakland,94612,CA,37.804520,-122.26815
01100170118489,Closed,Alameda County Office of Education,Aspire California College Preparatory Academy,2125 Jefferson Avenue,2125 Jefferson Ave.,Berkeley,94703-1414,CA,Alameda,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,94606,CA,37.868991,-122.27844
01100170123968,Active,Alameda County Office of Education,Community School for Creative Education,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,Alameda,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,37.784648,-122.23863
01100170124172,Active,Alameda County Office of Education,Yu Ming Charter,1086 Alcatraz Avenue,1086 Alcatraz Ave.,Oakland,94608-1265,CA,Alameda,1086 Alcatraz Avenue,1086 Alcatraz Ave.,Oakland,94608-1265,CA,37.847375,-122.28356
01100170125567,Active,Alameda County Office of Education,Urban Montessori Charter,5328 Brann Street,5328 Brann St.,Oakland,94619-3312,CA,Alameda,5328 Brann Street,5328 Brann St.,Oakland,94619-3312,CA,37.778352,-122.18950
01100170130302,Closed,Alameda County Office of Education,"Technical, Agricultural & Nat.",597 C Street,597 C St.,Hayward,94541,CA,Alameda,597 C Street,597 C St.,Hayward,94541,CA,,
01100170130401,Active,Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue,2500 Fairmont Ave.,San Leandro,94578-1005,CA,Alameda,2500 Fairmont Avenue,2500 Fairmont Ave.,San Leandro,94578-1005,CA,37.712878,-122.11173
01100170130419,Active,Alameda County Office of Education,Alameda County Community,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,Alameda,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,37.658212,-122.09713
01100170130427,Closed,Alameda County Office of Education,Alameda County Opportunity,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,Alameda,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,37.658212,-122.09713
01100170131276,Closed,Alameda County Office of Education,Berkeley Trade & Tech. College,,,,,,Alameda,,,,,,,
01100170131581,Active,Alameda County Office of Education,Oakland Unity Middle,7200 Bancroft Avenue # 261,7200 Bancroft Ave. # 261,Oakland,94605-2403,CA,Alameda,6038 Brann Street,6038 Brann St.,Oakland,94605-1544,CA,37.767642,-122.17770
01100170131912,Closed,Alameda County Office of Education,Canyon Valley Adult School,,,,,,Alameda,,,,,,,
01100170136853,Closed,Alameda County Office of Education,Roosevelt High (Defunct),,,,,,Alameda,,,,,,,
01100170138412,Closed,Alameda County Office of Education,University High School (Defunc,,,,,,Alameda,,,,,,,
01100170138644,Closed,Alameda County Office of Education,Washington Evening High (Defun,,,,,,Alameda,,,,,,,
01100176001788,Active,Alameda County Office of Education,Cox Academy,9860 Sunnyside Street,9860 Sunnyside St.,Oakland,94603-2750,CA,Alameda,9860 Sunnyside Street,9860 Sunnyside St.,Oakland,94603-2750,CA,37.746513,-122.16182
01100176002000,Active,Alameda County Office of Education,Lazear Charter Academy,824 29th Avenue,824 29th Ave.,Oakland,94601-2205,CA,Alameda,824 29th Avenue,824 29th Ave.,Oakland,94601-2205,CA,37.776239,-122.23207
01100176002729,Closed,Alameda County Office of Education,Chabot Ranch,2500 Fairmont Drive,2500 Fairmont Dr.,San Leandro,94578,CA,Alameda,2500 Fairmont Drive,2500 Fairmont Dr.,San Leandro,94578,CA,,
01100176002737,Merged,Alameda County Office of Education,Juvenile Court Schools,2400 Fairmont Drive,2400 Fairmont Dr.,San Leandro,94578,CA,Alameda,2400 Fairmont Drive,2400 Fairmont Dr.,San Leandro,94578,CA,,
01100176002745,Closed,Alameda County Office of Education,Las Vistas School,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,Alameda,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,,
01100176002752,Closed,Alameda County Office of Education,Senior Camp,2600 Fairmont Drive,2600 Fairmont Dr.,San Leandro,94578,CA,Alameda,2600 Fairmont Drive,2600 Fairmont Dr.,San Leandro,94578,CA,,
